cityName,comment,confirmedCount,confirmedCountRank,confirmedIncr,continents,countryFullName,countryShortCode,countryType,createTime,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,deadCount,deadCountRank,deadIncr,deadRate,deadRateRank,id,incrVo,locationId,modifyTime,operator,provinceId,provinceName,provinceShortName,showRank,sort,statisticsData,suspectedCount,tags
,,3057431,1.0,16474,北美洲,United States of America,USA,2,2020-07-10 00:09:29,953420,16944,1971651,-735,132360,1.0,265,4.32,47.0,4370255.0,"{'currentConfirmedIncr': -735, 'confirmedIncr': 16474, 'curedIncr': 16944, 'deadIncr': 265}",971002,2020-07-10 00:09:29,yehao,8,美国,,True,0.0,https://file1.dxycdn.com/2020/0315/553/3402160512808052518-135.json,0,
,,1716196,2.0,3036,南美洲,Brazil,BRA,2,2020-07-10 00:09:29,1117922,0,530219,2945,68055,2.0,91,3.96,56.0,4370311.0,"{'currentConfirmedIncr': 2945, 'confirmedIncr': 3036, 'curedIncr': 0, 'deadIncr': 91}",973003,2020-07-10 00:09:29,yehao,10,巴西,,True,0.0,https://file1.dxycdn.com/2020/0315/559/3402160538577857305-135.json,0,
,,767296,3.0,24879,亚洲,India,IND,2,2020-07-10 00:09:29,476378,19547,269789,4845,21129,8.0,487,2.75,77.0,4370266.0,"{'currentConfirmedIncr': 4845, 'confirmedIncr': 24879, 'curedIncr': 19547, 'deadIncr': 487}",953003,2020-07-10 00:09:29,yehao,10,印度,,True,0.0,https://file1.dxycdn.com/2020/0315/045/3402160534282889835-135.json,0,
,,287621,7.0,642,欧洲,The United Kingdom,GBR,2,2020-07-10 00:09:29,539,0,242480,557,44602,3.0,85,15.50,4.0,4370361.0,"{'currentConfirmedIncr': 557, 'confirmedIncr': 642, 'curedIncr': 0, 'deadIncr': 85}",961007,2020-07-10 00:09:29,yehao,10,英国,,True,0.0,https://file1.dxycdn.com/2020/0315/364/3402160538577680395-135.json,0,
,,707301,4.0,6509,欧洲,Russian Federation,RUS,2,2020-07-10 00:09:29,481316,8805,215142,-2472,10843,11.0,176,1.53,125.0,4370268.0,"{'currentConfirmedIncr': -2472, 'confirmedIncr': 6509, 'curedIncr': 8805, 'deadIncr': 176}",964006,2020-07-10 00:09:29,yehao,10,俄罗斯,,True,0.0,https://file1.dxycdn.com/2020/0315/629/3402160517102843039-135.json,0,
,,224665,13.0,0,非洲,South Africa,ZAF,2,2020-07-10 00:09:29,106842,0,114223,0,3600,23.0,0,1.60,122.0,4370513.0,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",984011,2020-07-10 00:09:29,yehao,10,南非,,True,0.0,https://file1.dxycdn.com/2020/0315/417/3402160540725164203-135.json,0,
,,312911,5.0,0,南美洲,Peru,PER,2,2020-07-10 00:09:29,204748,0,97030,0,11133,10.0,0,3.55,63.0,4370514.0,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",973008,2020-07-10 00:09:29,yehao,10,秘鲁,,True,0.0,https://file1.dxycdn.com/2020/0315/005/3402160540725341040-135.json,0,
,,240848,12.0,3359,亚洲,Pakistan,PAK,2,2020-07-10 00:09:29,145311,10354,90554,-7056,4983,19.0,61,2.06,100.0,4370310.0,"{'currentConfirmedIncr': -7056, 'confirmedIncr': 3359, 'curedIncr': 10354, 'deadIncr': 61}",953006,2020-07-10 00:09:29,yehao,10,巴基斯坦,,True,0.0,https://file1.dxycdn.com/2020/0315/432/3402160525692777910-135.json,0,
,,175494,17.0,3360,亚洲,Bangladesh,BGD,2,2020-07-10 00:09:29,84544,3706,88712,-387,2238,27.0,41,1.27,133.0,4370570.0,"{'currentConfirmedIncr': -387, 'confirmedIncr': 3360, 'curedIncr': 3706, 'deadIncr': 41}",953001,2020-07-10 00:09:29,yehao,10,孟加拉国,,True,0.0,https://file1.dxycdn.com/2020/0315/485/3402160532135406028-135.json,0,
,,275003,8.0,6995,北美洲,Mexico,MEX,2,2020-07-10 00:09:29,167795,12191,74412,-5978,32796,5.0,782,11.92,8.0,4370323.0,"{'currentConfirmedIncr': -5978, 'confirmedIncr': 6995, 'curedIncr': 12191, 'deadIncr': 782}",971003,2020-07-10 00:09:29,yehao,10,墨西哥,,True,0.0,https://file1.dxycdn.com/2020/0315/566/3402160534282889843-135.json,0,
,,252513,9.0,0,欧洲,Spain,ESP,2,2020-07-10 00:09:29,150376,0,73741,0,28396,7.0,0,11.24,9.0,4370269.0,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",965015,2020-07-10 00:09:29,yehao,10,西班牙,,True,0.0,https://file1.dxycdn.com/2020/0315/812/3402160512807875660-135.json,0,
,,87030,22.0,0,南美洲,Argentina,ARG,2,2020-07-10 00:09:29,13576,0,71760,0,1694,31.0,0,1.94,103.0,4370414.0,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",973001,2020-07-10 00:09:29,yehao,10,阿根廷,,True,0.0,https://file1.dxycdn.com/2020/0315/963/3402160508513085001-135.json,0,
,,128638,19.0,4144,南美洲,Colombia,COL,2,2020-07-10 00:09:29,53634,5753,70477,-1777,4527,22.0,168,3.51,64.0,4370516.0,"{'currentConfirmedIncr': -1777, 'confirmedIncr': 4144, 'curedIncr': 5753, 'deadIncr': 168}",973005,2020-07-10 00:09:29,yehao,10,哥伦比亚,,True,0.0,https://file1.dxycdn.com/2020/0315/269/3402160512808052512-135.json,0,
,,73858,25.0,0,欧洲,Sweden,SWE,2,2020-07-10 00:09:29,4971,0,63405,0,5482,17.0,0,7.42,16.0,4370270.0,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",962005,2020-07-10 00:09:29,yehao,10,瑞典,,True,0.0,https://file1.dxycdn.com/2020/0315/516/3402160512807875646-135.json,0,
