confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr
4,4,0,0,4,4,20200121,0,0,0,0
4,0,0,0,4,0,20200122,0,0,0,0
5,1,0,0,5,1,20200123,0,0,0,0
11,6,0,0,11,6,20200124,0,0,0,0
23,12,0,0,23,12,20200125,0,0,0,0
27,4,0,0,27,4,20200126,0,0,0,0
37,10,0,0,37,10,20200127,0,0,0,0
56,19,0,0,56,19,20200128,0,0,0,0
68,12,0,0,68,12,20200129,0,0,0,0
82,14,0,0,82,14,20200130,0,0,0,0
106,24,0,0,106,24,20200131,0,0,0,0
132,26,0,0,132,26,20200201,0,0,0,0
146,14,0,0,145,13,20200202,1,1,0,0
153,7,0,0,152,7,20200203,1,0,0,0
159,6,0,0,158,6,20200204,1,0,0,0
191,32,0,0,190,32,20200205,1,0,0,0
216,25,0,0,215,25,20200206,1,0,0,0
270,54,0,0,269,54,20200207,1,0,0,0
288,18,0,0,287,18,20200208,1,0,0,0
307,19,0,0,306,19,20200209,1,0,0,0
319,12,0,0,318,12,20200210,1,0,0,0
395,76,0,0,394,76,20200211,1,0,0,0
441,46,0,0,440,46,20200212,1,0,0,0
447,6,0,0,446,6,20200213,1,0,0,0
505,58,0,0,503,57,20200214,2,1,0,0
526,21,0,0,524,21,20200215,2,0,0,0
683,157,0,0,680,156,20200216,3,1,0,0
794,111,0,0,791,111,20200217,3,0,0,0
804,10,0,0,801,10,20200218,3,0,0,0
924,120,0,0,921,120,20200219,3,0,0,0
1073,149,0,0,1065,144,20200220,8,5,0,0
1200,127,0,0,1192,127,20200221,8,0,0,0
1402,202,0,0,1391,199,20200222,11,3,0,0
1769,367,0,0,1752,361,20200223,17,6,0,0
2069,300,0,0,2046,294,20200224,23,6,0,0
2459,390,0,0,2425,379,20200225,34,11,0,0
2918,459,0,0,2874,449,20200226,44,10,0,0
3664,746,0,0,3607,733,20200227,57,13,0,0
4691,1027,0,0,4624,1017,20200228,67,10,0,0
6009,1318,0,0,5923,1299,20200229,86,19,0,0
7169,1160,0,0,7065,1142,20200301,104,18,0,0
8774,1605,0,0,8646,1581,20200302,128,24,0,0
10566,1792,0,0,10400,1754,20200303,166,38,0,0
12669,2103,0,0,12455,2055,20200304,214,48,0,0
14758,2089,0,0,14492,2037,20200305,266,52,0,0
17480,2722,0,0,17145,2653,20200306,335,69,0,0
21113,3633,0,0,20700,3555,20200307,413,78,0,0
24726,3613,0,0,24242,3542,20200308,484,71,0,0
28672,3946,0,0,27986,3744,20200309,686,202,0,0
32776,4104,0,0,31904,3918,20200310,872,186,0,0
37362,4586,0,0,36232,4328,20200311,1130,258,0,0
44277,6915,0,0,42837,6605,20200312,1440,310,0,0
51763,7486,0,0,49988,7151,20200313,1775,335,0,0
61862,10099,0,0,59657,9669,20200314,2205,430,0,0
73428,11566,9019,9019,61863,2206,20200315,2546,341,0,0
87995,14567,10181,1162,74405,12542,20200316,3409,863,0,0
100297,12302,11945,1764,83990,9585,20200317,4362,953,0,0
114160,13863,13324,1379,96060,12070,20200318,4776,414,0,0
161336,47176,16659,3335,138017,41957,20200319,6660,1884,0,0
189913,28577,19436,2777,162485,24468,20200320,7992,1332,0,0
222109,32196,22683,3247,189785,27300,20200321,9641,1649,0,0
253094,30985,24605,1922,217239,27454,20200322,11250,1609,0,0
291611,38517,27223,2618,251400,34161,20200323,12988,1738,0,0
335966,44355,34244,7021,286292,34892,20200324,15430,2442,0,0
380594,44628,39134,4890,323896,37604,20200325,17564,2134,0,0
444231,63637,47032,7898,376910,53014,20200326,20289,2725,0,0
498468,54237,49865,2833,425186,48276,20200327,23417,3128,0,0
567960,69492,63982,14117,477122,51936,20200328,26856,3439,0,0
630574,62614,70692,6710,529636,52514,20200329,30246,3390,0,0
682397,51823,80262,9570,568656,39020,20200330,33479,3233,0,0
760346,77949,90728,10466,631479,62823,20200331,38139,4660,0,0
835892,75546,106140,15412,686949,55470,20200401,42803,4664,0,0
913485,77593,116976,10836,748563,61614,20200402,47946,5143,0,0
1000734,87249,130098,13122,816741,68178,20200403,53895,5949,0,0
1079699,78965,148303,18205,870760,54019,20200404,60636,6741,0,0
1155091,75392,161091,12788,928750,57990,20200405,65250,4614,0,0
1222299,67208,167490,6399,985357,56607,20200406,69452,4202,0,0
1300989,78690,187837,20347,1035296,49939,20200407,77856,8404,0,0
1381160,80171,240563,52726,1057239,21943,20200408,83358,5502,0,0
1471674,90514,262077,21514,1118119,60880,20200409,91478,8120,0,0
1558596,86922,283071,20994,1178006,59887,20200410,97519,6041,0,0
1640754,82158,309410,26339,1226718,48712,20200411,104626,7107,0,0
1711566,70812,324209,14799,1277763,51045,20200412,109594,4968,0,0
1790176,78610,349929,25720,1324489,46726,20200413,115758,6164,0,0
1855317,65141,375087,25158,1358038,33549,20200414,122192,6434,0,0
1935180,79863,412205,37118,1392930,34892,20200415,130045,7853,0,0
2017137,81957,438608,26403,1438931,46001,20200416,139598,9553,0,0
