confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,provinceName
1,1,0,0,1,1,20200120,0,0,0,0,上海市
9,8,0,0,9,8,20200121,0,0,0,0,上海市
16,7,0,0,16,7,20200122,0,0,0,0,上海市
20,4,0,0,20,4,20200123,0,0,0,0,上海市
33,13,0,0,32,12,20200124,1,1,0,0,上海市
40,7,1,1,38,6,20200125,1,0,0,0,上海市
53,13,1,0,51,13,20200126,1,0,0,0,上海市
66,13,3,2,62,11,20200127,1,0,0,0,上海市
80,14,4,1,75,13,20200128,1,0,0,0,上海市
101,21,5,1,95,20,20200129,1,0,0,0,上海市
128,27,5,0,122,27,20200130,1,0,0,0,上海市
153,25,9,4,143,21,20200131,1,0,0,0,上海市
177,24,10,1,166,23,20200201,1,0,0,0,上海市
193,16,10,0,182,16,20200202,1,0,0,0,上海市
208,15,10,0,197,15,20200203,1,0,0,0,上海市
233,25,12,2,220,23,20200204,1,0,0,0,上海市
254,21,15,3,238,18,20200205,1,0,0,0,上海市
269,15,25,10,243,5,20200206,1,0,0,0,上海市
281,12,30,5,250,7,20200207,1,0,0,0,上海市
292,11,41,11,250,0,20200208,1,0,0,0,上海市
295,3,44,3,250,0,20200209,1,0,0,0,上海市
302,7,48,4,253,3,20200210,1,0,0,0,上海市
306,4,53,5,252,-1,20200211,1,0,0,0,上海市
313,7,57,4,255,3,20200212,1,0,0,0,上海市
318,5,62,5,255,0,20200213,1,0,0,0,上海市
326,8,90,28,235,-20,20200214,1,0,0,0,上海市
328,2,124,34,203,-32,20200215,1,0,0,0,上海市
331,3,140,16,190,-13,20200216,1,0,0,0,上海市
333,2,161,21,171,-19,20200217,1,0,0,0,上海市
333,0,177,16,155,-16,20200218,1,0,0,0,上海市
333,0,186,9,145,-10,20200219,2,1,0,0,上海市
334,1,199,13,133,-12,20200220,2,0,0,0,上海市
334,0,211,12,120,-13,20200221,3,1,0,0,上海市
335,1,227,16,105,-15,20200222,3,0,0,0,上海市
335,0,249,22,83,-22,20200223,3,0,0,0,上海市
335,0,261,12,71,-12,20200224,3,0,0,0,上海市
336,1,268,7,65,-6,20200225,3,0,0,0,上海市
337,1,272,4,62,-3,20200226,3,0,0,0,上海市
337,0,276,4,58,-4,20200227,3,0,0,0,上海市
337,0,279,3,55,-3,20200228,3,0,0,0,上海市
337,0,287,8,47,-8,20200229,3,0,0,0,上海市
337,0,290,3,44,-3,20200301,3,0,0,0,上海市
338,1,292,2,43,-1,20200302,3,0,0,0,上海市
338,0,294,2,41,-2,20200303,3,0,0,0,上海市
338,0,298,4,37,-4,20200304,3,0,0,0,上海市
339,1,303,5,33,-4,20200305,3,0,0,0,上海市
342,3,306,3,33,0,20200306,3,0,0,0,上海市
342,0,313,7,26,-7,20200307,3,0,0,0,上海市
342,0,314,1,25,-1,20200308,3,0,0,0,上海市
342,0,315,1,24,-1,20200309,3,0,0,0,上海市
344,2,319,4,22,-2,20200310,3,0,0,0,上海市
344,0,320,1,21,-1,20200311,3,0,0,0,上海市
346,2,321,1,22,1,20200312,3,0,0,0,上海市
350,4,324,3,23,1,20200313,3,0,0,0,上海市
353,3,324,0,26,3,20200314,3,0,0,0,上海市
355,2,324,0,28,2,20200315,3,0,0,0,上海市
358,3,325,1,30,2,20200316,3,0,0,0,上海市
361,3,325,0,33,3,20200317,3,0,0,0,上海市
363,2,326,1,34,1,20200318,3,0,0,0,上海市
371,8,326,0,42,8,20200319,3,0,0,0,上海市
380,9,326,0,51,9,20200320,3,0,0,0,上海市
394,14,327,1,63,12,20200321,4,1,0,0,上海市
404,10,328,1,72,9,20200322,4,0,0,0,上海市
413,9,329,1,80,8,20200323,4,0,0,0,上海市
433,20,330,1,98,18,20200324,5,1,19,19,上海市
451,18,330,0,116,18,20200325,5,0,19,0,上海市
468,17,331,1,132,16,20200326,5,0,19,0,上海市
485,17,334,3,146,14,20200327,5,0,19,0,上海市
492,7,334,0,153,7,20200328,5,0,19,0,上海市
498,6,334,0,159,6,20200329,5,0,19,0,上海市
509,11,338,4,166,7,20200330,5,0,19,0,上海市
516,7,341,3,169,3,20200331,6,1,19,0,上海市
522,6,343,2,173,4,20200401,6,0,19,0,上海市
526,4,343,0,177,4,20200402,6,0,0,-19,上海市
529,3,348,5,175,-2,20200403,6,0,0,0,上海市
531,2,356,8,169,-6,20200404,6,0,19,19,上海市
536,5,383,27,147,-22,20200405,6,0,19,0,上海市
538,2,389,6,143,-4,20200406,6,0,19,0,上海市
543,5,406,17,130,-13,20200407,7,1,0,-19,上海市
552,9,417,11,128,-2,20200408,7,0,0,0,上海市
555,3,422,5,126,-2,20200409,7,0,19,19,上海市
555,0,435,13,113,-13,20200410,7,0,19,0,上海市
607,52,438,3,162,49,20200411,7,0,19,0,上海市
618,11,446,8,165,3,20200412,7,0,19,0,上海市
618,0,458,12,153,-12,20200413,7,0,19,0,上海市
622,4,468,10,147,-6,20200414,7,0,19,0,上海市
628,6,485,17,136,-11,20200415,7,0,19,0,上海市
628,0,489,4,132,-4,20200416,7,0,19,0,上海市
628,0,512,23,109,-23,20200417,7,0,19,0,上海市
635,7,516,4,112,3,20200418,7,0,19,0,上海市
638,3,521,5,110,-2,20200419,7,0,19,0,上海市
638,0,530,9,101,-9,20200420,7,0,19,0,上海市
639,1,530,0,102,1,20200421,7,0,300,281,上海市
640,1,532,2,101,-1,20200422,7,0,300,0,上海市
641,1,533,1,101,0,20200423,7,0,300,0,上海市
641,0,547,14,87,-14,20200424,7,0,300,0,上海市
642,1,558,11,77,-10,20200425,7,0,300,0,上海市
642,0,568,10,67,-10,20200426,7,0,300,0,上海市
644,2,581,13,56,-11,20200427,7,0,300,0,上海市
645,1,584,3,54,-2,20200428,7,0,300,0,上海市
647,2,597,13,43,-11,20200429,7,0,300,0,上海市
652,5,599,2,46,3,20200430,7,0,300,0,上海市
652,0,612,13,33,-13,20200501,7,0,300,0,上海市
653,1,613,1,33,0,20200502,7,0,300,0,上海市
655,2,615,2,33,0,20200503,7,0,300,0,上海市
656,1,619,4,30,-3,20200504,7,0,300,0,上海市
656,0,620,1,29,-1,20200505,7,0,300,0,上海市
657,1,620,0,30,1,20200506,7,0,300,0,上海市
657,0,623,3,27,-3,20200507,7,0,300,0,上海市
657,0,623,0,27,0,20200508,7,0,300,0,上海市
659,2,626,3,26,-1,20200509,7,0,300,0,上海市
659,0,627,1,25,-1,20200510,7,0,300,0,上海市
659,0,627,0,25,0,20200511,7,0,300,0,上海市
660,1,631,4,22,-3,20200512,7,0,300,0,上海市
660,0,633,2,20,-2,20200513,7,0,300,0,上海市
660,0,638,5,15,-5,20200514,7,0,300,0,上海市
665,5,640,2,18,3,20200515,7,0,300,0,上海市
665,0,641,1,17,-1,20200516,7,0,300,0,上海市
666,1,641,0,18,1,20200517,7,0,300,0,上海市
