confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,provinceName
5,5,0,0,5,5,20200120,0,0,0,0,北京市
10,5,0,0,10,5,20200121,0,0,0,0,北京市
14,4,0,0,14,4,20200122,0,0,0,0,北京市
26,12,0,0,26,12,20200123,0,0,0,0,北京市
36,10,0,0,36,10,20200124,0,0,0,0,北京市
51,15,2,2,49,13,20200125,0,0,0,0,北京市
68,17,2,0,66,17,20200126,0,0,0,0,北京市
80,12,2,0,77,11,20200127,1,1,0,0,北京市
102,22,4,2,97,20,20200128,1,0,0,0,北京市
114,12,4,0,109,12,20200129,1,0,0,0,北京市
132,18,5,1,126,17,20200130,1,0,0,0,北京市
156,24,5,0,150,24,20200131,1,0,0,0,北京市
183,27,9,4,173,23,20200201,1,0,0,0,北京市
212,29,12,3,199,26,20200202,1,0,0,0,北京市
228,16,23,11,204,5,20200203,1,0,0,0,北京市
253,25,24,1,228,24,20200204,1,0,0,0,北京市
274,21,31,7,242,14,20200205,1,0,0,0,北京市
297,23,33,2,263,21,20200206,1,0,0,0,北京市
315,18,34,1,279,16,20200207,2,1,0,0,北京市
326,11,37,3,287,8,20200208,2,0,0,0,北京市
337,11,44,7,291,4,20200209,2,0,0,0,北京市
342,5,48,4,291,0,20200210,3,1,0,0,北京市
352,10,56,8,293,2,20200211,3,0,0,0,北京市
366,14,68,12,295,2,20200212,3,0,0,0,北京市
372,6,79,11,290,-5,20200213,3,0,0,0,北京市
375,3,97,18,274,-16,20200214,4,1,0,0,北京市
380,5,105,8,271,-3,20200215,4,0,0,0,北京市
381,1,114,9,263,-8,20200216,4,0,0,0,北京市
387,6,122,8,261,-2,20200217,4,0,0,0,北京市
393,6,145,23,244,-17,20200218,4,0,0,0,北京市
395,2,153,8,238,-6,20200219,4,0,0,0,北京市
396,1,169,16,223,-15,20200220,4,0,0,0,北京市
399,3,178,9,217,-6,20200221,4,0,0,0,北京市
399,0,189,11,206,-11,20200222,4,0,0,0,北京市
399,0,198,9,197,-9,20200223,4,0,0,0,北京市
400,1,215,17,181,-16,20200224,4,0,0,0,北京市
400,0,235,20,161,-20,20200225,4,0,0,0,北京市
410,10,248,13,157,-4,20200226,5,1,0,0,北京市
410,0,257,9,146,-11,20200227,7,2,0,0,北京市
410,0,257,0,146,0,20200228,7,0,0,0,北京市
413,3,276,19,129,-17,20200229,8,1,0,0,北京市
414,1,282,6,124,-5,20200301,8,0,0,0,北京市
414,0,288,6,118,-6,20200302,8,0,0,0,北京市
417,3,294,6,115,-3,20200303,8,0,0,0,北京市
418,1,297,3,113,-2,20200304,8,0,0,0,北京市
422,4,298,1,116,3,20200305,8,0,0,0,北京市
426,4,303,5,115,-1,20200306,8,0,0,0,北京市
428,2,308,5,112,-3,20200307,8,0,0,0,北京市
428,0,315,7,105,-7,20200308,8,0,0,0,北京市
429,1,320,5,101,-4,20200309,8,0,0,0,北京市
435,6,326,6,101,0,20200310,8,0,0,0,北京市
435,0,334,8,93,-8,20200311,8,0,0,0,北京市
436,1,342,8,86,-7,20200312,8,0,0,0,北京市
437,1,349,7,80,-6,20200313,8,0,0,0,北京市
442,5,353,4,81,1,20200314,8,0,0,0,北京市
446,4,358,5,80,-1,20200315,8,0,0,0,北京市
455,9,368,10,79,-1,20200316,8,0,0,0,北京市
458,3,373,5,77,-2,20200317,8,0,0,0,北京市
479,21,379,6,92,15,20200318,8,0,0,0,北京市
485,6,384,5,93,1,20200319,8,0,0,0,北京市
499,14,392,8,99,6,20200320,8,0,0,0,北京市
512,13,398,6,106,7,20200321,8,0,0,0,北京市
522,10,400,2,114,8,20200322,8,0,0,0,北京市
554,32,401,1,145,31,20200323,8,0,0,0,北京市
559,5,401,0,150,5,20200324,8,0,1,1,北京市
565,6,403,2,154,4,20200325,8,0,2,1,北京市
569,4,406,3,155,1,20200326,8,0,3,1,北京市
572,3,409,3,155,0,20200327,8,0,3,0,北京市
576,4,411,2,157,2,20200328,8,0,157,154,北京市
577,1,412,1,157,0,20200329,8,0,157,0,北京市
580,3,416,4,156,-1,20200330,8,0,157,0,北京市
580,0,418,2,154,-2,20200331,8,0,164,7,北京市
582,2,424,6,150,-4,20200401,8,0,164,0,北京市
583,1,434,10,141,-9,20200402,8,0,0,-164,北京市
585,2,438,4,139,-2,20200403,8,0,0,0,北京市
586,1,441,3,137,-2,20200404,8,0,164,164,北京市
587,1,443,2,136,-1,20200405,8,0,164,0,北京市
587,0,448,5,131,-5,20200406,8,0,164,0,北京市
