confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,provinceName
2,2,0,0,2,2,20200122,0,0,0,0,广西壮族自治区
13,11,0,0,13,11,20200123,0,0,0,0,广西壮族自治区
23,10,0,0,23,10,20200124,0,0,0,0,广西壮族自治区
33,10,0,0,33,10,20200125,0,0,0,0,广西壮族自治区
46,13,0,0,46,13,20200126,0,0,0,0,广西壮族自治区
51,5,0,0,51,5,20200127,0,0,0,0,广西壮族自治区
58,7,2,2,56,5,20200128,0,0,0,0,广西壮族自治区
78,20,2,0,76,20,20200129,0,0,0,0,广西壮族自治区
87,9,2,0,85,9,20200130,0,0,0,0,广西壮族自治区
100,13,2,0,98,13,20200131,0,0,0,0,广西壮族自治区
111,11,2,0,109,11,20200201,0,0,0,0,广西壮族自治区
127,16,2,0,125,16,20200202,0,0,0,0,广西壮族自治区
139,12,7,5,132,7,20200203,0,0,0,0,广西壮族自治区
150,11,10,3,140,8,20200204,0,0,0,0,广西壮族自治区
168,18,14,4,154,14,20200205,0,0,0,0,广西壮族自治区
172,4,17,3,155,1,20200206,0,0,0,0,广西壮族自治区
183,11,17,0,166,11,20200207,0,0,0,0,广西壮族自治区
195,12,18,1,176,10,20200208,1,1,0,0,广西壮族自治区
210,15,18,0,191,15,20200209,1,0,0,0,广西壮族自治区
215,5,30,12,184,-7,20200210,1,0,0,0,广西壮族自治区
222,7,31,1,190,6,20200211,1,0,0,0,广西壮族自治区
222,0,33,2,187,-3,20200212,2,1,0,0,广西壮族自治区
226,4,35,2,189,2,20200213,2,0,0,0,广西壮族自治区
235,9,40,5,193,4,20200214,2,0,0,0,广西壮族自治区
237,2,46,6,189,-4,20200215,2,0,0,0,广西壮族自治区
238,1,51,5,185,-4,20200216,2,0,0,0,广西壮族自治区
242,4,58,7,182,-3,20200217,2,0,0,0,广西壮族自治区
244,2,76,18,166,-16,20200218,2,0,0,0,广西壮族自治区
245,1,87,11,156,-10,20200219,2,0,0,0,广西壮族自治区
246,1,95,8,149,-7,20200220,2,0,0,0,广西壮族自治区
249,3,99,4,148,-1,20200221,2,0,0,0,广西壮族自治区
249,0,104,5,143,-5,20200222,2,0,0,0,广西壮族自治区
251,2,107,3,142,-1,20200223,2,0,0,0,广西壮族自治区
252,1,129,22,121,-21,20200224,2,0,0,0,广西壮族自治区
252,0,138,9,112,-9,20200225,2,0,0,0,广西壮族自治区
252,0,159,21,91,-21,20200226,2,0,0,0,广西壮族自治区
252,0,166,7,84,-7,20200227,2,0,0,0,广西壮族自治区
252,0,172,6,78,-6,20200228,2,0,0,0,广西壮族自治区
252,0,179,7,71,-7,20200229,2,0,0,0,广西壮族自治区
252,0,188,9,62,-9,20200301,2,0,0,0,广西壮族自治区
252,0,202,14,48,-14,20200302,2,0,0,0,广西壮族自治区
252,0,210,8,40,-8,20200303,2,0,0,0,广西壮族自治区
252,0,213,3,37,-3,20200304,2,0,0,0,广西壮族自治区
252,0,217,4,33,-4,20200305,2,0,0,0,广西壮族自治区
252,0,219,2,31,-2,20200306,2,0,0,0,广西壮族自治区
252,0,223,4,27,-4,20200307,2,0,0,0,广西壮族自治区
252,0,230,7,20,-7,20200308,2,0,0,0,广西壮族自治区
252,0,234,4,16,-4,20200309,2,0,0,0,广西壮族自治区
252,0,237,3,13,-3,20200310,2,0,0,0,广西壮族自治区
252,0,241,4,9,-4,20200311,2,0,0,0,广西壮族自治区
252,0,243,2,7,-2,20200312,2,0,0,0,广西壮族自治区
252,0,243,0,7,0,20200313,2,0,0,0,广西壮族自治区
252,0,243,0,7,0,20200314,2,0,0,0,广西壮族自治区
252,0,247,4,3,-4,20200315,2,0,0,0,广西壮族自治区
253,1,248,1,3,0,20200316,2,0,0,0,广西壮族自治区
253,0,250,2,1,-2,20200317,2,0,0,0,广西壮族自治区
253,0,250,0,1,0,20200318,2,0,0,0,广西壮族自治区
254,1,250,0,2,1,20200319,2,0,0,0,广西壮族自治区
254,0,250,0,2,0,20200320,2,0,0,0,广西壮族自治区
254,0,250,0,2,0,20200321,2,0,0,0,广西壮族自治区
254,0,250,0,2,0,20200322,2,0,0,0,广西壮族自治区
254,0,250,0,2,0,20200323,2,0,0,0,广西壮族自治区
254,0,250,0,2,0,20200324,2,0,0,0,广西壮族自治区
254,0,250,0,2,0,20200325,2,0,0,0,广西壮族自治区
254,0,250,0,2,0,20200326,2,0,0,0,广西壮族自治区
254,0,250,0,2,0,20200327,2,0,0,0,广西壮族自治区
254,0,250,0,2,0,20200328,2,0,0,0,广西壮族自治区
254,0,250,0,2,0,20200329,2,0,0,0,广西壮族自治区
254,0,250,0,2,0,20200330,2,0,0,0,广西壮族自治区
254,0,250,0,2,0,20200331,2,0,0,0,广西壮族自治区
254,0,252,2,0,-2,20200401,2,0,0,0,广西壮族自治区
254,0,252,0,0,0,20200402,2,0,0,0,广西壮族自治区
254,0,252,0,0,0,20200403,2,0,0,0,广西壮族自治区
254,0,252,0,0,0,20200404,2,0,0,0,广西壮族自治区
254,0,252,0,0,0,20200405,2,0,0,0,广西壮族自治区
254,0,252,0,0,0,20200406,2,0,0,0,广西壮族自治区
254,0,252,0,0,0,20200407,2,0,0,0,广西壮族自治区
254,0,252,0,0,0,20200408,2,0,0,0,广西壮族自治区
254,0,252,0,0,0,20200409,2,0,0,0,广西壮族自治区
254,0,252,0,0,0,20200410,2,0,0,0,广西壮族自治区
254,0,252,0,0,0,20200411,2,0,0,0,广西壮族自治区
254,0,252,0,0,0,20200412,2,0,0,0,广西壮族自治区
254,0,252,0,0,0,20200413,2,0,0,0,广西壮族自治区
254,0,252,0,0,0,20200414,2,0,0,0,广西壮族自治区
