confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,provinceName
1,1,0,0,1,1,20200122,0,0,0,0,河北省
2,1,0,0,2,1,20200123,0,0,0,0,河北省
8,6,0,0,7,5,20200124,1,1,0,0,河北省
13,5,0,0,12,5,20200125,1,0,0,0,河北省
18,5,0,0,17,5,20200126,1,0,0,0,河北省
33,15,0,0,32,15,20200127,1,0,0,0,河北省
48,15,0,0,47,15,20200128,1,0,0,0,河北省
65,17,0,0,64,17,20200129,1,0,0,0,河北省
82,17,0,0,81,17,20200130,1,0,0,0,河北省
96,14,0,0,95,14,20200131,1,0,0,0,河北省
104,8,3,3,100,5,20200201,1,0,0,0,河北省
113,9,3,0,109,9,20200202,1,0,0,0,河北省
126,13,3,0,122,13,20200203,1,0,0,0,河北省
135,9,4,1,130,8,20200204,1,0,0,0,河北省
157,22,7,3,149,19,20200205,1,0,0,0,河北省
171,14,16,9,154,5,20200206,1,0,0,0,河北省
195,24,25,9,169,15,20200207,1,0,0,0,河北省
206,11,30,5,174,5,20200208,2,1,0,0,河北省
218,12,35,5,181,7,20200209,2,0,0,0,河北省
239,21,41,6,196,15,20200210,2,0,0,0,河北省
251,12,48,7,201,5,20200211,2,0,0,0,河北省
265,14,54,6,208,7,20200212,3,1,0,0,河北省
283,18,69,15,211,3,20200213,3,0,0,0,河北省
291,8,86,17,202,-9,20200214,3,0,0,0,河北省
300,9,100,14,197,-5,20200215,3,0,0,0,河北省
301,1,109,9,189,-8,20200216,3,0,0,0,河北省
302,1,123,14,175,-14,20200217,4,1,0,0,河北省
306,4,136,13,166,-9,20200218,4,0,0,0,河北省
307,1,152,16,150,-16,20200219,5,1,0,0,河北省
308,1,170,18,133,-17,20200220,5,0,0,0,河北省
309,1,184,14,119,-14,20200221,6,1,0,0,河北省
311,2,204,20,101,-18,20200222,6,0,0,0,河北省
311,0,221,17,84,-17,20200223,6,0,0,0,河北省
311,0,241,20,64,-20,20200224,6,0,0,0,河北省
312,1,248,7,58,-6,20200225,6,0,0,0,河北省
317,5,261,13,50,-8,20200226,6,0,0,0,河北省
318,1,274,13,38,-12,20200227,6,0,0,0,河北省
318,0,277,3,35,-3,20200228,6,0,0,0,河北省
318,0,283,6,29,-6,20200229,6,0,0,0,河北省
318,0,294,11,18,-11,20200301,6,0,0,0,河北省
318,0,297,3,15,-3,20200302,6,0,0,0,河北省
318,0,300,3,12,-3,20200303,6,0,0,0,河北省
318,0,301,1,11,-1,20200304,6,0,0,0,河北省
318,0,304,3,8,-3,20200305,6,0,0,0,河北省
318,0,305,1,7,-1,20200306,6,0,0,0,河北省
318,0,307,2,5,-2,20200307,6,0,0,0,河北省
318,0,307,0,5,0,20200308,6,0,0,0,河北省
318,0,307,0,5,0,20200309,6,0,0,0,河北省
318,0,307,0,5,0,20200310,6,0,0,0,河北省
318,0,307,0,5,0,20200311,6,0,0,0,河北省
318,0,310,3,2,-3,20200312,6,0,0,0,河北省
318,0,310,0,2,0,20200313,6,0,0,0,河北省
318,0,310,0,2,0,20200314,6,0,0,0,河北省
318,0,310,0,2,0,20200315,6,0,0,0,河北省
318,0,310,0,2,0,20200316,6,0,0,0,河北省
318,0,310,0,2,0,20200317,6,0,0,0,河北省
318,0,310,0,2,0,20200318,6,0,0,0,河北省
318,0,310,0,2,0,20200319,6,0,0,0,河北省
318,0,310,0,2,0,20200320,6,0,0,0,河北省
319,1,310,0,3,1,20200321,6,0,0,0,河北省
319,0,310,0,3,0,20200322,6,0,0,0,河北省
319,0,310,0,3,0,20200323,6,0,0,0,河北省
319,0,310,0,3,0,20200324,6,0,0,0,河北省
319,0,310,0,3,0,20200325,6,0,0,0,河北省
319,0,310,0,3,0,20200326,6,0,0,0,河北省
319,0,310,0,3,0,20200327,6,0,0,0,河北省
319,0,310,0,3,0,20200328,6,0,0,0,河北省
321,2,310,0,5,2,20200329,6,0,0,0,河北省
321,0,310,0,5,0,20200330,6,0,0,0,河北省
323,2,310,0,7,2,20200331,6,0,0,0,河北省
325,2,310,0,9,2,20200401,6,0,0,0,河北省
326,1,310,0,10,1,20200402,6,0,0,0,河北省
326,0,310,0,10,0,20200403,6,0,0,0,河北省
327,1,310,0,11,1,20200404,6,0,0,0,河北省
327,0,310,0,11,0,20200405,6,0,0,0,河北省
327,0,312,2,9,-2,20200406,6,0,0,0,河北省
327,0,312,0,9,0,20200407,6,0,0,0,河北省
327,0,313,1,8,-1,20200408,6,0,0,0,河北省
327,0,313,0,8,0,20200409,6,0,0,0,河北省
327,0,313,0,8,0,20200410,6,0,0,0,河北省
327,0,313,0,8,0,20200411,6,0,0,0,河北省
327,0,313,0,8,0,20200412,6,0,0,0,河北省
327,0,314,1,7,-1,20200413,6,0,0,0,河北省
327,0,314,0,7,0,20200414,6,0,0,0,河北省
328,1,315,1,7,0,20200415,6,0,0,0,河北省
328,0,316,1,6,-1,20200416,6,0,0,0,河北省
328,0,316,0,6,0,20200417,6,0,0,0,河北省
328,0,316,0,6,0,20200418,6,0,0,0,河北省
328,0,317,1,5,-1,20200419,6,0,0,0,河北省
328,0,317,0,5,0,20200420,6,0,0,0,河北省
328,0,317,0,5,0,20200421,6,0,0,0,河北省
328,0,317,0,5,0,20200422,6,0,0,0,河北省
328,0,317,0,5,0,20200423,6,0,0,0,河北省
328,0,318,1,4,-1,20200424,6,0,0,0,河北省
328,0,318,0,4,0,20200425,6,0,0,0,河北省
328,0,318,0,4,0,20200426,6,0,0,0,河北省
328,0,318,0,4,0,20200427,6,0,0,0,河北省
328,0,318,0,4,0,20200428,6,0,0,0,河北省
328,0,318,0,4,0,20200429,6,0,0,0,河北省
328,0,318,0,4,0,20200430,6,0,0,0,河北省
328,0,318,0,4,0,20200501,6,0,0,0,河北省
328,0,318,0,4,0,20200502,6,0,0,0,河北省
328,0,318,0,4,0,20200503,6,0,0,0,河北省
328,0,320,2,2,-2,20200504,6,0,0,0,河北省
328,0,320,0,2,0,20200505,6,0,0,0,河北省
328,0,320,0,2,0,20200506,6,0,0,0,河北省
328,0,320,0,2,0,20200507,6,0,0,0,河北省
328,0,320,0,2,0,20200508,6,0,0,0,河北省
328,0,321,1,1,-1,20200509,6,0,0,0,河北省
328,0,321,0,1,0,20200510,6,0,0,0,河北省
328,0,321,0,1,0,20200511,6,0,0,0,河北省
328,0,321,0,1,0,20200512,6,0,0,0,河北省
328,0,321,0,1,0,20200513,6,0,0,0,河北省
328,0,321,0,1,0,20200514,6,0,0,0,河北省
328,0,321,0,1,0,20200515,6,0,0,0,河北省
328,0,321,0,1,0,20200516,6,0,0,0,河北省
328,0,322,1,0,-1,20200517,6,0,0,0,河北省
328,0,322,0,0,0,20200518,6,0,0,0,河北省
328,0,322,0,0,0,20200519,6,0,0,0,河北省
328,0,322,0,0,0,20200520,6,0,0,0,河北省
328,0,322,0,0,0,20200521,6,0,0,0,河北省
328,0,322,0,0,0,20200522,6,0,0,0,河北省
328,0,322,0,0,0,20200523,6,0,0,0,河北省
328,0,322,0,0,0,20200524,6,0,0,0,河北省
328,0,322,0,0,0,20200525,6,0,0,0,河北省
328,0,322,0,0,0,20200526,6,0,0,0,河北省
328,0,322,0,0,0,20200527,6,0,0,0,河北省
328,0,322,0,0,0,20200528,6,0,0,0,河北省
328,0,322,0,0,0,20200529,6,0,0,0,河北省
328,0,322,0,0,0,20200530,6,0,0,0,河北省
328,0,322,0,0,0,20200531,6,0,0,0,河北省
328,0,322,0,0,0,20200601,6,0,0,0,河北省
328,0,322,0,0,0,20200602,6,0,0,0,河北省
328,0,322,0,0,0,20200603,6,0,0,0,河北省
328,0,322,0,0,0,20200604,6,0,0,0,河北省
328,0,322,0,0,0,20200605,6,0,0,0,河北省
328,0,322,0,0,0,20200606,6,0,0,0,河北省
328,0,322,0,0,0,20200607,6,0,0,0,河北省
328,0,322,0,0,0,20200608,6,0,0,0,河北省
328,0,322,0,0,0,20200609,6,0,0,0,河北省
328,0,322,0,0,0,20200610,6,0,0,0,河北省
328,0,322,0,0,0,20200611,6,0,0,0,河北省
328,0,322,0,0,0,20200612,6,0,0,0,河北省
328,0,322,0,0,0,20200613,6,0,0,0,河北省
331,3,322,0,3,3,20200614,6,0,0,0,河北省
335,4,322,0,7,4,20200615,6,0,0,0,河北省
