confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,provinceName
4,4,0,0,4,4,20200122,0,0,0,0,海南省
8,4,0,0,8,4,20200123,0,0,0,0,海南省
17,9,0,0,17,9,20200124,0,0,0,0,海南省
19,2,0,0,19,2,20200125,0,0,0,0,海南省
22,3,0,0,22,3,20200126,0,0,0,0,海南省
33,11,0,0,32,10,20200127,1,1,0,0,海南省
43,10,0,0,42,10,20200128,1,0,0,0,海南省
46,3,1,1,44,2,20200129,1,0,0,0,海南省
49,3,1,0,47,3,20200130,1,0,0,0,海南省
57,8,1,0,55,8,20200131,1,0,0,0,海南省
63,6,1,0,61,6,20200201,1,0,0,0,海南省
70,7,4,3,65,4,20200202,1,0,0,0,海南省
79,9,4,0,74,9,20200203,1,0,0,0,海南省
89,10,4,0,84,10,20200204,1,0,0,0,海南省
100,11,5,1,94,10,20200205,1,0,0,0,海南省
111,11,8,3,101,7,20200206,2,1,0,0,海南省
122,11,11,3,109,8,20200207,2,0,0,0,海南省
128,6,15,4,111,2,20200208,2,0,0,0,海南省
136,8,19,4,114,3,20200209,3,1,0,0,海南省
142,6,19,0,120,6,20200210,3,0,0,0,海南省
145,3,20,1,122,2,20200211,3,0,0,0,海南省
157,12,27,7,126,4,20200212,4,1,0,0,海南省
157,0,30,3,123,-3,20200213,4,0,0,0,海南省
162,5,38,8,120,-3,20200214,4,0,0,0,海南省
162,0,39,1,119,-1,20200215,4,0,0,0,海南省
162,0,52,13,106,-13,20200216,4,0,0,0,海南省
163,1,59,7,100,-6,20200217,4,0,0,0,海南省
163,0,79,20,80,-20,20200218,4,0,0,0,海南省
168,5,84,5,80,0,20200219,4,0,0,0,海南省
168,0,89,5,75,-5,20200220,4,0,0,0,海南省
168,0,96,7,68,-7,20200221,4,0,0,0,海南省
168,0,104,8,60,-8,20200222,4,0,0,0,海南省
168,0,106,2,57,-3,20200223,5,1,0,0,海南省
168,0,116,10,47,-10,20200224,5,0,0,0,海南省
168,0,124,8,39,-8,20200225,5,0,0,0,海南省
168,0,129,5,34,-5,20200226,5,0,0,0,海南省
168,0,132,3,31,-3,20200227,5,0,0,0,海南省
168,0,136,4,27,-4,20200228,5,0,0,0,海南省
168,0,148,12,15,-12,20200229,5,0,0,0,海南省
168,0,151,3,12,-3,20200301,5,0,0,0,海南省
168,0,151,0,12,0,20200302,5,0,0,0,海南省
168,0,155,4,8,-4,20200303,5,0,0,0,海南省
168,0,158,3,5,-3,20200304,5,0,0,0,海南省
168,0,158,0,4,-1,20200305,6,1,0,0,海南省
168,0,158,0,4,0,20200306,6,0,0,0,海南省
168,0,158,0,4,0,20200307,6,0,0,0,海南省
168,0,159,1,3,-1,20200308,6,0,0,0,海南省
168,0,159,0,3,0,20200309,6,0,0,0,海南省
168,0,159,0,3,0,20200310,6,0,0,0,海南省
168,0,159,0,3,0,20200311,6,0,0,0,海南省
