confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,provinceName
270,270,25,25,239,239,20200120,6,6,0,0,湖北省
375,105,28,3,338,99,20200121,9,3,0,0,湖北省
444,69,28,0,399,61,20200122,17,8,0,0,湖北省
549,105,31,3,494,95,20200123,24,7,0,0,湖北省
729,180,32,1,658,164,20200124,39,15,0,0,湖北省
1052,323,42,10,958,300,20200125,52,13,0,0,湖北省
1423,371,44,2,1303,345,20200126,76,24,0,0,湖北省
2714,1291,47,3,2567,1264,20200127,100,24,0,0,湖北省
3554,840,80,33,3349,782,20200128,125,25,0,0,湖北省
4586,1032,90,10,4334,985,20200129,162,37,0,0,湖北省
5806,1220,116,26,5486,1152,20200130,204,42,0,0,湖北省
7153,1347,166,50,6738,1252,20200131,249,45,0,0,湖北省
9074,1921,215,49,8565,1827,20200201,294,45,0,0,湖北省
11177,2103,295,80,10532,1967,20200202,350,56,0,0,湖北省
13522,2345,396,101,12712,2180,20200203,414,64,0,0,湖北省
16678,3156,520,124,15679,2967,20200204,479,65,0,0,湖北省
19665,2987,633,113,18483,2804,20200205,549,70,0,0,湖北省
22112,2447,817,184,20677,2194,20200206,618,69,0,0,湖北省
24953,2841,1115,298,23139,2462,20200207,699,81,0,0,湖北省
27100,2147,1439,324,24881,1742,20200208,780,81,0,0,湖北省
29631,2531,1795,356,26965,2084,20200209,871,91,0,0,湖北省
31728,2097,2222,427,28532,1567,20200210,974,103,0,0,湖北省
33366,1638,2639,417,29659,1127,20200211,1068,94,0,0,湖北省
48206,14840,3441,802,43455,13796,20200212,1310,242,0,0,湖北省
51986,3780,4131,690,46429,2974,20200213,1426,116,0,0,湖北省
54406,2420,4774,643,48175,1746,20200214,1457,31,0,0,湖北省
56249,1843,5623,849,49030,855,20200215,1596,139,0,0,湖北省
58182,1933,6639,1016,49847,817,20200216,1696,100,0,0,湖北省
