confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,provinceName
24,24,0,0,24,24,20200123,0,0,0,0,湖南省
43,19,0,0,43,19,20200124,0,0,0,0,湖南省
69,26,0,0,69,26,20200125,0,0,0,0,湖南省
100,31,0,0,100,31,20200126,0,0,0,0,湖南省
143,43,0,0,143,43,20200127,0,0,0,0,湖南省
221,78,0,0,221,78,20200128,0,0,0,0,湖南省
277,56,0,0,277,56,20200129,0,0,0,0,湖南省
332,55,2,2,330,53,20200130,0,0,0,0,湖南省
389,57,3,1,386,56,20200131,0,0,0,0,湖南省
463,74,8,5,455,69,20200201,0,0,0,0,湖南省
521,58,16,8,505,50,20200202,0,0,0,0,湖南省
593,72,22,6,571,66,20200203,0,0,0,0,湖南省
661,68,35,13,626,55,20200204,0,0,0,0,湖南省
711,50,56,21,655,29,20200205,0,0,0,0,湖南省
772,61,91,35,681,26,20200206,0,0,0,0,湖南省
803,31,119,28,684,3,20200207,0,0,0,0,湖南省
838,35,159,40,678,-6,20200208,1,1,0,0,湖南省
879,41,186,27,692,14,20200209,1,0,0,0,湖南省
912,33,213,27,698,6,20200210,1,0,0,0,湖南省
946,34,263,50,681,-17,20200211,2,1,0,0,湖南省
968,22,312,49,654,-27,20200212,2,0,0,0,湖南省
988,20,352,40,634,-20,20200213,2,0,0,0,湖南省
1001,13,389,37,610,-24,20200214,2,0,0,0,湖南省
1004,3,430,41,571,-39,20200215,3,1,0,0,湖南省
1006,2,467,37,536,-35,20200216,3,0,0,0,湖南省
1007,1,501,34,502,-34,20200217,4,1,0,0,湖南省
1008,1,542,41,462,-40,20200218,4,0,0,0,湖南省
1010,2,578,36,428,-34,20200219,4,0,0,0,湖南省
1011,1,638,60,369,-59,20200220,4,0,0,0,湖南省
1013,2,670,32,339,-30,20200221,4,0,0,0,湖南省
1016,3,704,34,308,-31,20200222,4,0,0,0,湖南省
1016,0,721,17,291,-17,20200223,4,0,0,0,湖南省
1016,0,751,30,261,-30,20200224,4,0,0,0,湖南省
1016,0,779,28,233,-28,20200225,4,0,0,0,湖南省
1017,1,793,14,220,-13,20200226,4,0,0,0,湖南省
1017,0,820,27,193,-27,20200227,4,0,0,0,湖南省
1018,1,841,21,173,-20,20200228,4,0,0,0,湖南省
1018,0,853,12,161,-12,20200229,4,0,0,0,湖南省
1018,0,876,23,138,-23,20200301,4,0,0,0,湖南省
1018,0,892,16,122,-16,20200302,4,0,0,0,湖南省
1018,0,913,21,101,-21,20200303,4,0,0,0,湖南省
1018,0,933,20,81,-20,20200304,4,0,0,0,湖南省
