confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,provinceName
1,1,0,0,1,1,20200122,0,0,0,0,澳门
2,1,0,0,2,1,20200123,0,0,0,0,澳门
2,0,0,0,2,0,20200124,0,0,0,0,澳门
2,0,0,0,2,0,20200125,0,0,0,0,澳门
5,3,0,0,5,3,20200126,0,0,0,0,澳门
7,2,0,0,7,2,20200127,0,0,0,0,澳门
7,0,0,0,7,0,20200128,0,0,0,0,澳门
7,0,0,0,7,0,20200129,0,0,0,0,澳门
7,0,0,0,7,0,20200130,0,0,0,0,澳门
7,0,0,0,7,0,20200131,0,0,0,0,澳门
7,0,0,0,7,0,20200201,0,0,0,0,澳门
8,1,0,0,8,1,20200202,0,0,0,0,澳门
8,0,0,0,8,0,20200203,0,0,0,0,澳门
10,2,0,0,10,2,20200204,0,0,0,0,澳门
10,0,0,0,10,0,20200205,0,0,0,0,澳门
10,0,1,1,9,-1,20200206,0,0,0,0,澳门
10,0,1,0,9,0,20200207,0,0,0,0,澳门
10,0,1,0,9,0,20200208,0,0,0,0,澳门
10,0,1,0,9,0,20200209,0,0,0,0,澳门
10,0,1,0,9,0,20200210,0,0,0,0,澳门
10,0,1,0,9,0,20200211,0,0,0,0,澳门
10,0,2,1,8,-1,20200212,0,0,0,0,澳门
10,0,3,1,7,-1,20200213,0,0,0,0,澳门
10,0,3,0,7,0,20200214,0,0,0,0,澳门
10,0,3,0,7,0,20200215,0,0,0,0,澳门
10,0,5,2,5,-2,20200216,0,0,0,0,澳门
10,0,5,0,5,0,20200217,0,0,0,0,澳门
10,0,5,0,5,0,20200218,0,0,0,0,澳门
10,0,6,1,4,-1,20200219,0,0,0,0,澳门
10,0,6,0,4,0,20200220,0,0,0,0,澳门
10,0,6,0,4,0,20200221,0,0,0,0,澳门
10,0,6,0,4,0,20200222,0,0,0,0,澳门
10,0,6,0,4,0,20200223,0,0,0,0,澳门
10,0,6,0,4,0,20200224,0,0,0,0,澳门
10,0,7,1,3,-1,20200225,0,0,0,0,澳门
10,0,7,0,3,0,20200226,0,0,0,0,澳门
10,0,8,1,2,-1,20200227,0,0,0,0,澳门
10,0,8,0,2,0,20200228,0,0,0,0,澳门
10,0,8,0,2,0,20200229,0,0,0,0,澳门
10,0,8,0,2,0,20200301,0,0,0,0,澳门
10,0,8,0,2,0,20200302,0,0,0,0,澳门
10,0,9,1,1,-1,20200303,0,0,0,0,澳门
10,0,9,0,1,0,20200304,0,0,0,0,澳门
10,0,9,0,1,0,20200305,0,0,0,0,澳门
10,0,10,1,0,-1,20200306,0,0,0,0,澳门
10,0,10,0,0,0,20200307,0,0,0,0,澳门
10,0,10,0,0,0,20200308,0,0,0,0,澳门
10,0,10,0,0,0,20200309,0,0,0,0,澳门
10,0,10,0,0,0,20200310,0,0,0,0,澳门
10,0,10,0,0,0,20200311,0,0,0,0,澳门
10,0,10,0,0,0,20200312,0,0,0,0,澳门
10,0,10,0,0,0,20200313,0,0,0,0,澳门
10,0,10,0,0,0,20200314,0,0,0,0,澳门
11,1,10,0,1,1,20200315,0,0,0,0,澳门
11,0,10,0,1,0,20200316,0,0,0,0,澳门
13,2,10,0,3,2,20200317,0,0,0,0,澳门
17,4,10,0,7,4,20200318,0,0,0,0,澳门
17,0,10,0,7,0,20200319,0,0,0,0,澳门
17,0,10,0,7,0,20200320,0,0,0,0,澳门
18,1,10,0,8,1,20200321,0,0,0,0,澳门
21,3,10,0,11,3,20200322,0,0,0,0,澳门
25,4,10,0,15,4,20200323,0,0,0,0,澳门
26,1,10,0,16,1,20200324,0,0,0,0,澳门
30,4,10,0,20,4,20200325,0,0,4,4,澳门
33,3,10,0,23,3,20200326,0,0,4,0,澳门
34,1,10,0,24,1,20200327,0,0,4,0,澳门
37,3,10,0,27,3,20200328,0,0,7,3,澳门
38,1,10,0,28,1,20200329,0,0,7,0,澳门
39,1,10,0,29,1,20200330,0,0,7,0,澳门
41,2,10,0,31,2,20200331,0,0,9,2,澳门
41,0,10,0,31,0,20200401,0,0,9,0,澳门
41,0,10,0,31,0,20200402,0,0,0,-9,澳门
43,2,10,0,33,2,20200403,0,0,0,0,澳门
44,1,10,0,34,1,20200404,0,0,9,9,澳门
44,0,10,0,34,0,20200405,0,0,9,0,澳门
44,0,10,0,34,0,20200406,0,0,9,0,澳门
44,0,10,0,34,0,20200407,0,0,0,-9,澳门
45,1,10,0,35,1,20200408,0,0,0,0,澳门
45,0,10,0,35,0,20200409,0,0,9,9,澳门
45,0,10,0,35,0,20200410,0,0,9,0,澳门
45,0,10,0,35,0,20200411,0,0,9,0,澳门
45,0,13,3,32,-3,20200412,0,0,9,0,澳门
45,0,13,0,32,0,20200413,0,0,9,0,澳门
45,0,15,2,30,-2,20200414,0,0,9,0,澳门
45,0,16,1,29,-1,20200415,0,0,9,0,澳门
45,0,16,0,29,0,20200416,0,0,9,0,澳门
45,0,17,1,28,-1,20200417,0,0,9,0,澳门
45,0,17,0,28,0,20200418,0,0,9,0,澳门
45,0,20,3,25,-3,20200419,0,0,9,0,澳门
45,0,22,2,23,-2,20200420,0,0,9,0,澳门
45,0,24,2,21,-2,20200421,0,0,9,0,澳门
45,0,26,2,19,-2,20200422,0,0,9,0,澳门
45,0,27,1,18,-1,20200423,0,0,9,0,澳门
45,0,27,0,18,0,20200424,0,0,9,0,澳门
