confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,provinceName
5,5,0,0,5,5,20200121,0,0,0,0,重庆市
9,4,0,0,9,4,20200122,0,0,0,0,重庆市
27,18,0,0,27,18,20200123,0,0,0,0,重庆市
57,30,0,0,57,30,20200124,0,0,0,0,重庆市
75,18,0,0,75,18,20200125,0,0,0,0,重庆市
110,35,0,0,110,35,20200126,0,0,0,0,重庆市
132,22,0,0,132,22,20200127,0,0,0,0,重庆市
147,15,0,0,147,15,20200128,0,0,0,0,重庆市
165,18,1,1,164,17,20200129,0,0,0,0,重庆市
206,41,1,0,205,41,20200130,0,0,0,0,重庆市
238,32,1,0,236,31,20200131,1,1,0,0,重庆市
262,24,3,2,258,22,20200201,1,0,0,0,重庆市
300,38,7,4,291,33,20200202,2,1,0,0,重庆市
337,37,9,2,326,35,20200203,2,0,0,0,重庆市
366,29,14,5,350,24,20200204,2,0,0,0,重庆市
389,23,15,1,372,22,20200205,2,0,0,0,重庆市
411,22,24,9,385,13,20200206,2,0,0,0,重庆市
426,15,31,7,393,8,20200207,2,0,0,0,重庆市
446,20,39,8,405,12,20200208,2,0,0,0,重庆市
468,22,51,12,415,10,20200209,2,0,0,0,重庆市
486,18,66,15,418,3,20200210,2,0,0,0,重庆市
505,19,79,13,423,5,20200211,3,1,0,0,重庆市
518,13,102,23,413,-10,20200212,3,0,0,0,重庆市
529,11,128,26,397,-16,20200213,4,1,0,0,重庆市
537,8,152,24,380,-17,20200214,5,1,0,0,重庆市
544,7,184,32,355,-25,20200215,5,0,0,0,重庆市
551,7,207,23,339,-16,20200216,5,0,0,0,重庆市
553,2,225,18,323,-16,20200217,5,0,0,0,重庆市
555,2,254,29,296,-27,20200218,5,0,0,0,重庆市
560,5,274,20,281,-15,20200219,5,0,0,0,重庆市
567,7,299,25,262,-19,20200220,6,1,0,0,重庆市
572,5,316,17,250,-12,20200221,6,0,0,0,重庆市
573,1,328,12,239,-11,20200222,6,0,0,0,重庆市
575,2,335,7,234,-5,20200223,6,0,0,0,重庆市
576,1,349,14,221,-13,20200224,6,0,0,0,重庆市
576,0,372,23,198,-23,20200225,6,0,0,0,重庆市
576,0,384,12,186,-12,20200226,6,0,0,0,重庆市
576,0,401,17,169,-17,20200227,6,0,0,0,重庆市
576,0,422,21,148,-21,20200228,6,0,0,0,重庆市
576,0,438,16,132,-16,20200229,6,0,0,0,重庆市
576,0,450,12,120,-12,20200301,6,0,0,0,重庆市
576,0,469,19,101,-19,20200302,6,0,0,0,重庆市
576,0,490,21,80,-21,20200303,6,0,0,0,重庆市
576,0,502,12,68,-12,20200304,6,0,0,0,重庆市
576,0,512,10,58,-10,20200305,6,0,0,0,重庆市
576,0,520,8,50,-8,20200306,6,0,0,0,重庆市
576,0,526,6,44,-6,20200307,6,0,0,0,重庆市
576,0,527,1,43,-1,20200308,6,0,0,0,重庆市
576,0,542,15,28,-15,20200309,6,0,0,0,重庆市
