confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200225,0,0,0,0,Afghanistan,阿富汗
1,0,0,0,1,0,20200226,0,0,0,0,Afghanistan,阿富汗
1,0,0,0,1,0,20200227,0,0,0,0,Afghanistan,阿富汗
1,0,0,0,1,0,20200228,0,0,0,0,Afghanistan,阿富汗
1,0,0,0,1,0,20200229,0,0,0,0,Afghanistan,阿富汗
1,0,0,0,1,0,20200301,0,0,0,0,Afghanistan,阿富汗
1,0,0,0,1,0,20200302,0,0,0,0,Afghanistan,阿富汗
1,0,0,0,1,0,20200303,0,0,0,0,Afghanistan,阿富汗
1,0,0,0,1,0,20200304,0,0,0,0,Afghanistan,阿富汗
1,0,0,0,1,0,20200305,0,0,0,0,Afghanistan,阿富汗
1,0,0,0,1,0,20200306,0,0,0,0,Afghanistan,阿富汗
1,0,0,0,1,0,20200307,0,0,0,0,Afghanistan,阿富汗
4,3,0,0,4,3,20200308,0,0,0,0,Afghanistan,阿富汗
4,0,0,0,4,0,20200309,0,0,0,0,Afghanistan,阿富汗
4,0,0,0,4,0,20200310,0,0,0,0,Afghanistan,阿富汗
4,0,0,0,4,0,20200311,0,0,0,0,Afghanistan,阿富汗
7,3,0,0,7,3,20200312,0,0,0,0,Afghanistan,阿富汗
7,0,0,0,7,0,20200313,0,0,0,0,Afghanistan,阿富汗
7,0,0,0,7,0,20200314,0,0,0,0,Afghanistan,阿富汗
10,3,0,0,10,3,20200315,0,0,0,0,Afghanistan,阿富汗
16,6,0,0,16,6,20200316,0,0,0,0,Afghanistan,阿富汗
21,5,0,0,21,5,20200317,0,0,0,0,Afghanistan,阿富汗
22,1,0,0,22,1,20200318,0,0,0,0,Afghanistan,阿富汗
22,0,0,0,22,0,20200319,0,0,0,0,Afghanistan,阿富汗
24,2,0,0,24,2,20200320,0,0,0,0,Afghanistan,阿富汗
24,0,0,0,24,0,20200321,0,0,0,0,Afghanistan,阿富汗
40,16,0,0,40,16,20200322,0,0,0,0,Afghanistan,阿富汗
42,2,0,0,41,1,20200323,1,1,0,0,Afghanistan,阿富汗
74,32,0,0,73,32,20200324,1,0,0,0,Afghanistan,阿富汗
84,10,0,0,82,9,20200325,2,1,0,0,Afghanistan,阿富汗
94,10,0,0,92,10,20200326,2,0,0,0,Afghanistan,阿富汗
110,16,0,0,108,16,20200327,2,0,0,0,Afghanistan,阿富汗
117,7,0,0,115,7,20200328,2,0,0,0,Afghanistan,阿富汗
123,6,0,0,119,4,20200329,4,2,0,0,Afghanistan,阿富汗
145,22,0,0,141,22,20200330,4,0,0,0,Afghanistan,阿富汗
174,29,0,0,170,29,20200331,4,0,0,0,Afghanistan,阿富汗
239,65,0,0,234,64,20200401,5,1,0,0,Afghanistan,阿富汗
239,0,0,0,234,0,20200402,5,0,0,0,Afghanistan,阿富汗
269,30,0,0,264,30,20200403,5,0,0,0,Afghanistan,阿富汗
299,30,0,0,294,30,20200404,5,0,0,0,Afghanistan,阿富汗
337,38,0,0,330,36,20200405,7,2,0,0,Afghanistan,阿富汗
367,30,0,0,360,30,20200406,7,0,0,0,Afghanistan,阿富汗
423,56,0,0,412,52,20200407,11,4,0,0,Afghanistan,阿富汗
444,21,0,0,430,18,20200408,14,3,0,0,Afghanistan,阿富汗
484,40,31,31,438,8,20200409,15,1,0,0,Afghanistan,阿富汗
521,37,32,1,474,36,20200410,15,0,0,0,Afghanistan,阿富汗
555,34,32,0,508,34,20200411,15,0,0,0,Afghanistan,阿富汗
607,52,38,6,550,42,20200412,19,4,0,0,Afghanistan,阿富汗
665,58,38,0,606,56,20200413,21,2,0,0,Afghanistan,阿富汗
714,49,40,2,651,45,20200414,23,2,0,0,Afghanistan,阿富汗
784,70,40,0,719,68,20200415,25,2,0,0,Afghanistan,阿富汗
794,10,40,0,725,6,20200416,29,4,0,0,Afghanistan,阿富汗
845,51,40,0,775,50,20200417,30,1,0,0,Afghanistan,阿富汗
933,88,112,72,791,16,20200418,30,0,0,0,Afghanistan,阿富汗
993,60,131,19,830,39,20200419,32,2,0,0,Afghanistan,阿富汗
1026,33,135,4,856,26,20200420,35,3,0,0,Afghanistan,阿富汗
1092,66,135,0,921,65,20200421,36,1,0,0,Afghanistan,阿富汗
1143,51,135,0,972,51,20200422,36,0,0,0,Afghanistan,阿富汗
1226,83,135,0,1051,79,20200423,40,4,0,0,Afghanistan,阿富汗
1330,104,188,53,1099,48,20200424,43,3,0,0,Afghanistan,阿富汗
1463,133,188,0,1231,132,20200425,44,1,0,0,Afghanistan,阿富汗
1531,68,206,18,1276,45,20200426,49,5,0,0,Afghanistan,阿富汗
1531,0,206,0,1275,-1,20200427,50,1,0,0,Afghanistan,阿富汗
1828,297,228,22,1540,265,20200428,60,10,0,0,Afghanistan,阿富汗
1938,110,231,3,1647,107,20200429,60,0,0,0,Afghanistan,阿富汗
2171,233,252,21,1859,212,20200430,60,0,0,0,Afghanistan,阿富汗
2335,164,310,58,1957,98,20200501,68,8,0,0,Afghanistan,阿富汗
2469,134,310,0,2087,130,20200502,72,4,0,0,Afghanistan,阿富汗
2704,235,345,35,2274,187,20200503,85,13,0,0,Afghanistan,阿富汗
2704,0,345,0,2274,0,20200504,85,0,0,0,Afghanistan,阿富汗
3224,520,421,76,2708,434,20200505,95,10,0,0,Afghanistan,阿富汗
3392,168,458,37,2830,122,20200506,104,9,0,0,Afghanistan,阿富汗
3563,171,468,10,2989,159,20200507,106,2,0,0,Afghanistan,阿富汗
3778,215,472,4,3197,208,20200508,109,3,0,0,Afghanistan,阿富汗
4033,255,502,30,3416,219,20200509,115,6,0,0,Afghanistan,阿富汗
4402,369,558,56,3724,308,20200510,120,5,0,0,Afghanistan,阿富汗
4687,285,574,16,3991,267,20200511,122,2,0,0,Afghanistan,阿富汗
4967,280,574,0,4266,275,20200512,127,5,0,0,Afghanistan,阿富汗
5226,259,648,74,4446,180,20200513,132,5,0,0,Afghanistan,阿富汗
5639,413,691,43,4812,366,20200514,136,4,0,0,Afghanistan,阿富汗
6053,414,745,54,5155,343,20200515,153,17,0,0,Afghanistan,阿富汗
6402,349,745,0,5489,334,20200516,168,15,0,0,Afghanistan,阿富汗
6664,262,784,39,5711,222,20200517,169,1,0,0,Afghanistan,阿富汗
7072,408,801,17,6098,387,20200518,173,4,0,0,Afghanistan,阿富汗
7653,581,850,49,6625,527,20200519,178,5,0,0,Afghanistan,阿富汗
8145,492,930,80,7028,403,20200520,187,9,0,0,Afghanistan,阿富汗
8676,531,930,0,7553,525,20200521,193,6,0,0,Afghanistan,阿富汗
9216,540,938,8,8073,520,20200522,205,12,0,0,Afghanistan,阿富汗
9998,782,1040,102,8742,669,20200523,216,11,0,0,Afghanistan,阿富汗
10582,584,1075,35,9289,547,20200524,218,2,0,0,Afghanistan,阿富汗
11173,591,1097,22,9857,568,20200525,219,1,0,0,Afghanistan,阿富汗
11831,658,1128,31,10483,626,20200526,220,1,0,0,Afghanistan,阿富汗
12379,548,1128,0,11025,542,20200527,226,6,0,0,Afghanistan,阿富汗
13016,637,1128,0,11653,628,20200528,235,9,0,0,Afghanistan,阿富汗
13659,643,1259,131,12154,501,20200529,246,11,0,0,Afghanistan,阿富汗
14525,866,1303,44,12973,819,20200530,249,3,0,0,Afghanistan,阿富汗
