confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200226,0,0,0,0,Algeria,阿尔及利亚
1,0,0,0,1,0,20200227,0,0,0,0,Algeria,阿尔及利亚
1,0,0,0,1,0,20200228,0,0,0,0,Algeria,阿尔及利亚
1,0,0,0,1,0,20200229,0,0,0,0,Algeria,阿尔及利亚
1,0,0,0,1,0,20200301,0,0,0,0,Algeria,阿尔及利亚
1,0,0,0,1,0,20200302,0,0,0,0,Algeria,阿尔及利亚
5,4,0,0,5,4,20200303,0,0,0,0,Algeria,阿尔及利亚
5,0,0,0,5,0,20200304,0,0,0,0,Algeria,阿尔及利亚
12,7,0,0,12,7,20200305,0,0,0,0,Algeria,阿尔及利亚
12,0,0,0,12,0,20200306,0,0,0,0,Algeria,阿尔及利亚
17,5,0,0,17,5,20200307,0,0,0,0,Algeria,阿尔及利亚
17,0,0,0,17,0,20200308,0,0,0,0,Algeria,阿尔及利亚
20,3,0,0,20,3,20200309,0,0,0,0,Algeria,阿尔及利亚
20,0,0,0,20,0,20200310,0,0,0,0,Algeria,阿尔及利亚
20,0,0,0,20,0,20200311,0,0,0,0,Algeria,阿尔及利亚
25,5,0,0,24,4,20200312,1,1,0,0,Algeria,阿尔及利亚
25,0,0,0,24,0,20200313,1,0,0,0,Algeria,阿尔及利亚
26,1,0,0,24,0,20200314,2,1,0,0,Algeria,阿尔及利亚
37,11,10,10,24,0,20200315,3,1,0,0,Algeria,阿尔及利亚
49,12,10,0,36,12,20200316,3,0,0,0,Algeria,阿尔及利亚
60,11,10,0,46,10,20200317,4,1,0,0,Algeria,阿尔及利亚
60,0,10,0,46,0,20200318,4,0,0,0,Algeria,阿尔及利亚
90,30,12,2,73,27,20200319,5,1,0,0,Algeria,阿尔及利亚
90,0,12,0,71,-2,20200320,7,2,0,0,Algeria,阿尔及利亚
139,49,12,0,112,41,20200321,15,8,0,0,Algeria,阿尔及利亚
201,62,12,0,172,60,20200322,17,2,0,0,Algeria,阿尔及利亚
230,29,12,0,201,29,20200323,17,0,0,0,Algeria,阿尔及利亚
264,34,12,0,233,32,20200324,19,2,0,0,Algeria,阿尔及利亚
302,38,12,0,269,36,20200325,21,2,0,0,Algeria,阿尔及利亚
367,65,12,0,330,61,20200326,25,4,0,0,Algeria,阿尔及利亚
