confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200303,0,0,0,0,Andorra,安道尔
1,0,0,0,1,0,20200304,0,0,0,0,Andorra,安道尔
1,0,0,0,1,0,20200305,0,0,0,0,Andorra,安道尔
1,0,0,0,1,0,20200306,0,0,0,0,Andorra,安道尔
1,0,0,0,1,0,20200307,0,0,0,0,Andorra,安道尔
1,0,0,0,1,0,20200308,0,0,0,0,Andorra,安道尔
1,0,0,0,1,0,20200309,0,0,0,0,Andorra,安道尔
1,0,0,0,1,0,20200310,0,0,0,0,Andorra,安道尔
1,0,0,0,1,0,20200311,0,0,0,0,Andorra,安道尔
1,0,0,0,1,0,20200312,0,0,0,0,Andorra,安道尔
1,0,0,0,1,0,20200313,0,0,0,0,Andorra,安道尔
2,1,0,0,2,1,20200314,0,0,0,0,Andorra,安道尔
2,0,1,1,1,-1,20200315,0,0,0,0,Andorra,安道尔
2,0,1,0,1,0,20200316,0,0,0,0,Andorra,安道尔
14,12,1,0,13,12,20200317,0,0,0,0,Andorra,安道尔
16,2,1,0,15,2,20200318,0,0,0,0,Andorra,安道尔
75,59,1,0,74,59,20200319,0,0,0,0,Andorra,安道尔
75,0,1,0,74,0,20200320,0,0,0,0,Andorra,安道尔
88,13,1,0,87,13,20200321,0,0,0,0,Andorra,安道尔
114,26,1,0,112,25,20200322,1,1,0,0,Andorra,安道尔
133,19,1,0,131,19,20200323,1,0,0,0,Andorra,安道尔
164,31,1,0,162,31,20200324,1,0,0,0,Andorra,安道尔
188,24,1,0,186,24,20200325,1,0,0,0,Andorra,安道尔
220,32,1,0,216,30,20200326,3,2,0,0,Andorra,安道尔
263,43,1,0,259,43,20200327,3,0,0,0,Andorra,安道尔
308,45,5,4,300,41,20200328,3,0,0,0,Andorra,安道尔
334,26,6,1,322,22,20200329,6,3,0,0,Andorra,安道尔
370,36,10,4,352,30,20200330,8,2,0,0,Andorra,安道尔
376,6,10,0,354,2,20200331,12,4,0,0,Andorra,安道尔
390,14,11,1,365,11,20200401,14,2,0,0,Andorra,安道尔
428,38,14,3,399,34,20200402,15,1,0,0,Andorra,安道尔
439,11,16,2,407,8,20200403,16,1,0,0,Andorra,安道尔
466,27,21,5,428,21,20200404,17,1,0,0,Andorra,安道尔
501,35,26,5,457,29,20200405,18,1,0,0,Andorra,安道尔
