confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200321,0,0,0,0,Angola,安哥拉
2,0,0,0,2,0,20200322,0,0,0,0,Angola,安哥拉
3,1,0,0,3,1,20200323,0,0,0,0,Angola,安哥拉
3,0,0,0,3,0,20200324,0,0,0,0,Angola,安哥拉
3,0,0,0,3,0,20200325,0,0,0,0,Angola,安哥拉
3,0,0,0,3,0,20200326,0,0,0,0,Angola,安哥拉
4,1,0,0,4,1,20200327,0,0,0,0,Angola,安哥拉
5,1,0,0,5,1,20200328,0,0,0,0,Angola,安哥拉
7,2,0,0,5,0,20200329,2,2,0,0,Angola,安哥拉
7,0,0,0,5,0,20200330,2,0,0,0,Angola,安哥拉
7,0,0,0,5,0,20200331,2,0,0,0,Angola,安哥拉
8,1,1,1,5,0,20200401,2,0,0,0,Angola,安哥拉
8,0,1,0,5,0,20200402,2,0,0,0,Angola,安哥拉
8,0,1,0,5,0,20200403,2,0,0,0,Angola,安哥拉
10,2,2,1,6,1,20200404,2,0,0,0,Angola,安哥拉
14,4,2,0,10,4,20200405,2,0,0,0,Angola,安哥拉
16,2,2,0,12,2,20200406,2,0,0,0,Angola,安哥拉
17,1,2,0,13,1,20200407,2,0,0,0,Angola,安哥拉
19,2,2,0,15,2,20200408,2,0,0,0,Angola,安哥拉
19,0,2,0,15,0,20200409,2,0,0,0,Angola,安哥拉
19,0,2,0,15,0,20200410,2,0,0,0,Angola,安哥拉
19,0,2,0,15,0,20200411,2,0,0,0,Angola,安哥拉
19,0,4,2,13,-2,20200412,2,0,0,0,Angola,安哥拉
19,0,4,0,13,0,20200413,2,0,0,0,Angola,安哥拉
19,0,5,1,12,-1,20200414,2,0,0,0,Angola,安哥拉
19,0,5,0,12,0,20200415,2,0,0,0,Angola,安哥拉
19,0,5,0,12,0,20200416,2,0,0,0,Angola,安哥拉
19,0,5,0,12,0,20200417,2,0,0,0,Angola,安哥拉
24,5,6,1,16,4,20200418,2,0,0,0,Angola,安哥拉
24,0,6,0,16,0,20200419,2,0,0,0,Angola,安哥拉
24,0,6,0,16,0,20200420,2,0,0,0,Angola,安哥拉
24,0,6,0,16,0,20200421,2,0,0,0,Angola,安哥拉
24,0,6,0,16,0,20200422,2,0,0,0,Angola,安哥拉
24,0,6,0,16,0,20200423,2,0,0,0,Angola,安哥拉
25,1,6,0,17,1,20200424,2,0,0,0,Angola,安哥拉
25,0,6,0,17,0,20200425,2,0,0,0,Angola,安哥拉
25,0,6,0,17,0,20200426,2,0,0,0,Angola,安哥拉
26,1,6,0,18,1,20200427,2,0,0,0,Angola,安哥拉
27,1,6,0,19,1,20200428,2,0,0,0,Angola,安哥拉
27,0,6,0,19,0,20200429,2,0,0,0,Angola,安哥拉
27,0,6,0,19,0,20200430,2,0,0,0,Angola,安哥拉
30,3,11,5,17,-2,20200501,2,0,0,0,Angola,安哥拉
35,5,11,0,22,5,20200502,2,0,0,0,Angola,安哥拉
35,0,11,0,22,0,20200503,2,0,0,0,Angola,安哥拉
35,0,11,0,22,0,20200504,2,0,0,0,Angola,安哥拉
35,0,11,0,22,0,20200505,2,0,0,0,Angola,安哥拉
36,1,11,0,23,1,20200506,2,0,0,0,Angola,安哥拉
36,0,11,0,23,0,20200507,2,0,0,0,Angola,安哥拉
36,0,11,0,23,0,20200508,2,0,0,0,Angola,安哥拉
36,0,11,0,23,0,20200509,2,0,0,0,Angola,安哥拉
43,7,11,0,30,7,20200510,2,0,0,0,Angola,安哥拉
45,2,11,0,32,2,20200511,2,0,0,0,Angola,安哥拉
45,0,11,0,32,0,20200512,2,0,0,0,Angola,安哥拉
45,0,11,0,32,0,20200513,2,0,0,0,Angola,安哥拉
45,0,11,0,32,0,20200514,2,0,0,0,Angola,安哥拉
48,3,11,0,35,3,20200515,2,0,0,0,Angola,安哥拉
48,0,11,0,35,0,20200516,2,0,0,0,Angola,安哥拉
48,0,11,0,35,0,20200517,2,0,0,0,Angola,安哥拉
48,0,11,0,35,0,20200518,2,0,0,0,Angola,安哥拉
52,4,17,6,32,-3,20200519,3,1,0,0,Angola,安哥拉
52,0,17,0,32,0,20200520,3,0,0,0,Angola,安哥拉
58,6,17,0,38,6,20200521,3,0,0,0,Angola,安哥拉
60,2,17,0,40,2,20200522,3,0,0,0,Angola,安哥拉
60,0,17,0,40,0,20200523,3,0,0,0,Angola,安哥拉
60,0,17,0,40,0,20200524,3,0,0,0,Angola,安哥拉
69,9,17,0,48,8,20200525,4,1,0,0,Angola,安哥拉
69,0,17,0,48,0,20200526,4,0,0,0,Angola,安哥拉
71,2,17,0,50,2,20200527,4,0,0,0,Angola,安哥拉
71,0,17,0,50,0,20200528,4,0,0,0,Angola,安哥拉
73,2,17,0,52,2,20200529,4,0,0,0,Angola,安哥拉
81,8,17,0,60,8,20200530,4,0,0,0,Angola,安哥拉
84,3,17,0,63,3,20200531,4,0,0,0,Angola,安哥拉
86,2,17,0,65,2,20200601,4,0,0,0,Angola,安哥拉
86,0,17,0,65,0,20200602,4,0,0,0,Angola,安哥拉
86,0,17,0,65,0,20200603,4,0,0,0,Angola,安哥拉
86,0,17,0,65,0,20200604,4,0,0,0,Angola,安哥拉
86,0,17,0,65,0,20200605,4,0,0,0,Angola,安哥拉
86,0,17,0,65,0,20200606,4,0,0,0,Angola,安哥拉
86,0,17,0,65,0,20200607,4,0,0,0,Angola,安哥拉
91,5,17,0,70,5,20200608,4,0,0,0,Angola,安哥拉
92,1,17,0,71,1,20200609,4,0,0,0,Angola,安哥拉
113,21,40,23,69,-2,20200610,4,0,0,0,Angola,安哥拉
113,0,40,0,69,0,20200611,4,0,0,0,Angola,安哥拉
118,5,40,0,73,4,20200612,5,1,0,0,Angola,安哥拉
130,12,40,0,85,12,20200613,5,0,0,0,Angola,安哥拉
138,8,40,0,92,7,20200614,6,1,0,0,Angola,安哥拉
140,2,40,0,94,2,20200615,6,0,0,0,Angola,安哥拉
142,2,40,0,96,2,20200616,6,0,0,0,Angola,安哥拉
142,0,40,0,96,0,20200617,6,0,0,0,Angola,安哥拉
155,13,40,0,108,12,20200618,7,1,0,0,Angola,安哥拉
166,11,40,0,118,10,20200619,8,1,0,0,Angola,安哥拉
166,0,40,0,118,0,20200620,8,0,0,0,Angola,安哥拉
172,6,40,0,124,6,20200621,8,0,0,0,Angola,安哥拉
176,4,40,0,127,3,20200622,9,1,0,0,Angola,安哥拉
183,7,40,0,134,7,20200623,9,0,0,0,Angola,安哥拉
189,6,40,0,139,5,20200624,10,1,0,0,Angola,安哥拉
212,23,40,0,162,23,20200625,10,0,0,0,Angola,安哥拉
244,32,81,41,153,-9,20200626,10,0,0,0,Angola,安哥拉
244,0,81,0,153,0,20200627,10,0,0,0,Angola,安哥拉
259,15,81,0,168,15,20200628,10,0,0,0,Angola,安哥拉
267,8,81,0,175,7,20200629,11,1,0,0,Angola,安哥拉
276,9,81,0,184,9,20200630,11,0,0,0,Angola,安哥拉
284,8,81,0,190,6,20200701,13,2,0,0,Angola,安哥拉
291,7,81,0,195,5,20200702,15,2,0,0,Angola,安哥拉
315,24,81,0,217,22,20200703,17,2,0,0,Angola,安哥拉
328,13,81,0,229,12,20200704,18,1,0,0,Angola,安哥拉
346,18,81,0,246,17,20200705,19,1,0,0,Angola,安哥拉
353,7,81,0,253,7,20200706,19,0,0,0,Angola,安哥拉
353,0,81,0,253,0,20200707,19,0,0,0,Angola,安哥拉
386,33,81,0,284,31,20200708,21,2,0,0,Angola,安哥拉
