confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200304,0,0,0,0,Argentina,阿根廷
1,0,0,0,1,0,20200305,0,0,0,0,Argentina,阿根廷
1,0,0,0,1,0,20200306,0,0,0,0,Argentina,阿根廷
2,1,0,0,2,1,20200307,0,0,0,0,Argentina,阿根廷
9,7,0,0,8,6,20200308,1,1,0,0,Argentina,阿根廷
12,3,0,0,11,3,20200309,1,0,0,0,Argentina,阿根廷
12,0,0,0,11,0,20200310,1,0,0,0,Argentina,阿根廷
17,5,0,0,16,5,20200311,1,0,0,0,Argentina,阿根廷
19,2,0,0,18,2,20200312,1,0,0,0,Argentina,阿根廷
31,12,0,0,30,12,20200313,1,0,0,0,Argentina,阿根廷
34,3,0,0,32,2,20200314,2,1,0,0,Argentina,阿根廷
45,11,1,1,42,10,20200315,2,0,0,0,Argentina,阿根廷
56,11,1,0,53,11,20200316,2,0,0,0,Argentina,阿根廷
65,9,1,0,62,9,20200317,2,0,0,0,Argentina,阿根廷
65,0,1,0,62,0,20200318,2,0,0,0,Argentina,阿根廷
97,32,1,0,94,32,20200319,2,0,0,0,Argentina,阿根廷
128,31,1,0,124,30,20200320,3,1,0,0,Argentina,阿根廷
158,30,1,0,154,30,20200321,3,0,0,0,Argentina,阿根廷
225,67,1,0,220,66,20200322,4,1,0,0,Argentina,阿根廷
266,41,1,0,261,41,20200323,4,0,0,0,Argentina,阿根廷
301,35,1,0,296,35,20200324,4,0,0,0,Argentina,阿根廷
502,201,1,0,493,197,20200325,8,4,0,0,Argentina,阿根廷
589,87,1,0,576,83,20200326,12,4,0,0,Argentina,阿根廷
589,0,1,0,576,0,20200327,12,0,0,0,Argentina,阿根廷
690,101,1,0,672,96,20200328,17,5,0,0,Argentina,阿根廷
745,55,1,0,725,53,20200329,19,2,0,0,Argentina,阿根廷
820,75,1,0,739,14,20200330,80,61,0,0,Argentina,阿根廷
1054,234,240,239,787,48,20200331,27,-53,0,0,Argentina,阿根廷
1133,79,240,0,861,74,20200401,32,5,0,0,Argentina,阿根廷
1133,0,240,0,861,0,20200402,32,0,0,0,Argentina,阿根廷
1353,220,240,0,1071,210,20200403,42,10,0,0,Argentina,阿根廷
1353,0,240,0,1071,0,20200404,42,0,0,0,Argentina,阿根廷
1451,98,240,0,1168,97,20200405,43,1,0,0,Argentina,阿根廷
1554,103,240,0,1268,100,20200406,46,3,0,0,Argentina,阿根廷
1715,161,240,0,1415,147,20200407,60,14,0,0,Argentina,阿根廷
1795,80,358,118,1372,-43,20200408,65,5,0,0,Argentina,阿根廷
1795,0,358,0,1372,0,20200409,65,0,0,0,Argentina,阿根廷
1795,0,358,0,1370,-2,20200410,67,2,0,0,Argentina,阿根廷
2142,347,358,0,1695,325,20200411,89,22,0,0,Argentina,阿根廷
2142,0,358,0,1695,0,20200412,89,0,0,0,Argentina,阿根廷
2277,135,468,110,1711,16,20200413,98,9,0,0,Argentina,阿根廷
2277,0,468,0,1711,0,20200414,98,0,0,0,Argentina,阿根廷
2443,166,468,0,1870,159,20200415,105,7,0,0,Argentina,阿根廷
2669,226,631,163,1916,46,20200416,122,17,0,0,Argentina,阿根廷
2669,0,631,0,1916,0,20200417,122,0,0,0,Argentina,阿根廷
2694,25,631,0,1941,25,20200418,122,0,0,0,Argentina,阿根廷
2784,90,631,0,2024,83,20200419,129,7,0,0,Argentina,阿根廷
2941,157,709,78,2098,74,20200420,134,5,0,0,Argentina,阿根廷
3144,203,737,28,2256,158,20200421,151,17,0,0,Argentina,阿根廷
3144,0,737,0,2256,0,20200422,151,0,0,0,Argentina,阿根廷
3435,291,737,0,2533,277,20200423,165,14,0,0,Argentina,阿根廷
3607,172,976,239,2455,-78,20200424,176,11,0,0,Argentina,阿根廷
3607,0,976,0,2455,0,20200425,176,0,0,0,Argentina,阿根廷
3780,173,976,0,2619,164,20200426,185,9,0,0,Argentina,阿根廷
4003,223,976,0,2830,211,20200427,197,12,0,0,Argentina,阿根廷
4003,0,976,0,2830,0,20200428,197,0,0,0,Argentina,阿根廷
4285,282,1162,186,2909,79,20200429,214,17,0,0,Argentina,阿根廷
4285,0,1162,0,2909,0,20200430,214,0,0,0,Argentina,阿根廷
4532,247,1299,137,3008,99,20200501,225,11,0,0,Argentina,阿根廷
4532,0,1299,0,3008,0,20200502,225,0,0,0,Argentina,阿根廷
4681,149,1320,21,3124,116,20200503,237,12,0,0,Argentina,阿根廷
4887,206,1320,0,3307,183,20200504,260,23,0,0,Argentina,阿根廷
5020,133,1320,0,3436,129,20200505,264,4,0,0,Argentina,阿根廷
5020,0,1320,0,3436,0,20200506,264,0,0,0,Argentina,阿根廷
5371,351,1524,204,3565,129,20200507,282,18,0,0,Argentina,阿根廷
5371,0,1524,0,3565,0,20200508,282,0,0,0,Argentina,阿根廷
5766,395,1524,0,3942,377,20200509,300,18,0,0,Argentina,阿根廷
5766,0,1524,0,3942,0,20200510,300,0,0,0,Argentina,阿根廷
6265,499,1757,233,4203,261,20200511,305,5,0,0,Argentina,阿根廷
6563,298,1757,0,4487,284,20200512,319,14,0,0,Argentina,阿根廷
6879,316,1757,0,4793,306,20200513,329,10,0,0,Argentina,阿根廷
7134,255,2385,628,4396,-397,20200514,353,24,0,0,Argentina,阿根廷
7479,345,2385,0,4741,345,20200515,353,0,0,0,Argentina,阿根廷
7479,0,2385,0,4741,0,20200516,353,0,0,0,Argentina,阿根廷
7805,326,2534,149,4635,-106,20200517,636,283,0,0,Argentina,阿根廷
7805,0,2534,0,4635,0,20200518,636,0,0,0,Argentina,阿根廷
8809,1004,2534,0,5882,1247,20200519,393,-243,0,0,Argentina,阿根廷
9283,474,2534,0,6346,464,20200520,403,10,0,0,Argentina,阿根廷
9931,648,2920,386,6595,249,20200521,416,13,0,0,Argentina,阿根廷
9931,0,2920,0,6595,0,20200522,416,0,0,0,Argentina,阿根廷
11353,1422,2920,0,7988,1393,20200523,445,29,0,0,Argentina,阿根廷
12076,723,2920,0,8704,716,20200524,452,7,0,0,Argentina,阿根廷
12076,0,2920,0,8704,0,20200525,452,0,0,0,Argentina,阿根廷
12076,0,2920,0,8704,0,20200526,452,0,0,0,Argentina,阿根廷
13228,1152,2920,0,9818,1114,20200527,490,38,0,0,Argentina,阿根廷
13228,0,2920,0,9816,-2,20200528,492,2,0,0,Argentina,阿根廷
15419,2191,4617,1697,10282,466,20200529,520,28,0,0,Argentina,阿根廷
16214,795,4617,0,11069,787,20200530,528,8,0,0,Argentina,阿根廷
16851,637,4617,0,11695,626,20200531,539,11,0,0,Argentina,阿根廷
16851,0,4617,0,11695,0,20200601,539,0,0,0,Argentina,阿根廷
18319,1468,4617,0,13133,1438,20200602,569,30,0,0,Argentina,阿根廷
19268,949,4617,0,14068,935,20200603,583,14,0,0,Argentina,阿根廷
20197,929,4617,0,14972,904,20200604,608,25,0,0,Argentina,阿根廷
20197,0,4617,0,14972,0,20200605,608,0,0,0,Argentina,阿根廷
21037,840,6088,1471,14317,-655,20200606,632,24,0,0,Argentina,阿根廷
22794,1757,6088,0,16042,1725,20200607,664,32,0,0,Argentina,阿根廷
23620,826,6088,0,16839,797,20200608,693,29,0,0,Argentina,阿根廷
23620,0,6088,0,16839,0,20200609,693,0,0,0,Argentina,阿根廷
25987,2367,6088,0,19164,2325,20200610,735,42,0,0,Argentina,阿根廷
25987,0,6088,0,19164,0,20200611,735,0,0,0,Argentina,阿根廷
28764,2777,6088,0,21911,2747,20200612,765,30,0,0,Argentina,阿根廷
30295,1531,9083,2995,20397,-1514,20200613,815,50,0,0,Argentina,阿根廷
31577,1282,9083,0,21661,1264,20200614,833,18,0,0,Argentina,阿根廷
32758,1181,9083,0,22820,1159,20200615,855,22,0,0,Argentina,阿根廷
34159,1401,10174,1091,23107,287,20200616,878,23,0,0,Argentina,阿根廷
34159,0,10174,0,23107,0,20200617,878,0,0,0,Argentina,阿根廷
34159,0,10174,0,23099,-8,20200618,886,8,0,0,Argentina,阿根廷
37510,3351,10174,0,26388,3289,20200619,948,62,0,0,Argentina,阿根廷
41204,3694,10174,0,30038,3650,20200620,992,44,0,0,Argentina,阿根廷
41204,0,10174,0,30038,0,20200621,992,0,0,0,Argentina,阿根廷
44931,3727,12728,2554,31160,1122,20200622,1043,51,0,0,Argentina,阿根廷
47216,2285,13576,848,32562,1402,20200623,1078,35,0,0,Argentina,阿根廷
49851,2635,13576,0,35159,2597,20200624,1116,38,0,0,Argentina,阿根廷
52547,2696,13576,0,37821,2662,20200625,1150,34,0,0,Argentina,阿根廷
52547,0,13576,0,37821,0,20200626,1150,0,0,0,Argentina,阿根廷
52547,0,13576,0,37804,-17,20200627,1167,17,0,0,Argentina,阿根廷
59933,7386,13576,0,45125,7321,20200628,1232,65,0,0,Argentina,阿根廷
62268,2335,13576,0,47412,2287,20200629,1280,48,0,0,Argentina,阿根廷
62268,0,13576,0,47412,0,20200630,1280,0,0,0,Argentina,阿根廷
62268,0,13576,0,47409,-3,20200701,1283,3,0,0,Argentina,阿根廷
69941,7673,13576,0,54980,7571,20200702,1385,102,0,0,Argentina,阿根廷
72786,2845,13576,0,57773,2793,20200703,1437,52,0,0,Argentina,阿根廷
75376,2590,13576,0,60319,2546,20200704,1481,44,0,0,Argentina,阿根廷
77815,2439,13576,0,62730,2411,20200705,1509,28,0,0,Argentina,阿根廷
80447,2632,13576,0,65289,2559,20200706,1582,73,0,0,Argentina,阿根廷
83426,2979,13576,0,68206,2917,20200707,1644,62,0,0,Argentina,阿根廷
87030,3604,13576,0,71760,3554,20200708,1694,50,0,0,Argentina,阿根廷
