confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200302,0,0,0,0,Armenia,亚美尼亚
1,0,0,0,1,0,20200303,0,0,0,0,Armenia,亚美尼亚
1,0,0,0,1,0,20200304,0,0,0,0,Armenia,亚美尼亚
1,0,0,0,1,0,20200305,0,0,0,0,Armenia,亚美尼亚
1,0,0,0,1,0,20200306,0,0,0,0,Armenia,亚美尼亚
1,0,0,0,1,0,20200307,0,0,0,0,Armenia,亚美尼亚
1,0,0,0,1,0,20200308,0,0,0,0,Armenia,亚美尼亚
1,0,0,0,1,0,20200309,0,0,0,0,Armenia,亚美尼亚
1,0,0,0,1,0,20200310,0,0,0,0,Armenia,亚美尼亚
1,0,0,0,1,0,20200311,0,0,0,0,Armenia,亚美尼亚
1,0,0,0,1,0,20200312,0,0,0,0,Armenia,亚美尼亚
1,0,0,0,1,0,20200313,0,0,0,0,Armenia,亚美尼亚
8,7,0,0,8,7,20200314,0,0,0,0,Armenia,亚美尼亚
8,0,0,0,8,0,20200315,0,0,0,0,Armenia,亚美尼亚
26,18,0,0,26,18,20200316,0,0,0,0,Armenia,亚美尼亚
52,26,0,0,52,26,20200317,0,0,0,0,Armenia,亚美尼亚
52,0,0,0,52,0,20200318,0,0,0,0,Armenia,亚美尼亚
122,70,1,1,121,69,20200319,0,0,0,0,Armenia,亚美尼亚
136,14,1,0,135,14,20200320,0,0,0,0,Armenia,亚美尼亚
160,24,1,0,159,24,20200321,0,0,0,0,Armenia,亚美尼亚
190,30,2,1,188,29,20200322,0,0,0,0,Armenia,亚美尼亚
235,45,2,0,233,45,20200323,0,0,0,0,Armenia,亚美尼亚
249,14,14,12,235,2,20200324,0,0,0,0,Armenia,亚美尼亚
265,16,16,2,249,14,20200325,0,0,0,0,Armenia,亚美尼亚
290,25,18,2,272,23,20200326,0,0,0,0,Armenia,亚美尼亚
329,39,18,0,310,38,20200327,1,1,0,0,Armenia,亚美尼亚
372,43,28,10,343,33,20200328,1,0,0,0,Armenia,亚美尼亚
424,52,30,2,391,48,20200329,3,2,0,0,Armenia,亚美尼亚
482,58,30,0,449,58,20200330,3,0,0,0,Armenia,亚美尼亚
532,50,30,0,499,50,20200331,3,0,0,0,Armenia,亚美尼亚
571,39,31,1,537,38,20200401,3,0,0,0,Armenia,亚美尼亚
663,92,33,2,626,89,20200402,4,1,0,0,Armenia,亚美尼亚
736,73,43,10,686,60,20200403,7,3,0,0,Armenia,亚美尼亚
770,34,43,0,720,34,20200404,7,0,0,0,Armenia,亚美尼亚
822,52,57,14,758,38,20200405,7,0,0,0,Armenia,亚美尼亚
833,11,62,5,763,5,20200406,8,1,0,0,Armenia,亚美尼亚
853,20,87,25,758,-5,20200407,8,0,0,0,Armenia,亚美尼亚
881,28,114,27,758,0,20200408,9,1,0,0,Armenia,亚美尼亚
921,40,138,24,773,15,20200409,10,1,0,0,Armenia,亚美尼亚
937,16,149,11,777,4,20200410,11,1,0,0,Armenia,亚美尼亚
966,29,173,24,780,3,20200411,13,2,0,0,Armenia,亚美尼亚
1013,47,197,24,803,23,20200412,13,0,0,0,Armenia,亚美尼亚
1039,26,211,14,814,11,20200413,14,1,0,0,Armenia,亚美尼亚
1067,28,265,54,786,-28,20200414,16,2,0,0,Armenia,亚美尼亚
1111,44,297,32,797,11,20200415,17,1,0,0,Armenia,亚美尼亚
1135,24,297,0,820,23,20200416,18,1,0,0,Armenia,亚美尼亚
1201,66,402,105,780,-40,20200417,19,1,0,0,Armenia,亚美尼亚
1248,47,523,121,705,-75,20200418,20,1,0,0,Armenia,亚美尼亚
1291,43,545,22,726,21,20200419,20,0,0,0,Armenia,亚美尼亚
1339,48,580,35,737,11,20200420,22,2,0,0,Armenia,亚美尼亚
1401,62,609,29,768,31,20200421,24,2,0,0,Armenia,亚美尼亚
1473,72,633,24,816,48,20200422,24,0,0,0,Armenia,亚美尼亚
1473,0,633,0,816,0,20200423,24,0,0,0,Armenia,亚美尼亚
1596,123,728,95,841,25,20200424,27,3,0,0,Armenia,亚美尼亚
1677,81,803,75,846,5,20200425,28,1,0,0,Armenia,亚美尼亚
1746,69,833,30,885,39,20200426,28,0,0,0,Armenia,亚美尼亚
1808,62,848,15,931,46,20200427,29,1,0,0,Armenia,亚美尼亚
1867,59,848,0,989,58,20200428,30,1,0,0,Armenia,亚美尼亚
1932,65,900,52,1002,13,20200429,30,0,0,0,Armenia,亚美尼亚
2066,134,929,29,1105,103,20200430,32,2,0,0,Armenia,亚美尼亚
2148,82,977,48,1138,33,20200501,33,1,0,0,Armenia,亚美尼亚
2273,125,1010,33,1227,89,20200502,36,3,0,0,Armenia,亚美尼亚
2386,113,1035,25,1313,86,20200503,38,2,0,0,Armenia,亚美尼亚
2507,121,1035,0,1433,120,20200504,39,1,0,0,Armenia,亚美尼亚
2619,112,1035,0,1544,111,20200505,40,1,0,0,Armenia,亚美尼亚
2782,163,1035,0,1707,163,20200506,40,0,0,0,Armenia,亚美尼亚
2884,102,1185,150,1657,-50,20200507,42,2,0,0,Armenia,亚美尼亚
3029,145,1218,33,1768,111,20200508,43,1,0,0,Armenia,亚美尼亚
3175,146,1218,0,1913,145,20200509,44,1,0,0,Armenia,亚美尼亚
3313,138,1325,107,1943,30,20200510,45,1,0,0,Armenia,亚美尼亚
3392,79,1359,34,1987,44,20200511,46,1,0,0,Armenia,亚美尼亚
3538,146,1430,71,2061,74,20200512,47,1,0,0,Armenia,亚美尼亚
3718,180,1500,70,2170,109,20200513,48,1,0,0,Armenia,亚美尼亚
3860,142,1572,72,2239,69,20200514,49,1,0,0,Armenia,亚美尼亚
4044,184,1666,94,2326,87,20200515,52,3,0,0,Armenia,亚美尼亚
4283,239,1791,125,2437,111,20200516,55,3,0,0,Armenia,亚美尼亚
4472,189,1925,134,2487,50,20200517,60,5,0,0,Armenia,亚美尼亚
4823,351,2019,94,2743,256,20200518,61,1,0,0,Armenia,亚美尼亚
5041,218,2019,0,2958,215,20200519,64,3,0,0,Armenia,亚美尼亚
5271,230,2419,400,2785,-173,20200520,67,3,0,0,Armenia,亚美尼亚
5606,335,2581,162,2955,170,20200521,70,3,0,0,Armenia,亚美尼亚
5928,322,2581,0,3273,318,20200522,74,4,0,0,Armenia,亚美尼亚
6302,374,2936,355,3289,16,20200523,77,3,0,0,Armenia,亚美尼亚
6661,359,3064,128,3516,227,20200524,81,4,0,0,Armenia,亚美尼亚
7113,452,3145,81,3881,365,20200525,87,6,0,0,Armenia,亚美尼亚
7402,289,3220,75,4091,210,20200526,91,4,0,0,Armenia,亚美尼亚
7774,372,3255,35,4421,330,20200527,98,7,0,0,Armenia,亚美尼亚
8216,442,3287,32,4816,395,20200528,113,15,0,0,Armenia,亚美尼亚
8676,460,3297,10,5259,443,20200529,120,7,0,0,Armenia,亚美尼亚
8927,251,3317,20,5483,224,20200530,127,7,0,0,Armenia,亚美尼亚
9282,355,3386,69,5765,282,20200531,131,4,0,0,Armenia,亚美尼亚
9492,210,3402,16,5951,186,20200601,139,8,0,0,Armenia,亚美尼亚
10009,517,3427,25,6424,473,20200602,158,19,0,0,Armenia,亚美尼亚
10524,515,3454,27,6900,476,20200603,170,12,0,0,Armenia,亚美尼亚
11221,697,3468,14,7577,677,20200604,176,6,0,0,Armenia,亚美尼亚
11817,596,3513,45,8121,544,20200605,183,7,0,0,Armenia,亚美尼亚
12364,547,3720,207,8454,333,20200606,190,7,0,0,Armenia,亚美尼亚
