confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200317,0,0,0,0,Aruba,阿鲁巴
2,0,0,0,2,0,20200318,0,0,0,0,Aruba,阿鲁巴
2,0,0,0,2,0,20200319,0,0,0,0,Aruba,阿鲁巴
5,3,0,0,5,3,20200320,0,0,0,0,Aruba,阿鲁巴
5,0,0,0,5,0,20200321,0,0,0,0,Aruba,阿鲁巴
5,0,0,0,5,0,20200322,0,0,0,0,Aruba,阿鲁巴
8,3,0,0,8,3,20200323,0,0,0,0,Aruba,阿鲁巴
9,1,0,0,9,1,20200324,0,0,0,0,Aruba,阿鲁巴
12,3,0,0,12,3,20200325,0,0,0,0,Aruba,阿鲁巴
19,7,0,0,19,7,20200326,0,0,0,0,Aruba,阿鲁巴
19,0,0,0,19,0,20200327,0,0,0,0,Aruba,阿鲁巴
28,9,0,0,28,9,20200328,0,0,0,0,Aruba,阿鲁巴
46,18,0,0,46,18,20200329,0,0,0,0,Aruba,阿鲁巴
46,0,0,0,46,0,20200330,0,0,0,0,Aruba,阿鲁巴
50,4,0,0,50,4,20200331,0,0,0,0,Aruba,阿鲁巴
55,5,0,0,55,5,20200401,0,0,0,0,Aruba,阿鲁巴
55,0,0,0,55,0,20200402,0,0,0,0,Aruba,阿鲁巴
60,5,0,0,60,5,20200403,0,0,0,0,Aruba,阿鲁巴
62,2,0,0,62,2,20200404,0,0,0,0,Aruba,阿鲁巴
64,2,0,0,64,2,20200405,0,0,0,0,Aruba,阿鲁巴
64,0,0,0,64,0,20200406,0,0,0,0,Aruba,阿鲁巴
64,0,0,0,64,0,20200407,0,0,0,0,Aruba,阿鲁巴
71,7,0,0,71,7,20200408,0,0,0,0,Aruba,阿鲁巴
74,3,0,0,74,3,20200409,0,0,0,0,Aruba,阿鲁巴
82,8,0,0,82,8,20200410,0,0,0,0,Aruba,阿鲁巴
86,4,0,0,86,4,20200411,0,0,0,0,Aruba,阿鲁巴
92,6,0,0,92,6,20200412,0,0,0,0,Aruba,阿鲁巴
92,0,0,0,92,0,20200413,0,0,0,0,Aruba,阿鲁巴
92,0,0,0,92,0,20200414,0,0,0,0,Aruba,阿鲁巴
92,0,0,0,92,0,20200415,0,0,0,0,Aruba,阿鲁巴
93,1,0,0,92,0,20200416,1,1,0,0,Aruba,阿鲁巴
95,2,0,0,93,1,20200417,2,1,0,0,Aruba,阿鲁巴
96,1,0,0,94,1,20200418,2,0,0,0,Aruba,阿鲁巴
96,0,0,0,94,0,20200419,2,0,0,0,Aruba,阿鲁巴
97,1,0,0,95,1,20200420,2,0,0,0,Aruba,阿鲁巴
97,0,0,0,95,0,20200421,2,0,0,0,Aruba,阿鲁巴
97,0,0,0,95,0,20200422,2,0,0,0,Aruba,阿鲁巴
100,3,0,0,98,3,20200423,2,0,0,0,Aruba,阿鲁巴
100,0,0,0,98,0,20200424,2,0,0,0,Aruba,阿鲁巴
100,0,0,0,98,0,20200425,2,0,0,0,Aruba,阿鲁巴
100,0,0,0,98,0,20200426,2,0,0,0,Aruba,阿鲁巴
100,0,0,0,98,0,20200427,2,0,0,0,Aruba,阿鲁巴
100,0,0,0,98,0,20200428,2,0,0,0,Aruba,阿鲁巴
100,0,0,0,98,0,20200429,2,0,0,0,Aruba,阿鲁巴
100,0,0,0,98,0,20200430,2,0,0,0,Aruba,阿鲁巴
100,0,0,0,98,0,20200501,2,0,0,0,Aruba,阿鲁巴
100,0,0,0,98,0,20200502,2,0,0,0,Aruba,阿鲁巴
100,0,0,0,98,0,20200503,2,0,0,0,Aruba,阿鲁巴
100,0,0,0,98,0,20200504,2,0,0,0,Aruba,阿鲁巴
100,0,0,0,98,0,20200505,2,0,0,0,Aruba,阿鲁巴
101,1,0,0,99,1,20200506,2,0,0,0,Aruba,阿鲁巴
101,0,0,0,99,0,20200507,2,0,0,0,Aruba,阿鲁巴
101,0,0,0,99,0,20200508,2,0,0,0,Aruba,阿鲁巴
