confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
3,3,0,0,3,3,20200125,0,0,0,0,Australia,澳大利亚
3,0,0,0,3,0,20200126,0,0,0,0,Australia,澳大利亚
4,1,0,0,4,1,20200127,0,0,0,0,Australia,澳大利亚
5,1,0,0,5,1,20200128,0,0,0,0,Australia,澳大利亚
7,2,0,0,7,2,20200129,0,0,0,0,Australia,澳大利亚
7,0,0,0,7,0,20200130,0,0,0,0,Australia,澳大利亚
9,2,0,0,9,2,20200131,0,0,0,0,Australia,澳大利亚
12,3,0,0,12,3,20200201,0,0,0,0,Australia,澳大利亚
12,0,0,0,12,0,20200202,0,0,0,0,Australia,澳大利亚
12,0,0,0,12,0,20200203,0,0,0,0,Australia,澳大利亚
12,0,0,0,12,0,20200204,0,0,0,0,Australia,澳大利亚
13,1,0,0,13,1,20200205,0,0,0,0,Australia,澳大利亚
14,1,0,0,14,1,20200206,0,0,0,0,Australia,澳大利亚
15,1,0,0,15,1,20200207,0,0,0,0,Australia,澳大利亚
15,0,0,0,15,0,20200208,0,0,0,0,Australia,澳大利亚
15,0,0,0,15,0,20200209,0,0,0,0,Australia,澳大利亚
15,0,0,0,15,0,20200210,0,0,0,0,Australia,澳大利亚
15,0,0,0,15,0,20200211,0,0,0,0,Australia,澳大利亚
15,0,0,0,15,0,20200212,0,0,0,0,Australia,澳大利亚
15,0,0,0,15,0,20200213,0,0,0,0,Australia,澳大利亚
15,0,0,0,15,0,20200214,0,0,0,0,Australia,澳大利亚
15,0,0,0,15,0,20200215,0,0,0,0,Australia,澳大利亚
15,0,0,0,15,0,20200216,0,0,0,0,Australia,澳大利亚
15,0,0,0,15,0,20200217,0,0,0,0,Australia,澳大利亚
15,0,0,0,15,0,20200218,0,0,0,0,Australia,澳大利亚
15,0,0,0,15,0,20200219,0,0,0,0,Australia,澳大利亚
15,0,0,0,15,0,20200220,0,0,0,0,Australia,澳大利亚
17,2,0,0,17,2,20200221,0,0,0,0,Australia,澳大利亚
21,4,0,0,21,4,20200222,0,0,0,0,Australia,澳大利亚
22,1,0,0,22,1,20200223,0,0,0,0,Australia,澳大利亚
22,0,0,0,22,0,20200224,0,0,0,0,Australia,澳大利亚
22,0,0,0,22,0,20200225,0,0,0,0,Australia,澳大利亚
23,1,0,0,23,1,20200226,0,0,0,0,Australia,澳大利亚
23,0,0,0,23,0,20200227,0,0,0,0,Australia,澳大利亚
23,0,0,0,23,0,20200228,0,0,0,0,Australia,澳大利亚
24,1,0,0,24,1,20200229,0,0,0,0,Australia,澳大利亚
