confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200226,0,0,0,0,Austria,奥地利
2,0,0,0,2,0,20200227,0,0,0,0,Austria,奥地利
4,2,0,0,4,2,20200228,0,0,0,0,Austria,奥地利
5,1,0,0,5,1,20200229,0,0,0,0,Austria,奥地利
10,5,0,0,10,5,20200301,0,0,0,0,Austria,奥地利
10,0,0,0,10,0,20200302,0,0,0,0,Austria,奥地利
18,8,0,0,18,8,20200303,0,0,0,0,Austria,奥地利
24,6,0,0,24,6,20200304,0,0,0,0,Austria,奥地利
37,13,0,0,37,13,20200305,0,0,0,0,Austria,奥地利
47,10,0,0,47,10,20200306,0,0,0,0,Austria,奥地利
66,19,0,0,66,19,20200307,0,0,0,0,Austria,奥地利
104,38,0,0,104,38,20200308,0,0,0,0,Austria,奥地利
112,8,0,0,112,8,20200309,0,0,0,0,Austria,奥地利
131,19,0,0,131,19,20200310,0,0,0,0,Austria,奥地利
182,51,0,0,182,51,20200311,0,0,0,0,Austria,奥地利
302,120,0,0,302,120,20200312,0,0,0,0,Austria,奥地利
361,59,0,0,360,58,20200313,1,1,0,0,Austria,奥地利
504,143,0,0,503,143,20200314,1,0,0,0,Austria,奥地利
800,296,6,6,793,290,20200315,1,0,0,0,Austria,奥地利
959,159,6,0,952,159,20200316,1,0,0,0,Austria,奥地利
1132,173,6,0,1123,171,20200317,3,2,0,0,Austria,奥地利
1332,200,6,0,1323,200,20200318,3,0,0,0,Austria,奥地利
2013,681,9,3,2000,677,20200319,4,1,0,0,Austria,奥地利
2388,375,9,0,2374,374,20200320,5,1,0,0,Austria,奥地利
2649,261,9,0,2633,259,20200321,7,2,0,0,Austria,奥地利
3244,595,9,0,3219,586,20200322,16,9,0,0,Austria,奥地利
3924,680,9,0,3894,675,20200323,21,5,0,0,Austria,奥地利
4876,952,9,0,4839,945,20200324,28,7,0,0,Austria,奥地利
5560,684,9,0,5521,682,20200325,30,2,0,0,Austria,奥地利
6398,838,9,0,6340,819,20200326,49,19,0,0,Austria,奥地利
7399,1001,9,0,7332,992,20200327,58,9,0,0,Austria,奥地利
7697,298,225,216,7404,72,20200328,68,10,0,0,Austria,奥地利
8536,839,225,0,8243,839,20200329,68,0,0,0,Austria,奥地利
9377,841,646,421,8623,380,20200330,108,40,0,0,Austria,奥地利
9971,594,1095,449,8748,125,20200331,128,20,0,0,Austria,奥地利
10482,511,1436,341,8900,152,20200401,146,18,0,0,Austria,奥地利
10967,485,1749,313,9060,160,20200402,158,12,0,0,Austria,奥地利
11383,416,1749,0,9476,416,20200403,158,0,0,0,Austria,奥地利
11781,398,2507,758,9088,-388,20200404,186,28,0,0,Austria,奥地利
11907,126,2507,0,9214,126,20200405,186,0,0,0,Austria,奥地利
11983,76,2507,0,9272,58,20200406,204,18,0,0,Austria,奥地利
12297,314,2507,0,9570,298,20200407,220,16,0,0,Austria,奥地利
12852,555,2507,0,10102,532,20200408,243,23,0,0,Austria,奥地利
12969,117,2507,0,10189,87,20200409,273,30,0,0,Austria,奥地利
13248,279,2507,0,10446,257,20200410,295,22,0,0,Austria,奥地利
13560,312,2507,0,10734,288,20200411,319,24,0,0,Austria,奥地利
