confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
3,3,0,0,3,3,20200301,0,0,0,0,Azerbaijan,阿塞拜疆
3,0,0,0,3,0,20200302,0,0,0,0,Azerbaijan,阿塞拜疆
3,0,0,0,3,0,20200303,0,0,0,0,Azerbaijan,阿塞拜疆
3,0,0,0,3,0,20200304,0,0,0,0,Azerbaijan,阿塞拜疆
3,0,0,0,3,0,20200305,0,0,0,0,Azerbaijan,阿塞拜疆
3,0,0,0,3,0,20200306,0,0,0,0,Azerbaijan,阿塞拜疆
9,6,0,0,9,6,20200307,0,0,0,0,Azerbaijan,阿塞拜疆
9,0,0,0,9,0,20200308,0,0,0,0,Azerbaijan,阿塞拜疆
9,0,0,0,9,0,20200309,0,0,0,0,Azerbaijan,阿塞拜疆
9,0,0,0,9,0,20200310,0,0,0,0,Azerbaijan,阿塞拜疆
9,0,0,0,9,0,20200311,0,0,0,0,Azerbaijan,阿塞拜疆
9,0,0,0,9,0,20200312,0,0,0,0,Azerbaijan,阿塞拜疆
11,2,0,0,11,2,20200313,0,0,0,0,Azerbaijan,阿塞拜疆
11,0,0,0,11,0,20200314,0,0,0,0,Azerbaijan,阿塞拜疆
19,8,6,6,13,2,20200315,0,0,0,0,Azerbaijan,阿塞拜疆
19,0,6,0,13,0,20200316,0,0,0,0,Azerbaijan,阿塞拜疆
19,0,6,0,13,0,20200317,0,0,0,0,Azerbaijan,阿塞拜疆
21,2,6,0,15,2,20200318,0,0,0,0,Azerbaijan,阿塞拜疆
34,13,6,0,27,12,20200319,1,1,0,0,Azerbaijan,阿塞拜疆
34,0,6,0,27,0,20200320,1,0,0,0,Azerbaijan,阿塞拜疆
44,10,10,4,33,6,20200321,1,0,0,0,Azerbaijan,阿塞拜疆
65,21,10,0,54,21,20200322,1,0,0,0,Azerbaijan,阿塞拜疆
72,7,10,0,61,7,20200323,1,0,0,0,Azerbaijan,阿塞拜疆
87,15,10,0,76,15,20200324,1,0,0,0,Azerbaijan,阿塞拜疆
93,6,10,0,81,5,20200325,2,1,0,0,Azerbaijan,阿塞拜疆
122,29,15,5,104,23,20200326,3,1,0,0,Azerbaijan,阿塞拜疆
165,43,15,0,147,43,20200327,3,0,0,0,Azerbaijan,阿塞拜疆
182,17,15,0,163,16,20200328,4,1,0,0,Azerbaijan,阿塞拜疆
209,27,15,0,190,27,20200329,4,0,0,0,Azerbaijan,阿塞拜疆
273,64,26,11,243,53,20200330,4,0,0,0,Azerbaijan,阿塞拜疆
298,25,26,0,267,24,20200331,5,1,0,0,Azerbaijan,阿塞拜疆
359,61,26,0,328,61,20200401,5,0,0,0,Azerbaijan,阿塞拜疆
400,41,26,0,369,41,20200402,5,0,0,0,Azerbaijan,阿塞拜疆
443,43,32,6,406,37,20200403,5,0,0,0,Azerbaijan,阿塞拜疆
443,0,32,0,406,0,20200404,5,0,0,0,Azerbaijan,阿塞拜疆
584,141,32,0,547,141,20200405,5,0,0,0,Azerbaijan,阿塞拜疆
641,57,44,12,590,43,20200406,7,2,0,0,Azerbaijan,阿塞拜疆
717,76,44,0,665,75,20200407,8,1,0,0,Azerbaijan,阿塞拜疆
822,105,63,19,751,86,20200408,8,0,0,0,Azerbaijan,阿塞拜疆
926,104,101,38,816,65,20200409,9,1,0,0,Azerbaijan,阿塞拜疆
991,65,159,58,822,6,20200410,10,1,0,0,Azerbaijan,阿塞拜疆
1058,67,200,41,847,25,20200411,11,1,0,0,Azerbaijan,阿塞拜疆
1098,40,250,50,837,-10,20200412,11,0,0,0,Azerbaijan,阿塞拜疆
1148,50,289,39,847,10,20200413,12,1,0,0,Azerbaijan,阿塞拜疆
1197,49,351,62,833,-14,20200414,13,1,0,0,Azerbaijan,阿塞拜疆
1253,56,404,53,836,3,20200415,13,0,0,0,Azerbaijan,阿塞拜疆
1283,30,460,56,808,-28,20200416,15,2,0,0,Azerbaijan,阿塞拜疆
1340,57,528,68,797,-11,20200417,15,0,0,0,Azerbaijan,阿塞拜疆
1373,33,590,62,765,-32,20200418,18,3,0,0,Azerbaijan,阿塞拜疆
1398,25,712,122,667,-98,20200419,19,1,0,0,Azerbaijan,阿塞拜疆
1436,38,791,79,626,-41,20200420,19,0,0,0,Azerbaijan,阿塞拜疆
1480,44,865,74,595,-31,20200421,20,1,0,0,Azerbaijan,阿塞拜疆
1518,38,907,42,591,-4,20200422,20,0,0,0,Azerbaijan,阿塞拜疆
1548,30,948,41,580,-11,20200423,20,0,0,0,Azerbaijan,阿塞拜疆
1592,44,1013,65,558,-22,20200424,21,1,0,0,Azerbaijan,阿塞拜疆
1687,95,1080,67,586,28,20200425,21,0,0,0,Azerbaijan,阿塞拜疆
1687,0,1139,59,527,-59,20200426,21,0,0,0,Azerbaijan,阿塞拜疆
1678,-9,1162,23,494,-33,20200427,22,1,0,0,Azerbaijan,阿塞拜疆
1717,39,1221,59,474,-20,20200428,22,0,0,0,Azerbaijan,阿塞拜疆
1717,0,1221,0,474,0,20200429,22,0,0,0,Azerbaijan,阿塞拜疆
1766,49,1221,0,522,48,20200430,23,1,0,0,Azerbaijan,阿塞拜疆
1854,88,1365,144,464,-58,20200501,25,2,0,0,Azerbaijan,阿塞拜疆
1854,0,1365,0,464,0,20200502,25,0,0,0,Azerbaijan,阿塞拜疆
1894,40,1365,0,504,40,20200503,25,0,0,0,Azerbaijan,阿塞拜疆
1932,38,1365,0,542,38,20200504,25,0,0,0,Azerbaijan,阿塞拜疆
1984,52,1365,0,593,51,20200505,26,1,0,0,Azerbaijan,阿塞拜疆
2127,143,1536,171,563,-30,20200506,28,2,0,0,Azerbaijan,阿塞拜疆
2204,77,1551,15,625,62,20200507,28,0,0,0,Azerbaijan,阿塞拜疆
2279,75,1576,25,675,50,20200508,28,0,0,0,Azerbaijan,阿塞拜疆
2422,143,1620,44,771,96,20200509,31,3,0,0,Azerbaijan,阿塞拜疆
2422,0,1620,0,771,0,20200510,31,0,0,0,Azerbaijan,阿塞拜疆
2519,97,1650,30,837,66,20200511,32,1,0,0,Azerbaijan,阿塞拜疆
2693,174,1735,85,925,88,20200512,33,1,0,0,Azerbaijan,阿塞拜疆
2758,65,1789,54,934,9,20200513,35,2,0,0,Azerbaijan,阿塞拜疆
2879,121,1833,44,1011,77,20200514,35,0,0,0,Azerbaijan,阿塞拜疆
2980,101,1886,53,1058,47,20200515,36,1,0,0,Azerbaijan,阿塞拜疆
3138,158,1944,58,1158,100,20200516,36,0,0,0,Azerbaijan,阿塞拜疆
3274,136,2015,71,1220,62,20200517,39,3,0,0,Azerbaijan,阿塞拜疆
3387,113,2055,40,1292,72,20200518,40,1,0,0,Azerbaijan,阿塞拜疆
3518,131,2198,143,1279,-13,20200519,41,1,0,0,Azerbaijan,阿塞拜疆
3631,113,2253,55,1335,56,20200520,43,2,0,0,Azerbaijan,阿塞拜疆
3749,118,2340,87,1365,30,20200521,44,1,0,0,Azerbaijan,阿塞拜疆
3855,106,2399,59,1410,45,20200522,46,2,0,0,Azerbaijan,阿塞拜疆
3982,127,2506,107,1427,17,20200523,49,3,0,0,Azerbaijan,阿塞拜疆
3982,0,2506,0,1427,0,20200524,49,0,0,0,Azerbaijan,阿塞拜疆
4271,289,2741,235,1479,52,20200525,51,2,0,0,Azerbaijan,阿塞拜疆
4403,132,2819,78,1532,53,20200526,52,1,0,0,Azerbaijan,阿塞拜疆
4568,165,2897,78,1617,85,20200527,54,2,0,0,Azerbaijan,阿塞拜疆
4759,191,3022,125,1681,64,20200528,56,2,0,0,Azerbaijan,阿塞拜疆
4989,230,3125,103,1806,125,20200529,58,2,0,0,Azerbaijan,阿塞拜疆
5246,257,3327,202,1858,52,20200530,61,3,0,0,Azerbaijan,阿塞拜疆
5494,248,3428,101,2003,145,20200531,63,2,0,0,Azerbaijan,阿塞拜疆
