confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200317,0,0,0,0,Bahamas,巴哈马
1,0,0,0,1,0,20200318,0,0,0,0,Bahamas,巴哈马
1,0,0,0,1,0,20200319,0,0,0,0,Bahamas,巴哈马
3,2,0,0,3,2,20200320,0,0,0,0,Bahamas,巴哈马
4,1,0,0,4,1,20200321,0,0,0,0,Bahamas,巴哈马
4,0,0,0,4,0,20200322,0,0,0,0,Bahamas,巴哈马
4,0,0,0,4,0,20200323,0,0,0,0,Bahamas,巴哈马
4,0,0,0,4,0,20200324,0,0,0,0,Bahamas,巴哈马
4,0,0,0,4,0,20200325,0,0,0,0,Bahamas,巴哈马
5,1,0,0,5,1,20200326,0,0,0,0,Bahamas,巴哈马
5,0,0,0,5,0,20200327,0,0,0,0,Bahamas,巴哈马
9,4,0,0,9,4,20200328,0,0,0,0,Bahamas,巴哈马
10,1,0,0,10,1,20200329,0,0,0,0,Bahamas,巴哈马
10,0,0,0,10,0,20200330,0,0,0,0,Bahamas,巴哈马
14,4,0,0,14,4,20200331,0,0,0,0,Bahamas,巴哈马
14,0,0,0,14,0,20200401,0,0,0,0,Bahamas,巴哈马
15,1,0,0,15,1,20200402,0,0,0,0,Bahamas,巴哈马
21,6,0,0,20,5,20200403,1,1,0,0,Bahamas,巴哈马
24,3,0,0,21,1,20200404,3,2,0,0,Bahamas,巴哈马
24,0,0,0,21,0,20200405,3,0,0,0,Bahamas,巴哈马
28,4,0,0,24,3,20200406,4,1,0,0,Bahamas,巴哈马
29,1,0,0,24,0,20200407,5,1,0,0,Bahamas,巴哈马
33,4,0,0,28,4,20200408,5,0,0,0,Bahamas,巴哈马
36,3,0,0,30,2,20200409,6,1,0,0,Bahamas,巴哈马
40,4,0,0,33,3,20200410,7,1,0,0,Bahamas,巴哈马
41,1,0,0,33,0,20200411,8,1,0,0,Bahamas,巴哈马
42,1,0,0,34,1,20200412,8,0,0,0,Bahamas,巴哈马
42,0,0,0,34,0,20200413,8,0,0,0,Bahamas,巴哈马
47,5,0,0,39,5,20200414,8,0,0,0,Bahamas,巴哈马
49,2,0,0,41,2,20200415,8,0,0,0,Bahamas,巴哈马
49,0,0,0,41,0,20200416,8,0,0,0,Bahamas,巴哈马
53,4,0,0,45,4,20200417,8,0,0,0,Bahamas,巴哈马
54,1,0,0,45,0,20200418,9,1,0,0,Bahamas,巴哈马
54,0,0,0,45,0,20200419,9,0,0,0,Bahamas,巴哈马
58,4,0,0,49,4,20200420,9,0,0,0,Bahamas,巴哈马
60,2,0,0,51,2,20200421,9,0,0,0,Bahamas,巴哈马
64,4,0,0,55,4,20200422,9,0,0,0,Bahamas,巴哈马
65,1,0,0,56,1,20200423,9,0,0,0,Bahamas,巴哈马
70,5,0,0,61,5,20200424,9,0,0,0,Bahamas,巴哈马
72,2,0,0,61,0,20200425,11,2,0,0,Bahamas,巴哈马
72,0,0,0,61,0,20200426,11,0,0,0,Bahamas,巴哈马
78,6,0,0,67,6,20200427,11,0,0,0,Bahamas,巴哈马
80,2,0,0,69,2,20200428,11,0,0,0,Bahamas,巴哈马
80,0,0,0,69,0,20200429,11,0,0,0,Bahamas,巴哈马
80,0,0,0,69,0,20200430,11,0,0,0,Bahamas,巴哈马
80,0,0,0,69,0,20200501,11,0,0,0,Bahamas,巴哈马
81,1,0,0,70,1,20200502,11,0,0,0,Bahamas,巴哈马
82,1,0,0,71,1,20200503,11,0,0,0,Bahamas,巴哈马
82,0,0,0,71,0,20200504,11,0,0,0,Bahamas,巴哈马
83,1,0,0,72,1,20200505,11,0,0,0,Bahamas,巴哈马
84,1,0,0,73,1,20200506,11,0,0,0,Bahamas,巴哈马
89,5,0,0,78,5,20200507,11,0,0,0,Bahamas,巴哈马
92,3,0,0,81,3,20200508,11,0,0,0,Bahamas,巴哈马
92,0,0,0,81,0,20200509,11,0,0,0,Bahamas,巴哈马
92,0,0,0,81,0,20200510,11,0,0,0,Bahamas,巴哈马
92,0,0,0,81,0,20200511,11,0,0,0,Bahamas,巴哈马
92,0,0,0,81,0,20200512,11,0,0,0,Bahamas,巴哈马
93,1,0,0,82,1,20200513,11,0,0,0,Bahamas,巴哈马
