confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
8,8,0,0,8,8,20200225,0,0,0,0,Bahrain,巴林
26,18,0,0,26,18,20200226,0,0,0,0,Bahrain,巴林
33,7,0,0,33,7,20200227,0,0,0,0,Bahrain,巴林
33,0,0,0,33,0,20200228,0,0,0,0,Bahrain,巴林
38,5,0,0,38,5,20200229,0,0,0,0,Bahrain,巴林
40,2,0,0,40,2,20200301,0,0,0,0,Bahrain,巴林
47,7,0,0,47,7,20200302,0,0,0,0,Bahrain,巴林
49,2,0,0,49,2,20200303,0,0,0,0,Bahrain,巴林
49,0,0,0,49,0,20200304,0,0,0,0,Bahrain,巴林
49,0,0,0,49,0,20200305,0,0,0,0,Bahrain,巴林
49,0,0,0,49,0,20200306,0,0,0,0,Bahrain,巴林
49,0,0,0,49,0,20200307,0,0,0,0,Bahrain,巴林
56,7,0,0,56,7,20200308,0,0,0,0,Bahrain,巴林
79,23,0,0,79,23,20200309,0,0,0,0,Bahrain,巴林
109,30,0,0,109,30,20200310,0,0,0,0,Bahrain,巴林
110,1,0,0,110,1,20200311,0,0,0,0,Bahrain,巴林
189,79,0,0,189,79,20200312,0,0,0,0,Bahrain,巴林
195,6,0,0,195,6,20200313,0,0,0,0,Bahrain,巴林
210,15,0,0,210,15,20200314,0,0,0,0,Bahrain,巴林
211,1,60,60,151,-59,20200315,0,0,0,0,Bahrain,巴林
221,10,60,0,160,9,20200316,1,1,0,0,Bahrain,巴林
229,8,81,21,147,-13,20200317,1,0,0,0,Bahrain,巴林
237,8,88,7,148,1,20200318,1,0,0,0,Bahrain,巴林
269,32,100,12,168,20,20200319,1,0,0,0,Bahrain,巴林
285,16,100,0,184,16,20200320,1,0,0,0,Bahrain,巴林
306,21,100,0,205,21,20200321,1,0,0,0,Bahrain,巴林
334,28,149,49,183,-22,20200322,2,1,0,0,Bahrain,巴林
339,5,149,0,188,5,20200323,2,0,0,0,Bahrain,巴林
391,52,177,28,211,23,20200324,3,1,0,0,Bahrain,巴林
