confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
3,3,0,0,3,3,20200309,0,0,0,0,Bangladesh,孟加拉国
3,0,0,0,3,0,20200310,0,0,0,0,Bangladesh,孟加拉国
3,0,0,0,3,0,20200311,0,0,0,0,Bangladesh,孟加拉国
3,0,0,0,3,0,20200312,0,0,0,0,Bangladesh,孟加拉国
3,0,0,0,3,0,20200313,0,0,0,0,Bangladesh,孟加拉国
3,0,0,0,3,0,20200314,0,0,0,0,Bangladesh,孟加拉国
3,0,0,0,3,0,20200315,0,0,0,0,Bangladesh,孟加拉国
5,2,0,0,5,2,20200316,0,0,0,0,Bangladesh,孟加拉国
8,3,0,0,8,3,20200317,0,0,0,0,Bangladesh,孟加拉国
8,0,3,3,5,-3,20200318,0,0,0,0,Bangladesh,孟加拉国
17,9,3,0,13,8,20200319,1,1,0,0,Bangladesh,孟加拉国
20,3,3,0,16,3,20200320,1,0,0,0,Bangladesh,孟加拉国
24,4,3,0,19,3,20200321,2,1,0,0,Bangladesh,孟加拉国
27,3,5,2,20,1,20200322,2,0,0,0,Bangladesh,孟加拉国
33,6,5,0,26,6,20200323,2,0,0,0,Bangladesh,孟加拉国
33,0,5,0,25,-1,20200324,3,1,0,0,Bangladesh,孟加拉国
39,6,5,0,30,5,20200325,4,1,0,0,Bangladesh,孟加拉国
44,5,11,6,28,-2,20200326,5,1,0,0,Bangladesh,孟加拉国
48,4,11,0,32,4,20200327,5,0,0,0,Bangladesh,孟加拉国
48,0,11,0,32,0,20200328,5,0,0,0,Bangladesh,孟加拉国
48,0,11,0,32,0,20200329,5,0,0,0,Bangladesh,孟加拉国
49,1,19,8,25,-7,20200330,5,0,0,0,Bangladesh,孟加拉国
51,2,25,6,21,-4,20200331,5,0,0,0,Bangladesh,孟加拉国
54,3,25,0,23,2,20200401,6,1,0,0,Bangladesh,孟加拉国
56,2,25,0,25,2,20200402,6,0,0,0,Bangladesh,孟加拉国
61,5,26,1,29,4,20200403,6,0,0,0,Bangladesh,孟加拉国
70,9,30,4,32,3,20200404,8,2,0,0,Bangladesh,孟加拉国
88,18,33,3,46,14,20200405,9,1,0,0,Bangladesh,孟加拉国
123,35,33,0,78,32,20200406,12,3,0,0,Bangladesh,孟加拉国
164,41,33,0,114,36,20200407,17,5,0,0,Bangladesh,孟加拉国
164,0,33,0,114,0,20200408,17,0,0,0,Bangladesh,孟加拉国
218,54,33,0,165,51,20200409,20,3,0,0,Bangladesh,孟加拉国
330,112,33,0,276,111,20200410,21,1,0,0,Bangladesh,孟加拉国
424,94,33,0,364,88,20200411,27,6,0,0,Bangladesh,孟加拉国
621,197,39,6,548,184,20200412,34,7,0,0,Bangladesh,孟加拉国
803,182,42,3,722,174,20200413,39,5,0,0,Bangladesh,孟加拉国
1012,209,42,0,924,202,20200414,46,7,0,0,Bangladesh,孟加拉国
1012,0,42,0,924,0,20200415,46,0,0,0,Bangladesh,孟加拉国
1231,219,42,0,1139,215,20200416,50,4,0,0,Bangladesh,孟加拉国
1572,341,42,0,1470,331,20200417,60,10,0,0,Bangladesh,孟加拉国
2144,572,66,24,1994,524,20200418,84,24,0,0,Bangladesh,孟加拉国
2456,312,75,9,2290,296,20200419,91,7,0,0,Bangladesh,孟加拉国
2948,492,85,10,2762,472,20200420,101,10,0,0,Bangladesh,孟加拉国
2948,0,85,0,2762,0,20200421,101,0,0,0,Bangladesh,孟加拉国
3382,434,85,0,3187,425,20200422,110,9,0,0,Bangladesh,孟加拉国
3772,390,85,0,3567,380,20200423,120,10,0,0,Bangladesh,孟加拉国
4689,917,112,27,4446,879,20200424,131,11,0,0,Bangladesh,孟加拉国
4998,309,112,0,4746,300,20200425,140,9,0,0,Bangladesh,孟加拉国
4998,0,112,0,4746,0,20200426,140,0,0,0,Bangladesh,孟加拉国
5913,915,131,19,5630,884,20200427,152,12,0,0,Bangladesh,孟加拉国
6462,549,139,8,6168,538,20200428,155,3,0,0,Bangladesh,孟加拉国
7103,641,150,11,6790,622,20200429,163,8,0,0,Bangladesh,孟加拉国
7667,564,160,10,7339,549,20200430,168,5,0,0,Bangladesh,孟加拉国
7667,0,160,0,7339,0,20200501,168,0,0,0,Bangladesh,孟加拉国
