confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200319,0,0,0,0,Barbados,巴巴多斯
2,0,0,0,2,0,20200320,0,0,0,0,Barbados,巴巴多斯
5,3,0,0,5,3,20200321,0,0,0,0,Barbados,巴巴多斯
5,0,0,0,5,0,20200322,0,0,0,0,Barbados,巴巴多斯
5,0,0,0,5,0,20200323,0,0,0,0,Barbados,巴巴多斯
17,12,0,0,17,12,20200324,0,0,0,0,Barbados,巴巴多斯
18,1,0,0,18,1,20200325,0,0,0,0,Barbados,巴巴多斯
18,0,0,0,18,0,20200326,0,0,0,0,Barbados,巴巴多斯
18,0,0,0,18,0,20200327,0,0,0,0,Barbados,巴巴多斯
24,6,0,0,24,6,20200328,0,0,0,0,Barbados,巴巴多斯
24,0,0,0,24,0,20200329,0,0,0,0,Barbados,巴巴多斯
26,2,0,0,26,2,20200330,0,0,0,0,Barbados,巴巴多斯
33,7,0,0,33,7,20200331,0,0,0,0,Barbados,巴巴多斯
33,0,0,0,33,0,20200401,0,0,0,0,Barbados,巴巴多斯
33,0,0,0,33,0,20200402,0,0,0,0,Barbados,巴巴多斯
45,12,0,0,45,12,20200403,0,0,0,0,Barbados,巴巴多斯
45,0,0,0,45,0,20200404,0,0,0,0,Barbados,巴巴多斯
51,6,0,0,51,6,20200405,0,0,0,0,Barbados,巴巴多斯
51,0,0,0,51,0,20200406,0,0,0,0,Barbados,巴巴多斯
56,5,0,0,55,4,20200407,1,1,0,0,Barbados,巴巴多斯
60,4,0,0,58,3,20200408,2,1,0,0,Barbados,巴巴多斯
63,3,0,0,60,2,20200409,3,1,0,0,Barbados,巴巴多斯
63,0,0,0,60,0,20200410,3,0,0,0,Barbados,巴巴多斯
66,3,0,0,62,2,20200411,4,1,0,0,Barbados,巴巴多斯
67,1,0,0,63,1,20200412,4,0,0,0,Barbados,巴巴多斯
68,1,0,0,64,1,20200413,4,0,0,0,Barbados,巴巴多斯
71,3,0,0,67,3,20200414,4,0,0,0,Barbados,巴巴多斯
72,1,0,0,68,1,20200415,4,0,0,0,Barbados,巴巴多斯
73,1,0,0,68,0,20200416,5,1,0,0,Barbados,巴巴多斯
75,2,0,0,70,2,20200417,5,0,0,0,Barbados,巴巴多斯
75,0,0,0,70,0,20200418,5,0,0,0,Barbados,巴巴多斯
75,0,0,0,70,0,20200419,5,0,0,0,Barbados,巴巴多斯
75,0,0,0,70,0,20200420,5,0,0,0,Barbados,巴巴多斯
75,0,0,0,70,0,20200421,5,0,0,0,Barbados,巴巴多斯
75,0,0,0,70,0,20200422,5,0,0,0,Barbados,巴巴多斯
75,0,0,0,70,0,20200423,5,0,0,0,Barbados,巴巴多斯
76,1,0,0,70,0,20200424,6,1,0,0,Barbados,巴巴多斯
76,0,0,0,70,0,20200425,6,0,0,0,Barbados,巴巴多斯
77,1,0,0,71,1,20200426,6,0,0,0,Barbados,巴巴多斯
79,2,0,0,73,2,20200427,6,0,0,0,Barbados,巴巴多斯
79,0,0,0,73,0,20200428,6,0,0,0,Barbados,巴巴多斯
80,1,0,0,74,1,20200429,6,0,0,0,Barbados,巴巴多斯
80,0,0,0,74,0,20200430,6,0,0,0,Barbados,巴巴多斯
