confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200228,0,0,0,0,Belarus,白俄罗斯
1,0,0,0,1,0,20200229,0,0,0,0,Belarus,白俄罗斯
1,0,0,0,1,0,20200301,0,0,0,0,Belarus,白俄罗斯
1,0,0,0,1,0,20200302,0,0,0,0,Belarus,白俄罗斯
1,0,0,0,1,0,20200303,0,0,0,0,Belarus,白俄罗斯
1,0,0,0,1,0,20200304,0,0,0,0,Belarus,白俄罗斯
6,5,0,0,6,5,20200305,0,0,0,0,Belarus,白俄罗斯
6,0,0,0,6,0,20200306,0,0,0,0,Belarus,白俄罗斯
6,0,0,0,6,0,20200307,0,0,0,0,Belarus,白俄罗斯
6,0,0,0,6,0,20200308,0,0,0,0,Belarus,白俄罗斯
6,0,0,0,6,0,20200309,0,0,0,0,Belarus,白俄罗斯
6,0,0,0,6,0,20200310,0,0,0,0,Belarus,白俄罗斯
9,3,0,0,9,3,20200311,0,0,0,0,Belarus,白俄罗斯
12,3,0,0,12,3,20200312,0,0,0,0,Belarus,白俄罗斯
12,0,0,0,12,0,20200313,0,0,0,0,Belarus,白俄罗斯
21,9,0,0,21,9,20200314,0,0,0,0,Belarus,白俄罗斯
21,0,3,3,18,-3,20200315,0,0,0,0,Belarus,白俄罗斯
36,15,3,0,33,15,20200316,0,0,0,0,Belarus,白俄罗斯
36,0,3,0,33,0,20200317,0,0,0,0,Belarus,白俄罗斯
36,0,3,0,33,0,20200318,0,0,0,0,Belarus,白俄罗斯
51,15,3,0,48,15,20200319,0,0,0,0,Belarus,白俄罗斯
69,18,15,12,54,6,20200320,0,0,0,0,Belarus,白俄罗斯
69,0,15,0,54,0,20200321,0,0,0,0,Belarus,白俄罗斯
76,7,15,0,61,7,20200322,0,0,0,0,Belarus,白俄罗斯
89,13,22,7,67,6,20200323,0,0,0,0,Belarus,白俄罗斯
89,0,22,0,67,0,20200324,0,0,0,0,Belarus,白俄罗斯
86,-3,22,0,64,-3,20200325,0,0,0,0,Belarus,白俄罗斯
86,0,22,0,64,0,20200326,0,0,0,0,Belarus,白俄罗斯
86,0,22,0,64,0,20200327,0,0,0,0,Belarus,白俄罗斯
94,8,22,0,72,8,20200328,0,0,0,0,Belarus,白俄罗斯
94,0,22,0,72,0,20200329,0,0,0,0,Belarus,白俄罗斯
152,58,47,25,105,33,20200330,0,0,0,0,Belarus,白俄罗斯
152,0,47,0,104,-1,20200331,1,1,0,0,Belarus,白俄罗斯
157,5,47,0,108,4,20200401,2,1,0,0,Belarus,白俄罗斯
254,97,46,-1,204,96,20200402,4,2,0,0,Belarus,白俄罗斯
351,97,46,0,301,97,20200403,4,0,0,0,Belarus,白俄罗斯
394,43,41,-5,348,47,20200404,5,1,0,0,Belarus,白俄罗斯
502,108,52,11,442,94,20200405,8,3,0,0,Belarus,白俄罗斯
700,198,53,1,634,192,20200406,13,5,0,0,Belarus,白俄罗斯
861,161,54,1,794,160,20200407,13,0,0,0,Belarus,白俄罗斯
1066,205,77,23,976,182,20200408,13,0,0,0,Belarus,白俄罗斯
1066,0,77,0,976,0,20200409,13,0,0,0,Belarus,白俄罗斯
1981,915,169,92,1793,817,20200410,19,6,0,0,Belarus,白俄罗斯
2226,245,169,0,2034,241,20200411,23,4,0,0,Belarus,白俄罗斯
2226,0,169,0,2034,0,20200412,23,0,0,0,Belarus,白俄罗斯
2578,352,169,0,2383,349,20200413,26,3,0,0,Belarus,白俄罗斯
2919,341,169,0,2721,338,20200414,29,3,0,0,Belarus,白俄罗斯
3281,362,169,0,3079,358,20200415,33,4,0,0,Belarus,白俄罗斯
4204,923,169,0,3995,916,20200416,40,7,0,0,Belarus,白俄罗斯
4779,575,342,173,4395,400,20200417,42,2,0,0,Belarus,白俄罗斯
4779,0,342,0,4394,-1,20200418,43,1,0,0,Belarus,白俄罗斯
4779,0,494,152,4238,-156,20200419,47,4,0,0,Belarus,白俄罗斯
6264,1485,494,0,5723,1485,20200420,47,0,0,0,Belarus,白俄罗斯
6723,459,577,83,6091,368,20200421,55,8,0,0,Belarus,白俄罗斯
6723,0,577,0,6091,0,20200422,55,0,0,0,Belarus,白俄罗斯
7281,558,577,0,6644,553,20200423,60,5,0,0,Belarus,白俄罗斯
8773,1492,1120,543,7590,946,20200424,63,3,0,0,Belarus,白俄罗斯
9590,817,1573,453,7950,360,20200425,67,4,0,0,Belarus,白俄罗斯
10463,873,1695,122,8696,746,20200426,72,5,0,0,Belarus,白俄罗斯
11289,826,1740,45,9474,778,20200427,75,3,0,0,Belarus,白俄罗斯
12208,919,1993,253,10136,662,20200428,79,4,0,0,Belarus,白俄罗斯
13181,973,2072,79,11025,889,20200429,84,5,0,0,Belarus,白俄罗斯
14027,846,2386,314,11552,527,20200430,89,5,0,0,Belarus,白俄罗斯
14917,890,2918,532,11906,354,20200501,93,4,0,0,Belarus,白俄罗斯
15828,911,3117,199,12614,708,20200502,97,4,0,0,Belarus,白俄罗斯
15828,0,3117,0,12614,0,20200503,97,0,0,0,Belarus,白俄罗斯
17489,1661,3259,142,14127,1513,20200504,103,6,0,0,Belarus,白俄罗斯
18350,861,3259,0,14988,861,20200505,103,0,0,0,Belarus,白俄罗斯
19255,905,4388,1129,14755,-233,20200506,112,9,0,0,Belarus,白俄罗斯
20168,913,5067,679,14985,230,20200507,116,4,0,0,Belarus,白俄罗斯
20168,0,5067,0,14985,0,20200508,116,0,0,0,Belarus,白俄罗斯
22052,1884,6050,983,15876,891,20200509,126,10,0,0,Belarus,白俄罗斯
22973,921,6406,356,16436,560,20200510,131,5,0,0,Belarus,白俄罗斯
23906,933,6531,125,17240,804,20200511,135,4,0,0,Belarus,白俄罗斯
24873,967,6974,443,17757,517,20200512,142,7,0,0,Belarus,白俄罗斯
25840,967,6974,0,18717,960,20200513,149,7,0,0,Belarus,白俄罗斯
25840,0,6974,0,18717,0,20200514,149,0,0,0,Belarus,白俄罗斯
26772,932,8168,1194,18453,-264,20200515,151,2,0,0,Belarus,白俄罗斯
27730,958,8168,0,19406,953,20200516,156,5,0,0,Belarus,白俄罗斯
29650,1920,9932,1764,19553,147,20200517,165,9,0,0,Belarus,白俄罗斯
29650,0,9932,0,19553,0,20200518,165,0,0,0,Belarus,白俄罗斯
30572,922,9932,0,20469,916,20200519,171,6,0,0,Belarus,白俄罗斯
31508,936,10620,688,20713,244,20200520,175,4,0,0,Belarus,白俄罗斯
33371,1863,11415,795,21771,1058,20200521,185,10,0,0,Belarus,白俄罗斯
34303,932,12057,642,22056,285,20200522,190,5,0,0,Belarus,白俄罗斯
34303,0,12833,776,21280,-776,20200523,190,0,0,0,Belarus,白俄罗斯
36198,1895,14155,1322,21844,564,20200524,199,9,0,0,Belarus,白俄罗斯
37144,946,14449,294,22491,647,20200525,204,5,0,0,Belarus,白俄罗斯
38059,915,15086,637,22765,274,20200526,208,4,0,0,Belarus,白俄罗斯
38956,897,15923,837,22819,54,20200527,214,6,0,0,Belarus,白俄罗斯
38956,0,15923,0,22819,0,20200528,214,0,0,0,Belarus,白俄罗斯
40764,1808,17390,1467,23150,331,20200529,224,10,0,0,Belarus,白俄罗斯
40764,0,17390,0,23150,0,20200530,224,0,0,0,Belarus,白俄罗斯
41658,894,17964,574,23465,315,20200531,229,5,0,0,Belarus,白俄罗斯
42556,898,17964,0,24357,892,20200601,235,6,0,0,Belarus,白俄罗斯
44255,1699,19195,1231,24817,460,20200602,243,8,0,0,Belarus,白俄罗斯
45116,861,20171,976,24697,-120,20200603,248,5,0,0,Belarus,白俄罗斯
45981,865,21162,991,24566,-131,20200604,253,5,0,0,Belarus,白俄罗斯
46868,887,22066,904,24543,-23,20200605,259,6,0,0,Belarus,白俄罗斯
46868,0,22066,0,24543,0,20200606,259,0,0,0,Belarus,白俄罗斯
48630,1762,23647,1581,24714,171,20200607,269,10,0,0,Belarus,白俄罗斯
48630,0,23647,0,24714,0,20200608,269,0,0,0,Belarus,白俄罗斯
49453,823,23880,233,25297,583,20200609,276,7,0,0,Belarus,白俄罗斯
50265,812,24506,626,25477,180,20200610,282,6,0,0,Belarus,白俄罗斯
51816,1551,26643,2137,24880,-597,20200611,293,11,0,0,Belarus,白俄罗斯
51816,0,26643,0,24880,0,20200612,293,0,0,0,Belarus,白俄罗斯
53241,1425,29111,2468,23827,-1053,20200613,303,10,0,0,Belarus,白俄罗斯
53241,0,29111,0,23827,0,20200614,303,0,0,0,Belarus,白俄罗斯
53973,732,30103,992,23562,-265,20200615,308,5,0,0,Belarus,白俄罗斯
55369,1396,31273,1170,23778,216,20200616,318,10,0,0,Belarus,白俄罗斯
56032,663,32735,1462,22973,-805,20200617,324,6,0,0,Belarus,白俄罗斯
56032,0,32735,0,22973,0,20200618,324,0,0,0,Belarus,白俄罗斯
56657,625,32735,0,23591,618,20200619,331,7,0,0,Belarus,白俄罗斯
57333,676,35275,2540,21721,-1870,20200620,337,6,0,0,Belarus,白俄罗斯
57936,603,36749,1474,20844,-877,20200621,343,6,0,0,Belarus,白俄罗斯
59023,1087,37923,1174,20749,-95,20200622,351,8,0,0,Belarus,白俄罗斯
59023,0,37923,0,20749,0,20200623,351,0,0,0,Belarus,白俄罗斯
59487,464,37923,0,21207,458,20200624,357,6,0,0,Belarus,白俄罗斯
59945,458,37923,0,21660,453,20200625,362,5,0,0,Belarus,白俄罗斯
60382,437,37923,0,22092,432,20200626,367,5,0,0,Belarus,白俄罗斯
60713,331,37923,0,22417,325,20200627,373,6,0,0,Belarus,白俄罗斯
61095,382,44126,6203,16592,-5825,20200628,377,4,0,0,Belarus,白俄罗斯
61475,380,44126,0,16966,374,20200629,383,6,0,0,Belarus,白俄罗斯
61790,315,44126,0,17277,311,20200630,387,4,0,0,Belarus,白俄罗斯
62118,328,44126,0,17600,323,20200701,392,5,0,0,Belarus,白俄罗斯
62424,306,44126,0,17900,300,20200702,398,6,0,0,Belarus,白俄罗斯
62698,274,44126,0,18167,267,20200703,405,7,0,0,Belarus,白俄罗斯
62997,299,44126,0,18459,292,20200704,412,7,0,0,Belarus,白俄罗斯
63270,273,44126,0,18726,267,20200705,418,6,0,0,Belarus,白俄罗斯
