confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200317,0,0,0,0,Benin,贝宁
1,0,0,0,1,0,20200318,0,0,0,0,Benin,贝宁
1,0,0,0,1,0,20200319,0,0,0,0,Benin,贝宁
2,1,0,0,2,1,20200320,0,0,0,0,Benin,贝宁
2,0,0,0,2,0,20200321,0,0,0,0,Benin,贝宁
2,0,0,0,2,0,20200322,0,0,0,0,Benin,贝宁
2,0,0,0,2,0,20200323,0,0,0,0,Benin,贝宁
5,3,0,0,5,3,20200324,0,0,0,0,Benin,贝宁
5,0,0,0,5,0,20200325,0,0,0,0,Benin,贝宁
5,0,0,0,5,0,20200326,0,0,0,0,Benin,贝宁
6,1,0,0,6,1,20200327,0,0,0,0,Benin,贝宁
6,0,0,0,6,0,20200328,0,0,0,0,Benin,贝宁
6,0,0,0,6,0,20200329,0,0,0,0,Benin,贝宁
6,0,0,0,6,0,20200330,0,0,0,0,Benin,贝宁
6,0,0,0,6,0,20200331,0,0,0,0,Benin,贝宁
13,7,1,1,12,6,20200401,0,0,0,0,Benin,贝宁
13,0,1,0,12,0,20200402,0,0,0,0,Benin,贝宁
16,3,2,1,14,2,20200403,0,0,0,0,Benin,贝宁
16,0,2,0,14,0,20200404,0,0,0,0,Benin,贝宁
22,6,5,3,17,3,20200405,0,0,0,0,Benin,贝宁
22,0,5,0,16,-1,20200406,1,1,0,0,Benin,贝宁
26,4,5,0,20,4,20200407,1,0,0,0,Benin,贝宁
26,0,5,0,20,0,20200408,1,0,0,0,Benin,贝宁
26,0,5,0,20,0,20200409,1,0,0,0,Benin,贝宁
35,9,5,0,29,9,20200410,1,0,0,0,Benin,贝宁
35,0,5,0,29,0,20200411,1,0,0,0,Benin,贝宁
35,0,5,0,28,-1,20200412,2,1,0,0,Benin,贝宁
35,0,5,0,28,0,20200413,2,0,0,0,Benin,贝宁
35,0,18,13,16,-12,20200414,1,-1,0,0,Benin,贝宁
35,0,18,0,16,0,20200415,1,0,0,0,Benin,贝宁
35,0,18,0,16,0,20200416,1,0,0,0,Benin,贝宁
37,2,18,0,18,2,20200417,1,0,0,0,Benin,贝宁
37,0,18,0,18,0,20200418,1,0,0,0,Benin,贝宁
37,0,18,0,18,0,20200419,1,0,0,0,Benin,贝宁
54,17,27,9,26,8,20200420,1,0,0,0,Benin,贝宁
54,0,27,0,26,0,20200421,1,0,0,0,Benin,贝宁
54,0,27,0,26,0,20200422,1,0,0,0,Benin,贝宁
54,0,27,0,26,0,20200423,1,0,0,0,Benin,贝宁
58,4,27,0,30,4,20200424,1,0,0,0,Benin,贝宁
58,0,27,0,30,0,20200425,1,0,0,0,Benin,贝宁
58,0,27,0,30,0,20200426,1,0,0,0,Benin,贝宁
64,6,33,6,30,0,20200427,1,0,0,0,Benin,贝宁
64,0,33,0,30,0,20200428,1,0,0,0,Benin,贝宁
64,0,33,0,30,0,20200429,1,0,0,0,Benin,贝宁
69,5,33,0,34,4,20200430,2,1,0,0,Benin,贝宁
90,21,42,9,46,12,20200501,2,0,0,0,Benin,贝宁
90,0,42,0,46,0,20200502,2,0,0,0,Benin,贝宁
90,0,42,0,46,0,20200503,2,0,0,0,Benin,贝宁
90,0,42,0,46,0,20200504,2,0,0,0,Benin,贝宁
