confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200320,0,0,0,0,Bermuda,百慕大
2,0,0,0,2,0,20200321,0,0,0,0,Bermuda,百慕大
2,0,0,0,2,0,20200322,0,0,0,0,Bermuda,百慕大
2,0,0,0,2,0,20200323,0,0,0,0,Bermuda,百慕大
6,4,0,0,6,4,20200324,0,0,0,0,Bermuda,百慕大
6,0,0,0,6,0,20200325,0,0,0,0,Bermuda,百慕大
7,1,0,0,7,1,20200326,0,0,0,0,Bermuda,百慕大
7,0,0,0,7,0,20200327,0,0,0,0,Bermuda,百慕大
15,8,0,0,15,8,20200328,0,0,0,0,Bermuda,百慕大
17,2,0,0,17,2,20200329,0,0,0,0,Bermuda,百慕大
22,5,0,0,22,5,20200330,0,0,0,0,Bermuda,百慕大
22,0,0,0,22,0,20200331,0,0,0,0,Bermuda,百慕大
27,5,0,0,27,5,20200401,0,0,0,0,Bermuda,百慕大
32,5,0,0,32,5,20200402,0,0,0,0,Bermuda,百慕大
32,0,0,0,32,0,20200403,0,0,0,0,Bermuda,百慕大
35,3,0,0,35,3,20200404,0,0,0,0,Bermuda,百慕大
35,0,0,0,35,0,20200405,0,0,0,0,Bermuda,百慕大
37,2,0,0,37,2,20200406,0,0,0,0,Bermuda,百慕大
37,0,0,0,37,0,20200407,0,0,0,0,Bermuda,百慕大
39,2,0,0,37,0,20200408,2,2,0,0,Bermuda,百慕大
39,0,0,0,37,0,20200409,2,0,0,0,Bermuda,百慕大
39,0,0,0,36,-1,20200410,3,1,0,0,Bermuda,百慕大
48,9,0,0,44,8,20200411,4,1,0,0,Bermuda,百慕大
48,0,0,0,44,0,20200412,4,0,0,0,Bermuda,百慕大
50,2,0,0,46,2,20200413,4,0,0,0,Bermuda,百慕大
57,7,0,0,53,7,20200414,4,0,0,0,Bermuda,百慕大
57,0,0,0,52,-1,20200415,5,1,0,0,Bermuda,百慕大
57,0,0,0,52,0,20200416,5,0,0,0,Bermuda,百慕大
81,24,0,0,76,24,20200417,5,0,0,0,Bermuda,百慕大
83,2,0,0,78,2,20200418,5,0,0,0,Bermuda,百慕大
83,0,0,0,78,0,20200419,5,0,0,0,Bermuda,百慕大
86,3,0,0,81,3,20200420,5,0,0,0,Bermuda,百慕大
86,0,0,0,81,0,20200421,5,0,0,0,Bermuda,百慕大
86,0,0,0,81,0,20200422,5,0,0,0,Bermuda,百慕大
98,12,0,0,93,12,20200423,5,0,0,0,Bermuda,百慕大
99,1,0,0,94,1,20200424,5,0,0,0,Bermuda,百慕大
99,0,0,0,94,0,20200425,5,0,0,0,Bermuda,百慕大
99,0,0,0,94,0,20200426,5,0,0,0,Bermuda,百慕大
109,10,0,0,104,10,20200427,5,0,0,0,Bermuda,百慕大
109,0,0,0,103,-1,20200428,6,1,0,0,Bermuda,百慕大
110,1,0,0,104,1,20200429,6,0,0,0,Bermuda,百慕大
111,1,0,0,105,1,20200430,6,0,0,0,Bermuda,百慕大
111,0,0,0,105,0,20200501,6,0,0,0,Bermuda,百慕大
114,3,0,0,108,3,20200502,6,0,0,0,Bermuda,百慕大
114,0,0,0,108,0,20200503,6,0,0,0,Bermuda,百慕大
115,1,0,0,108,0,20200504,7,1,0,0,Bermuda,百慕大
115,0,0,0,108,0,20200505,7,0,0,0,Bermuda,百慕大
115,0,0,0,108,0,20200506,7,0,0,0,Bermuda,百慕大
115,0,0,0,108,0,20200507,7,0,0,0,Bermuda,百慕大
118,3,0,0,111,3,20200508,7,0,0,0,Bermuda,百慕大
118,0,0,0,111,0,20200509,7,0,0,0,Bermuda,百慕大
118,0,0,0,111,0,20200510,7,0,0,0,Bermuda,百慕大
118,0,0,0,111,0,20200511,7,0,0,0,Bermuda,百慕大
118,0,0,0,111,0,20200512,7,0,0,0,Bermuda,百慕大
119,1,0,0,111,0,20200513,8,1,0,0,Bermuda,百慕大
121,2,0,0,113,2,20200514,8,0,0,0,Bermuda,百慕大
121,0,0,0,113,0,20200515,8,0,0,0,Bermuda,百慕大
122,1,0,0,113,0,20200516,9,1,0,0,Bermuda,百慕大
123,1,0,0,114,1,20200517,9,0,0,0,Bermuda,百慕大
123,0,0,0,114,0,20200518,9,0,0,0,Bermuda,百慕大
123,0,0,0,114,0,20200519,9,0,0,0,Bermuda,百慕大
125,2,0,0,116,2,20200520,9,0,0,0,Bermuda,百慕大
125,0,0,0,116,0,20200521,9,0,0,0,Bermuda,百慕大
125,0,0,0,116,0,20200522,9,0,0,0,Bermuda,百慕大
125,0,0,0,116,0,20200523,9,0,0,0,Bermuda,百慕大
128,3,0,0,119,3,20200524,9,0,0,0,Bermuda,百慕大
133,5,0,0,124,5,20200525,9,0,0,0,Bermuda,百慕大
133,0,0,0,124,0,20200526,9,0,0,0,Bermuda,百慕大
133,0,0,0,124,0,20200527,9,0,0,0,Bermuda,百慕大
139,6,0,0,130,6,20200528,9,0,0,0,Bermuda,百慕大
139,0,0,0,130,0,20200529,9,0,0,0,Bermuda,百慕大
140,1,0,0,131,1,20200530,9,0,0,0,Bermuda,百慕大
140,0,0,0,131,0,20200531,9,0,0,0,Bermuda,百慕大
140,0,0,0,131,0,20200601,9,0,0,0,Bermuda,百慕大
140,0,0,0,131,0,20200602,9,0,0,0,Bermuda,百慕大
141,1,0,0,132,1,20200603,9,0,0,0,Bermuda,百慕大
141,0,0,0,132,0,20200604,9,0,0,0,Bermuda,百慕大
141,0,0,0,132,0,20200605,9,0,0,0,Bermuda,百慕大
141,0,0,0,132,0,20200606,9,0,0,0,Bermuda,百慕大
141,0,0,0,132,0,20200607,9,0,0,0,Bermuda,百慕大
141,0,0,0,132,0,20200608,9,0,0,0,Bermuda,百慕大
141,0,0,0,132,0,20200609,9,0,0,0,Bermuda,百慕大
141,0,0,0,132,0,20200610,9,0,0,0,Bermuda,百慕大
141,0,0,0,132,0,20200611,9,0,0,0,Bermuda,百慕大
141,0,0,0,132,0,20200612,9,0,0,0,Bermuda,百慕大
141,0,0,0,132,0,20200613,9,0,0,0,Bermuda,百慕大
142,1,0,0,133,1,20200614,9,0,0,0,Bermuda,百慕大
144,2,0,0,135,2,20200615,9,0,0,0,Bermuda,百慕大
144,0,0,0,135,0,20200616,9,0,0,0,Bermuda,百慕大
144,0,0,0,135,0,20200617,9,0,0,0,Bermuda,百慕大
144,0,0,0,135,0,20200618,9,0,0,0,Bermuda,百慕大
144,0,0,0,135,0,20200619,9,0,0,0,Bermuda,百慕大
144,0,0,0,135,0,20200620,9,0,0,0,Bermuda,百慕大
146,2,0,0,137,2,20200621,9,0,0,0,Bermuda,百慕大
146,0,0,0,137,0,20200622,9,0,0,0,Bermuda,百慕大
146,0,0,0,137,0,20200623,9,0,0,0,Bermuda,百慕大
146,0,0,0,137,0,20200624,9,0,0,0,Bermuda,百慕大
146,0,0,0,137,0,20200625,9,0,0,0,Bermuda,百慕大
146,0,0,0,137,0,20200626,9,0,0,0,Bermuda,百慕大
146,0,0,0,137,0,20200627,9,0,0,0,Bermuda,百慕大
146,0,0,0,137,0,20200628,9,0,0,0,Bermuda,百慕大
146,0,0,0,137,0,20200629,9,0,0,0,Bermuda,百慕大
146,0,0,0,137,0,20200630,9,0,0,0,Bermuda,百慕大
146,0,0,0,137,0,20200701,9,0,0,0,Bermuda,百慕大
146,0,0,0,137,0,20200702,9,0,0,0,Bermuda,百慕大
146,0,0,0,137,0,20200703,9,0,0,0,Bermuda,百慕大
146,0,0,0,137,0,20200704,9,0,0,0,Bermuda,百慕大
146,0,0,0,137,0,20200705,9,0,0,0,Bermuda,百慕大
146,0,0,0,137,0,20200706,9,0,0,0,Bermuda,百慕大
146,0,0,0,137,0,20200707,9,0,0,0,Bermuda,百慕大
146,0,0,0,137,0,20200708,9,0,0,0,Bermuda,百慕大
