confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200306,0,0,0,0,Bhutan,不丹
1,0,0,0,1,0,20200307,0,0,0,0,Bhutan,不丹
1,0,0,0,1,0,20200308,0,0,0,0,Bhutan,不丹
1,0,0,0,1,0,20200309,0,0,0,0,Bhutan,不丹
1,0,0,0,1,0,20200310,0,0,0,0,Bhutan,不丹
1,0,0,0,1,0,20200311,0,0,0,0,Bhutan,不丹
1,0,0,0,1,0,20200312,0,0,0,0,Bhutan,不丹
1,0,0,0,1,0,20200313,0,0,0,0,Bhutan,不丹
1,0,0,0,1,0,20200314,0,0,0,0,Bhutan,不丹
1,0,0,0,1,0,20200315,0,0,0,0,Bhutan,不丹
1,0,0,0,1,0,20200316,0,0,0,0,Bhutan,不丹
1,0,0,0,1,0,20200317,0,0,0,0,Bhutan,不丹
1,0,0,0,1,0,20200318,0,0,0,0,Bhutan,不丹
1,0,0,0,1,0,20200319,0,0,0,0,Bhutan,不丹
2,1,0,0,2,1,20200320,0,0,0,0,Bhutan,不丹
2,0,0,0,2,0,20200321,0,0,0,0,Bhutan,不丹
2,0,0,0,2,0,20200322,0,0,0,0,Bhutan,不丹
2,0,0,0,2,0,20200323,0,0,0,0,Bhutan,不丹
2,0,0,0,2,0,20200324,0,0,0,0,Bhutan,不丹
2,0,0,0,2,0,20200325,0,0,0,0,Bhutan,不丹
2,0,0,0,2,0,20200326,0,0,0,0,Bhutan,不丹
3,1,0,0,3,1,20200327,0,0,0,0,Bhutan,不丹
3,0,0,0,3,0,20200328,0,0,0,0,Bhutan,不丹
3,0,0,0,3,0,20200329,0,0,0,0,Bhutan,不丹
3,0,0,0,3,0,20200330,0,0,0,0,Bhutan,不丹
4,1,0,0,4,1,20200331,0,0,0,0,Bhutan,不丹
4,0,0,0,4,0,20200401,0,0,0,0,Bhutan,不丹
4,0,0,0,4,0,20200402,0,0,0,0,Bhutan,不丹
5,1,0,0,5,1,20200403,0,0,0,0,Bhutan,不丹
5,0,0,0,5,0,20200404,0,0,0,0,Bhutan,不丹
5,0,0,0,5,0,20200405,0,0,0,0,Bhutan,不丹
5,0,0,0,5,0,20200406,0,0,0,0,Bhutan,不丹
5,0,0,0,5,0,20200407,0,0,0,0,Bhutan,不丹
5,0,0,0,5,0,20200408,0,0,0,0,Bhutan,不丹
5,0,0,0,5,0,20200409,0,0,0,0,Bhutan,不丹
5,0,0,0,5,0,20200410,0,0,0,0,Bhutan,不丹
5,0,0,0,5,0,20200411,0,0,0,0,Bhutan,不丹
5,0,0,0,5,0,20200412,0,0,0,0,Bhutan,不丹
5,0,0,0,5,0,20200413,0,0,0,0,Bhutan,不丹
5,0,0,0,5,0,20200414,0,0,0,0,Bhutan,不丹
5,0,0,0,5,0,20200415,0,0,0,0,Bhutan,不丹
5,0,0,0,5,0,20200416,0,0,0,0,Bhutan,不丹
5,0,0,0,5,0,20200417,0,0,0,0,Bhutan,不丹
5,0,0,0,5,0,20200418,0,0,0,0,Bhutan,不丹
5,0,0,0,5,0,20200419,0,0,0,0,Bhutan,不丹
5,0,0,0,5,0,20200420,0,0,0,0,Bhutan,不丹
6,1,0,0,6,1,20200421,0,0,0,0,Bhutan,不丹
6,0,0,0,6,0,20200422,0,0,0,0,Bhutan,不丹
7,1,0,0,7,1,20200423,0,0,0,0,Bhutan,不丹
7,0,0,0,7,0,20200424,0,0,0,0,Bhutan,不丹
7,0,0,0,7,0,20200425,0,0,0,0,Bhutan,不丹
7,0,0,0,7,0,20200426,0,0,0,0,Bhutan,不丹
7,0,0,0,7,0,20200427,0,0,0,0,Bhutan,不丹
7,0,0,0,7,0,20200428,0,0,0,0,Bhutan,不丹
7,0,0,0,7,0,20200429,0,0,0,0,Bhutan,不丹
7,0,0,0,7,0,20200430,0,0,0,0,Bhutan,不丹
7,0,0,0,7,0,20200501,0,0,0,0,Bhutan,不丹
7,0,0,0,7,0,20200502,0,0,0,0,Bhutan,不丹
7,0,0,0,7,0,20200503,0,0,0,0,Bhutan,不丹
7,0,0,0,7,0,20200504,0,0,0,0,Bhutan,不丹
7,0,0,0,7,0,20200505,0,0,0,0,Bhutan,不丹
7,0,0,0,7,0,20200506,0,0,0,0,Bhutan,不丹
7,0,0,0,7,0,20200507,0,0,0,0,Bhutan,不丹
7,0,0,0,7,0,20200508,0,0,0,0,Bhutan,不丹
7,0,0,0,7,0,20200509,0,0,0,0,Bhutan,不丹
7,0,0,0,7,0,20200510,0,0,0,0,Bhutan,不丹
9,2,0,0,9,2,20200511,0,0,0,0,Bhutan,不丹
11,2,0,0,11,2,20200512,0,0,0,0,Bhutan,不丹
11,0,0,0,11,0,20200513,0,0,0,0,Bhutan,不丹
15,4,0,0,15,4,20200514,0,0,0,0,Bhutan,不丹
20,5,0,0,20,5,20200515,0,0,0,0,Bhutan,不丹
21,1,0,0,21,1,20200516,0,0,0,0,Bhutan,不丹
21,0,0,0,21,0,20200517,0,0,0,0,Bhutan,不丹
21,0,0,0,21,0,20200518,0,0,0,0,Bhutan,不丹
21,0,0,0,21,0,20200519,0,0,0,0,Bhutan,不丹
21,0,0,0,21,0,20200520,0,0,0,0,Bhutan,不丹
21,0,0,0,21,0,20200521,0,0,0,0,Bhutan,不丹
21,0,0,0,21,0,20200522,0,0,0,0,Bhutan,不丹
21,0,0,0,21,0,20200523,0,0,0,0,Bhutan,不丹
24,3,0,0,24,3,20200524,0,0,0,0,Bhutan,不丹
27,3,0,0,27,3,20200525,0,0,0,0,Bhutan,不丹
27,0,0,0,27,0,20200526,0,0,0,0,Bhutan,不丹
27,0,0,0,27,0,20200527,0,0,0,0,Bhutan,不丹
28,1,0,0,28,1,20200528,0,0,0,0,Bhutan,不丹
31,3,0,0,31,3,20200529,0,0,0,0,Bhutan,不丹
33,2,0,0,33,2,20200530,0,0,0,0,Bhutan,不丹
43,10,0,0,43,10,20200531,0,0,0,0,Bhutan,不丹
43,0,0,0,43,0,20200601,0,0,0,0,Bhutan,不丹
47,4,0,0,47,4,20200602,0,0,0,0,Bhutan,不丹
47,0,0,0,47,0,20200603,0,0,0,0,Bhutan,不丹
47,0,0,0,47,0,20200604,0,0,0,0,Bhutan,不丹
47,0,0,0,47,0,20200605,0,0,0,0,Bhutan,不丹
48,1,0,0,48,1,20200606,0,0,0,0,Bhutan,不丹
48,0,0,0,48,0,20200607,0,0,0,0,Bhutan,不丹
59,11,0,0,59,11,20200608,0,0,0,0,Bhutan,不丹
59,0,0,0,59,0,20200609,0,0,0,0,Bhutan,不丹
59,0,0,0,59,0,20200610,0,0,0,0,Bhutan,不丹
