confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200311,0,0,0,0,Bolivia (Plurinational State of),玻利维亚
2,0,0,0,2,0,20200312,0,0,0,0,Bolivia (Plurinational State of),玻利维亚
3,1,0,0,3,1,20200313,0,0,0,0,Bolivia (Plurinational State of),玻利维亚
3,0,0,0,3,0,20200314,0,0,0,0,Bolivia (Plurinational State of),玻利维亚
3,0,0,0,3,0,20200315,0,0,0,0,Bolivia (Plurinational State of),玻利维亚
11,8,0,0,11,8,20200316,0,0,0,0,Bolivia (Plurinational State of),玻利维亚
11,0,0,0,11,0,20200317,0,0,0,0,Bolivia (Plurinational State of),玻利维亚
11,0,0,0,11,0,20200318,0,0,0,0,Bolivia (Plurinational State of),玻利维亚
11,0,0,0,11,0,20200319,0,0,0,0,Bolivia (Plurinational State of),玻利维亚
15,4,0,0,15,4,20200320,0,0,0,0,Bolivia (Plurinational State of),玻利维亚
16,1,0,0,16,1,20200321,0,0,0,0,Bolivia (Plurinational State of),玻利维亚
19,3,0,0,19,3,20200322,0,0,0,0,Bolivia (Plurinational State of),玻利维亚
24,5,0,0,24,5,20200323,0,0,0,0,Bolivia (Plurinational State of),玻利维亚
27,3,0,0,27,3,20200324,0,0,0,0,Bolivia (Plurinational State of),玻利维亚
28,1,0,0,28,1,20200325,0,0,0,0,Bolivia (Plurinational State of),玻利维亚
39,11,0,0,39,11,20200326,0,0,0,0,Bolivia (Plurinational State of),玻利维亚
39,0,0,0,39,0,20200327,0,0,0,0,Bolivia (Plurinational State of),玻利维亚
61,22,0,0,61,22,20200328,0,0,0,0,Bolivia (Plurinational State of),玻利维亚
74,13,0,0,74,13,20200329,0,0,0,0,Bolivia (Plurinational State of),玻利维亚
74,0,0,0,74,0,20200330,0,0,0,0,Bolivia (Plurinational State of),玻利维亚
97,23,0,0,92,18,20200331,5,5,0,0,Bolivia (Plurinational State of),玻利维亚
107,10,0,0,101,9,20200401,6,1,0,0,Bolivia (Plurinational State of),玻利维亚
115,8,0,0,108,7,20200402,7,1,0,0,Bolivia (Plurinational State of),玻利维亚
123,8,0,0,115,7,20200403,8,1,0,0,Bolivia (Plurinational State of),玻利维亚
132,9,0,0,123,8,20200404,9,1,0,0,Bolivia (Plurinational State of),玻利维亚
139,7,0,0,129,6,20200405,10,1,0,0,Bolivia (Plurinational State of),玻利维亚
157,18,0,0,147,18,20200406,10,0,0,0,Bolivia (Plurinational State of),玻利维亚
183,26,0,0,172,25,20200407,11,1,0,0,Bolivia (Plurinational State of),玻利维亚
194,11,0,0,180,8,20200408,14,3,0,0,Bolivia (Plurinational State of),玻利维亚
210,16,0,0,195,15,20200409,15,1,0,0,Bolivia (Plurinational State of),玻利维亚
268,58,0,0,249,54,20200410,19,4,0,0,Bolivia (Plurinational State of),玻利维亚
268,0,0,0,249,0,20200411,19,0,0,0,Bolivia (Plurinational State of),玻利维亚
275,7,0,0,255,6,20200412,20,1,0,0,Bolivia (Plurinational State of),玻利维亚
300,25,0,0,276,21,20200413,24,4,0,0,Bolivia (Plurinational State of),玻利维亚
330,30,0,0,303,27,20200414,27,3,0,0,Bolivia (Plurinational State of),玻利维亚
330,0,0,0,303,0,20200415,27,0,0,0,Bolivia (Plurinational State of),玻利维亚
397,67,0,0,369,66,20200416,28,1,0,0,Bolivia (Plurinational State of),玻利维亚
441,44,0,0,412,43,20200417,29,1,0,0,Bolivia (Plurinational State of),玻利维亚
465,24,0,0,434,22,20200418,31,2,0,0,Bolivia (Plurinational State of),玻利维亚
493,28,0,0,462,28,20200419,31,0,0,0,Bolivia (Plurinational State of),玻利维亚
520,27,0,0,488,26,20200420,32,1,0,0,Bolivia (Plurinational State of),玻利维亚
564,44,0,0,531,43,20200421,33,1,0,0,Bolivia (Plurinational State of),玻利维亚
598,34,0,0,564,33,20200422,34,1,0,0,Bolivia (Plurinational State of),玻利维亚
609,11,0,0,572,8,20200423,37,3,0,0,Bolivia (Plurinational State of),玻利维亚
672,63,0,0,632,60,20200424,40,3,0,0,Bolivia (Plurinational State of),玻利维亚
703,31,0,0,660,28,20200425,43,3,0,0,Bolivia (Plurinational State of),玻利维亚
807,104,0,0,763,103,20200426,44,1,0,0,Bolivia (Plurinational State of),玻利维亚
866,59,0,0,820,57,20200427,46,2,0,0,Bolivia (Plurinational State of),玻利维亚
950,84,50,50,820,0,20200428,80,34,0,0,Bolivia (Plurinational State of),玻利维亚
1014,64,50,0,884,64,20200429,80,0,0,0,Bolivia (Plurinational State of),玻利维亚
1053,39,50,0,923,39,20200430,80,0,0,0,Bolivia (Plurinational State of),玻利维亚
1110,57,50,0,980,57,20200501,80,0,0,0,Bolivia (Plurinational State of),玻利维亚
1167,57,50,0,1037,57,20200502,80,0,0,0,Bolivia (Plurinational State of),玻利维亚
1470,303,159,109,1231,194,20200503,80,0,0,0,Bolivia (Plurinational State of),玻利维亚
1470,0,159,0,1231,0,20200504,80,0,0,0,Bolivia (Plurinational State of),玻利维亚
1594,124,159,0,1355,124,20200505,80,0,0,0,Bolivia (Plurinational State of),玻利维亚
1681,87,159,0,1440,85,20200506,82,2,0,0,Bolivia (Plurinational State of),玻利维亚
1802,121,159,0,1557,117,20200507,86,4,0,0,Bolivia (Plurinational State of),玻利维亚
1886,84,159,0,1636,79,20200508,91,5,0,0,Bolivia (Plurinational State of),玻利维亚
2081,195,159,0,1820,184,20200509,102,11,0,0,Bolivia (Plurinational State of),玻利维亚
2266,185,159,0,2001,181,20200510,106,4,0,0,Bolivia (Plurinational State of),玻利维亚
