confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200305,0,0,0,0,Bosnia and Herzegovina,波黑
2,0,0,0,2,0,20200306,0,0,0,0,Bosnia and Herzegovina,波黑
2,0,0,0,2,0,20200307,0,0,0,0,Bosnia and Herzegovina,波黑
2,0,0,0,2,0,20200308,0,0,0,0,Bosnia and Herzegovina,波黑
2,0,0,0,2,0,20200309,0,0,0,0,Bosnia and Herzegovina,波黑
2,0,0,0,2,0,20200310,0,0,0,0,Bosnia and Herzegovina,波黑
4,2,0,0,4,2,20200311,0,0,0,0,Bosnia and Herzegovina,波黑
4,0,0,0,4,0,20200312,0,0,0,0,Bosnia and Herzegovina,波黑
4,0,0,0,4,0,20200313,0,0,0,0,Bosnia and Herzegovina,波黑
11,7,0,0,11,7,20200314,0,0,0,0,Bosnia and Herzegovina,波黑
18,7,0,0,18,7,20200315,0,0,0,0,Bosnia and Herzegovina,波黑
18,0,0,0,18,0,20200316,0,0,0,0,Bosnia and Herzegovina,波黑
19,1,0,0,19,1,20200317,0,0,0,0,Bosnia and Herzegovina,波黑
19,0,0,0,19,0,20200318,0,0,0,0,Bosnia and Herzegovina,波黑
64,45,0,0,64,45,20200319,0,0,0,0,Bosnia and Herzegovina,波黑
64,0,0,0,64,0,20200320,0,0,0,0,Bosnia and Herzegovina,波黑
64,0,0,0,64,0,20200321,0,0,0,0,Bosnia and Herzegovina,波黑
92,28,0,0,91,27,20200322,1,1,0,0,Bosnia and Herzegovina,波黑
131,39,2,2,128,37,20200323,1,0,0,0,Bosnia and Herzegovina,波黑
131,0,2,0,128,0,20200324,1,0,0,0,Bosnia and Herzegovina,波黑
176,45,2,0,171,43,20200325,3,2,0,0,Bosnia and Herzegovina,波黑
176,0,2,0,171,0,20200326,3,0,0,0,Bosnia and Herzegovina,波黑
230,54,5,3,221,50,20200327,4,1,0,0,Bosnia and Herzegovina,波黑
233,3,5,0,224,3,20200328,4,0,0,0,Bosnia and Herzegovina,波黑
324,91,8,3,310,86,20200329,6,2,0,0,Bosnia and Herzegovina,波黑
358,34,17,9,332,22,20200330,9,3,0,0,Bosnia and Herzegovina,波黑
409,51,17,0,380,48,20200331,12,3,0,0,Bosnia and Herzegovina,波黑
413,4,17,0,384,4,20200401,12,0,0,0,Bosnia and Herzegovina,波黑
464,51,17,0,434,50,20200402,13,1,0,0,Bosnia and Herzegovina,波黑
575,111,17,0,542,108,20200403,16,3,0,0,Bosnia and Herzegovina,波黑
624,49,30,13,573,31,20200404,21,5,0,0,Bosnia and Herzegovina,波黑
632,8,30,0,581,8,20200405,21,0,0,0,Bosnia and Herzegovina,波黑
674,42,47,17,598,17,20200406,29,8,0,0,Bosnia and Herzegovina,波黑
695,21,47,0,619,21,20200407,29,0,0,0,Bosnia and Herzegovina,波黑
804,109,79,32,691,72,20200408,34,5,0,0,Bosnia and Herzegovina,波黑
846,42,101,22,710,19,20200409,35,1,0,0,Bosnia and Herzegovina,波黑
886,40,129,28,721,11,20200410,36,1,0,0,Bosnia and Herzegovina,波黑
901,15,139,10,725,4,20200411,37,1,0,0,Bosnia and Herzegovina,波黑
1000,99,193,54,768,43,20200412,39,2,0,0,Bosnia and Herzegovina,波黑
1046,46,206,13,801,33,20200413,39,0,0,0,Bosnia and Herzegovina,波黑
1076,30,234,28,801,0,20200414,41,2,0,0,Bosnia and Herzegovina,波黑
1106,30,251,17,813,12,20200415,42,1,0,0,Bosnia and Herzegovina,波黑
1159,53,275,24,840,27,20200416,44,2,0,0,Bosnia and Herzegovina,波黑
1195,36,322,47,829,-11,20200417,44,0,0,0,Bosnia and Herzegovina,波黑
1245,50,341,19,857,28,20200418,47,3,0,0,Bosnia and Herzegovina,波黑
1268,23,347,6,872,15,20200419,49,2,0,0,Bosnia and Herzegovina,波黑
1276,8,381,34,845,-27,20200420,50,1,0,0,Bosnia and Herzegovina,波黑
1318,42,398,17,869,24,20200421,51,1,0,0,Bosnia and Herzegovina,波黑
1350,32,460,62,836,-33,20200422,54,3,0,0,Bosnia and Herzegovina,波黑
1387,37,476,16,857,21,20200423,54,0,0,0,Bosnia and Herzegovina,波黑
1413,26,538,62,820,-37,20200424,55,1,0,0,Bosnia and Herzegovina,波黑
1458,45,592,54,808,-12,20200425,58,3,0,0,Bosnia and Herzegovina,波黑
1488,30,628,36,801,-7,20200426,59,1,0,0,Bosnia and Herzegovina,波黑
1537,49,659,31,818,17,20200427,60,1,0,0,Bosnia and Herzegovina,波黑
1557,20,695,36,800,-18,20200428,62,2,0,0,Bosnia and Herzegovina,波黑
1651,94,720,25,866,66,20200429,65,3,0,0,Bosnia and Herzegovina,波黑
1689,38,720,0,904,38,20200430,65,0,0,0,Bosnia and Herzegovina,波黑
1756,67,766,46,920,16,20200501,70,5,0,0,Bosnia and Herzegovina,波黑
1817,61,790,24,955,35,20200502,72,2,0,0,Bosnia and Herzegovina,波黑
1817,0,790,0,955,0,20200503,72,0,0,0,Bosnia and Herzegovina,波黑
