confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200227,0,0,0,0,Brazil,巴西
1,0,0,0,1,0,20200228,0,0,0,0,Brazil,巴西
1,0,0,0,1,0,20200229,0,0,0,0,Brazil,巴西
2,1,0,0,2,1,20200301,0,0,0,0,Brazil,巴西
2,0,0,0,2,0,20200302,0,0,0,0,Brazil,巴西
2,0,0,0,2,0,20200303,0,0,0,0,Brazil,巴西
2,0,0,0,2,0,20200304,0,0,0,0,Brazil,巴西
3,1,0,0,3,1,20200305,0,0,0,0,Brazil,巴西
7,4,0,0,7,4,20200306,0,0,0,0,Brazil,巴西
13,6,0,0,13,6,20200307,0,0,0,0,Brazil,巴西
19,6,0,0,19,6,20200308,0,0,0,0,Brazil,巴西
25,6,0,0,25,6,20200309,0,0,0,0,Brazil,巴西
25,0,0,0,25,0,20200310,0,0,0,0,Brazil,巴西
34,9,0,0,34,9,20200311,0,0,0,0,Brazil,巴西
52,18,0,0,52,18,20200312,0,0,0,0,Brazil,巴西
77,25,0,0,77,25,20200313,0,0,0,0,Brazil,巴西
98,21,0,0,98,21,20200314,0,0,0,0,Brazil,巴西
121,23,0,0,121,23,20200315,0,0,0,0,Brazil,巴西
200,79,0,0,200,79,20200316,0,0,0,0,Brazil,巴西
234,34,0,0,234,34,20200317,0,0,0,0,Brazil,巴西
234,0,0,0,234,0,20200318,0,0,0,0,Brazil,巴西
621,387,0,0,614,380,20200319,7,7,0,0,Brazil,巴西
904,283,0,0,893,279,20200320,11,4,0,0,Brazil,巴西
1128,224,0,0,1110,217,20200321,18,7,0,0,Brazil,巴西
1546,418,0,0,1521,411,20200322,25,7,0,0,Brazil,巴西
1546,0,0,0,1521,0,20200323,25,0,0,0,Brazil,巴西
1891,345,0,0,1857,336,20200324,34,9,0,0,Brazil,巴西
2433,542,0,0,2376,519,20200325,57,23,0,0,Brazil,巴西
2915,482,0,0,2838,462,20200326,77,20,0,0,Brazil,巴西
2915,0,0,0,2838,0,20200327,77,0,0,0,Brazil,巴西
3417,502,0,0,3325,487,20200328,92,15,0,0,Brazil,巴西
4256,839,0,0,4120,795,20200329,136,44,0,0,Brazil,巴西
4579,323,0,0,4420,300,20200330,159,23,0,0,Brazil,巴西
5717,1138,0,0,5516,1096,20200331,201,42,0,0,Brazil,巴西
6836,1119,0,0,6595,1079,20200401,241,40,0,0,Brazil,巴西
7910,1074,0,0,7611,1016,20200402,299,58,0,0,Brazil,巴西
7910,0,0,0,7611,0,20200403,299,0,0,0,Brazil,巴西
9056,1146,0,0,8697,1086,20200404,359,60,0,0,Brazil,巴西
10278,1222,0,0,9919,1222,20200405,359,0,0,0,Brazil,巴西
12056,1778,0,0,11503,1584,20200406,553,194,0,0,Brazil,巴西
13717,1661,0,0,13050,1547,20200407,667,114,0,0,Brazil,巴西
15927,2210,0,0,15127,2077,20200408,800,133,0,0,Brazil,巴西
17857,1930,127,127,16789,1662,20200409,941,141,0,0,Brazil,巴西
19638,1781,127,0,18455,1666,20200410,1056,115,0,0,Brazil,巴西
20727,1089,127,0,19476,1021,20200411,1124,68,0,0,Brazil,巴西
22169,1442,127,0,20819,1343,20200412,1223,99,0,0,Brazil,巴西
22169,0,127,0,20819,0,20200413,1223,0,0,0,Brazil,巴西
25262,3093,127,0,23603,2784,20200414,1532,309,0,0,Brazil,巴西
28320,3058,14026,13899,12558,-11045,20200415,1736,204,0,0,Brazil,巴西
30425,2105,14026,0,14475,1917,20200416,1924,188,0,0,Brazil,巴西
33682,3257,14026,0,17515,3040,20200417,2141,217,0,0,Brazil,巴西
36599,2917,14026,0,20226,2711,20200418,2347,206,0,0,Brazil,巴西
38654,2055,14026,0,22166,1940,20200419,2462,115,0,0,Brazil,巴西
40581,1927,22130,8104,15876,-6290,20200420,2575,113,0,0,Brazil,巴西
43079,2498,22991,861,17347,1471,20200421,2741,166,0,0,Brazil,巴西
45757,2678,25318,2327,17533,186,20200422,2906,165,0,0,Brazil,巴西
49492,3735,26573,1255,19606,2073,20200423,3313,407,0,0,Brazil,巴西
52995,3503,27655,1082,21670,2064,20200424,3670,357,0,0,Brazil,巴西
