confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200310,0,0,0,0,Brunei Darussalam,文莱
1,0,0,0,1,0,20200311,0,0,0,0,Brunei Darussalam,文莱
12,11,0,0,12,11,20200312,0,0,0,0,Brunei Darussalam,文莱
12,0,0,0,12,0,20200313,0,0,0,0,Brunei Darussalam,文莱
25,13,0,0,25,13,20200314,0,0,0,0,Brunei Darussalam,文莱
40,15,0,0,40,15,20200315,0,0,0,0,Brunei Darussalam,文莱
50,10,0,0,50,10,20200316,0,0,0,0,Brunei Darussalam,文莱
50,0,0,0,50,0,20200317,0,0,0,0,Brunei Darussalam,文莱
54,4,0,0,54,4,20200318,0,0,0,0,Brunei Darussalam,文莱
73,19,0,0,73,19,20200319,0,0,0,0,Brunei Darussalam,文莱
78,5,1,1,77,4,20200320,0,0,0,0,Brunei Darussalam,文莱
83,5,2,1,81,4,20200321,0,0,0,0,Brunei Darussalam,文莱
88,5,4,2,84,3,20200322,0,0,0,0,Brunei Darussalam,文莱
91,3,4,0,87,3,20200323,0,0,0,0,Brunei Darussalam,文莱
104,13,4,0,100,13,20200324,0,0,0,0,Brunei Darussalam,文莱
109,5,4,0,105,5,20200325,0,0,0,0,Brunei Darussalam,文莱
114,5,5,1,109,4,20200326,0,0,0,0,Brunei Darussalam,文莱
115,1,11,6,104,-5,20200327,0,0,0,0,Brunei Darussalam,文莱
120,5,25,14,94,-10,20200328,1,1,0,0,Brunei Darussalam,文莱
126,6,34,9,91,-3,20200329,1,0,0,0,Brunei Darussalam,文莱
127,1,38,4,88,-3,20200330,1,0,0,0,Brunei Darussalam,文莱
129,2,45,7,83,-5,20200331,1,0,0,0,Brunei Darussalam,文莱
131,2,45,0,85,2,20200401,1,0,0,0,Brunei Darussalam,文莱
133,2,56,11,76,-9,20200402,1,0,0,0,Brunei Darussalam,文莱
134,1,65,9,68,-8,20200403,1,0,0,0,Brunei Darussalam,文莱
135,1,65,0,69,1,20200404,1,0,0,0,Brunei Darussalam,文莱
135,0,65,0,69,0,20200405,1,0,0,0,Brunei Darussalam,文莱
135,0,65,0,69,0,20200406,1,0,0,0,Brunei Darussalam,文莱
135,0,65,0,69,0,20200407,1,0,0,0,Brunei Darussalam,文莱
135,0,65,0,69,0,20200408,1,0,0,0,Brunei Darussalam,文莱
135,0,65,0,69,0,20200409,1,0,0,0,Brunei Darussalam,文莱
136,1,99,34,36,-33,20200410,1,0,0,0,Brunei Darussalam,文莱
136,0,99,0,36,0,20200411,1,0,0,0,Brunei Darussalam,文莱
136,0,99,0,36,0,20200412,1,0,0,0,Brunei Darussalam,文莱
136,0,99,0,36,0,20200413,1,0,0,0,Brunei Darussalam,文莱
136,0,99,0,36,0,20200414,1,0,0,0,Brunei Darussalam,文莱
136,0,99,0,36,0,20200415,1,0,0,0,Brunei Darussalam,文莱
136,0,99,0,36,0,20200416,1,0,0,0,Brunei Darussalam,文莱
136,0,99,0,36,0,20200417,1,0,0,0,Brunei Darussalam,文莱
137,1,113,14,23,-13,20200418,1,0,0,0,Brunei Darussalam,文莱
138,1,115,2,22,-1,20200419,1,0,0,0,Brunei Darussalam,文莱
138,0,115,0,22,0,20200420,1,0,0,0,Brunei Darussalam,文莱
138,0,115,0,22,0,20200421,1,0,0,0,Brunei Darussalam,文莱
138,0,115,0,22,0,20200422,1,0,0,0,Brunei Darussalam,文莱
138,0,115,0,22,0,20200423,1,0,0,0,Brunei Darussalam,文莱
138,0,115,0,22,0,20200424,1,0,0,0,Brunei Darussalam,文莱
138,0,115,0,22,0,20200425,1,0,0,0,Brunei Darussalam,文莱
138,0,115,0,22,0,20200426,1,0,0,0,Brunei Darussalam,文莱
138,0,115,0,22,0,20200427,1,0,0,0,Brunei Darussalam,文莱
138,0,115,0,22,0,20200428,1,0,0,0,Brunei Darussalam,文莱
138,0,115,0,22,0,20200429,1,0,0,0,Brunei Darussalam,文莱
138,0,115,0,22,0,20200430,1,0,0,0,Brunei Darussalam,文莱
138,0,115,0,22,0,20200501,1,0,0,0,Brunei Darussalam,文莱
138,0,115,0,22,0,20200502,1,0,0,0,Brunei Darussalam,文莱
138,0,115,0,22,0,20200503,1,0,0,0,Brunei Darussalam,文莱
138,0,115,0,22,0,20200504,1,0,0,0,Brunei Darussalam,文莱
138,0,115,0,22,0,20200505,1,0,0,0,Brunei Darussalam,文莱
139,1,131,16,7,-15,20200506,1,0,0,0,Brunei Darussalam,文莱
141,2,131,0,9,2,20200507,1,0,0,0,Brunei Darussalam,文莱
141,0,131,0,9,0,20200508,1,0,0,0,Brunei Darussalam,文莱
141,0,131,0,9,0,20200509,1,0,0,0,Brunei Darussalam,文莱
