confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200308,0,0,0,0,Bulgaria,保加利亚
4,2,0,0,4,2,20200309,0,0,0,0,Bulgaria,保加利亚
4,0,0,0,4,0,20200310,0,0,0,0,Bulgaria,保加利亚
6,2,0,0,6,2,20200311,0,0,0,0,Bulgaria,保加利亚
7,1,0,0,6,0,20200312,1,1,0,0,Bulgaria,保加利亚
7,0,0,0,6,0,20200313,1,0,0,0,Bulgaria,保加利亚
7,0,0,0,6,0,20200314,1,0,0,0,Bulgaria,保加利亚
43,36,0,0,41,35,20200315,2,1,0,0,Bulgaria,保加利亚
51,8,0,0,49,8,20200316,2,0,0,0,Bulgaria,保加利亚
67,16,0,0,65,16,20200317,2,0,0,0,Bulgaria,保加利亚
81,14,0,0,79,14,20200318,2,0,0,0,Bulgaria,保加利亚
107,26,0,0,105,26,20200319,2,0,0,0,Bulgaria,保加利亚
127,20,0,0,124,19,20200320,3,1,0,0,Bulgaria,保加利亚
127,0,0,0,124,0,20200321,3,0,0,0,Bulgaria,保加利亚
187,60,3,3,181,57,20200322,3,0,0,0,Bulgaria,保加利亚
201,14,3,0,195,14,20200323,3,0,0,0,Bulgaria,保加利亚
218,17,3,0,212,17,20200324,3,0,0,0,Bulgaria,保加利亚
242,24,3,0,236,24,20200325,3,0,0,0,Bulgaria,保加利亚
264,22,3,0,258,22,20200326,3,0,0,0,Bulgaria,保加利亚
293,29,3,0,287,29,20200327,3,0,0,0,Bulgaria,保加利亚
313,20,3,0,307,20,20200328,3,0,0,0,Bulgaria,保加利亚
338,25,3,0,328,21,20200329,7,4,0,0,Bulgaria,保加利亚
346,8,3,0,335,7,20200330,8,1,0,0,Bulgaria,保加利亚
399,53,3,0,388,53,20200331,8,0,0,0,Bulgaria,保加利亚
422,23,3,0,411,23,20200401,8,0,0,0,Bulgaria,保加利亚
457,35,3,0,444,33,20200402,10,2,0,0,Bulgaria,保加利亚
485,28,3,0,468,24,20200403,14,4,0,0,Bulgaria,保加利亚
498,13,3,0,481,13,20200404,14,0,0,0,Bulgaria,保加利亚
531,33,3,0,508,27,20200405,20,6,0,0,Bulgaria,保加利亚
549,18,3,0,526,18,20200406,20,0,0,0,Bulgaria,保加利亚
577,28,3,0,552,26,20200407,22,2,0,0,Bulgaria,保加利亚
593,16,3,0,567,15,20200408,23,1,0,0,Bulgaria,保加利亚
618,25,3,0,591,24,20200409,24,1,0,0,Bulgaria,保加利亚
635,17,3,0,608,17,20200410,24,0,0,0,Bulgaria,保加利亚
661,26,3,0,630,22,20200411,28,4,0,0,Bulgaria,保加利亚
675,14,3,0,643,13,20200412,29,1,0,0,Bulgaria,保加利亚
685,10,3,0,653,10,20200413,29,0,0,0,Bulgaria,保加利亚
713,28,3,0,675,22,20200414,35,6,0,0,Bulgaria,保加利亚
735,22,3,0,696,21,20200415,36,1,0,0,Bulgaria,保加利亚
800,65,3,0,759,63,20200416,38,2,0,0,Bulgaria,保加利亚
825,25,3,0,784,25,20200417,38,0,0,0,Bulgaria,保加利亚
865,40,153,150,671,-113,20200418,41,3,0,0,Bulgaria,保加利亚
878,13,153,0,683,12,20200419,42,1,0,0,Bulgaria,保加利亚
915,37,153,0,719,36,20200420,43,1,0,0,Bulgaria,保加利亚
975,60,153,0,779,60,20200421,43,0,0,0,Bulgaria,保加利亚
1024,49,153,0,822,43,20200422,49,6,0,0,Bulgaria,保加利亚
1097,73,153,0,892,70,20200423,52,3,0,0,Bulgaria,保加利亚
1188,91,153,0,981,89,20200424,54,2,0,0,Bulgaria,保加利亚
1234,46,197,44,983,2,20200425,54,0,0,0,Bulgaria,保加利亚
1290,56,197,0,1038,55,20200426,55,1,0,0,Bulgaria,保加利亚
1363,73,197,0,1110,72,20200427,56,1,0,0,Bulgaria,保加利亚
1387,24,197,0,1132,22,20200428,58,2,0,0,Bulgaria,保加利亚
1447,60,197,0,1186,54,20200429,64,6,0,0,Bulgaria,保加利亚
1506,59,243,46,1199,13,20200430,64,0,0,0,Bulgaria,保加利亚
1555,49,243,0,1244,45,20200501,68,4,0,0,Bulgaria,保加利亚
1592,37,243,0,1277,33,20200502,72,4,0,0,Bulgaria,保加利亚
1594,2,243,0,1279,2,20200503,72,0,0,0,Bulgaria,保加利亚
1632,38,243,0,1316,37,20200504,73,1,0,0,Bulgaria,保加利亚
1689,57,243,0,1368,52,20200505,78,5,0,0,Bulgaria,保加利亚
1778,89,360,117,1336,-32,20200506,82,4,0,0,Bulgaria,保加利亚
1829,51,360,0,1385,49,20200507,84,2,0,0,Bulgaria,保加利亚
1829,0,360,0,1385,0,20200508,84,0,0,0,Bulgaria,保加利亚
1911,82,360,0,1463,78,20200509,88,4,0,0,Bulgaria,保加利亚
1965,54,444,84,1430,-33,20200510,91,3,0,0,Bulgaria,保加利亚
1965,0,444,0,1430,0,20200511,91,0,0,0,Bulgaria,保加利亚
2004,39,476,32,1435,5,20200512,93,2,0,0,Bulgaria,保加利亚
2023,19,476,0,1452,17,20200513,95,2,0,0,Bulgaria,保加利亚
2100,77,499,23,1502,50,20200514,99,4,0,0,Bulgaria,保加利亚
2138,38,499,0,1537,35,20200515,102,3,0,0,Bulgaria,保加利亚
2175,37,499,0,1571,34,20200516,105,3,0,0,Bulgaria,保加利亚
2211,36,499,0,1604,33,20200517,108,3,0,0,Bulgaria,保加利亚
2235,24,499,0,1626,22,20200518,110,2,0,0,Bulgaria,保加利亚
2259,24,499,0,1648,22,20200519,112,2,0,0,Bulgaria,保加利亚
2292,33,499,0,1677,29,20200520,116,4,0,0,Bulgaria,保加利亚
2331,39,727,228,1484,-193,20200521,120,4,0,0,Bulgaria,保加利亚
2372,41,727,0,1520,36,20200522,125,5,0,0,Bulgaria,保加利亚
2408,36,727,0,1555,35,20200523,126,1,0,0,Bulgaria,保加利亚
2408,0,727,0,1555,0,20200524,126,0,0,0,Bulgaria,保加利亚
2433,25,727,0,1576,21,20200525,130,4,0,0,Bulgaria,保加利亚
2433,0,727,0,1576,0,20200526,130,0,0,0,Bulgaria,保加利亚
2460,27,727,0,1600,24,20200527,133,3,0,0,Bulgaria,保加利亚
2477,17,727,0,1616,16,20200528,134,1,0,0,Bulgaria,保加利亚
2485,8,727,0,1622,6,20200529,136,2,0,0,Bulgaria,保加利亚
2499,14,727,0,1633,11,20200530,139,3,0,0,Bulgaria,保加利亚
2513,14,727,0,1646,13,20200531,140,1,0,0,Bulgaria,保加利亚
2513,0,727,0,1646,0,20200601,140,0,0,0,Bulgaria,保加利亚
2513,0,727,0,1642,-4,20200602,144,4,0,0,Bulgaria,保加利亚
2538,25,727,0,1667,25,20200603,144,0,0,0,Bulgaria,保加利亚
2585,47,727,0,1711,44,20200604,147,3,0,0,Bulgaria,保加利亚
2627,42,727,0,1753,42,20200605,147,0,0,0,Bulgaria,保加利亚
2668,41,727,0,1781,28,20200606,160,13,0,0,Bulgaria,保加利亚
2711,43,727,0,1824,43,20200607,160,0,0,0,Bulgaria,保加利亚
2727,16,727,0,1840,16,20200608,160,0,0,0,Bulgaria,保加利亚
2810,83,727,0,1919,79,20200609,164,4,0,0,Bulgaria,保加利亚
2889,79,727,0,1995,76,20200610,167,3,0,0,Bulgaria,保加利亚
2993,104,727,0,2099,104,20200611,167,0,0,0,Bulgaria,保加利亚
3086,93,727,0,2191,92,20200612,168,1,0,0,Bulgaria,保加利亚
3191,105,727,0,2292,101,20200613,172,4,0,0,Bulgaria,保加利亚
3266,75,727,0,2367,75,20200614,172,0,0,0,Bulgaria,保加利亚
3290,24,727,0,2389,22,20200615,174,2,0,0,Bulgaria,保加利亚
3341,51,727,0,2438,49,20200616,176,2,0,0,Bulgaria,保加利亚
3453,112,727,0,2550,112,20200617,176,0,0,0,Bulgaria,保加利亚
3542,89,727,0,2631,81,20200618,184,8,0,0,Bulgaria,保加利亚
3674,132,727,0,2757,126,20200619,190,6,0,0,Bulgaria,保加利亚
3755,81,727,0,2835,78,20200620,193,3,0,0,Bulgaria,保加利亚
3872,117,727,0,2946,111,20200621,199,6,0,0,Bulgaria,保加利亚
3905,33,2027,1300,1679,-1267,20200622,199,0,0,0,Bulgaria,保加利亚
3984,79,2027,0,1750,71,20200623,207,8,0,0,Bulgaria,保加利亚
4114,130,2027,0,1879,129,20200624,208,1,0,0,Bulgaria,保加利亚
4242,128,2027,0,2006,127,20200625,209,1,0,0,Bulgaria,保加利亚
4408,166,2370,343,1827,-179,20200626,211,2,0,0,Bulgaria,保加利亚
4513,105,2370,0,1928,101,20200627,215,4,0,0,Bulgaria,保加利亚
4625,112,2475,105,1934,6,20200628,216,1,0,0,Bulgaria,保加利亚
4691,66,2475,0,1997,63,20200629,219,3,0,0,Bulgaria,保加利亚
4831,140,2475,0,2133,136,20200630,223,4,0,0,Bulgaria,保加利亚
4989,158,2475,0,2284,151,20200701,230,7,0,0,Bulgaria,保加利亚
5154,165,2475,0,2447,163,20200702,232,2,0,0,Bulgaria,保加利亚
5315,161,2475,0,2608,161,20200703,232,0,0,0,Bulgaria,保加利亚
5497,182,2475,0,2783,175,20200704,239,7,0,0,Bulgaria,保加利亚
5677,180,2475,0,2961,178,20200705,241,2,0,0,Bulgaria,保加利亚
5740,63,2475,0,3019,58,20200706,246,5,0,0,Bulgaria,保加利亚
5914,174,2475,0,3189,170,20200707,250,4,0,0,Bulgaria,保加利亚
6102,188,2475,0,3373,184,20200708,254,4,0,0,Bulgaria,保加利亚
