confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200321,0,0,0,0,Cabo Verde,佛得角
3,2,0,0,3,2,20200322,0,0,0,0,Cabo Verde,佛得角
3,0,0,0,3,0,20200323,0,0,0,0,Cabo Verde,佛得角
3,0,0,0,3,0,20200324,0,0,0,0,Cabo Verde,佛得角
3,0,1,1,2,-1,20200325,0,0,0,0,Cabo Verde,佛得角
3,0,1,0,1,-1,20200326,1,1,0,0,Cabo Verde,佛得角
3,0,1,0,1,0,20200327,1,0,0,0,Cabo Verde,佛得角
5,2,1,0,3,2,20200328,1,0,0,0,Cabo Verde,佛得角
5,0,1,0,3,0,20200329,1,0,0,0,Cabo Verde,佛得角
5,0,1,0,3,0,20200330,1,0,0,0,Cabo Verde,佛得角
5,0,1,0,3,0,20200331,1,0,0,0,Cabo Verde,佛得角
5,0,1,0,3,0,20200401,1,0,0,0,Cabo Verde,佛得角
5,0,1,0,3,0,20200402,1,0,0,0,Cabo Verde,佛得角
5,0,1,0,3,0,20200403,1,0,0,0,Cabo Verde,佛得角
7,2,1,0,5,2,20200404,1,0,0,0,Cabo Verde,佛得角
7,0,1,0,5,0,20200405,1,0,0,0,Cabo Verde,佛得角
7,0,1,0,5,0,20200406,1,0,0,0,Cabo Verde,佛得角
7,0,1,0,5,0,20200407,1,0,0,0,Cabo Verde,佛得角
7,0,1,0,5,0,20200408,1,0,0,0,Cabo Verde,佛得角
7,0,1,0,5,0,20200409,1,0,0,0,Cabo Verde,佛得角
7,0,1,0,5,0,20200410,1,0,0,0,Cabo Verde,佛得角
7,0,1,0,5,0,20200411,1,0,0,0,Cabo Verde,佛得角
8,1,1,0,6,1,20200412,1,0,0,0,Cabo Verde,佛得角
10,2,1,0,8,2,20200413,1,0,0,0,Cabo Verde,佛得角
10,0,1,0,8,0,20200414,1,0,0,0,Cabo Verde,佛得角
11,1,1,0,9,1,20200415,1,0,0,0,Cabo Verde,佛得角
56,45,1,0,54,45,20200416,1,0,0,0,Cabo Verde,佛得角
56,0,1,0,54,0,20200417,1,0,0,0,Cabo Verde,佛得角
56,0,1,0,54,0,20200418,1,0,0,0,Cabo Verde,佛得角
56,0,1,0,54,0,20200419,1,0,0,0,Cabo Verde,佛得角
67,11,1,0,65,11,20200420,1,0,0,0,Cabo Verde,佛得角
67,0,1,0,65,0,20200421,1,0,0,0,Cabo Verde,佛得角
73,6,1,0,71,6,20200422,1,0,0,0,Cabo Verde,佛得角
73,0,1,0,71,0,20200423,1,0,0,0,Cabo Verde,佛得角
73,0,1,0,71,0,20200424,1,0,0,0,Cabo Verde,佛得角
88,15,1,0,86,15,20200425,1,0,0,0,Cabo Verde,佛得角
90,2,1,0,88,2,20200426,1,0,0,0,Cabo Verde,佛得角
106,16,1,0,104,16,20200427,1,0,0,0,Cabo Verde,佛得角
106,0,1,0,104,0,20200428,1,0,0,0,Cabo Verde,佛得角
113,7,1,0,111,7,20200429,1,0,0,0,Cabo Verde,佛得角
113,0,1,0,111,0,20200430,1,0,0,0,Cabo Verde,佛得角
121,8,1,0,119,8,20200501,1,0,0,0,Cabo Verde,佛得角
121,0,1,0,119,0,20200502,1,0,0,0,Cabo Verde,佛得角
152,31,1,0,149,30,20200503,2,1,0,0,Cabo Verde,佛得角
165,13,1,0,162,13,20200504,2,0,0,0,Cabo Verde,佛得角
186,21,37,36,147,-15,20200505,2,0,0,0,Cabo Verde,佛得角
186,0,37,0,147,0,20200506,2,0,0,0,Cabo Verde,佛得角
191,5,37,0,152,5,20200507,2,0,0,0,Cabo Verde,佛得角
230,39,44,7,184,32,20200508,2,0,0,0,Cabo Verde,佛得角
230,0,44,0,184,0,20200509,2,0,0,0,Cabo Verde,佛得角
236,6,44,0,190,6,20200510,2,0,0,0,Cabo Verde,佛得角
246,10,44,0,200,10,20200511,2,0,0,0,Cabo Verde,佛得角
260,14,44,0,214,14,20200512,2,0,0,0,Cabo Verde,佛得角
270,10,44,0,224,10,20200513,2,0,0,0,Cabo Verde,佛得角
289,19,44,0,243,19,20200514,2,0,0,0,Cabo Verde,佛得角
315,26,44,0,269,26,20200515,2,0,0,0,Cabo Verde,佛得角
326,11,44,0,280,11,20200516,2,0,0,0,Cabo Verde,佛得角
328,2,44,0,281,1,20200517,3,1,0,0,Cabo Verde,佛得角
328,0,44,0,281,0,20200518,3,0,0,0,Cabo Verde,佛得角
328,0,44,0,281,0,20200519,3,0,0,0,Cabo Verde,佛得角
335,7,44,0,288,7,20200520,3,0,0,0,Cabo Verde,佛得角
349,14,44,0,302,14,20200521,3,0,0,0,Cabo Verde,佛得角
356,7,44,0,309,7,20200522,3,0,0,0,Cabo Verde,佛得角
362,6,44,0,315,6,20200523,3,0,0,0,Cabo Verde,佛得角
371,9,44,0,324,9,20200524,3,0,0,0,Cabo Verde,佛得角
380,9,44,0,333,9,20200525,3,0,0,0,Cabo Verde,佛得角
390,10,44,0,343,10,20200526,3,0,0,0,Cabo Verde,佛得角
390,0,44,0,342,-1,20200527,4,1,0,0,Cabo Verde,佛得角
390,0,44,0,342,0,20200528,4,0,0,0,Cabo Verde,佛得角
390,0,44,0,342,0,20200529,4,0,0,0,Cabo Verde,佛得角
405,15,44,0,357,15,20200530,4,0,0,0,Cabo Verde,佛得角
421,16,44,0,373,16,20200531,4,0,0,0,Cabo Verde,佛得角
435,14,44,0,387,14,20200601,4,0,0,0,Cabo Verde,佛得角
458,23,44,0,410,23,20200602,4,0,0,0,Cabo Verde,佛得角
466,8,44,0,417,7,20200603,5,1,0,0,Cabo Verde,佛得角
477,11,44,0,428,11,20200604,5,0,0,0,Cabo Verde,佛得角
502,25,44,0,453,25,20200605,5,0,0,0,Cabo Verde,佛得角
536,34,44,0,487,34,20200606,5,0,0,0,Cabo Verde,佛得角
542,6,44,0,493,6,20200607,5,0,0,0,Cabo Verde,佛得角
567,25,266,222,296,-197,20200608,5,0,0,0,Cabo Verde,佛得角
567,0,266,0,296,0,20200609,5,0,0,0,Cabo Verde,佛得角
585,18,266,0,314,18,20200610,5,0,0,0,Cabo Verde,佛得角
616,31,266,0,345,31,20200611,5,0,0,0,Cabo Verde,佛得角
657,41,266,0,385,40,20200612,6,1,0,0,Cabo Verde,佛得角
697,40,266,0,425,40,20200613,6,0,0,0,Cabo Verde,佛得角
726,29,266,0,454,29,20200614,6,0,0,0,Cabo Verde,佛得角
750,24,266,0,478,24,20200615,6,0,0,0,Cabo Verde,佛得角
760,10,266,0,487,9,20200616,7,1,0,0,Cabo Verde,佛得角
760,0,266,0,487,0,20200617,7,0,0,0,Cabo Verde,佛得角
792,32,266,0,519,32,20200618,7,0,0,0,Cabo Verde,佛得角
823,31,266,0,550,31,20200619,7,0,0,0,Cabo Verde,佛得角
848,25,266,0,574,24,20200620,8,1,0,0,Cabo Verde,佛得角
863,15,266,0,589,15,20200621,8,0,0,0,Cabo Verde,佛得角
890,27,266,0,616,27,20200622,8,0,0,0,Cabo Verde,佛得角
944,54,266,0,670,54,20200623,8,0,0,0,Cabo Verde,佛得角
983,39,266,0,709,39,20200624,8,0,0,0,Cabo Verde,佛得角
999,16,266,0,725,16,20200625,8,0,0,0,Cabo Verde,佛得角
1003,4,266,0,729,4,20200626,8,0,0,0,Cabo Verde,佛得角
1027,24,266,0,751,22,20200627,10,2,0,0,Cabo Verde,佛得角
1091,64,266,0,813,62,20200628,12,2,0,0,Cabo Verde,佛得角
1155,64,266,0,877,64,20200629,12,0,0,0,Cabo Verde,佛得角
1165,10,266,0,887,10,20200630,12,0,0,0,Cabo Verde,佛得角
1227,62,266,0,946,59,20200701,15,3,0,0,Cabo Verde,佛得角
1267,40,266,0,986,40,20200702,15,0,0,0,Cabo Verde,佛得角
1301,34,266,0,1020,34,20200703,15,0,0,0,Cabo Verde,佛得角
1382,81,266,0,1101,81,20200704,15,0,0,0,Cabo Verde,佛得角
1420,38,266,0,1138,37,20200705,16,1,0,0,Cabo Verde,佛得角
1451,31,266,0,1168,30,20200706,17,1,0,0,Cabo Verde,佛得角
1463,12,266,0,1180,12,20200707,17,0,0,0,Cabo Verde,佛得角
1499,36,266,0,1215,35,20200708,18,1,0,0,Cabo Verde,佛得角
