confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200306,0,0,0,0,Cameroon,喀麦隆
2,1,0,0,2,1,20200307,0,0,0,0,Cameroon,喀麦隆
2,0,0,0,2,0,20200308,0,0,0,0,Cameroon,喀麦隆
2,0,0,0,2,0,20200309,0,0,0,0,Cameroon,喀麦隆
2,0,0,0,2,0,20200310,0,0,0,0,Cameroon,喀麦隆
2,0,0,0,2,0,20200311,0,0,0,0,Cameroon,喀麦隆
2,0,0,0,2,0,20200312,0,0,0,0,Cameroon,喀麦隆
2,0,0,0,2,0,20200313,0,0,0,0,Cameroon,喀麦隆
2,0,0,0,2,0,20200314,0,0,0,0,Cameroon,喀麦隆
3,1,0,0,3,1,20200315,0,0,0,0,Cameroon,喀麦隆
3,0,0,0,3,0,20200316,0,0,0,0,Cameroon,喀麦隆
5,2,0,0,5,2,20200317,0,0,0,0,Cameroon,喀麦隆
5,0,0,0,5,0,20200318,0,0,0,0,Cameroon,喀麦隆
13,8,0,0,13,8,20200319,0,0,0,0,Cameroon,喀麦隆
21,8,0,0,21,8,20200320,0,0,0,0,Cameroon,喀麦隆
27,6,0,0,27,6,20200321,0,0,0,0,Cameroon,喀麦隆
40,13,0,0,40,13,20200322,0,0,0,0,Cameroon,喀麦隆
56,16,0,0,56,16,20200323,0,0,0,0,Cameroon,喀麦隆
72,16,0,0,71,15,20200324,1,1,0,0,Cameroon,喀麦隆
72,0,3,3,68,-3,20200325,1,0,0,0,Cameroon,喀麦隆
75,3,3,0,71,3,20200326,1,0,0,0,Cameroon,喀麦隆
88,13,2,-1,84,13,20200327,2,1,0,0,Cameroon,喀麦隆
99,11,2,0,95,11,20200328,2,0,0,0,Cameroon,喀麦隆
139,40,3,1,134,39,20200329,2,0,0,0,Cameroon,喀麦隆
142,3,3,0,137,3,20200330,2,0,0,0,Cameroon,喀麦隆
193,51,3,0,184,47,20200331,6,4,0,0,Cameroon,喀麦隆
233,40,3,0,224,40,20200401,6,0,0,0,Cameroon,喀麦隆
306,73,10,7,288,64,20200402,8,2,0,0,Cameroon,喀麦隆
509,203,17,7,484,196,20200403,8,0,0,0,Cameroon,喀麦隆
555,46,17,0,529,45,20200404,9,1,0,0,Cameroon,喀麦隆
650,95,17,0,624,95,20200405,9,0,0,0,Cameroon,喀麦隆
658,8,17,0,632,8,20200406,9,0,0,0,Cameroon,喀麦隆
685,27,62,45,614,-18,20200407,9,0,0,0,Cameroon,喀麦隆
730,45,62,0,658,44,20200408,10,1,0,0,Cameroon,喀麦隆
730,0,62,0,658,0,20200409,10,0,0,0,Cameroon,喀麦隆
820,90,98,36,710,52,20200410,12,2,0,0,Cameroon,喀麦隆
836,16,98,0,726,16,20200411,12,0,0,0,Cameroon,喀麦隆
836,0,98,0,726,0,20200412,12,0,0,0,Cameroon,喀麦隆
848,12,98,0,736,10,20200413,14,2,0,0,Cameroon,喀麦隆
848,0,130,32,701,-35,20200414,17,3,0,0,Cameroon,喀麦隆
855,7,130,0,708,7,20200415,17,0,0,0,Cameroon,喀麦隆
855,0,130,0,708,0,20200416,17,0,0,0,Cameroon,喀麦隆
996,141,168,38,807,99,20200417,21,4,0,0,Cameroon,喀麦隆
1016,20,177,9,817,10,20200418,22,1,0,0,Cameroon,喀麦隆
1016,0,305,128,669,-148,20200419,42,20,0,0,Cameroon,喀麦隆
1016,0,305,0,669,0,20200420,42,0,0,0,Cameroon,喀麦隆
1163,147,305,0,816,147,20200421,42,0,0,0,Cameroon,喀麦隆
1163,0,305,0,815,-1,20200422,43,1,0,0,Cameroon,喀麦隆
1334,171,668,363,623,-192,20200423,43,0,0,0,Cameroon,喀麦隆
1401,67,668,0,684,61,20200424,49,6,0,0,Cameroon,喀麦隆
1518,117,697,29,772,88,20200425,49,0,0,0,Cameroon,喀麦隆
1621,103,786,89,779,7,20200426,56,7,0,0,Cameroon,喀麦隆
1621,0,786,0,779,0,20200427,56,0,0,0,Cameroon,喀麦隆
1705,84,805,19,842,63,20200428,58,2,0,0,Cameroon,喀麦隆
1832,127,934,129,837,-5,20200429,61,3,0,0,Cameroon,喀麦隆
1832,0,934,0,837,0,20200430,61,0,0,0,Cameroon,喀麦隆
1832,0,934,0,837,0,20200501,61,0,0,0,Cameroon,喀麦隆
2077,245,953,19,1060,223,20200502,64,3,0,0,Cameroon,喀麦隆
2077,0,953,0,1060,0,20200503,64,0,0,0,Cameroon,喀麦隆
2077,0,953,0,1060,0,20200504,64,0,0,0,Cameroon,喀麦隆
2077,0,953,0,1060,0,20200505,64,0,0,0,Cameroon,喀麦隆
2265,188,1000,47,1157,97,20200506,108,44,0,0,Cameroon,喀麦隆
2265,0,1000,0,1157,0,20200507,108,0,0,0,Cameroon,喀麦隆
2265,0,1000,0,1157,0,20200508,108,0,0,0,Cameroon,喀麦隆
2265,0,1000,0,1157,0,20200509,108,0,0,0,Cameroon,喀麦隆
2579,314,1465,465,1000,-157,20200510,114,6,0,0,Cameroon,喀麦隆
2579,0,1465,0,1000,0,20200511,114,0,0,0,Cameroon,喀麦隆
2689,110,1524,59,1040,40,20200512,125,11,0,0,Cameroon,喀麦隆
2800,111,1543,19,1121,81,20200513,136,11,0,0,Cameroon,喀麦隆
2954,154,1553,10,1262,141,20200514,139,3,0,0,Cameroon,喀麦隆
2954,0,1553,0,1262,0,20200515,139,0,0,0,Cameroon,喀麦隆
3047,93,1553,0,1355,93,20200516,139,0,0,0,Cameroon,喀麦隆
3047,0,1553,0,1355,0,20200517,139,0,0,0,Cameroon,喀麦隆
3529,482,1567,14,1822,467,20200518,140,1,0,0,Cameroon,喀麦隆
3529,0,1567,0,1822,0,20200519,140,0,0,0,Cameroon,喀麦隆
3529,0,1567,0,1822,0,20200520,140,0,0,0,Cameroon,喀麦隆
3733,204,1567,0,2020,198,20200521,146,6,0,0,Cameroon,喀麦隆
4288,555,1567,0,2565,545,20200522,156,10,0,0,Cameroon,喀麦隆
4400,112,1822,255,2419,-146,20200523,159,3,0,0,Cameroon,喀麦隆
4400,0,1822,0,2419,0,20200524,159,0,0,0,Cameroon,喀麦隆
4890,490,1865,43,2860,441,20200525,165,6,0,0,Cameroon,喀麦隆
5044,154,1917,52,2956,96,20200526,171,6,0,0,Cameroon,喀麦隆
5436,392,1996,79,3263,307,20200527,177,6,0,0,Cameroon,喀麦隆
5436,0,1996,0,3263,0,20200528,177,0,0,0,Cameroon,喀麦隆
5436,0,1996,0,3263,0,20200529,177,0,0,0,Cameroon,喀麦隆
5436,0,1996,0,3263,0,20200530,177,0,0,0,Cameroon,喀麦隆
5659,223,1996,0,3478,215,20200531,185,8,0,0,Cameroon,喀麦隆
5904,245,1996,0,3717,239,20200601,191,6,0,0,Cameroon,喀麦隆
6397,493,1996,0,4202,485,20200602,199,8,0,0,Cameroon,喀麦隆
6585,188,1996,0,4389,187,20200603,200,1,0,0,Cameroon,喀麦隆
6752,167,1996,0,4556,167,20200604,200,0,0,0,Cameroon,喀麦隆
6789,37,1996,0,4590,34,20200605,203,3,0,0,Cameroon,喀麦隆
7392,603,1996,0,5191,601,20200606,205,2,0,0,Cameroon,喀麦隆
7599,207,1996,0,5391,200,20200607,212,7,0,0,Cameroon,喀麦隆
