confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200127,0,0,0,0,Canada,加拿大
2,1,0,0,2,1,20200128,0,0,0,0,Canada,加拿大
3,1,0,0,3,1,20200129,0,0,0,0,Canada,加拿大
3,0,0,0,3,0,20200130,0,0,0,0,Canada,加拿大
3,0,0,0,3,0,20200131,0,0,0,0,Canada,加拿大
4,1,0,0,4,1,20200201,0,0,0,0,Canada,加拿大
4,0,0,0,4,0,20200202,0,0,0,0,Canada,加拿大
4,0,0,0,4,0,20200203,0,0,0,0,Canada,加拿大
4,0,0,0,4,0,20200204,0,0,0,0,Canada,加拿大
5,1,0,0,5,1,20200205,0,0,0,0,Canada,加拿大
5,0,0,0,5,0,20200206,0,0,0,0,Canada,加拿大
7,2,0,0,7,2,20200207,0,0,0,0,Canada,加拿大
7,0,0,0,7,0,20200208,0,0,0,0,Canada,加拿大
7,0,0,0,7,0,20200209,0,0,0,0,Canada,加拿大
7,0,0,0,7,0,20200210,0,0,0,0,Canada,加拿大
7,0,0,0,7,0,20200211,0,0,0,0,Canada,加拿大
7,0,0,0,7,0,20200212,0,0,0,0,Canada,加拿大
7,0,0,0,7,0,20200213,0,0,0,0,Canada,加拿大
7,0,0,0,7,0,20200214,0,0,0,0,Canada,加拿大
7,0,0,0,7,0,20200215,0,0,0,0,Canada,加拿大
7,0,0,0,7,0,20200216,0,0,0,0,Canada,加拿大
7,0,0,0,7,0,20200217,0,0,0,0,Canada,加拿大
8,1,0,0,8,1,20200218,0,0,0,0,Canada,加拿大
8,0,0,0,8,0,20200219,0,0,0,0,Canada,加拿大
8,0,0,0,8,0,20200220,0,0,0,0,Canada,加拿大
8,0,0,0,8,0,20200221,0,0,0,0,Canada,加拿大
8,0,0,0,8,0,20200222,0,0,0,0,Canada,加拿大
9,1,0,0,9,1,20200223,0,0,0,0,Canada,加拿大
9,0,0,0,9,0,20200224,0,0,0,0,Canada,加拿大
10,1,0,0,10,1,20200225,0,0,0,0,Canada,加拿大
10,0,0,0,10,0,20200226,0,0,0,0,Canada,加拿大
11,1,0,0,11,1,20200227,0,0,0,0,Canada,加拿大
11,0,0,0,11,0,20200228,0,0,0,0,Canada,加拿大
14,3,0,0,14,3,20200229,0,0,0,0,Canada,加拿大
19,5,0,0,19,5,20200301,0,0,0,0,Canada,加拿大
19,0,0,0,19,0,20200302,0,0,0,0,Canada,加拿大
27,8,0,0,27,8,20200303,0,0,0,0,Canada,加拿大
