confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,0,0,20200316,1,1,0,0,Cayman Islands,开曼群岛
1,0,0,0,0,0,20200317,1,0,0,0,Cayman Islands,开曼群岛
1,0,0,0,0,0,20200318,1,0,0,0,Cayman Islands,开曼群岛
1,0,0,0,0,0,20200319,1,0,0,0,Cayman Islands,开曼群岛
3,2,0,0,2,2,20200320,1,0,0,0,Cayman Islands,开曼群岛
3,0,0,0,2,0,20200321,1,0,0,0,Cayman Islands,开曼群岛
3,0,0,0,2,0,20200322,1,0,0,0,Cayman Islands,开曼群岛
3,0,0,0,2,0,20200323,1,0,0,0,Cayman Islands,开曼群岛
5,2,0,0,4,2,20200324,1,0,0,0,Cayman Islands,开曼群岛
5,0,0,0,4,0,20200325,1,0,0,0,Cayman Islands,开曼群岛
8,3,0,0,7,3,20200326,1,0,0,0,Cayman Islands,开曼群岛
8,0,0,0,7,0,20200327,1,0,0,0,Cayman Islands,开曼群岛
8,0,0,0,7,0,20200328,1,0,0,0,Cayman Islands,开曼群岛
8,0,0,0,7,0,20200329,1,0,0,0,Cayman Islands,开曼群岛
8,0,0,0,7,0,20200330,1,0,0,0,Cayman Islands,开曼群岛
12,4,0,0,11,4,20200331,1,0,0,0,Cayman Islands,开曼群岛
12,0,0,0,11,0,20200401,1,0,0,0,Cayman Islands,开曼群岛
14,2,0,0,13,2,20200402,1,0,0,0,Cayman Islands,开曼群岛
22,8,0,0,21,8,20200403,1,0,0,0,Cayman Islands,开曼群岛
28,6,0,0,27,6,20200404,1,0,0,0,Cayman Islands,开曼群岛
28,0,0,0,27,0,20200405,1,0,0,0,Cayman Islands,开曼群岛
35,7,0,0,34,7,20200406,1,0,0,0,Cayman Islands,开曼群岛
39,4,0,0,38,4,20200407,1,0,0,0,Cayman Islands,开曼群岛
39,0,0,0,38,0,20200408,1,0,0,0,Cayman Islands,开曼群岛
45,6,0,0,43,5,20200409,2,1,0,0,Cayman Islands,开曼群岛
45,0,0,0,43,0,20200410,2,0,0,0,Cayman Islands,开曼群岛
45,0,0,0,43,0,20200411,2,0,0,0,Cayman Islands,开曼群岛
45,0,0,0,43,0,20200412,2,0,0,0,Cayman Islands,开曼群岛
53,8,0,0,51,8,20200413,2,0,0,0,Cayman Islands,开曼群岛
53,0,0,0,51,0,20200414,2,0,0,0,Cayman Islands,开曼群岛
54,1,0,0,52,1,20200415,2,0,0,0,Cayman Islands,开曼群岛
54,0,0,0,52,0,20200416,2,0,0,0,Cayman Islands,开曼群岛
60,6,0,0,58,6,20200417,2,0,0,0,Cayman Islands,开曼群岛
61,1,0,0,59,1,20200418,2,0,0,0,Cayman Islands,开曼群岛
61,0,0,0,59,0,20200419,2,0,0,0,Cayman Islands,开曼群岛
61,0,0,0,59,0,20200420,2,0,0,0,Cayman Islands,开曼群岛
61,0,0,0,59,0,20200421,2,0,0,0,Cayman Islands,开曼群岛
66,5,0,0,64,5,20200422,2,0,0,0,Cayman Islands,开曼群岛
66,0,0,0,64,0,20200423,2,0,0,0,Cayman Islands,开曼群岛
66,0,0,0,64,0,20200424,2,0,0,0,Cayman Islands,开曼群岛
66,0,0,0,64,0,20200425,2,0,0,0,Cayman Islands,开曼群岛
70,4,0,0,68,4,20200426,2,0,0,0,Cayman Islands,开曼群岛
70,0,0,0,68,0,20200427,2,0,0,0,Cayman Islands,开曼群岛
70,0,0,0,68,0,20200428,2,0,0,0,Cayman Islands,开曼群岛
70,0,0,0,68,0,20200429,2,0,0,0,Cayman Islands,开曼群岛
73,3,0,0,71,3,20200430,2,0,0,0,Cayman Islands,开曼群岛
73,0,0,0,71,0,20200501,2,0,0,0,Cayman Islands,开曼群岛
73,0,0,0,71,0,20200502,2,0,0,0,Cayman Islands,开曼群岛
74,1,0,0,72,1,20200503,2,0,0,0,Cayman Islands,开曼群岛
74,0,0,0,72,0,20200504,2,0,0,0,Cayman Islands,开曼群岛
74,0,0,0,72,0,20200505,2,0,0,0,Cayman Islands,开曼群岛
75,1,0,0,73,1,20200506,2,0,0,0,Cayman Islands,开曼群岛
78,3,0,0,76,3,20200507,2,0,0,0,Cayman Islands,开曼群岛
78,0,0,0,76,0,20200508,2,0,0,0,Cayman Islands,开曼群岛
80,2,0,0,78,2,20200509,2,0,0,0,Cayman Islands,开曼群岛
81,1,0,0,79,1,20200510,2,0,0,0,Cayman Islands,开曼群岛
81,0,0,0,79,0,20200511,2,0,0,0,Cayman Islands,开曼群岛
81,0,0,0,79,0,20200512,2,0,0,0,Cayman Islands,开曼群岛
84,3,0,0,82,3,20200513,2,0,0,0,Cayman Islands,开曼群岛
85,1,0,0,83,1,20200514,2,0,0,0,Cayman Islands,开曼群岛
86,1,0,0,84,1,20200515,2,0,0,0,Cayman Islands,开曼群岛
93,7,0,0,91,7,20200516,2,0,0,0,Cayman Islands,开曼群岛
94,1,0,0,92,1,20200517,2,0,0,0,Cayman Islands,开曼群岛
94,0,0,0,92,0,20200518,2,0,0,0,Cayman Islands,开曼群岛
94,0,0,0,92,0,20200519,2,0,0,0,Cayman Islands,开曼群岛
94,0,0,0,92,0,20200520,2,0,0,0,Cayman Islands,开曼群岛
111,17,0,0,109,17,20200521,2,0,0,0,Cayman Islands,开曼群岛
111,0,0,0,109,0,20200522,2,0,0,0,Cayman Islands,开曼群岛
121,10,0,0,119,10,20200523,2,0,0,0,Cayman Islands,开曼群岛
