confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200316,0,0,0,0,Central African Republic,中非共和国
1,0,0,0,1,0,20200317,0,0,0,0,Central African Republic,中非共和国
1,0,0,0,1,0,20200318,0,0,0,0,Central African Republic,中非共和国
1,0,0,0,1,0,20200319,0,0,0,0,Central African Republic,中非共和国
3,2,0,0,3,2,20200320,0,0,0,0,Central African Republic,中非共和国
3,0,0,0,3,0,20200321,0,0,0,0,Central African Republic,中非共和国
3,0,0,0,3,0,20200322,0,0,0,0,Central African Republic,中非共和国
4,1,0,0,4,1,20200323,0,0,0,0,Central African Republic,中非共和国
4,0,0,0,4,0,20200324,0,0,0,0,Central African Republic,中非共和国
4,0,0,0,4,0,20200325,0,0,0,0,Central African Republic,中非共和国
5,1,0,0,5,1,20200326,0,0,0,0,Central African Republic,中非共和国
5,0,0,0,5,0,20200327,0,0,0,0,Central African Republic,中非共和国
6,1,0,0,6,1,20200328,0,0,0,0,Central African Republic,中非共和国
6,0,0,0,6,0,20200329,0,0,0,0,Central African Republic,中非共和国
6,0,0,0,6,0,20200330,0,0,0,0,Central African Republic,中非共和国
6,0,0,0,6,0,20200331,0,0,0,0,Central African Republic,中非共和国
6,0,0,0,6,0,20200401,0,0,0,0,Central African Republic,中非共和国
8,2,0,0,8,2,20200402,0,0,0,0,Central African Republic,中非共和国
8,0,0,0,8,0,20200403,0,0,0,0,Central African Republic,中非共和国
9,1,0,0,9,1,20200404,0,0,0,0,Central African Republic,中非共和国
9,0,0,0,9,0,20200405,0,0,0,0,Central African Republic,中非共和国
9,0,0,0,9,0,20200406,0,0,0,0,Central African Republic,中非共和国
10,1,0,0,10,1,20200407,0,0,0,0,Central African Republic,中非共和国
11,1,0,0,11,1,20200408,0,0,0,0,Central African Republic,中非共和国
11,0,0,0,11,0,20200409,0,0,0,0,Central African Republic,中非共和国
11,0,0,0,11,0,20200410,0,0,0,0,Central African Republic,中非共和国
11,0,0,0,11,0,20200411,0,0,0,0,Central African Republic,中非共和国
11,0,0,0,11,0,20200412,0,0,0,0,Central African Republic,中非共和国
11,0,0,0,11,0,20200413,0,0,0,0,Central African Republic,中非共和国
11,0,0,0,11,0,20200414,0,0,0,0,Central African Republic,中非共和国
12,1,0,0,12,1,20200415,0,0,0,0,Central African Republic,中非共和国
12,0,0,0,12,0,20200416,0,0,0,0,Central African Republic,中非共和国
12,0,0,0,12,0,20200417,0,0,0,0,Central African Republic,中非共和国
12,0,10,10,2,-10,20200418,0,0,0,0,Central African Republic,中非共和国
12,0,10,0,2,0,20200419,0,0,0,0,Central African Republic,中非共和国
14,2,10,0,4,2,20200420,0,0,0,0,Central African Republic,中非共和国
14,0,10,0,4,0,20200421,0,0,0,0,Central African Republic,中非共和国
16,2,10,0,6,2,20200422,0,0,0,0,Central African Republic,中非共和国
17,1,10,0,7,1,20200423,0,0,0,0,Central African Republic,中非共和国
19,2,10,0,9,2,20200424,0,0,0,0,Central African Republic,中非共和国
19,0,10,0,9,0,20200425,0,0,0,0,Central African Republic,中非共和国
41,22,10,0,31,22,20200426,0,0,0,0,Central African Republic,中非共和国
41,0,10,0,31,0,20200427,0,0,0,0,Central African Republic,中非共和国
42,1,10,0,32,1,20200428,0,0,0,0,Central African Republic,中非共和国
50,8,10,0,40,8,20200429,0,0,0,0,Central African Republic,中非共和国
64,14,10,0,54,14,20200430,0,0,0,0,Central African Republic,中非共和国
72,8,10,0,62,8,20200501,0,0,0,0,Central African Republic,中非共和国
72,0,10,0,62,0,20200502,0,0,0,0,Central African Republic,中非共和国
72,0,10,0,62,0,20200503,0,0,0,0,Central African Republic,中非共和国
72,0,10,0,62,0,20200504,0,0,0,0,Central African Republic,中非共和国
94,22,10,0,84,22,20200505,0,0,0,0,Central African Republic,中非共和国
94,0,10,0,84,0,20200506,0,0,0,0,Central African Republic,中非共和国
118,24,10,0,108,24,20200507,0,0,0,0,Central African Republic,中非共和国
118,0,10,0,108,0,20200508,0,0,0,0,Central African Republic,中非共和国
118,0,10,0,108,0,20200509,0,0,0,0,Central African Republic,中非共和国
179,61,12,2,167,59,20200510,0,0,0,0,Central African Republic,中非共和国
179,0,12,0,167,0,20200511,0,0,0,0,Central African Republic,中非共和国
179,0,12,0,167,0,20200512,0,0,0,0,Central African Republic,中非共和国
179,0,12,0,167,0,20200513,0,0,0,0,Central African Republic,中非共和国
221,42,12,0,209,42,20200514,0,0,0,0,Central African Republic,中非共和国
221,0,12,0,209,0,20200515,0,0,0,0,Central African Republic,中非共和国
301,80,12,0,289,80,20200516,0,0,0,0,Central African Republic,中非共和国
301,0,12,0,289,0,20200517,0,0,0,0,Central African Republic,中非共和国
366,65,18,6,348,59,20200518,0,0,0,0,Central African Republic,中非共和国
411,45,18,0,393,45,20200519,0,0,0,0,Central African Republic,中非共和国
411,0,18,0,393,0,20200520,0,0,0,0,Central African Republic,中非共和国
436,25,18,0,418,25,20200521,0,0,0,0,Central African Republic,中非共和国
479,43,18,0,461,43,20200522,0,0,0,0,Central African Republic,中非共和国
552,73,18,0,533,72,20200523,1,1,0,0,Central African Republic,中非共和国
552,0,18,0,533,0,20200524,1,0,0,0,Central African Republic,中非共和国
604,52,18,0,585,52,20200525,1,0,0,0,Central African Republic,中非共和国
671,67,22,4,648,63,20200526,1,0,0,0,Central African Republic,中非共和国
