confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200320,0,0,0,0,Chad,乍得
1,0,0,0,1,0,20200321,0,0,0,0,Chad,乍得
1,0,0,0,1,0,20200322,0,0,0,0,Chad,乍得
1,0,0,0,1,0,20200323,0,0,0,0,Chad,乍得
3,2,0,0,3,2,20200324,0,0,0,0,Chad,乍得
3,0,0,0,3,0,20200325,0,0,0,0,Chad,乍得
3,0,0,0,3,0,20200326,0,0,0,0,Chad,乍得
5,2,0,0,5,2,20200327,0,0,0,0,Chad,乍得
5,0,0,0,5,0,20200328,0,0,0,0,Chad,乍得
5,0,0,0,5,0,20200329,0,0,0,0,Chad,乍得
5,0,0,0,5,0,20200330,0,0,0,0,Chad,乍得
5,0,0,0,5,0,20200331,0,0,0,0,Chad,乍得
7,2,0,0,7,2,20200401,0,0,0,0,Chad,乍得
7,0,0,0,7,0,20200402,0,0,0,0,Chad,乍得
7,0,0,0,7,0,20200403,0,0,0,0,Chad,乍得
7,0,0,0,7,0,20200404,0,0,0,0,Chad,乍得
7,0,0,0,7,0,20200405,0,0,0,0,Chad,乍得
9,2,0,0,9,2,20200406,0,0,0,0,Chad,乍得
9,0,0,0,9,0,20200407,0,0,0,0,Chad,乍得
10,1,0,0,10,1,20200408,0,0,0,0,Chad,乍得
10,0,0,0,10,0,20200409,0,0,0,0,Chad,乍得
11,1,0,0,11,1,20200410,0,0,0,0,Chad,乍得
11,0,0,0,11,0,20200411,0,0,0,0,Chad,乍得
11,0,0,0,11,0,20200412,0,0,0,0,Chad,乍得
18,7,0,0,18,7,20200413,0,0,0,0,Chad,乍得
23,5,0,0,23,5,20200414,0,0,0,0,Chad,乍得
23,0,0,0,23,0,20200415,0,0,0,0,Chad,乍得
27,4,0,0,27,4,20200416,0,0,0,0,Chad,乍得
27,0,0,0,27,0,20200417,0,0,0,0,Chad,乍得
33,6,0,0,33,6,20200418,0,0,0,0,Chad,乍得
33,0,0,0,33,0,20200419,0,0,0,0,Chad,乍得
33,0,0,0,33,0,20200420,0,0,0,0,Chad,乍得
33,0,0,0,33,0,20200421,0,0,0,0,Chad,乍得
34,1,0,0,34,1,20200422,0,0,0,0,Chad,乍得
34,0,0,0,34,0,20200423,0,0,0,0,Chad,乍得
34,0,0,0,34,0,20200424,0,0,0,0,Chad,乍得
40,6,0,0,40,6,20200425,0,0,0,0,Chad,乍得
46,6,0,0,46,6,20200426,0,0,0,0,Chad,乍得
46,0,0,0,46,0,20200427,0,0,0,0,Chad,乍得
46,0,0,0,46,0,20200428,0,0,0,0,Chad,乍得
52,6,0,0,50,4,20200429,2,2,0,0,Chad,乍得
52,0,0,0,50,0,20200430,2,0,0,0,Chad,乍得
73,21,0,0,70,20,20200501,3,1,0,0,Chad,乍得
73,0,0,0,68,-2,20200502,5,2,0,0,Chad,乍得
117,44,0,0,107,39,20200503,10,5,0,0,Chad,乍得
117,0,0,0,107,0,20200504,10,0,0,0,Chad,乍得
117,0,0,0,107,0,20200505,10,0,0,0,Chad,乍得
170,53,0,0,153,46,20200506,17,7,0,0,Chad,乍得
170,0,0,0,153,0,20200507,17,0,0,0,Chad,乍得
253,83,0,0,226,73,20200508,27,10,0,0,Chad,乍得
260,7,0,0,232,6,20200509,28,1,0,0,Chad,乍得
322,62,0,0,291,59,20200510,31,3,0,0,Chad,乍得
322,0,0,0,291,0,20200511,31,0,0,0,Chad,乍得
322,0,0,0,291,0,20200512,31,0,0,0,Chad,乍得
357,35,0,0,317,26,20200513,40,9,0,0,Chad,乍得
372,15,0,0,330,13,20200514,42,2,0,0,Chad,乍得
399,27,0,0,353,23,20200515,46,4,0,0,Chad,乍得
428,29,0,0,380,27,20200516,48,2,0,0,Chad,乍得
474,46,0,0,424,44,20200517,50,2,0,0,Chad,乍得
503,29,0,0,450,26,20200518,53,3,0,0,Chad,乍得
519,16,0,0,465,15,20200519,54,1,0,0,Chad,乍得
545,26,0,0,489,24,20200520,56,2,0,0,Chad,乍得
565,20,0,0,508,19,20200521,57,1,0,0,Chad,乍得
588,23,0,0,530,22,20200522,58,1,0,0,Chad,乍得
611,23,0,0,552,22,20200523,59,1,0,0,Chad,乍得
648,37,0,0,588,36,20200524,60,1,0,0,Chad,乍得
675,27,0,0,615,27,20200525,60,0,0,0,Chad,乍得
687,12,0,0,626,11,20200526,61,1,0,0,Chad,乍得
700,13,0,0,638,12,20200527,62,1,0,0,Chad,乍得
715,15,0,0,651,13,20200528,64,2,0,0,Chad,乍得
726,11,0,0,661,10,20200529,65,1,0,0,Chad,乍得
759,33,0,0,694,33,20200530,65,0,0,0,Chad,乍得
759,0,0,0,694,0,20200531,65,0,0,0,Chad,乍得
778,19,0,0,713,19,20200601,65,0,0,0,Chad,乍得
790,12,0,0,724,11,20200602,66,1,0,0,Chad,乍得
803,13,0,0,737,13,20200603,66,0,0,0,Chad,乍得
820,17,0,0,754,17,20200604,66,0,0,0,Chad,乍得
828,8,0,0,762,8,20200605,66,0,0,0,Chad,乍得
836,8,0,0,768,6,20200606,68,2,0,0,Chad,乍得
836,0,0,0,767,-1,20200607,69,1,0,0,Chad,乍得
837,1,0,0,768,1,20200608,69,0,0,0,Chad,乍得
839,2,0,0,769,1,20200609,70,1,0,0,Chad,乍得
844,5,0,0,773,4,20200610,71,1,0,0,Chad,乍得
846,2,0,0,774,1,20200611,72,1,0,0,Chad,乍得
848,2,0,0,776,2,20200612,72,0,0,0,Chad,乍得
848,0,0,0,776,0,20200613,72,0,0,0,Chad,乍得
848,0,0,0,776,0,20200614,72,0,0,0,Chad,乍得
850,2,0,0,777,1,20200615,73,1,0,0,Chad,乍得
