confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200304,0,0,0,0,Chile,智利
1,0,0,0,1,0,20200305,0,0,0,0,Chile,智利
1,0,0,0,1,0,20200306,0,0,0,0,Chile,智利
5,4,0,0,5,4,20200307,0,0,0,0,Chile,智利
5,0,0,0,5,0,20200308,0,0,0,0,Chile,智利
10,5,0,0,10,5,20200309,0,0,0,0,Chile,智利
13,3,0,0,13,3,20200310,0,0,0,0,Chile,智利
17,4,0,0,17,4,20200311,0,0,0,0,Chile,智利
23,6,0,0,23,6,20200312,0,0,0,0,Chile,智利
33,10,0,0,33,10,20200313,0,0,0,0,Chile,智利
43,10,0,0,43,10,20200314,0,0,0,0,Chile,智利
61,18,0,0,61,18,20200315,0,0,0,0,Chile,智利
75,14,0,0,75,14,20200316,0,0,0,0,Chile,智利
156,81,0,0,156,81,20200317,0,0,0,0,Chile,智利
156,0,0,0,156,0,20200318,0,0,0,0,Chile,智利
342,186,0,0,342,186,20200319,0,0,0,0,Chile,智利
434,92,0,0,434,92,20200320,0,0,0,0,Chile,智利
434,0,0,0,434,0,20200321,0,0,0,0,Chile,智利
632,198,8,8,623,189,20200322,1,1,0,0,Chile,智利
632,0,8,0,622,-1,20200323,2,1,0,0,Chile,智利
922,290,17,9,903,281,20200324,2,0,0,0,Chile,智利
922,0,17,0,903,0,20200325,2,0,0,0,Chile,智利
1306,384,17,0,1286,383,20200326,3,1,0,0,Chile,智利
1306,0,17,0,1285,-1,20200327,4,1,0,0,Chile,智利
1909,603,43,26,1860,575,20200328,6,2,0,0,Chile,智利
1909,0,43,0,1860,0,20200329,6,0,0,0,Chile,智利
2139,230,75,32,2057,197,20200330,7,1,0,0,Chile,智利
2738,599,156,81,2570,513,20200331,12,5,0,0,Chile,智利
3031,293,234,78,2781,211,20200401,16,4,0,0,Chile,智利
3031,0,234,0,2781,0,20200402,16,0,0,0,Chile,智利
3737,706,335,101,3380,599,20200403,22,6,0,0,Chile,智利
3737,0,335,0,3380,0,20200404,22,0,0,0,Chile,智利
4161,424,528,193,3606,226,20200405,27,5,0,0,Chile,智利
4471,310,598,70,3839,233,20200406,34,7,0,0,Chile,智利
5116,645,598,0,4475,636,20200407,43,9,0,0,Chile,智利
5546,430,1115,517,4383,-92,20200408,48,5,0,0,Chile,智利
5972,426,1115,0,4800,417,20200409,57,9,0,0,Chile,智利
6501,529,1571,456,4865,65,20200410,65,8,0,0,Chile,智利
6927,426,1571,0,5283,418,20200411,73,8,0,0,Chile,智利
7213,286,2059,488,5074,-209,20200412,80,7,0,0,Chile,智利
7525,312,2367,308,5076,2,20200413,82,2,0,0,Chile,智利
7525,0,2367,0,5076,0,20200414,82,0,0,0,Chile,智利
8273,748,2367,0,5812,736,20200415,94,12,0,0,Chile,智利
8807,534,3229,862,5473,-339,20200416,105,11,0,0,Chile,智利
9252,445,3621,392,5515,42,20200417,116,11,0,0,Chile,智利
9730,478,4035,414,5569,54,20200418,126,10,0,0,Chile,智利
10088,358,4338,303,5617,48,20200419,133,7,0,0,Chile,智利
10888,800,4676,338,6073,456,20200420,139,6,0,0,Chile,智利
10832,-56,4969,293,5716,-357,20200421,147,8,0,0,Chile,智利
10832,0,4969,0,5716,0,20200422,147,0,0,0,Chile,智利
11812,980,5386,417,6258,542,20200423,168,21,0,0,Chile,智利
12306,494,6327,941,5805,-453,20200424,174,6,0,0,Chile,智利
12858,552,6746,419,5931,126,20200425,181,7,0,0,Chile,智利
12858,0,6746,0,5931,0,20200426,181,0,0,0,Chile,智利
13813,955,7024,278,6591,660,20200427,198,17,0,0,Chile,智利
14365,552,7710,686,6448,-143,20200428,207,9,0,0,Chile,智利
14365,0,7710,0,6448,0,20200429,207,0,0,0,Chile,智利
14885,520,7710,0,6959,511,20200430,216,9,0,0,Chile,智利
17008,2123,9018,1308,7763,804,20200501,227,11,0,0,Chile,智利
18435,1427,9572,554,8616,853,20200502,247,20,0,0,Chile,智利
19633,1198,10041,469,9332,716,20200503,260,13,0,0,Chile,智利
20643,1010,10428,387,9945,613,20200504,270,10,0,0,Chile,智利
22016,1373,10710,282,11036,1091,20200505,270,0,0,0,Chile,智利
23048,1032,11189,479,11578,542,20200506,281,11,0,0,Chile,智利
24581,1533,11189,0,13107,1529,20200507,285,4,0,0,Chile,智利
24581,0,11189,0,13107,0,20200508,285,0,0,0,Chile,智利
27219,2638,12667,1478,14258,1151,20200509,294,9,0,0,Chile,智利
28866,1647,13112,445,15442,1184,20200510,312,18,0,0,Chile,智利
