confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200307,0,0,0,0,Colombia,哥伦比亚
1,0,0,0,1,0,20200308,0,0,0,0,Colombia,哥伦比亚
1,0,0,0,1,0,20200309,0,0,0,0,Colombia,哥伦比亚
3,2,0,0,3,2,20200310,0,0,0,0,Colombia,哥伦比亚
3,0,0,0,3,0,20200311,0,0,0,0,Colombia,哥伦比亚
9,6,0,0,9,6,20200312,0,0,0,0,Colombia,哥伦比亚
9,0,0,0,9,0,20200313,0,0,0,0,Colombia,哥伦比亚
16,7,0,0,16,7,20200314,0,0,0,0,Colombia,哥伦比亚
24,8,0,0,24,8,20200315,0,0,0,0,Colombia,哥伦比亚
24,0,0,0,24,0,20200316,0,0,0,0,Colombia,哥伦比亚
45,21,0,0,45,21,20200317,0,0,0,0,Colombia,哥伦比亚
45,0,0,0,45,0,20200318,0,0,0,0,Colombia,哥伦比亚
102,57,0,0,102,57,20200319,0,0,0,0,Colombia,哥伦比亚
128,26,0,0,128,26,20200320,0,0,0,0,Colombia,哥伦比亚
158,30,0,0,158,30,20200321,0,0,0,0,Colombia,哥伦比亚
210,52,0,0,209,51,20200322,1,1,0,0,Colombia,哥伦比亚
235,25,0,0,233,24,20200323,2,1,0,0,Colombia,哥伦比亚
277,42,0,0,274,41,20200324,3,1,0,0,Colombia,哥伦比亚
470,193,6,6,461,187,20200325,3,0,0,0,Colombia,哥伦比亚
470,0,6,0,460,-1,20200326,4,1,0,0,Colombia,哥伦比亚
539,69,10,4,523,63,20200327,6,2,0,0,Colombia,哥伦比亚
608,69,10,0,592,69,20200328,6,0,0,0,Colombia,哥伦比亚
608,0,10,0,592,0,20200329,6,0,0,0,Colombia,哥伦比亚
798,190,10,0,776,184,20200330,12,6,0,0,Colombia,哥伦比亚
906,108,31,21,859,83,20200331,16,4,0,0,Colombia,哥伦比亚
906,0,31,0,859,0,20200401,16,0,0,0,Colombia,哥伦比亚
1161,255,31,0,1111,252,20200402,19,3,0,0,Colombia,哥伦比亚
1267,106,31,0,1211,100,20200403,25,6,0,0,Colombia,哥伦比亚
1046,-221,85,54,929,-282,20200404,32,7,0,0,Colombia,哥伦比亚
1485,439,85,0,1365,436,20200405,35,3,0,0,Colombia,哥伦比亚
1579,94,85,0,1448,83,20200406,46,11,0,0,Colombia,哥伦比亚
1780,201,85,0,1645,197,20200407,50,4,0,0,Colombia,哥伦比亚
2054,274,85,0,1915,270,20200408,54,4,0,0,Colombia,哥伦比亚
2054,0,85,0,1915,0,20200409,54,0,0,0,Colombia,哥伦比亚
2473,419,85,0,2308,393,20200410,80,26,0,0,Colombia,哥伦比亚
2709,236,85,0,2524,216,20200411,100,20,0,0,Colombia,哥伦比亚
2776,67,85,0,2582,58,20200412,109,9,0,0,Colombia,哥伦比亚
2776,0,85,0,2582,0,20200413,109,0,0,0,Colombia,哥伦比亚
2979,203,85,0,2767,185,20200414,127,18,0,0,Colombia,哥伦比亚
3105,126,85,0,2889,122,20200415,131,4,0,0,Colombia,哥伦比亚
3105,0,85,0,2889,0,20200416,131,0,0,0,Colombia,哥伦比亚
3105,0,85,0,2889,0,20200417,131,0,0,0,Colombia,哥伦比亚
3621,516,85,0,3370,481,20200418,166,35,0,0,Colombia,哥伦比亚
3621,0,85,0,3370,0,20200419,166,0,0,0,Colombia,哥伦比亚
3621,0,85,0,3370,0,20200420,166,0,0,0,Colombia,哥伦比亚
3792,171,85,0,3528,158,20200421,179,13,0,0,Colombia,哥伦比亚
4356,564,85,0,4065,537,20200422,206,27,0,0,Colombia,哥伦比亚
4356,0,85,0,4065,0,20200423,206,0,0,0,Colombia,哥伦比亚
4881,525,85,0,4571,506,20200424,225,19,0,0,Colombia,哥伦比亚
5142,261,85,0,4824,253,20200425,233,8,0,0,Colombia,哥伦比亚
5142,0,85,0,4824,0,20200426,233,0,0,0,Colombia,哥伦比亚
5597,455,85,0,5259,435,20200427,253,20,0,0,Colombia,哥伦比亚
5949,352,1210,1125,4470,-789,20200428,269,16,0,0,Colombia,哥伦比亚
6207,258,1210,0,4719,249,20200429,278,9,0,0,Colombia,哥伦比亚
6507,300,1210,0,5004,285,20200430,293,15,0,0,Colombia,哥伦比亚
7006,499,1210,0,5482,478,20200501,314,21,0,0,Colombia,哥伦比亚
7006,0,1210,0,5482,0,20200502,314,0,0,0,Colombia,哥伦比亚
7668,662,1210,0,6118,636,20200503,340,26,0,0,Colombia,哥伦比亚
7973,305,1210,0,6405,287,20200504,358,18,0,0,Colombia,哥伦比亚
8613,640,1210,0,7025,620,20200505,378,20,0,0,Colombia,哥伦比亚
8959,346,1210,0,7352,327,20200506,397,19,0,0,Colombia,哥伦比亚
8959,0,1210,0,7352,0,20200507,397,0,0,0,Colombia,哥伦比亚
10051,1092,1210,0,8413,1061,20200508,428,31,0,0,Colombia,哥伦比亚
10495,444,1210,0,8840,427,20200509,445,17,0,0,Colombia,哥伦比亚
10495,0,1210,0,8840,0,20200510,445,0,0,0,Colombia,哥伦比亚
10495,0,1210,0,8840,0,20200511,445,0,0,0,Colombia,哥伦比亚
12272,1777,1210,0,10569,1729,20200512,493,48,0,0,Colombia,哥伦比亚
12930,658,1210,0,11211,642,20200513,509,16,0,0,Colombia,哥伦比亚
13610,680,1210,0,11875,664,20200514,525,16,0,0,Colombia,哥伦比亚
14216,606,1210,0,12460,585,20200515,546,21,0,0,Colombia,哥伦比亚
14939,723,1210,0,13167,707,20200516,562,16,0,0,Colombia,哥伦比亚
15574,635,1210,0,13790,623,20200517,574,12,0,0,Colombia,哥伦比亚
16295,721,1210,0,14493,703,20200518,592,18,0,0,Colombia,哥伦比亚
16935,640,1210,0,15112,619,20200519,613,21,0,0,Colombia,哥伦比亚
17687,752,1210,0,15847,735,20200520,630,17,0,0,Colombia,哥伦比亚
18330,643,4431,3221,13247,-2600,20200521,652,22,0,0,Colombia,哥伦比亚
19131,801,4431,0,14018,771,20200522,682,30,0,0,Colombia,哥伦比亚
20177,1046,4431,0,15041,1023,20200523,705,23,0,0,Colombia,哥伦比亚
21175,998,4431,0,16017,976,20200524,727,22,0,0,Colombia,哥伦比亚
21175,0,4431,0,16017,0,20200525,727,0,0,0,Colombia,哥伦比亚
23003,1828,4431,0,17796,1779,20200526,776,49,0,0,Colombia,哥伦比亚
24104,1101,4431,0,18870,1074,20200527,803,27,0,0,Colombia,哥伦比亚
25366,1262,4431,0,20113,1243,20200528,822,19,0,0,Colombia,哥伦比亚
26688,1322,4431,0,21404,1291,20200529,853,31,0,0,Colombia,哥伦比亚
26688,0,4431,0,21404,0,20200530,853,0,0,0,Colombia,哥伦比亚
29383,2695,4431,0,24013,2609,20200531,939,86,0,0,Colombia,哥伦比亚
29383,0,4431,0,24013,0,20200601,939,0,0,0,Colombia,哥伦比亚
31833,2450,9661,5230,21163,-2850,20200602,1009,70,0,0,Colombia,哥伦比亚
33354,1521,9661,0,22648,1485,20200603,1045,36,0,0,Colombia,哥伦比亚
35120,1766,9661,0,24370,1722,20200604,1089,44,0,0,Colombia,哥伦比亚
36635,1515,9661,0,25829,1459,20200605,1145,56,0,0,Colombia,哥伦比亚
38027,1392,14382,4721,22440,-3389,20200606,1205,60,0,0,Colombia,哥伦比亚
39236,1209,15322,940,22655,215,20200607,1259,54,0,0,Colombia,哥伦比亚
39236,0,15322,0,22655,0,20200608,1259,0,0,0,Colombia,哥伦比亚
39236,0,15322,0,22655,0,20200609,1259,0,0,0,Colombia,哥伦比亚
43682,4446,17333,2011,24916,2261,20200610,1433,174,0,0,Colombia,哥伦比亚
45212,1530,17790,457,25934,1018,20200611,1488,55,0,0,Colombia,哥伦比亚
46858,1646,18715,925,26598,664,20200612,1545,57,0,0,Colombia,哥伦比亚
48746,1888,19426,711,27728,1130,20200613,1592,47,0,0,Colombia,哥伦比亚
50939,2193,19822,396,29450,1722,20200614,1667,75,0,0,Colombia,哥伦比亚
53063,2124,19952,130,31385,1935,20200615,1726,59,0,0,Colombia,哥伦比亚
54931,1868,20366,414,32764,1379,20200616,1801,75,0,0,Colombia,哥伦比亚
57046,2115,21326,960,33856,1092,20200617,1864,63,0,0,Colombia,哥伦比亚
60217,3171,22680,1354,35587,1731,20200618,1950,86,0,0,Colombia,哥伦比亚
63276,3059,23988,1308,37243,1656,20200619,2045,95,0,0,Colombia,哥伦比亚
65633,2357,25499,1511,38008,765,20200620,2126,81,0,0,Colombia,哥伦比亚
65633,0,25499,0,38008,0,20200621,2126,0,0,0,Colombia,哥伦比亚
71183,5550,28968,3469,39905,1897,20200622,2310,184,0,0,Colombia,哥伦比亚
73572,2389,30459,1491,40709,804,20200623,2404,94,0,0,Colombia,哥伦比亚
77113,3541,31671,1212,42951,2242,20200624,2491,87,0,0,Colombia,哥伦比亚
77113,0,31671,0,42951,0,20200625,2491,0,0,0,Colombia,哥伦比亚
84442,7329,34937,3266,46694,3743,20200626,2811,320,0,0,Colombia,哥伦比亚
88591,4149,36273,1336,49379,2685,20200627,2939,128,0,0,Colombia,哥伦比亚
88591,0,36273,0,49379,0,20200628,2939,0,0,0,Colombia,哥伦比亚
95043,6452,39954,3681,51866,2487,20200629,3223,284,0,0,Colombia,哥伦比亚
97846,2803,42073,2119,52439,573,20200630,3334,111,0,0,Colombia,哥伦比亚
102009,4163,42073,0,56466,4027,20200701,3470,136,0,0,Colombia,哥伦比亚
102009,0,42073,0,56466,0,20200702,3470,0,0,0,Colombia,哥伦比亚
109505,7496,44531,2458,61197,4731,20200703,3777,307,0,0,Colombia,哥伦比亚
