confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200316,0,0,0,0,Congo,刚果（布）
1,0,0,0,1,0,20200317,0,0,0,0,Congo,刚果（布）
1,0,0,0,1,0,20200318,0,0,0,0,Congo,刚果（布）
3,2,0,0,3,2,20200319,0,0,0,0,Congo,刚果（布）
3,0,0,0,3,0,20200320,0,0,0,0,Congo,刚果（布）
4,1,0,0,4,1,20200321,0,0,0,0,Congo,刚果（布）
4,0,0,0,4,0,20200322,0,0,0,0,Congo,刚果（布）
4,0,0,0,4,0,20200323,0,0,0,0,Congo,刚果（布）
4,0,0,0,4,0,20200324,0,0,0,0,Congo,刚果（布）
4,0,0,0,4,0,20200325,0,0,0,0,Congo,刚果（布）
4,0,0,0,4,0,20200326,0,0,0,0,Congo,刚果（布）
19,15,0,0,19,15,20200327,0,0,0,0,Congo,刚果（布）
19,0,0,0,19,0,20200328,0,0,0,0,Congo,刚果（布）
19,0,0,0,19,0,20200329,0,0,0,0,Congo,刚果（布）
19,0,0,0,19,0,20200330,0,0,0,0,Congo,刚果（布）
22,3,2,2,17,-2,20200331,3,3,0,0,Congo,刚果（布）
22,0,2,0,17,0,20200401,3,0,0,0,Congo,刚果（布）
41,19,2,0,36,19,20200402,3,0,0,0,Congo,刚果（布）
41,0,2,0,36,0,20200403,3,0,0,0,Congo,刚果（布）
45,4,2,0,38,2,20200404,5,2,0,0,Congo,刚果（布）
45,0,2,0,38,0,20200405,5,0,0,0,Congo,刚果（布）
49,4,2,0,42,4,20200406,5,0,0,0,Congo,刚果（布）
60,11,5,3,50,8,20200407,5,0,0,0,Congo,刚果（布）
60,0,5,0,50,0,20200408,5,0,0,0,Congo,刚果（布）
60,0,5,0,50,0,20200409,5,0,0,0,Congo,刚果（布）
60,0,5,0,50,0,20200410,5,0,0,0,Congo,刚果（布）
70,10,5,0,60,10,20200411,5,0,0,0,Congo,刚果（布）
70,0,8,3,57,-3,20200412,5,0,0,0,Congo,刚果（布）
74,4,10,2,59,2,20200413,5,0,0,0,Congo,刚果（布）
74,0,10,0,59,0,20200414,5,0,0,0,Congo,刚果（布）
117,43,11,1,101,42,20200415,5,0,0,0,Congo,刚果（布）
117,0,11,0,101,0,20200416,5,0,0,0,Congo,刚果（布）
143,26,11,0,126,25,20200417,6,1,0,0,Congo,刚果（布）
143,0,11,0,126,0,20200418,6,0,0,0,Congo,刚果（布）
160,17,16,5,138,12,20200419,6,0,0,0,Congo,刚果（布）
160,0,16,0,138,0,20200420,6,0,0,0,Congo,刚果（布）
165,5,16,0,143,5,20200421,6,0,0,0,Congo,刚果（布）
186,21,16,0,164,21,20200422,6,0,0,0,Congo,刚果（布）
186,0,16,0,164,0,20200423,6,0,0,0,Congo,刚果（布）
200,14,19,3,175,11,20200424,6,0,0,0,Congo,刚果（布）
200,0,19,0,173,-2,20200425,8,2,0,0,Congo,刚果（布）
200,0,19,0,173,0,20200426,8,0,0,0,Congo,刚果（布）
200,0,19,0,173,0,20200427,8,0,0,0,Congo,刚果（布）
207,7,19,0,180,7,20200428,8,0,0,0,Congo,刚果（布）
220,13,19,0,192,12,20200429,9,1,0,0,Congo,刚果（布）
220,0,19,0,192,0,20200430,9,0,0,0,Congo,刚果（布）
229,9,25,6,195,3,20200501,9,0,0,0,Congo,刚果（布）
229,0,25,0,194,-1,20200502,10,1,0,0,Congo,刚果（布）
229,0,25,0,194,0,20200503,10,0,0,0,Congo,刚果（布）
229,0,25,0,194,0,20200504,10,0,0,0,Congo,刚果（布）
236,7,26,1,200,6,20200505,10,0,0,0,Congo,刚果（布）
264,28,26,0,228,28,20200506,10,0,0,0,Congo,刚果（布）
264,0,26,0,228,0,20200507,10,0,0,0,Congo,刚果（布）
274,10,26,0,238,10,20200508,10,0,0,0,Congo,刚果（布）
287,13,26,0,251,13,20200509,10,0,0,0,Congo,刚果（布）
287,0,26,0,251,0,20200510,10,0,0,0,Congo,刚果（布）
333,46,53,27,269,18,20200511,11,1,0,0,Congo,刚果（布）
333,0,53,0,269,0,20200512,11,0,0,0,Congo,刚果（布）
333,0,53,0,269,0,20200513,11,0,0,0,Congo,刚果（布）
341,8,53,0,277,8,20200514,11,0,0,0,Congo,刚果（布）
391,50,53,0,323,46,20200515,15,4,0,0,Congo,刚果（布）
391,0,53,0,323,0,20200516,15,0,0,0,Congo,刚果（布）
412,21,110,57,287,-36,20200517,15,0,0,0,Congo,刚果（布）
412,0,110,0,287,0,20200518,15,0,0,0,Congo,刚果（布）
414,2,110,0,289,2,20200519,15,0,0,0,Congo,刚果（布）
420,6,110,0,295,6,20200520,15,0,0,0,Congo,刚果（布）
420,0,110,0,295,0,20200521,15,0,0,0,Congo,刚果（布）
469,49,137,27,316,21,20200522,16,1,0,0,Congo,刚果（布）
469,0,137,0,316,0,20200523,16,0,0,0,Congo,刚果（布）
487,18,137,0,334,18,20200524,16,0,0,0,Congo,刚果（布）
487,0,137,0,334,0,20200525,16,0,0,0,Congo,刚果（布）
531,44,137,0,377,43,20200526,17,1,0,0,Congo,刚果（布）
569,38,137,0,413,36,20200527,19,2,0,0,Congo,刚果（布）
571,2,161,24,391,-22,20200528,19,0,0,0,Congo,刚果（布）
571,0,161,0,391,0,20200529,19,0,0,0,Congo,刚果（布）
587,16,161,0,407,16,20200530,19,0,0,0,Congo,刚果（布）
611,24,179,18,412,5,20200531,20,1,0,0,Congo,刚果（布）
611,0,179,0,412,0,20200601,20,0,0,0,Congo,刚果（布）
611,0,179,0,412,0,20200602,20,0,0,0,Congo,刚果（布）
618,7,179,0,419,7,20200603,20,0,0,0,Congo,刚果（布）
632,14,179,0,433,14,20200604,20,0,0,0,Congo,刚果（布）
635,3,179,0,436,3,20200605,20,0,0,0,Congo,刚果（布）
639,4,179,0,440,4,20200606,20,0,0,0,Congo,刚果（布）
653,14,179,0,454,14,20200607,20,0,0,0,Congo,刚果（布）
683,30,179,0,482,28,20200608,22,2,0,0,Congo,刚果（布）
683,0,179,0,482,0,20200609,22,0,0,0,Congo,刚果（布）
718,35,179,0,515,33,20200610,24,2,0,0,Congo,刚果（布）
728,10,179,0,525,10,20200611,24,0,0,0,Congo,刚果（布）
745,17,179,0,541,16,20200612,25,1,0,0,Congo,刚果（布）
745,0,179,0,541,0,20200613,25,0,0,0,Congo,刚果（布）
779,34,179,0,575,34,20200614,25,0,0,0,Congo,刚果（布）
883,104,391,212,465,-110,20200615,27,2,0,0,Congo,刚果（布）
883,0,391,0,465,0,20200616,27,0,0,0,Congo,刚果（布）
883,0,391,0,465,0,20200617,27,0,0,0,Congo,刚果（布）
883,0,391,0,465,0,20200618,27,0,0,0,Congo,刚果（布）
883,0,391,0,465,0,20200619,27,0,0,0,Congo,刚果（布）
883,0,391,0,465,0,20200620,27,0,0,0,Congo,刚果（布）
883,0,391,0,465,0,20200621,27,0,0,0,Congo,刚果（布）
883,0,391,0,465,0,20200622,27,0,0,0,Congo,刚果（布）
1087,204,456,65,594,129,20200623,37,10,0,0,Congo,刚果（布）
1141,54,456,0,648,54,20200624,37,0,0,0,Congo,刚果（布）
1141,0,456,0,648,0,20200625,37,0,0,0,Congo,刚果（布）
1204,63,456,0,710,62,20200626,38,1,0,0,Congo,刚果（布）
1204,0,456,0,710,0,20200627,38,0,0,0,Congo,刚果（布）
1245,41,456,0,749,39,20200628,40,2,0,0,Congo,刚果（布）
1245,0,456,0,749,0,20200629,40,0,0,0,Congo,刚果（布）
1245,0,456,0,749,0,20200630,40,0,0,0,Congo,刚果（布）
1329,84,456,0,832,83,20200701,41,1,0,0,Congo,刚果（布）
1443,114,486,30,915,83,20200702,42,1,0,0,Congo,刚果（布）
1443,0,486,0,915,0,20200703,42,0,0,0,Congo,刚果（布）
1557,114,486,0,1027,112,20200704,44,2,0,0,Congo,刚果（布）
1557,0,486,0,1027,0,20200705,44,0,0,0,Congo,刚果（布）
1557,0,486,0,1027,0,20200706,44,0,0,0,Congo,刚果（布）
1557,0,486,0,1027,0,20200707,44,0,0,0,Congo,刚果（布）
1757,200,486,0,1227,200,20200708,44,0,0,0,Congo,刚果（布）
