confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
5,5,0,0,5,5,20200308,0,0,0,0,Costa Rica,哥斯达黎加
9,4,0,0,9,4,20200309,0,0,0,0,Costa Rica,哥斯达黎加
9,0,0,0,9,0,20200310,0,0,0,0,Costa Rica,哥斯达黎加
13,4,0,0,13,4,20200311,0,0,0,0,Costa Rica,哥斯达黎加
13,0,0,0,13,0,20200312,0,0,0,0,Costa Rica,哥斯达黎加
22,9,0,0,22,9,20200313,0,0,0,0,Costa Rica,哥斯达黎加
23,1,0,0,23,1,20200314,0,0,0,0,Costa Rica,哥斯达黎加
23,0,0,0,23,0,20200315,0,0,0,0,Costa Rica,哥斯达黎加
23,0,0,0,23,0,20200316,0,0,0,0,Costa Rica,哥斯达黎加
41,18,0,0,41,18,20200317,0,0,0,0,Costa Rica,哥斯达黎加
41,0,0,0,41,0,20200318,0,0,0,0,Costa Rica,哥斯达黎加
87,46,0,0,86,45,20200319,1,1,0,0,Costa Rica,哥斯达黎加
113,26,0,0,111,25,20200320,2,1,0,0,Costa Rica,哥斯达黎加
113,0,0,0,111,0,20200321,2,0,0,0,Costa Rica,哥斯达黎加
117,4,0,0,115,4,20200322,2,0,0,0,Costa Rica,哥斯达黎加
158,41,0,0,156,41,20200323,2,0,0,0,Costa Rica,哥斯达黎加
158,0,0,0,156,0,20200324,2,0,0,0,Costa Rica,哥斯达黎加
201,43,0,0,199,43,20200325,2,0,0,0,Costa Rica,哥斯达黎加
231,30,0,0,229,30,20200326,2,0,0,0,Costa Rica,哥斯达黎加
263,32,0,0,261,32,20200327,2,0,0,0,Costa Rica,哥斯达黎加
295,32,0,0,293,32,20200328,2,0,0,0,Costa Rica,哥斯达黎加
295,0,0,0,293,0,20200329,2,0,0,0,Costa Rica,哥斯达黎加
295,0,0,0,293,0,20200330,2,0,0,0,Costa Rica,哥斯达黎加
347,52,0,0,345,52,20200331,2,0,0,0,Costa Rica,哥斯达黎加
347,0,0,0,345,0,20200401,2,0,0,0,Costa Rica,哥斯达黎加
347,0,0,0,345,0,20200402,2,0,0,0,Costa Rica,哥斯达黎加
375,28,0,0,373,28,20200403,2,0,0,0,Costa Rica,哥斯达黎加
396,21,0,0,394,21,20200404,2,0,0,0,Costa Rica,哥斯达黎加
416,20,0,0,414,20,20200405,2,0,0,0,Costa Rica,哥斯达黎加
435,19,0,0,433,19,20200406,2,0,0,0,Costa Rica,哥斯达黎加
454,19,0,0,452,19,20200407,2,0,0,0,Costa Rica,哥斯达黎加
467,13,0,0,465,13,20200408,2,0,0,0,Costa Rica,哥斯达黎加
483,16,0,0,481,16,20200409,2,0,0,0,Costa Rica,哥斯达黎加
502,19,0,0,499,18,20200410,3,1,0,0,Costa Rica,哥斯达黎加
539,37,0,0,536,37,20200411,3,0,0,0,Costa Rica,哥斯达黎加
558,19,0,0,555,19,20200412,3,0,0,0,Costa Rica,哥斯达黎加
577,19,0,0,574,19,20200413,3,0,0,0,Costa Rica,哥斯达黎加
