confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200312,0,0,0,0,Cote d Ivoire,科特迪瓦
1,0,0,0,1,0,20200313,0,0,0,0,Cote d Ivoire,科特迪瓦
1,0,0,0,1,0,20200314,0,0,0,0,Cote d Ivoire,科特迪瓦
3,2,0,0,3,2,20200315,0,0,0,0,Cote d Ivoire,科特迪瓦
3,0,0,0,3,0,20200316,0,0,0,0,Cote d Ivoire,科特迪瓦
6,3,1,1,5,2,20200317,0,0,0,0,Cote d Ivoire,科特迪瓦
6,0,1,0,5,0,20200318,0,0,0,0,Cote d Ivoire,科特迪瓦
9,3,1,0,8,3,20200319,0,0,0,0,Cote d Ivoire,科特迪瓦
14,5,1,0,13,5,20200320,0,0,0,0,Cote d Ivoire,科特迪瓦
14,0,1,0,13,0,20200321,0,0,0,0,Cote d Ivoire,科特迪瓦
25,11,1,0,24,11,20200322,0,0,0,0,Cote d Ivoire,科特迪瓦
25,0,1,0,24,0,20200323,0,0,0,0,Cote d Ivoire,科特迪瓦
73,48,3,2,70,46,20200324,0,0,0,0,Cote d Ivoire,科特迪瓦
73,0,3,0,70,0,20200325,0,0,0,0,Cote d Ivoire,科特迪瓦
96,23,3,0,93,23,20200326,0,0,0,0,Cote d Ivoire,科特迪瓦
101,5,3,0,98,5,20200327,0,0,0,0,Cote d Ivoire,科特迪瓦
101,0,3,0,98,0,20200328,0,0,0,0,Cote d Ivoire,科特迪瓦
165,64,4,1,160,62,20200329,1,1,0,0,Cote d Ivoire,科特迪瓦
168,3,6,2,161,1,20200330,1,0,0,0,Cote d Ivoire,科特迪瓦
179,11,7,1,171,10,20200331,1,0,0,0,Cote d Ivoire,科特迪瓦
190,11,9,2,180,9,20200401,1,0,0,0,Cote d Ivoire,科特迪瓦
194,4,15,6,178,-2,20200402,1,0,0,0,Cote d Ivoire,科特迪瓦
194,0,15,0,178,0,20200403,1,0,0,0,Cote d Ivoire,科特迪瓦
245,51,25,10,219,41,20200404,1,0,0,0,Cote d Ivoire,科特迪瓦
261,16,37,12,221,2,20200405,3,2,0,0,Cote d Ivoire,科特迪瓦
323,62,41,4,279,58,20200406,3,0,0,0,Cote d Ivoire,科特迪瓦
349,26,41,0,305,26,20200407,3,0,0,0,Cote d Ivoire,科特迪瓦
384,35,48,7,333,28,20200408,3,0,0,0,Cote d Ivoire,科特迪瓦
444,60,52,4,389,56,20200409,3,0,0,0,Cote d Ivoire,科特迪瓦
480,36,54,2,423,34,20200410,3,0,0,0,Cote d Ivoire,科特迪瓦
533,53,58,4,471,48,20200411,4,1,0,0,Cote d Ivoire,科特迪瓦
574,41,85,27,484,13,20200412,5,1,0,0,Cote d Ivoire,科特迪瓦
626,52,89,4,531,47,20200413,6,1,0,0,Cote d Ivoire,科特迪瓦
638,12,114,25,518,-13,20200414,6,0,0,0,Cote d Ivoire,科特迪瓦
654,16,146,32,502,-16,20200415,6,0,0,0,Cote d Ivoire,科特迪瓦
688,34,193,47,489,-13,20200416,6,0,0,0,Cote d Ivoire,科特迪瓦
742,54,220,27,516,27,20200417,6,0,0,0,Cote d Ivoire,科特迪瓦
801,59,239,19,554,38,20200418,8,2,0,0,Cote d Ivoire,科特迪瓦
