confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200226,0,0,0,0,Croatia,克罗地亚
3,1,0,0,3,1,20200227,0,0,0,0,Croatia,克罗地亚
3,0,0,0,3,0,20200228,0,0,0,0,Croatia,克罗地亚
5,2,0,0,5,2,20200229,0,0,0,0,Croatia,克罗地亚
7,2,0,0,7,2,20200301,0,0,0,0,Croatia,克罗地亚
7,0,0,0,7,0,20200302,0,0,0,0,Croatia,克罗地亚
9,2,0,0,9,2,20200303,0,0,0,0,Croatia,克罗地亚
9,0,0,0,9,0,20200304,0,0,0,0,Croatia,克罗地亚
9,0,0,0,9,0,20200305,0,0,0,0,Croatia,克罗地亚
10,1,0,0,10,1,20200306,0,0,0,0,Croatia,克罗地亚
11,1,0,0,11,1,20200307,0,0,0,0,Croatia,克罗地亚
11,0,0,0,11,0,20200308,0,0,0,0,Croatia,克罗地亚
11,0,0,0,11,0,20200309,0,0,0,0,Croatia,克罗地亚
12,1,0,0,12,1,20200310,0,0,0,0,Croatia,克罗地亚
16,4,0,0,16,4,20200311,0,0,0,0,Croatia,克罗地亚
16,0,0,0,16,0,20200312,0,0,0,0,Croatia,克罗地亚
16,0,0,0,16,0,20200313,0,0,0,0,Croatia,克罗地亚
27,11,0,0,27,11,20200314,0,0,0,0,Croatia,克罗地亚
37,10,0,0,37,10,20200315,0,0,0,0,Croatia,克罗地亚
49,12,0,0,49,12,20200316,0,0,0,0,Croatia,克罗地亚
56,7,0,0,56,7,20200317,0,0,0,0,Croatia,克罗地亚
65,9,0,0,65,9,20200318,0,0,0,0,Croatia,克罗地亚
102,37,5,5,96,31,20200319,1,1,0,0,Croatia,克罗地亚
102,0,5,0,96,0,20200320,1,0,0,0,Croatia,克罗地亚
133,31,5,0,127,31,20200321,1,0,0,0,Croatia,克罗地亚
206,73,5,0,200,73,20200322,1,0,0,0,Croatia,克罗地亚
315,109,5,0,309,109,20200323,1,0,0,0,Croatia,克罗地亚
315,0,5,0,309,0,20200324,1,0,0,0,Croatia,克罗地亚
442,127,5,0,436,127,20200325,1,0,0,0,Croatia,克罗地亚
442,0,5,0,436,0,20200326,1,0,0,0,Croatia,克罗地亚
586,144,37,32,546,110,20200327,3,2,0,0,Croatia,克罗地亚
586,0,37,0,546,0,20200328,3,0,0,0,Croatia,克罗地亚
657,71,37,0,615,69,20200329,5,2,0,0,Croatia,克罗地亚
790,133,64,27,720,105,20200330,6,1,0,0,Croatia,克罗地亚
867,77,67,3,794,74,20200331,6,0,0,0,Croatia,克罗地亚
867,0,67,0,794,0,20200401,6,0,0,0,Croatia,克罗地亚
1011,144,88,21,916,122,20200402,7,1,0,0,Croatia,克罗地亚
1079,68,88,0,984,68,20200403,7,0,0,0,Croatia,克罗地亚
1126,47,119,31,995,11,20200404,12,5,0,0,Croatia,克罗地亚
1182,56,119,0,1048,53,20200405,15,3,0,0,Croatia,克罗地亚
1222,40,130,11,1077,29,20200406,15,0,0,0,Croatia,克罗地亚
1222,0,130,0,1076,-1,20200407,16,1,0,0,Croatia,克罗地亚
1343,121,130,0,1194,118,20200408,19,3,0,0,Croatia,克罗地亚
1407,64,219,89,1168,-26,20200409,20,1,0,0,Croatia,克罗地亚
1495,88,231,12,1243,75,20200410,21,1,0,0,Croatia,克罗地亚
1534,39,323,92,1190,-53,20200411,21,0,0,0,Croatia,克罗地亚
1660,126,373,50,1264,74,20200412,23,2,0,0,Croatia,克罗地亚
1660,0,373,0,1264,0,20200413,23,0,0,0,Croatia,克罗地亚
1704,44,415,42,1258,-6,20200414,31,8,0,0,Croatia,克罗地亚
1741,37,473,58,1235,-23,20200415,33,2,0,0,Croatia,克罗地亚
1791,50,529,56,1227,-8,20200416,35,2,0,0,Croatia,克罗地亚
1814,23,600,71,1178,-49,20200417,36,1,0,0,Croatia,克罗地亚
1832,18,615,15,1178,0,20200418,39,3,0,0,Croatia,克罗地亚
1871,39,709,94,1115,-63,20200419,47,8,0,0,Croatia,克罗地亚
1881,10,771,62,1063,-52,20200420,47,0,0,0,Croatia,克罗地亚
1908,27,801,30,1059,-4,20200421,48,1,0,0,Croatia,克罗地亚
1950,42,869,68,1033,-26,20200422,48,0,0,0,Croatia,克罗地亚
1981,31,883,14,1048,15,20200423,50,2,0,0,Croatia,克罗地亚
2009,28,982,99,976,-72,20200424,51,1,0,0,Croatia,克罗地亚
2016,7,1034,52,928,-48,20200425,54,3,0,0,Croatia,克罗地亚
2030,14,1103,69,872,-56,20200426,55,1,0,0,Croatia,克罗地亚
2039,9,1166,63,814,-58,20200427,59,4,0,0,Croatia,克罗地亚
2047,8,1232,66,752,-62,20200428,63,4,0,0,Croatia,克罗地亚
2062,15,1288,56,707,-45,20200429,67,4,0,0,Croatia,克罗地亚
2062,0,1288,0,707,0,20200430,67,0,0,0,Croatia,克罗地亚
2085,23,1421,133,589,-118,20200501,75,8,0,0,Croatia,克罗地亚
2088,3,1463,42,548,-41,20200502,77,2,0,0,Croatia,克罗地亚
2088,0,1463,0,548,0,20200503,77,0,0,0,Croatia,克罗地亚
2088,0,1463,0,548,0,20200504,77,0,0,0,Croatia,克罗地亚
2101,13,1463,0,558,10,20200505,80,3,0,0,Croatia,克罗地亚
2119,18,1601,138,435,-123,20200506,83,3,0,0,Croatia,克罗地亚
2125,6,1641,40,398,-37,20200507,86,3,0,0,Croatia,克罗地亚
2125,0,1641,0,398,0,20200508,86,0,0,0,Croatia,克罗地亚
2161,36,1641,0,434,36,20200509,86,0,0,0,Croatia,克罗地亚
2187,26,1764,123,336,-98,20200510,87,1,0,0,Croatia,克罗地亚
2196,9,1784,20,322,-14,20200511,90,3,0,0,Croatia,克罗地亚
2196,0,1784,0,321,-1,20200512,91,1,0,0,Croatia,克罗地亚
2207,11,1784,0,332,11,20200513,91,0,0,0,Croatia,克罗地亚
2213,6,1784,0,335,3,20200514,94,3,0,0,Croatia,克罗地亚
2222,9,1869,85,259,-76,20200515,94,0,0,0,Croatia,克罗地亚
2222,0,1869,0,258,-1,20200516,95,1,0,0,Croatia,克罗地亚
2224,2,1869,0,260,2,20200517,95,0,0,0,Croatia,克罗地亚
2228,4,1946,77,187,-73,20200518,95,0,0,0,Croatia,克罗地亚
2228,0,1946,0,187,0,20200519,95,0,0,0,Croatia,克罗地亚
2232,4,1946,0,190,3,20200520,96,1,0,0,Croatia,克罗地亚
2234,2,1946,0,192,2,20200521,96,0,0,0,Croatia,克罗地亚
2237,3,1946,0,194,2,20200522,97,1,0,0,Croatia,克罗地亚
2243,6,1946,0,198,4,20200523,99,2,0,0,Croatia,克罗地亚
2244,1,2027,81,118,-80,20200524,99,0,0,0,Croatia,克罗地亚
2244,0,2027,0,118,0,20200525,99,0,0,0,Croatia,克罗地亚
2244,0,2027,0,117,-1,20200526,100,1,0,0,Croatia,克罗地亚
2244,0,2027,0,116,-1,20200527,101,1,0,0,Croatia,克罗地亚
2244,0,2027,0,116,0,20200528,101,0,0,0,Croatia,克罗地亚
2245,1,2027,0,116,0,20200529,102,1,0,0,Croatia,克罗地亚
2245,0,2027,0,115,-1,20200530,103,1,0,0,Croatia,克罗地亚
2246,1,2027,0,116,1,20200531,103,0,0,0,Croatia,克罗地亚
2246,0,2027,0,116,0,20200601,103,0,0,0,Croatia,克罗地亚
2246,0,2027,0,116,0,20200602,103,0,0,0,Croatia,克罗地亚
2246,0,2027,0,116,0,20200603,103,0,0,0,Croatia,克罗地亚
2246,0,2027,0,116,0,20200604,103,0,0,0,Croatia,克罗地亚
2247,1,2027,0,117,1,20200605,103,0,0,0,Croatia,克罗地亚
2247,0,2027,0,117,0,20200606,103,0,0,0,Croatia,克罗地亚
2247,0,2027,0,116,-1,20200607,104,1,0,0,Croatia,克罗地亚
2247,0,2027,0,116,0,20200608,104,0,0,0,Croatia,克罗地亚
2247,0,2027,0,116,0,20200609,104,0,0,0,Croatia,克罗地亚
2247,0,2027,0,114,-2,20200610,106,2,0,0,Croatia,克罗地亚
2249,2,2027,0,116,2,20200611,106,0,0,0,Croatia,克罗地亚
2249,0,2027,0,116,0,20200612,106,0,0,0,Croatia,克罗地亚
2249,0,2027,0,115,-1,20200613,107,1,0,0,Croatia,克罗地亚
2251,2,2027,0,117,2,20200614,107,0,0,0,Croatia,克罗地亚
2252,1,2027,0,118,1,20200615,107,0,0,0,Croatia,克罗地亚
2254,2,2027,0,120,2,20200616,107,0,0,0,Croatia,克罗地亚
