confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
3,3,0,0,3,3,20200313,0,0,0,0,Cuba,古巴
4,1,0,0,4,1,20200314,0,0,0,0,Cuba,古巴
4,0,0,0,4,0,20200315,0,0,0,0,Cuba,古巴
4,0,0,0,4,0,20200316,0,0,0,0,Cuba,古巴
5,1,0,0,5,1,20200317,0,0,0,0,Cuba,古巴
5,0,0,0,5,0,20200318,0,0,0,0,Cuba,古巴
16,11,0,0,15,10,20200319,1,1,0,0,Cuba,古巴
16,0,0,0,15,0,20200320,1,0,0,0,Cuba,古巴
21,5,0,0,20,5,20200321,1,0,0,0,Cuba,古巴
21,0,0,0,20,0,20200322,1,0,0,0,Cuba,古巴
21,0,0,0,20,0,20200323,1,0,0,0,Cuba,古巴
40,19,0,0,39,19,20200324,1,0,0,0,Cuba,古巴
48,8,0,0,47,8,20200325,1,0,0,0,Cuba,古巴
57,9,0,0,56,9,20200326,1,0,0,0,Cuba,古巴
67,10,0,0,66,10,20200327,1,0,0,0,Cuba,古巴
80,13,0,0,78,12,20200328,2,1,0,0,Cuba,古巴
119,39,0,0,116,38,20200329,3,1,0,0,Cuba,古巴
119,0,0,0,116,0,20200330,3,0,0,0,Cuba,古巴
170,51,0,0,166,50,20200331,4,1,0,0,Cuba,古巴
186,16,0,0,180,14,20200401,6,2,0,0,Cuba,古巴
212,26,0,0,206,26,20200402,6,0,0,0,Cuba,古巴
233,21,0,0,227,21,20200403,6,0,0,0,Cuba,古巴
269,36,0,0,263,36,20200404,6,0,0,0,Cuba,古巴
288,19,0,0,282,19,20200405,6,0,0,0,Cuba,古巴
320,32,0,0,312,30,20200406,8,2,0,0,Cuba,古巴
350,30,0,0,341,29,20200407,9,1,0,0,Cuba,古巴
396,46,0,0,385,44,20200408,11,2,0,0,Cuba,古巴
457,61,0,0,445,60,20200409,12,1,0,0,Cuba,古巴
564,107,0,0,549,104,20200410,15,3,0,0,Cuba,古巴
564,0,0,0,549,0,20200411,15,0,0,0,Cuba,古巴
620,56,0,0,604,55,20200412,16,1,0,0,Cuba,古巴
669,49,0,0,651,47,20200413,18,2,0,0,Cuba,古巴
726,57,0,0,705,54,20200414,21,3,0,0,Cuba,古巴
766,40,0,0,745,40,20200415,21,0,0,0,Cuba,古巴
814,48,0,0,790,45,20200416,24,3,0,0,Cuba,古巴
862,48,0,0,835,45,20200417,27,3,0,0,Cuba,古巴
923,61,0,0,892,57,20200418,31,4,0,0,Cuba,古巴
986,63,0,0,954,62,20200419,32,1,0,0,Cuba,古巴
1035,49,0,0,1001,47,20200420,34,2,0,0,Cuba,古巴
1087,52,0,0,1051,50,20200421,36,2,0,0,Cuba,古巴
1137,50,0,0,1099,48,20200422,38,2,0,0,Cuba,古巴
1189,52,0,0,1149,50,20200423,40,2,0,0,Cuba,古巴
1235,46,0,0,1192,43,20200424,43,3,0,0,Cuba,古巴
1285,50,0,0,1236,44,20200425,49,6,0,0,Cuba,古巴
1337,52,0,0,1286,50,20200426,51,2,0,0,Cuba,古巴
1369,32,0,0,1315,29,20200427,54,3,0,0,Cuba,古巴
1389,20,525,525,808,-507,20200428,56,2,0,0,Cuba,古巴
1437,48,525,0,854,46,20200429,58,2,0,0,Cuba,古巴
1467,30,525,0,884,30,20200430,58,0,0,0,Cuba,古巴
1501,34,525,0,915,31,20200501,61,3,0,0,Cuba,古巴
1537,36,525,0,948,33,20200502,64,3,0,0,Cuba,古巴
1611,74,525,0,1020,72,20200503,66,2,0,0,Cuba,古巴
1649,38,525,0,1057,37,20200504,67,1,0,0,Cuba,古巴
1668,19,525,0,1074,17,20200505,69,2,0,0,Cuba,古巴
1685,17,525,0,1091,17,20200506,69,0,0,0,Cuba,古巴
1703,18,525,0,1109,18,20200507,69,0,0,0,Cuba,古巴
1729,26,525,0,1131,22,20200508,73,4,0,0,Cuba,古巴
1741,12,525,0,1142,11,20200509,74,1,0,0,Cuba,古巴
1754,13,525,0,1155,13,20200510,74,0,0,0,Cuba,古巴
1766,12,525,0,1164,9,20200511,77,3,0,0,Cuba,古巴
1783,17,525,0,1181,17,20200512,77,0,0,0,Cuba,古巴
1804,21,525,0,1201,20,20200513,78,1,0,0,Cuba,古巴
1810,6,525,0,1206,5,20200514,79,1,0,0,Cuba,古巴
1830,20,525,0,1226,20,20200515,79,0,0,0,Cuba,古巴
1840,10,525,0,1236,10,20200516,79,0,0,0,Cuba,古巴
1862,22,525,0,1258,22,20200517,79,0,0,0,Cuba,古巴
1872,10,525,0,1268,10,20200518,79,0,0,0,Cuba,古巴
1881,9,525,0,1277,9,20200519,79,0,0,0,Cuba,古巴
1887,6,525,0,1283,6,20200520,79,0,0,0,Cuba,古巴
1900,13,525,0,1296,13,20200521,79,0,0,0,Cuba,古巴
1908,8,525,0,1303,7,20200522,80,1,0,0,Cuba,古巴
1916,8,525,0,1310,7,20200523,81,1,0,0,Cuba,古巴
1931,15,525,0,1325,15,20200524,81,0,0,0,Cuba,古巴
1941,10,525,0,1334,9,20200525,82,1,0,0,Cuba,古巴
1947,6,525,0,1340,6,20200526,82,0,0,0,Cuba,古巴
1963,16,525,0,1356,16,20200527,82,0,0,0,Cuba,古巴
1974,11,525,0,1367,11,20200528,82,0,0,0,Cuba,古巴
1983,9,525,0,1376,9,20200529,82,0,0,0,Cuba,古巴
2005,22,525,0,1398,22,20200530,82,0,0,0,Cuba,古巴
2025,20,525,0,1417,19,20200531,83,1,0,0,Cuba,古巴
2045,20,525,0,1437,20,20200601,83,0,0,0,Cuba,古巴
2083,38,525,0,1475,38,20200602,83,0,0,0,Cuba,古巴
2092,9,525,0,1484,9,20200603,83,0,0,0,Cuba,古巴
2107,15,525,0,1499,15,20200604,83,0,0,0,Cuba,古巴
2119,12,525,0,1511,12,20200605,83,0,0,0,Cuba,古巴
2133,14,525,0,1525,14,20200606,83,0,0,0,Cuba,古巴
2173,40,525,0,1565,40,20200607,83,0,0,0,Cuba,古巴
2191,18,525,0,1583,18,20200608,83,0,0,0,Cuba,古巴
2200,9,525,0,1592,9,20200609,83,0,0,0,Cuba,古巴
2205,5,525,0,1597,5,20200610,83,0,0,0,Cuba,古巴
2211,6,525,0,1603,6,20200611,83,0,0,0,Cuba,古巴
2219,8,525,0,1610,7,20200612,84,1,0,0,Cuba,古巴
2233,14,525,0,1624,14,20200613,84,0,0,0,Cuba,古巴
2238,5,525,0,1629,5,20200614,84,0,0,0,Cuba,古巴
2248,10,525,0,1639,10,20200615,84,0,0,0,Cuba,古巴
2262,14,525,0,1653,14,20200616,84,0,0,0,Cuba,古巴
2262,0,525,0,1653,0,20200617,84,0,0,0,Cuba,古巴
2280,18,525,0,1671,18,20200618,84,0,0,0,Cuba,古巴
2295,15,525,0,1685,14,20200619,85,1,0,0,Cuba,古巴
2305,10,525,0,1695,10,20200620,85,0,0,0,Cuba,古巴
2309,4,525,0,1699,4,20200621,85,0,0,0,Cuba,古巴
2312,3,525,0,1702,3,20200622,85,0,0,0,Cuba,古巴
2315,3,525,0,1705,3,20200623,85,0,0,0,Cuba,古巴
2318,3,525,0,1708,3,20200624,85,0,0,0,Cuba,古巴
2319,1,525,0,1709,1,20200625,85,0,0,0,Cuba,古巴
2321,2,525,0,1711,2,20200626,85,0,0,0,Cuba,古巴
2325,4,525,0,1715,4,20200627,85,0,0,0,Cuba,古巴
2330,5,525,0,1719,4,20200628,86,1,0,0,Cuba,古巴
2332,2,525,0,1721,2,20200629,86,0,0,0,Cuba,古巴
2340,8,525,0,1729,8,20200630,86,0,0,0,Cuba,古巴
2341,1,525,0,1730,1,20200701,86,0,0,0,Cuba,古巴
2348,7,525,0,1737,7,20200702,86,0,0,0,Cuba,古巴
2353,5,525,0,1742,5,20200703,86,0,0,0,Cuba,古巴
2361,8,525,0,1750,8,20200704,86,0,0,0,Cuba,古巴
2369,8,525,0,1758,8,20200705,86,0,0,0,Cuba,古巴
2372,3,525,0,1761,3,20200706,86,0,0,0,Cuba,古巴
2380,8,525,0,1769,8,20200707,86,0,0,0,Cuba,古巴
2395,15,525,0,1784,15,20200708,86,0,0,0,Cuba,古巴
