confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200316,0,0,0,0,Curaçao,库拉索岛
3,1,0,0,3,1,20200317,0,0,0,0,Curaçao,库拉索岛
3,0,0,0,3,0,20200318,0,0,0,0,Curaçao,库拉索岛
3,0,0,0,3,0,20200319,0,0,0,0,Curaçao,库拉索岛
3,0,0,0,3,0,20200320,0,0,0,0,Curaçao,库拉索岛
3,0,0,0,3,0,20200321,0,0,0,0,Curaçao,库拉索岛
3,0,0,0,2,-1,20200322,1,1,0,0,Curaçao,库拉索岛
3,0,0,0,2,0,20200323,1,0,0,0,Curaçao,库拉索岛
4,1,0,0,3,1,20200324,1,0,0,0,Curaçao,库拉索岛
6,2,0,0,5,2,20200325,1,0,0,0,Curaçao,库拉索岛
6,0,0,0,5,0,20200326,1,0,0,0,Curaçao,库拉索岛
7,1,0,0,6,1,20200327,1,0,0,0,Curaçao,库拉索岛
7,0,0,0,6,0,20200328,1,0,0,0,Curaçao,库拉索岛
7,0,0,0,6,0,20200329,1,0,0,0,Curaçao,库拉索岛
7,0,0,0,6,0,20200330,1,0,0,0,Curaçao,库拉索岛
11,4,0,0,10,4,20200331,1,0,0,0,Curaçao,库拉索岛
11,0,0,0,10,0,20200401,1,0,0,0,Curaçao,库拉索岛
11,0,0,0,10,0,20200402,1,0,0,0,Curaçao,库拉索岛
11,0,0,0,10,0,20200403,1,0,0,0,Curaçao,库拉索岛
11,0,0,0,10,0,20200404,1,0,0,0,Curaçao,库拉索岛
11,0,0,0,10,0,20200405,1,0,0,0,Curaçao,库拉索岛
11,0,0,0,10,0,20200406,1,0,0,0,Curaçao,库拉索岛
13,2,0,0,12,2,20200407,1,0,0,0,Curaçao,库拉索岛
13,0,0,0,12,0,20200408,1,0,0,0,Curaçao,库拉索岛
14,1,0,0,13,1,20200409,1,0,0,0,Curaçao,库拉索岛
14,0,0,0,13,0,20200410,1,0,0,0,Curaçao,库拉索岛
14,0,0,0,13,0,20200411,1,0,0,0,Curaçao,库拉索岛
14,0,0,0,13,0,20200412,1,0,0,0,Curaçao,库拉索岛
14,0,0,0,13,0,20200413,1,0,0,0,Curaçao,库拉索岛
14,0,0,0,13,0,20200414,1,0,0,0,Curaçao,库拉索岛
14,0,0,0,13,0,20200415,1,0,0,0,Curaçao,库拉索岛
14,0,0,0,13,0,20200416,1,0,0,0,Curaçao,库拉索岛
14,0,0,0,13,0,20200417,1,0,0,0,Curaçao,库拉索岛
14,0,0,0,13,0,20200418,1,0,0,0,Curaçao,库拉索岛
14,0,0,0,13,0,20200419,1,0,0,0,Curaçao,库拉索岛
14,0,0,0,13,0,20200420,1,0,0,0,Curaçao,库拉索岛
14,0,0,0,13,0,20200421,1,0,0,0,Curaçao,库拉索岛
14,0,0,0,13,0,20200422,1,0,0,0,Curaçao,库拉索岛
14,0,0,0,13,0,20200423,1,0,0,0,Curaçao,库拉索岛
14,0,0,0,13,0,20200424,1,0,0,0,Curaçao,库拉索岛
14,0,0,0,13,0,20200425,1,0,0,0,Curaçao,库拉索岛
14,0,0,0,13,0,20200426,1,0,0,0,Curaçao,库拉索岛
14,0,0,0,13,0,20200427,1,0,0,0,Curaçao,库拉索岛
16,2,0,0,15,2,20200428,1,0,0,0,Curaçao,库拉索岛
16,0,0,0,15,0,20200429,1,0,0,0,Curaçao,库拉索岛
16,0,0,0,15,0,20200430,1,0,0,0,Curaçao,库拉索岛
16,0,0,0,15,0,20200501,1,0,0,0,Curaçao,库拉索岛
16,0,0,0,15,0,20200502,1,0,0,0,Curaçao,库拉索岛
16,0,0,0,15,0,20200503,1,0,0,0,Curaçao,库拉索岛
16,0,0,0,15,0,20200504,1,0,0,0,Curaçao,库拉索岛
16,0,0,0,15,0,20200505,1,0,0,0,Curaçao,库拉索岛
16,0,0,0,15,0,20200506,1,0,0,0,Curaçao,库拉索岛
16,0,0,0,15,0,20200507,1,0,0,0,Curaçao,库拉索岛
16,0,0,0,15,0,20200508,1,0,0,0,Curaçao,库拉索岛
16,0,0,0,15,0,20200509,1,0,0,0,Curaçao,库拉索岛
16,0,0,0,15,0,20200510,1,0,0,0,Curaçao,库拉索岛
16,0,0,0,15,0,20200511,1,0,0,0,Curaçao,库拉索岛
16,0,0,0,15,0,20200512,1,0,0,0,Curaçao,库拉索岛
16,0,0,0,15,0,20200513,1,0,0,0,Curaçao,库拉索岛
16,0,0,0,15,0,20200514,1,0,0,0,Curaçao,库拉索岛
16,0,0,0,15,0,20200515,1,0,0,0,Curaçao,库拉索岛
16,0,0,0,15,0,20200516,1,0,0,0,Curaçao,库拉索岛
16,0,0,0,15,0,20200517,1,0,0,0,Curaçao,库拉索岛
16,0,0,0,15,0,20200518,1,0,0,0,Curaçao,库拉索岛
16,0,0,0,15,0,20200519,1,0,0,0,Curaçao,库拉索岛
16,0,0,0,15,0,20200520,1,0,0,0,Curaçao,库拉索岛
16,0,0,0,15,0,20200521,1,0,0,0,Curaçao,库拉索岛
16,0,0,0,15,0,20200522,1,0,0,0,Curaçao,库拉索岛
16,0,0,0,15,0,20200523,1,0,0,0,Curaçao,库拉索岛
16,0,0,0,15,0,20200524,1,0,0,0,Curaçao,库拉索岛
17,1,0,0,16,1,20200525,1,0,0,0,Curaçao,库拉索岛
17,0,0,0,16,0,20200526,1,0,0,0,Curaçao,库拉索岛
18,1,0,0,17,1,20200527,1,0,0,0,Curaçao,库拉索岛
18,0,0,0,17,0,20200528,1,0,0,0,Curaçao,库拉索岛
20,2,0,0,19,2,20200529,1,0,0,0,Curaçao,库拉索岛
20,0,0,0,19,0,20200530,1,0,0,0,Curaçao,库拉索岛
20,0,0,0,19,0,20200531,1,0,0,0,Curaçao,库拉索岛
20,0,0,0,19,0,20200601,1,0,0,0,Curaçao,库拉索岛
20,0,0,0,19,0,20200602,1,0,0,0,Curaçao,库拉索岛
20,0,0,0,19,0,20200603,1,0,0,0,Curaçao,库拉索岛
20,0,0,0,19,0,20200604,1,0,0,0,Curaçao,库拉索岛
21,1,0,0,20,1,20200605,1,0,0,0,Curaçao,库拉索岛
21,0,0,0,20,0,20200606,1,0,0,0,Curaçao,库拉索岛
21,0,0,0,20,0,20200607,1,0,0,0,Curaçao,库拉索岛
21,0,0,0,20,0,20200608,1,0,0,0,Curaçao,库拉索岛
21,0,0,0,20,0,20200609,1,0,0,0,Curaçao,库拉索岛
21,0,0,0,20,0,20200610,1,0,0,0,Curaçao,库拉索岛
22,1,0,0,21,1,20200611,1,0,0,0,Curaçao,库拉索岛
22,0,0,0,21,0,20200612,1,0,0,0,Curaçao,库拉索岛
22,0,0,0,21,0,20200613,1,0,0,0,Curaçao,库拉索岛
22,0,0,0,21,0,20200614,1,0,0,0,Curaçao,库拉索岛
22,0,0,0,21,0,20200615,1,0,0,0,Curaçao,库拉索岛
22,0,0,0,21,0,20200616,1,0,0,0,Curaçao,库拉索岛
22,0,0,0,21,0,20200617,1,0,0,0,Curaçao,库拉索岛
23,1,0,0,22,1,20200618,1,0,0,0,Curaçao,库拉索岛
23,0,0,0,22,0,20200619,1,0,0,0,Curaçao,库拉索岛
23,0,0,0,22,0,20200620,1,0,0,0,Curaçao,库拉索岛
23,0,0,0,22,0,20200621,1,0,0,0,Curaçao,库拉索岛
23,0,0,0,22,0,20200622,1,0,0,0,Curaçao,库拉索岛
23,0,0,0,22,0,20200623,1,0,0,0,Curaçao,库拉索岛
24,1,0,0,23,1,20200624,1,0,0,0,Curaçao,库拉索岛
24,0,0,0,23,0,20200625,1,0,0,0,Curaçao,库拉索岛
24,0,0,0,23,0,20200626,1,0,0,0,Curaçao,库拉索岛
24,0,0,0,23,0,20200627,1,0,0,0,Curaçao,库拉索岛
24,0,0,0,23,0,20200628,1,0,0,0,Curaçao,库拉索岛
24,0,0,0,23,0,20200629,1,0,0,0,Curaçao,库拉索岛
24,0,0,0,23,0,20200630,1,0,0,0,Curaçao,库拉索岛
25,1,0,0,24,1,20200701,1,0,0,0,Curaçao,库拉索岛
25,0,0,0,24,0,20200702,1,0,0,0,Curaçao,库拉索岛
25,0,0,0,24,0,20200703,1,0,0,0,Curaçao,库拉索岛
25,0,0,0,24,0,20200704,1,0,0,0,Curaçao,库拉索岛
25,0,0,0,24,0,20200705,1,0,0,0,Curaçao,库拉索岛
25,0,0,0,24,0,20200706,1,0,0,0,Curaçao,库拉索岛
25,0,0,0,24,0,20200707,1,0,0,0,Curaçao,库拉索岛
25,0,0,0,24,0,20200708,1,0,0,0,Curaçao,库拉索岛
