confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
2,2,0,0,2,2,20200310,0,0,0,0,Cyprus,塞浦路斯
2,0,0,0,2,0,20200311,0,0,0,0,Cyprus,塞浦路斯
6,4,0,0,6,4,20200312,0,0,0,0,Cyprus,塞浦路斯
6,0,0,0,6,0,20200313,0,0,0,0,Cyprus,塞浦路斯
14,8,0,0,14,8,20200314,0,0,0,0,Cyprus,塞浦路斯
21,7,0,0,21,7,20200315,0,0,0,0,Cyprus,塞浦路斯
33,12,0,0,33,12,20200316,0,0,0,0,Cyprus,塞浦路斯
33,0,0,0,33,0,20200317,0,0,0,0,Cyprus,塞浦路斯
33,0,0,0,33,0,20200318,0,0,0,0,Cyprus,塞浦路斯
67,34,0,0,67,34,20200319,0,0,0,0,Cyprus,塞浦路斯
75,8,0,0,75,8,20200320,0,0,0,0,Cyprus,塞浦路斯
75,0,0,0,75,0,20200321,0,0,0,0,Cyprus,塞浦路斯
95,20,0,0,94,19,20200322,1,1,0,0,Cyprus,塞浦路斯
116,21,0,0,115,21,20200323,1,0,0,0,Cyprus,塞浦路斯
124,8,0,0,123,8,20200324,1,0,0,0,Cyprus,塞浦路斯
132,8,0,0,129,6,20200325,3,2,0,0,Cyprus,塞浦路斯
132,0,0,0,129,0,20200326,3,0,0,0,Cyprus,塞浦路斯
162,30,0,0,157,28,20200327,5,2,0,0,Cyprus,塞浦路斯
179,17,0,0,174,17,20200328,5,0,0,0,Cyprus,塞浦路斯
214,35,0,0,208,34,20200329,6,1,0,0,Cyprus,塞浦路斯
230,16,0,0,224,16,20200330,6,0,0,0,Cyprus,塞浦路斯
262,32,0,0,255,31,20200331,7,1,0,0,Cyprus,塞浦路斯
320,58,0,0,311,56,20200401,9,2,0,0,Cyprus,塞浦路斯
356,36,0,0,346,35,20200402,10,1,0,0,Cyprus,塞浦路斯
396,40,0,0,386,40,20200403,10,0,0,0,Cyprus,塞浦路斯
426,30,0,0,415,29,20200404,11,1,0,0,Cyprus,塞浦路斯
446,20,0,0,435,20,20200405,11,0,0,0,Cyprus,塞浦路斯
465,19,0,0,451,16,20200406,14,3,0,0,Cyprus,塞浦路斯
495,30,0,0,481,30,20200407,14,0,0,0,Cyprus,塞浦路斯
526,31,0,0,512,31,20200408,14,0,0,0,Cyprus,塞浦路斯
562,36,0,0,548,36,20200409,14,0,0,0,Cyprus,塞浦路斯
595,33,0,0,580,32,20200410,15,1,0,0,Cyprus,塞浦路斯
616,21,0,0,601,21,20200411,15,0,0,0,Cyprus,塞浦路斯
633,17,0,0,618,17,20200412,15,0,0,0,Cyprus,塞浦路斯
633,0,0,0,617,-1,20200413,16,1,0,0,Cyprus,塞浦路斯
695,62,0,0,678,61,20200414,17,1,0,0,Cyprus,塞浦路斯
715,20,0,0,698,20,20200415,17,0,0,0,Cyprus,塞浦路斯
735,20,0,0,718,20,20200416,17,0,0,0,Cyprus,塞浦路斯
