confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200311,0,0,0,0,Democratic Republic of the Congo,刚果（金）
1,0,0,0,1,0,20200312,0,0,0,0,Democratic Republic of the Congo,刚果（金）
1,0,0,0,1,0,20200313,0,0,0,0,Democratic Republic of the Congo,刚果（金）
2,1,0,0,2,1,20200314,0,0,0,0,Democratic Republic of the Congo,刚果（金）
2,0,0,0,2,0,20200315,0,0,0,0,Democratic Republic of the Congo,刚果（金）
2,0,0,0,2,0,20200316,0,0,0,0,Democratic Republic of the Congo,刚果（金）
3,1,0,0,3,1,20200317,0,0,0,0,Democratic Republic of the Congo,刚果（金）
3,0,0,0,3,0,20200318,0,0,0,0,Democratic Republic of the Congo,刚果（金）
14,11,0,0,14,11,20200319,0,0,0,0,Democratic Republic of the Congo,刚果（金）
18,4,0,0,18,4,20200320,0,0,0,0,Democratic Republic of the Congo,刚果（金）
18,0,0,0,18,0,20200321,0,0,0,0,Democratic Republic of the Congo,刚果（金）
30,12,0,0,28,10,20200322,2,2,0,0,Democratic Republic of the Congo,刚果（金）
36,6,0,0,34,6,20200323,2,0,0,0,Democratic Republic of the Congo,刚果（金）
45,9,0,0,43,9,20200324,2,0,0,0,Democratic Republic of the Congo,刚果（金）
48,3,0,0,46,3,20200325,2,0,0,0,Democratic Republic of the Congo,刚果（金）
51,3,2,2,45,-1,20200326,4,2,0,0,Democratic Republic of the Congo,刚果（金）
54,3,2,0,47,2,20200327,5,1,0,0,Democratic Republic of the Congo,刚果（金）
65,11,3,1,56,9,20200328,6,1,0,0,Democratic Republic of the Congo,刚果（金）
81,16,3,0,70,14,20200329,8,2,0,0,Democratic Republic of the Congo,刚果（金）
81,0,3,0,70,0,20200330,8,0,0,0,Democratic Republic of the Congo,刚果（金）
109,28,3,0,98,28,20200331,8,0,0,0,Democratic Republic of the Congo,刚果（金）
123,14,3,0,109,11,20200401,11,3,0,0,Democratic Republic of the Congo,刚果（金）
134,11,3,0,118,9,20200402,13,2,0,0,Democratic Republic of the Congo,刚果（金）
134,0,3,0,118,0,20200403,13,0,0,0,Democratic Republic of the Congo,刚果（金）
154,20,3,0,133,15,20200404,18,5,0,0,Democratic Republic of the Congo,刚果（金）
154,0,3,0,133,0,20200405,18,0,0,0,Democratic Republic of the Congo,刚果（金）
161,7,3,0,140,7,20200406,18,0,0,0,Democratic Republic of the Congo,刚果（金）
180,19,9,6,153,13,20200407,18,0,0,0,Democratic Republic of the Congo,刚果（金）
183,3,10,1,153,0,20200408,20,2,0,0,Democratic Republic of the Congo,刚果（金）
