confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200227,0,0,0,0,Denmark,丹麦
1,0,0,0,1,0,20200228,0,0,0,0,Denmark,丹麦
2,1,0,0,2,1,20200229,0,0,0,0,Denmark,丹麦
3,1,0,0,3,1,20200301,0,0,0,0,Denmark,丹麦
4,1,0,0,4,1,20200302,0,0,0,0,Denmark,丹麦
5,1,0,0,5,1,20200303,0,0,0,0,Denmark,丹麦
8,3,0,0,8,3,20200304,0,0,0,0,Denmark,丹麦
10,2,0,0,10,2,20200305,0,0,0,0,Denmark,丹麦
18,8,0,0,18,8,20200306,0,0,0,0,Denmark,丹麦
23,5,0,0,23,5,20200307,0,0,0,0,Denmark,丹麦
31,8,0,0,31,8,20200308,0,0,0,0,Denmark,丹麦
36,5,0,0,36,5,20200309,0,0,0,0,Denmark,丹麦
90,54,0,0,90,54,20200310,0,0,0,0,Denmark,丹麦
262,172,0,0,262,172,20200311,0,0,0,0,Denmark,丹麦
615,353,0,0,615,353,20200312,0,0,0,0,Denmark,丹麦
674,59,0,0,674,59,20200313,0,0,0,0,Denmark,丹麦
801,127,0,0,801,127,20200314,0,0,0,0,Denmark,丹麦
827,26,1,1,826,25,20200315,0,0,0,0,Denmark,丹麦
898,71,1,0,896,70,20200316,1,1,0,0,Denmark,丹麦
960,62,1,0,955,59,20200317,4,3,0,0,Denmark,丹麦
977,17,1,0,972,17,20200318,4,0,0,0,Denmark,丹麦
1151,174,1,0,1144,172,20200319,6,2,0,0,Denmark,丹麦
1255,104,1,0,1245,101,20200320,9,3,0,0,Denmark,丹麦
1326,71,1,0,1312,67,20200321,13,4,0,0,Denmark,丹麦
1395,69,1,0,1381,69,20200322,13,0,0,0,Denmark,丹麦
1460,65,1,0,1435,54,20200323,24,11,0,0,Denmark,丹麦
1591,131,1,0,1558,123,20200324,32,8,0,0,Denmark,丹麦
1724,133,1,0,1689,131,20200325,34,2,0,0,Denmark,丹麦
1877,153,1,0,1835,146,20200326,41,7,0,0,Denmark,丹麦
2046,169,1,0,1993,158,20200327,52,11,0,0,Denmark,丹麦
2201,155,1,0,2135,142,20200328,65,13,0,0,Denmark,丹麦
2395,194,1,0,2322,187,20200329,72,7,0,0,Denmark,丹麦
2577,182,1,0,2499,177,20200330,77,5,0,0,Denmark,丹麦
2860,283,1,0,2769,270,20200331,90,13,0,0,Denmark,丹麦
3107,247,894,893,2109,-660,20200401,104,14,0,0,Denmark,丹麦
3386,279,894,0,2369,260,20200402,123,19,0,0,Denmark,丹麦
3757,371,894,0,2724,355,20200403,139,16,0,0,Denmark,丹麦
4077,320,894,0,3022,298,20200404,161,22,0,0,Denmark,丹麦
4369,292,894,0,3296,274,20200405,179,18,0,0,Denmark,丹麦
4681,312,894,0,3600,304,20200406,187,8,0,0,Denmark,丹麦
5071,390,894,0,3974,374,20200407,203,16,0,0,Denmark,丹麦
5402,331,894,0,4290,316,20200408,218,15,0,0,Denmark,丹麦
5635,233,894,0,4504,214,20200409,237,19,0,0,Denmark,丹麦
5819,184,894,0,4678,174,20200410,247,10,0,0,Denmark,丹麦
5996,177,894,0,4842,164,20200411,260,13,0,0,Denmark,丹麦
6174,178,894,0,5007,165,20200412,273,13,0,0,Denmark,丹麦
6318,144,894,0,5139,132,20200413,285,12,0,0,Denmark,丹麦
6511,193,894,0,5318,179,20200414,299,14,0,0,Denmark,丹麦
6681,170,894,0,5478,160,20200415,309,10,0,0,Denmark,丹麦
6879,198,2748,1854,3810,-1668,20200416,321,12,0,0,Denmark,丹麦
7073,194,2748,0,3989,179,20200417,336,15,0,0,Denmark,丹麦
7242,169,2748,0,4148,159,20200418,346,10,0,0,Denmark,丹麦
7384,142,2748,0,4281,133,20200419,355,9,0,0,Denmark,丹麦
7515,131,2748,0,4403,122,20200420,364,9,0,0,Denmark,丹麦
7695,180,2748,0,4577,174,20200421,370,6,0,0,Denmark,丹麦
7912,217,2748,0,4780,203,20200422,384,14,0,0,Denmark,丹麦
8073,161,2748,0,4931,151,20200423,394,10,0,0,Denmark,丹麦
8210,137,2748,0,5059,128,20200424,403,9,0,0,Denmark,丹麦
8445,235,2748,0,5279,220,20200425,418,15,0,0,Denmark,丹麦
8575,130,2748,0,5405,126,20200426,422,4,0,0,Denmark,丹麦
8698,123,2748,0,5523,118,20200427,427,5,0,0,Denmark,丹麦
8851,153,6121,3373,2296,-3227,20200428,434,7,0,0,Denmark,丹麦
9008,157,6121,0,2444,148,20200429,443,9,0,0,Denmark,丹麦
9158,150,6366,245,2340,-104,20200430,452,9,0,0,Denmark,丹麦
9311,153,6366,0,2485,145,20200501,460,8,0,0,Denmark,丹麦
9407,96,6366,0,2566,81,20200502,475,15,0,0,Denmark,丹麦
9523,116,6987,621,2052,-514,20200503,484,9,0,0,Denmark,丹麦
9670,147,6987,0,2190,138,20200504,493,9,0,0,Denmark,丹麦
9670,0,6987,0,2190,0,20200505,493,0,0,0,Denmark,丹麦
9938,268,6987,0,2445,255,20200506,506,13,0,0,Denmark,丹麦
10083,145,6987,0,2582,137,20200507,514,8,0,0,Denmark,丹麦
10218,135,6987,0,2709,127,20200508,522,8,0,0,Denmark,丹麦
10319,101,6987,0,2806,97,20200509,526,4,0,0,Denmark,丹麦
10429,110,6987,0,2913,107,20200510,529,3,0,0,Denmark,丹麦
10513,84,8217,1230,1763,-1150,20200511,533,4,0,0,Denmark,丹麦
10591,78,8217,0,1847,84,20200512,527,-6,0,0,Denmark,丹麦
10667,76,8217,0,1917,70,20200513,533,6,0,0,Denmark,丹麦
10713,46,8217,0,1959,42,20200514,537,4,0,0,Denmark,丹麦
10791,78,8217,0,2037,78,20200515,537,0,0,0,Denmark,丹麦
10858,67,9107,890,1208,-829,20200516,543,6,0,0,Denmark,丹麦
10927,69,9107,0,1273,65,20200517,547,4,0,0,Denmark,丹麦
10968,41,9107,0,1313,40,20200518,548,1,0,0,Denmark,丹麦
11044,76,9107,0,1386,73,20200519,551,3,0,0,Denmark,丹麦
11117,73,9107,0,1456,70,20200520,554,3,0,0,Denmark,丹麦
11182,65,9643,536,978,-478,20200521,561,7,0,0,Denmark,丹麦
11230,48,9643,0,1026,48,20200522,561,0,0,0,Denmark,丹麦
11289,59,9643,0,1085,59,20200523,561,0,0,0,Denmark,丹麦
11360,71,9643,0,1155,70,20200524,562,1,0,0,Denmark,丹麦
11387,27,9643,0,1181,26,20200525,563,1,0,0,Denmark,丹麦
11428,41,9643,0,1222,41,20200526,563,0,0,0,Denmark,丹麦
11480,52,9643,0,1272,50,20200527,565,2,0,0,Denmark,丹麦
11512,32,9643,0,1301,29,20200528,568,3,0,0,Denmark,丹麦
11593,81,9643,0,1382,81,20200529,568,0,0,0,Denmark,丹麦
11633,40,9643,0,1419,37,20200530,571,3,0,0,Denmark,丹麦
11669,36,9643,0,1452,33,20200531,574,3,0,0,Denmark,丹麦
11669,0,9643,0,1452,0,20200601,574,0,0,0,Denmark,丹麦
11734,65,9643,0,1511,59,20200602,580,6,0,0,Denmark,丹麦
11734,0,9643,0,1511,0,20200603,580,0,0,0,Denmark,丹麦
11811,77,9643,0,1586,75,20200604,582,2,0,0,Denmark,丹麦
11875,64,9643,0,1646,60,20200605,586,4,0,0,Denmark,丹麦
11924,49,9643,0,1694,48,20200606,587,1,0,0,Denmark,丹麦
11948,24,9643,0,1716,22,20200607,589,2,0,0,Denmark,丹麦
11948,0,9643,0,1716,0,20200608,589,0,0,0,Denmark,丹麦
11962,14,9643,0,1726,10,20200609,593,4,0,0,Denmark,丹麦
12016,54,9643,0,1780,54,20200610,593,0,0,0,Denmark,丹麦
12016,0,9643,0,1780,0,20200611,593,0,0,0,Denmark,丹麦
12099,83,9643,0,1862,82,20200612,594,1,0,0,Denmark,丹麦
12139,40,9643,0,1899,37,20200613,597,3,0,0,Denmark,丹麦
12193,54,9643,0,1953,54,20200614,597,0,0,0,Denmark,丹麦
12217,24,9643,0,1976,23,20200615,598,1,0,0,Denmark,丹麦
12250,33,9643,0,2009,33,20200616,598,0,0,0,Denmark,丹麦
12204,-46,9643,0,1963,-46,20200617,598,0,0,0,Denmark,丹麦
12344,140,9643,0,2101,138,20200618,600,2,0,0,Denmark,丹麦
12391,47,9643,0,2148,47,20200619,600,0,0,0,Denmark,丹麦
12391,0,9643,0,2148,0,20200620,600,0,0,0,Denmark,丹麦
12391,0,9643,0,2148,0,20200621,600,0,0,0,Denmark,丹麦
12527,136,9643,0,2282,134,20200622,602,2,0,0,Denmark,丹麦
12561,34,9643,0,2315,33,20200623,603,1,0,0,Denmark,丹麦
12615,54,9643,0,2369,54,20200624,603,0,0,0,Denmark,丹麦
12636,21,9643,0,2390,21,20200625,603,0,0,0,Denmark,丹麦
12675,39,9643,0,2428,38,20200626,604,1,0,0,Denmark,丹麦
12675,0,9643,0,2428,0,20200627,604,0,0,0,Denmark,丹麦
12675,0,9643,0,2428,0,20200628,604,0,0,0,Denmark,丹麦
12751,76,9643,0,2503,75,20200629,605,1,0,0,Denmark,丹麦
12751,0,9643,0,2503,0,20200630,605,0,0,0,Denmark,丹麦
12768,17,9643,0,2519,16,20200701,606,1,0,0,Denmark,丹麦
12794,26,9643,0,2545,26,20200702,606,0,0,0,Denmark,丹麦
12815,21,9643,0,2566,21,20200703,606,0,0,0,Denmark,丹麦
12832,17,9643,0,2583,17,20200704,606,0,0,0,Denmark,丹麦
12832,0,9643,0,2583,0,20200705,606,0,0,0,Denmark,丹麦
12832,0,9643,0,2583,0,20200706,606,0,0,0,Denmark,丹麦
12878,46,9643,0,2628,45,20200707,607,1,0,0,Denmark,丹麦
12888,10,9643,0,2636,8,20200708,609,2,0,0,Denmark,丹麦
