confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200302,0,0,0,0,Dominican Republic,多米尼加
1,0,0,0,1,0,20200303,0,0,0,0,Dominican Republic,多米尼加
1,0,0,0,1,0,20200304,0,0,0,0,Dominican Republic,多米尼加
1,0,0,0,1,0,20200305,0,0,0,0,Dominican Republic,多米尼加
1,0,0,0,1,0,20200306,0,0,0,0,Dominican Republic,多米尼加
1,0,0,0,1,0,20200307,0,0,0,0,Dominican Republic,多米尼加
1,0,0,0,1,0,20200308,0,0,0,0,Dominican Republic,多米尼加
1,0,0,0,1,0,20200309,0,0,0,0,Dominican Republic,多米尼加
5,4,0,0,5,4,20200310,0,0,0,0,Dominican Republic,多米尼加
5,0,0,0,5,0,20200311,0,0,0,0,Dominican Republic,多米尼加
5,0,0,0,5,0,20200312,0,0,0,0,Dominican Republic,多米尼加
5,0,0,0,5,0,20200313,0,0,0,0,Dominican Republic,多米尼加
5,0,0,0,5,0,20200314,0,0,0,0,Dominican Republic,多米尼加
5,0,0,0,5,0,20200315,0,0,0,0,Dominican Republic,多米尼加
5,0,0,0,5,0,20200316,0,0,0,0,Dominican Republic,多米尼加
21,16,0,0,20,15,20200317,1,1,0,0,Dominican Republic,多米尼加
21,0,0,0,20,0,20200318,1,0,0,0,Dominican Republic,多米尼加
21,0,0,0,20,0,20200319,1,0,0,0,Dominican Republic,多米尼加
34,13,0,0,32,12,20200320,2,1,0,0,Dominican Republic,多米尼加
72,38,0,0,70,38,20200321,2,0,0,0,Dominican Republic,多米尼加
72,0,0,0,70,0,20200322,2,0,0,0,Dominican Republic,多米尼加
72,0,0,0,70,0,20200323,2,0,0,0,Dominican Republic,多米尼加
245,173,0,0,242,172,20200324,3,1,0,0,Dominican Republic,多米尼加
312,67,0,0,306,64,20200325,6,3,0,0,Dominican Republic,多米尼加
392,80,0,0,382,76,20200326,10,4,0,0,Dominican Republic,多米尼加
488,96,0,0,478,96,20200327,10,0,0,0,Dominican Republic,多米尼加
581,93,0,0,561,83,20200328,20,10,0,0,Dominican Republic,多米尼加
581,0,0,0,561,0,20200329,20,0,0,0,Dominican Republic,多米尼加
581,0,0,0,561,0,20200330,20,0,0,0,Dominican Republic,多米尼加
901,320,0,0,859,298,20200331,42,22,0,0,Dominican Republic,多米尼加
1109,208,0,0,1058,199,20200401,51,9,0,0,Dominican Republic,多米尼加
1284,175,0,0,1227,169,20200402,57,6,0,0,Dominican Republic,多米尼加
1380,96,0,0,1320,93,20200403,60,3,0,0,Dominican Republic,多米尼加
1488,108,0,0,1420,100,20200404,68,8,0,0,Dominican Republic,多米尼加
1488,0,0,0,1420,0,20200405,68,0,0,0,Dominican Republic,多米尼加
1488,0,0,0,1420,0,20200406,68,0,0,0,Dominican Republic,多米尼加
1828,340,0,0,1742,322,20200407,86,18,0,0,Dominican Republic,多米尼加
1956,128,0,0,1858,116,20200408,98,12,0,0,Dominican Republic,多米尼加
1956,0,0,0,1858,0,20200409,98,0,0,0,Dominican Republic,多米尼加
2349,393,0,0,2231,373,20200410,118,20,0,0,Dominican Republic,多米尼加
2349,0,0,0,2231,0,20200411,118,0,0,0,Dominican Republic,多米尼加
2620,271,0,0,2494,263,20200412,126,8,0,0,Dominican Republic,多米尼加
2967,347,0,0,2794,300,20200413,173,47,0,0,Dominican Republic,多米尼加
3167,200,0,0,2990,196,20200414,177,4,0,0,Dominican Republic,多米尼加
