confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200301,0,0,0,0,Ecuador,厄瓜多尔
1,0,0,0,1,0,20200302,0,0,0,0,Ecuador,厄瓜多尔
6,5,0,0,6,5,20200303,0,0,0,0,Ecuador,厄瓜多尔
7,1,0,0,7,1,20200304,0,0,0,0,Ecuador,厄瓜多尔
7,0,0,0,7,0,20200305,0,0,0,0,Ecuador,厄瓜多尔
13,6,0,0,13,6,20200306,0,0,0,0,Ecuador,厄瓜多尔
14,1,0,0,14,1,20200307,0,0,0,0,Ecuador,厄瓜多尔
14,0,0,0,14,0,20200308,0,0,0,0,Ecuador,厄瓜多尔
15,1,0,0,15,1,20200309,0,0,0,0,Ecuador,厄瓜多尔
15,0,0,0,15,0,20200310,0,0,0,0,Ecuador,厄瓜多尔
15,0,0,0,15,0,20200311,0,0,0,0,Ecuador,厄瓜多尔
17,2,0,0,17,2,20200312,0,0,0,0,Ecuador,厄瓜多尔
17,0,0,0,17,0,20200313,0,0,0,0,Ecuador,厄瓜多尔
23,6,0,0,23,6,20200314,0,0,0,0,Ecuador,厄瓜多尔
23,0,0,0,23,0,20200315,0,0,0,0,Ecuador,厄瓜多尔
37,14,0,0,35,12,20200316,2,2,0,0,Ecuador,厄瓜多尔
58,21,0,0,56,21,20200317,2,0,0,0,Ecuador,厄瓜多尔
58,0,0,0,56,0,20200318,2,0,0,0,Ecuador,厄瓜多尔
260,202,0,0,258,202,20200319,2,0,0,0,Ecuador,厄瓜多尔
367,107,0,0,362,104,20200320,5,3,0,0,Ecuador,厄瓜多尔
367,0,0,0,362,0,20200321,5,0,0,0,Ecuador,厄瓜多尔
506,139,0,0,499,137,20200322,7,2,0,0,Ecuador,厄瓜多尔
532,26,0,0,525,26,20200323,7,0,0,0,Ecuador,厄瓜多尔
790,258,0,0,775,250,20200324,15,8,0,0,Ecuador,厄瓜多尔
1049,259,0,0,1022,247,20200325,27,12,0,0,Ecuador,厄瓜多尔
1382,333,0,0,1348,326,20200326,34,7,0,0,Ecuador,厄瓜多尔
1382,0,0,0,1348,0,20200327,34,0,0,0,Ecuador,厄瓜多尔
1595,213,0,0,1559,211,20200328,36,2,0,0,Ecuador,厄瓜多尔
1823,228,0,0,1775,216,20200329,48,12,0,0,Ecuador,厄瓜多尔
1890,67,0,0,1833,58,20200330,57,9,0,0,Ecuador,厄瓜多尔
1962,72,0,0,1902,69,20200331,60,3,0,0,Ecuador,厄瓜多尔
2748,786,0,0,2655,753,20200401,93,33,0,0,Ecuador,厄瓜多尔
2748,0,0,0,2602,-53,20200402,146,53,0,0,Ecuador,厄瓜多尔
3163,415,0,0,3017,415,20200403,146,0,0,0,Ecuador,厄瓜多尔
3163,0,0,0,3017,0,20200404,146,0,0,0,Ecuador,厄瓜多尔
3465,302,0,0,3293,276,20200405,172,26,0,0,Ecuador,厄瓜多尔
3747,282,0,0,3567,274,20200406,180,8,0,0,Ecuador,厄瓜多尔
3747,0,0,0,3556,-11,20200407,191,11,0,0,Ecuador,厄瓜多尔
4450,703,140,140,4068,512,20200408,242,51,0,0,Ecuador,厄瓜多尔
4450,0,140,0,4068,0,20200409,242,0,0,0,Ecuador,厄瓜多尔
7161,2711,140,0,6724,2656,20200410,297,55,0,0,Ecuador,厄瓜多尔
7257,96,411,271,6531,-193,20200411,315,18,0,0,Ecuador,厄瓜多尔
7446,189,501,90,6612,81,20200412,333,18,0,0,Ecuador,厄瓜多尔
7466,20,501,0,6632,20,20200413,333,0,0,0,Ecuador,厄瓜多尔
7529,63,501,0,6673,41,20200414,355,22,0,0,Ecuador,厄瓜多尔
7603,74,501,0,6733,60,20200415,369,14,0,0,Ecuador,厄瓜多尔
7858,255,501,0,6969,236,20200416,388,19,0,0,Ecuador,厄瓜多尔
8450,592,501,0,7528,559,20200417,421,33,0,0,Ecuador,厄瓜多尔
9022,572,501,0,8065,537,20200418,456,35,0,0,Ecuador,厄瓜多尔
9022,0,501,0,8065,0,20200419,456,0,0,0,Ecuador,厄瓜多尔
9468,446,501,0,8493,428,20200420,474,18,0,0,Ecuador,厄瓜多尔
10128,660,501,0,9120,627,20200421,507,33,0,0,Ecuador,厄瓜多尔
10398,270,501,0,9377,257,20200422,520,13,0,0,Ecuador,厄瓜多尔
10850,452,501,0,9812,435,20200423,537,17,0,0,Ecuador,厄瓜多尔
11183,333,501,0,10122,310,20200424,560,23,0,0,Ecuador,厄瓜多尔
22719,11536,1366,865,20777,10655,20200425,576,16,0,0,Ecuador,厄瓜多尔
22719,0,1366,0,20777,0,20200426,576,0,0,0,Ecuador,厄瓜多尔
23240,521,1557,191,21020,243,20200427,663,87,0,0,Ecuador,厄瓜多尔
24258,1018,1557,0,20900,-120,20200428,1801,1138,0,0,Ecuador,厄瓜多尔
24675,417,1720,163,22072,1172,20200429,883,-918,0,0,Ecuador,厄瓜多尔
24934,259,1806,86,22228,156,20200430,900,17,0,0,Ecuador,厄瓜多尔
26336,1402,1913,107,23360,1132,20200501,1063,163,0,0,Ecuador,厄瓜多尔
27464,1128,2132,219,23961,601,20200502,1371,308,0,0,Ecuador,厄瓜多尔
29538,2074,3300,1168,24674,713,20200503,1564,193,0,0,Ecuador,厄瓜多尔
31881,2343,3433,133,26879,2205,20200504,1569,5,0,0,Ecuador,厄瓜多尔
31881,0,3433,0,26879,0,20200505,1569,0,0,0,Ecuador,厄瓜多尔
29420,-2461,3433,0,24369,-2510,20200506,1618,49,0,0,Ecuador,厄瓜多尔
30298,878,3433,0,25211,842,20200507,1654,36,0,0,Ecuador,厄瓜多尔
28818,-1480,3433,0,23681,-1530,20200508,1704,50,0,0,Ecuador,厄瓜多尔
29071,253,3433,0,23921,240,20200509,1717,13,0,0,Ecuador,厄瓜多尔
29559,488,3433,0,23999,78,20200510,2127,410,0,0,Ecuador,厄瓜多尔
29559,0,3433,0,23999,0,20200511,2127,0,0,0,Ecuador,厄瓜多尔
30419,860,3433,0,24659,660,20200512,2327,200,0,0,Ecuador,厄瓜多尔
30486,67,3433,0,24719,60,20200513,2334,7,0,0,Ecuador,厄瓜多尔
30502,16,3433,0,24731,12,20200514,2338,4,0,0,Ecuador,厄瓜多尔
31467,965,3433,0,24440,-291,20200515,3594,1256,0,0,Ecuador,厄瓜多尔
32763,1296,3433,0,26642,2202,20200516,2688,-906,0,0,Ecuador,厄瓜多尔
33182,419,3433,0,27013,371,20200517,2736,48,0,0,Ecuador,厄瓜多尔
33182,0,3433,0,27013,0,20200518,2736,0,0,0,Ecuador,厄瓜多尔
34151,969,3433,0,27879,866,20200519,2839,103,0,0,Ecuador,厄瓜多尔
34151,0,3433,0,27879,0,20200520,2839,0,0,0,Ecuador,厄瓜多尔
35306,1155,3557,124,28810,931,20200521,2939,100,0,0,Ecuador,厄瓜多尔
35828,522,3557,0,29215,405,20200522,3056,117,0,0,Ecuador,厄瓜多尔
35828,0,3557,0,29215,0,20200523,3056,0,0,0,Ecuador,厄瓜多尔
36258,430,3536,-21,29626,411,20200524,3096,40,0,0,Ecuador,厄瓜多尔
37355,1097,3560,24,30592,966,20200525,3203,107,0,0,Ecuador,厄瓜多尔
37355,0,3560,0,30592,0,20200526,3203,0,0,0,Ecuador,厄瓜多尔
37355,0,3560,0,30592,0,20200527,3203,0,0,0,Ecuador,厄瓜多尔
38103,748,3700,140,31128,536,20200528,3275,72,0,0,Ecuador,厄瓜多尔
38571,468,3850,150,31387,259,20200529,3334,59,0,0,Ecuador,厄瓜多尔
38571,0,3850,0,31387,0,20200530,3334,0,0,0,Ecuador,厄瓜多尔
38571,0,3850,0,31387,0,20200531,3334,0,0,0,Ecuador,厄瓜多尔
39098,527,3850,0,31890,503,20200601,3358,24,0,0,Ecuador,厄瓜多尔
39098,0,3900,50,31840,-50,20200602,3358,0,0,0,Ecuador,厄瓜多尔
40966,1868,4000,100,33480,1640,20200603,3486,128,0,0,Ecuador,厄瓜多尔
40966,0,4000,0,33480,0,20200604,3486,0,0,0,Ecuador,厄瓜多尔
40966,0,4000,0,33480,0,20200605,3486,0,0,0,Ecuador,厄瓜多尔
42106,1140,4000,0,34514,1034,20200606,3592,106,0,0,Ecuador,厄瓜多尔
42728,622,4000,0,35120,606,20200607,3608,16,0,0,Ecuador,厄瓜多尔
43120,392,4000,0,35499,379,20200608,3621,13,0,0,Ecuador,厄瓜多尔
43378,258,4000,0,35736,237,20200609,3642,21,0,0,Ecuador,厄瓜多尔
43917,539,4000,0,36227,491,20200610,3690,48,0,0,Ecuador,厄瓜多尔
44440,523,4000,0,36720,493,20200611,3720,30,0,0,Ecuador,厄瓜多尔
44440,0,4000,0,36720,0,20200612,3720,0,0,0,Ecuador,厄瓜多尔
45778,1338,4000,0,37950,1230,20200613,3828,108,0,0,Ecuador,厄瓜多尔
46751,973,4600,600,38255,305,20200614,3896,68,0,0,Ecuador,厄瓜多尔
46751,0,4600,0,38255,0,20200615,3896,0,0,0,Ecuador,厄瓜多尔
47322,571,4600,0,38793,538,20200616,3929,33,0,0,Ecuador,厄瓜多尔
47322,0,4600,0,38793,0,20200617,3929,0,0,0,Ecuador,厄瓜多尔
48490,1168,4600,0,39883,1090,20200618,4007,78,0,0,Ecuador,厄瓜多尔
49097,607,4600,0,40410,527,20200619,4087,80,0,0,Ecuador,厄瓜多尔
49731,634,5040,440,40535,125,20200620,4156,69,0,0,Ecuador,厄瓜多尔
50183,452,5040,0,40944,409,20200621,4199,43,0,0,Ecuador,厄瓜多尔
50640,457,5040,0,41377,433,20200622,4223,24,0,0,Ecuador,厄瓜多尔
50640,0,5040,0,41377,0,20200623,4223,0,0,0,Ecuador,厄瓜多尔
51643,1003,5040,0,42329,952,20200624,4274,51,0,0,Ecuador,厄瓜多尔
52334,691,5040,0,42985,656,20200625,4309,35,0,0,Ecuador,厄瓜多尔
53156,822,5040,0,43773,788,20200626,4343,34,0,0,Ecuador,厄瓜多尔
53856,700,5040,0,44410,637,20200627,4406,63,0,0,Ecuador,厄瓜多尔
54574,718,5500,460,44354,-56,20200628,4720,314,0,0,Ecuador,厄瓜多尔
55255,681,5500,0,45035,681,20200629,4720,0,0,0,Ecuador,厄瓜多尔
55665,410,5500,0,45445,410,20200630,4720,0,0,0,Ecuador,厄瓜多尔
56342,677,5500,0,46122,677,20200701,4720,0,0,0,Ecuador,厄瓜多尔
56342,0,5500,0,46122,0,20200702,4720,0,0,0,Ecuador,厄瓜多尔
59468,3126,5500,0,49248,3126,20200703,4720,0,0,0,Ecuador,厄瓜多尔
60657,1189,5500,0,50437,1189,20200704,4720,0,0,0,Ecuador,厄瓜多尔
61535,878,5500,0,51266,829,20200705,4769,49,0,0,Ecuador,厄瓜多尔
61958,423,5500,0,51677,411,20200706,4781,12,0,0,Ecuador,厄瓜多尔
62380,422,5500,0,52059,382,20200707,4821,40,0,0,Ecuador,厄瓜多尔
63245,865,5500,0,52872,813,20200708,4873,52,0,0,Ecuador,厄瓜多尔
