confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200215,0,0,0,0,Egypt,埃及
1,0,0,0,1,0,20200216,0,0,0,0,Egypt,埃及
1,0,0,0,1,0,20200217,0,0,0,0,Egypt,埃及
1,0,0,0,1,0,20200218,0,0,0,0,Egypt,埃及
1,0,0,0,1,0,20200219,0,0,0,0,Egypt,埃及
1,0,0,0,1,0,20200220,0,0,0,0,Egypt,埃及
1,0,0,0,1,0,20200221,0,0,0,0,Egypt,埃及
1,0,0,0,1,0,20200222,0,0,0,0,Egypt,埃及
1,0,0,0,1,0,20200223,0,0,0,0,Egypt,埃及
1,0,0,0,1,0,20200224,0,0,0,0,Egypt,埃及
1,0,0,0,1,0,20200225,0,0,0,0,Egypt,埃及
1,0,0,0,1,0,20200226,0,0,0,0,Egypt,埃及
1,0,0,0,1,0,20200227,0,0,0,0,Egypt,埃及
1,0,0,0,1,0,20200228,0,0,0,0,Egypt,埃及
1,0,0,0,1,0,20200229,0,0,0,0,Egypt,埃及
1,0,0,0,1,0,20200301,0,0,0,0,Egypt,埃及
2,1,0,0,2,1,20200302,0,0,0,0,Egypt,埃及
2,0,0,0,2,0,20200303,0,0,0,0,Egypt,埃及
2,0,0,0,2,0,20200304,0,0,0,0,Egypt,埃及
2,0,0,0,2,0,20200305,0,0,0,0,Egypt,埃及
3,1,0,0,3,1,20200306,0,0,0,0,Egypt,埃及
3,0,0,0,3,0,20200307,0,0,0,0,Egypt,埃及
48,45,0,0,48,45,20200308,0,0,0,0,Egypt,埃及
55,7,0,0,54,6,20200309,1,1,0,0,Egypt,埃及
59,4,0,0,58,4,20200310,1,0,0,0,Egypt,埃及
59,0,0,0,58,0,20200311,1,0,0,0,Egypt,埃及
67,8,0,0,66,8,20200312,1,0,0,0,Egypt,埃及
67,0,0,0,66,0,20200313,1,0,0,0,Egypt,埃及
93,26,0,0,91,25,20200314,2,1,0,0,Egypt,埃及
93,0,21,21,70,-21,20200315,2,0,0,0,Egypt,埃及
126,33,26,5,98,28,20200316,2,0,0,0,Egypt,埃及
166,40,26,0,136,38,20200317,4,2,0,0,Egypt,埃及
166,0,26,0,136,0,20200318,4,0,0,0,Egypt,埃及
256,90,28,2,222,86,20200319,6,2,0,0,Egypt,埃及
285,29,39,11,238,16,20200320,8,2,0,0,Egypt,埃及
294,9,41,2,243,5,20200321,10,2,0,0,Egypt,埃及
327,33,56,15,257,14,20200322,14,4,0,0,Egypt,埃及
366,39,68,12,279,22,20200323,19,5,0,0,Egypt,埃及
402,36,80,12,302,23,20200324,20,1,0,0,Egypt,埃及
456,54,95,15,340,38,20200325,21,1,0,0,Egypt,埃及
495,39,102,7,369,29,20200326,24,3,0,0,Egypt,埃及
536,41,116,14,390,21,20200327,30,6,0,0,Egypt,埃及
576,40,121,5,419,29,20200328,36,6,0,0,Egypt,埃及
609,33,132,11,437,18,20200329,40,4,0,0,Egypt,埃及
656,47,150,18,465,28,20200330,41,1,0,0,Egypt,埃及
710,54,150,0,514,49,20200331,46,5,0,0,Egypt,埃及
779,69,179,29,548,34,20200401,52,6,0,0,Egypt,埃及
865,86,201,22,606,58,20200402,58,6,0,0,Egypt,埃及
985,120,201,0,726,120,20200403,58,0,0,0,Egypt,埃及
1070,85,241,40,758,32,20200404,71,13,0,0,Egypt,埃及
1173,103,247,6,848,90,20200405,78,7,0,0,Egypt,埃及
1322,149,259,12,978,130,20200406,85,7,0,0,Egypt,埃及
1450,128,276,17,1080,102,20200407,94,9,0,0,Egypt,埃及
1560,110,305,29,1152,72,20200408,103,9,0,0,Egypt,埃及
1699,139,348,43,1233,81,20200409,118,15,0,0,Egypt,埃及
1794,95,384,36,1275,42,20200410,135,17,0,0,Egypt,埃及
1939,145,426,42,1367,92,20200411,146,11,0,0,Egypt,埃及
2065,126,447,21,1459,92,20200412,159,13,0,0,Egypt,埃及
2190,125,488,41,1538,79,20200413,164,5,0,0,Egypt,埃及
2350,160,514,26,1658,120,20200414,178,14,0,0,Egypt,埃及
2505,155,553,39,1769,111,20200415,183,5,0,0,Egypt,埃及
2673,168,596,43,1881,112,20200416,196,13,0,0,Egypt,埃及
2844,171,646,50,1993,112,20200417,205,9,0,0,Egypt,埃及
3032,188,701,55,2107,114,20200418,224,19,0,0,Egypt,埃及
3144,112,732,31,2173,66,20200419,239,15,0,0,Egypt,埃及
3333,189,821,89,2262,89,20200420,250,11,0,0,Egypt,埃及
3490,157,870,49,2356,94,20200421,264,14,0,0,Egypt,埃及
3659,169,935,65,2448,92,20200422,276,12,0,0,Egypt,埃及
3891,232,1004,69,2600,152,20200423,287,11,0,0,Egypt,埃及
4092,201,1075,71,2723,123,20200424,294,7,0,0,Egypt,埃及
4319,227,1114,39,2898,175,20200425,307,13,0,0,Egypt,埃及
4534,215,1176,62,3041,143,20200426,317,10,0,0,Egypt,埃及
4534,0,1176,0,3041,0,20200427,317,0,0,0,Egypt,埃及
5042,508,1304,128,3379,338,20200428,359,42,0,0,Egypt,埃及
5268,226,1335,31,3553,174,20200429,380,21,0,0,Egypt,埃及
5537,269,1381,46,3764,211,20200430,392,12,0,0,Egypt,埃及
5895,358,1460,79,4029,265,20200501,406,14,0,0,Egypt,埃及
6193,298,1522,62,4256,227,20200502,415,9,0,0,Egypt,埃及
6465,272,1562,40,4474,218,20200503,429,14,0,0,Egypt,埃及
6813,348,1632,70,4745,271,20200504,436,7,0,0,Egypt,埃及
7201,388,1730,98,5019,274,20200505,452,16,0,0,Egypt,埃及
7588,387,1815,85,5304,285,20200506,469,17,0,0,Egypt,埃及
7981,393,1887,72,5612,308,20200507,482,13,0,0,Egypt,埃及
8476,495,1945,58,6028,416,20200508,503,21,0,0,Egypt,埃及
8964,488,2002,57,6448,420,20200509,514,11,0,0,Egypt,埃及
9400,436,2075,73,6800,352,20200510,525,11,0,0,Egypt,埃及
9746,346,2172,97,7041,241,20200511,533,8,0,0,Egypt,埃及
10093,347,2326,154,7223,182,20200512,544,11,0,0,Egypt,埃及
10431,338,2486,160,7389,166,20200513,556,12,0,0,Egypt,埃及
10829,398,2626,140,7632,243,20200514,571,15,0,0,Egypt,埃及
11228,399,2799,173,7837,205,20200515,592,21,0,0,Egypt,埃及
11719,491,2950,151,8157,320,20200516,612,20,0,0,Egypt,埃及
12229,510,3172,222,8427,270,20200517,630,18,0,0,Egypt,埃及
12764,535,3440,268,8679,252,20200518,645,15,0,0,Egypt,埃及
13484,720,3742,302,9083,404,20200519,659,14,0,0,Egypt,埃及
14229,745,3994,252,9555,472,20200520,680,21,0,0,Egypt,埃及
15003,774,4217,223,10090,535,20200521,696,16,0,0,Egypt,埃及
15786,783,4374,157,10705,615,20200522,707,11,0,0,Egypt,埃及
16513,727,4628,254,11150,445,20200523,735,28,0,0,Egypt,埃及
17265,752,4807,179,11694,544,20200524,764,29,0,0,Egypt,埃及
17967,702,4900,93,12284,590,20200525,783,19,0,0,Egypt,埃及
18756,789,5027,127,12932,648,20200526,797,14,0,0,Egypt,埃及
18756,0,5027,0,12932,0,20200527,797,0,0,0,Egypt,埃及
20793,2037,5359,332,14589,1657,20200528,845,48,0,0,Egypt,埃及
22082,1289,5511,152,15692,1103,20200529,879,34,0,0,Egypt,埃及
23449,1367,5693,182,16843,1151,20200530,913,34,0,0,Egypt,埃及
24985,1536,6037,344,17989,1146,20200531,959,46,0,0,Egypt,埃及
24985,0,6037,0,17989,0,20200601,959,0,0,0,Egypt,埃及
27536,2551,6827,790,19657,1668,20200602,1052,93,0,0,Egypt,埃及
28615,1079,7350,523,20177,520,20200603,1088,36,0,0,Egypt,埃及
29767,1152,7756,406,20885,708,20200604,1126,38,0,0,Egypt,埃及
31115,1348,8158,402,21791,906,20200605,1166,40,0,0,Egypt,埃及
32612,1497,8538,380,22876,1085,20200606,1198,32,0,0,Egypt,埃及
34079,1467,8961,423,23881,1005,20200607,1237,39,0,0,Egypt,埃及
35444,1365,9375,414,24798,917,20200608,1271,34,0,0,Egypt,埃及
36829,1385,9786,411,25737,939,20200609,1306,35,0,0,Egypt,埃及
38284,1455,10289,503,26653,916,20200610,1342,36,0,0,Egypt,埃及
39726,1442,10289,0,28060,1407,20200611,1377,35,0,0,Egypt,埃及
41303,1577,11108,819,28773,713,20200612,1422,45,0,0,Egypt,埃及
42980,1677,11529,421,29967,1194,20200613,1484,62,0,0,Egypt,埃及
44598,1618,11931,402,31092,1125,20200614,1575,91,0,0,Egypt,埃及
46289,1691,12329,398,32288,1196,20200615,1672,97,0,0,Egypt,埃及
47856,1567,12730,401,33360,1072,20200616,1766,94,0,0,Egypt,埃及
49219,1363,13141,411,34228,868,20200617,1850,84,0,0,Egypt,埃及
50437,1218,13528,387,34971,743,20200618,1938,88,0,0,Egypt,埃及
52211,1774,13928,400,36266,1295,20200619,2017,79,0,0,Egypt,埃及
53758,1547,14327,399,37325,1059,20200620,2106,89,0,0,Egypt,埃及
55233,1475,14736,409,38304,979,20200621,2193,87,0,0,Egypt,埃及
56809,1576,15133,397,39398,1094,20200622,2278,85,0,0,Egypt,埃及
58141,1332,15535,402,40241,843,20200623,2365,87,0,0,Egypt,埃及
59561,1420,15935,400,41176,935,20200624,2450,85,0,0,Egypt,埃及
61130,1569,16338,403,42259,1083,20200625,2533,83,0,0,Egypt,埃及
62755,1625,16737,399,43398,1139,20200626,2620,87,0,0,Egypt,埃及
63923,1168,17140,403,44075,677,20200627,2708,88,0,0,Egypt,埃及
65188,1265,17539,399,44860,785,20200628,2789,81,0,0,Egypt,埃及
66754,1566,17951,412,46014,1154,20200629,2789,0,0,0,Egypt,埃及
68311,1557,18460,509,46898,884,20200630,2953,164,0,0,Egypt,埃及
69814,1503,18881,421,47899,1001,20200701,3034,81,0,0,Egypt,埃及
71299,1485,19288,407,48891,992,20200702,3120,86,0,0,Egypt,埃及
72711,1412,19690,402,49820,929,20200703,3201,81,0,0,Egypt,埃及
74035,1324,20103,413,50652,832,20200704,3280,79,0,0,Egypt,埃及
75253,1218,20726,623,51184,532,20200705,3343,63,0,0,Egypt,埃及
76222,969,21238,512,51562,378,20200706,3422,79,0,0,Egypt,埃及
77279,1057,21718,480,52072,510,20200707,3489,67,0,0,Egypt,埃及
78304,1025,22241,523,52499,427,20200708,3564,75,0,0,Egypt,埃及
