confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200315,0,0,0,0,Eq.Guinea,赤道几内亚
1,0,0,0,1,0,20200316,0,0,0,0,Eq.Guinea,赤道几内亚
1,0,0,0,1,0,20200317,0,0,0,0,Eq.Guinea,赤道几内亚
1,0,0,0,1,0,20200318,0,0,0,0,Eq.Guinea,赤道几内亚
6,5,0,0,6,5,20200319,0,0,0,0,Eq.Guinea,赤道几内亚
6,0,0,0,6,0,20200320,0,0,0,0,Eq.Guinea,赤道几内亚
6,0,0,0,6,0,20200321,0,0,0,0,Eq.Guinea,赤道几内亚
9,3,0,0,9,3,20200322,0,0,0,0,Eq.Guinea,赤道几内亚
9,0,0,0,9,0,20200323,0,0,0,0,Eq.Guinea,赤道几内亚
9,0,0,0,9,0,20200324,0,0,0,0,Eq.Guinea,赤道几内亚
11,2,0,0,11,2,20200325,0,0,0,0,Eq.Guinea,赤道几内亚
12,1,0,0,12,1,20200326,0,0,0,0,Eq.Guinea,赤道几内亚
13,1,0,0,13,1,20200327,0,0,0,0,Eq.Guinea,赤道几内亚
13,0,0,0,13,0,20200328,0,0,0,0,Eq.Guinea,赤道几内亚
14,1,0,0,14,1,20200329,0,0,0,0,Eq.Guinea,赤道几内亚
14,0,0,0,14,0,20200330,0,0,0,0,Eq.Guinea,赤道几内亚
15,1,1,1,14,0,20200331,0,0,0,0,Eq.Guinea,赤道几内亚
15,0,1,0,14,0,20200401,0,0,0,0,Eq.Guinea,赤道几内亚
15,0,1,0,14,0,20200402,0,0,0,0,Eq.Guinea,赤道几内亚
16,1,1,0,15,1,20200403,0,0,0,0,Eq.Guinea,赤道几内亚
16,0,1,0,15,0,20200404,0,0,0,0,Eq.Guinea,赤道几内亚
16,0,1,0,15,0,20200405,0,0,0,0,Eq.Guinea,赤道几内亚
16,0,1,0,15,0,20200406,0,0,0,0,Eq.Guinea,赤道几内亚
16,0,3,2,13,-2,20200407,0,0,0,0,Eq.Guinea,赤道几内亚
18,2,3,0,15,2,20200408,0,0,0,0,Eq.Guinea,赤道几内亚
18,0,3,0,15,0,20200409,0,0,0,0,Eq.Guinea,赤道几内亚
18,0,3,0,15,0,20200410,0,0,0,0,Eq.Guinea,赤道几内亚
18,0,3,0,15,0,20200411,0,0,0,0,Eq.Guinea,赤道几内亚
21,3,3,0,18,3,20200412,0,0,0,0,Eq.Guinea,赤道几内亚
21,0,3,0,18,0,20200413,0,0,0,0,Eq.Guinea,赤道几内亚
41,20,4,1,37,19,20200414,0,0,0,0,Eq.Guinea,赤道几内亚
51,10,4,0,47,10,20200415,0,0,0,0,Eq.Guinea,赤道几内亚
51,0,4,0,47,0,20200416,0,0,0,0,Eq.Guinea,赤道几内亚
79,28,4,0,75,28,20200417,0,0,0,0,Eq.Guinea,赤道几内亚
79,0,4,0,75,0,20200418,0,0,0,0,Eq.Guinea,赤道几内亚
79,0,4,0,75,0,20200419,0,0,0,0,Eq.Guinea,赤道几内亚
79,0,4,0,75,0,20200420,0,0,0,0,Eq.Guinea,赤道几内亚
83,4,7,3,76,1,20200421,0,0,0,0,Eq.Guinea,赤道几内亚
84,1,7,0,76,0,20200422,1,1,0,0,Eq.Guinea,赤道几内亚
84,0,7,0,76,0,20200423,1,0,0,0,Eq.Guinea,赤道几内亚
214,130,7,0,206,130,20200424,1,0,0,0,Eq.Guinea,赤道几内亚
258,44,8,1,249,43,20200425,1,0,0,0,Eq.Guinea,赤道几内亚
258,0,8,0,249,0,20200426,1,0,0,0,Eq.Guinea,赤道几内亚
258,0,8,0,249,0,20200427,1,0,0,0,Eq.Guinea,赤道几内亚
315,57,9,1,305,56,20200428,1,0,0,0,Eq.Guinea,赤道几内亚
315,0,9,0,305,0,20200429,1,0,0,0,Eq.Guinea,赤道几内亚
315,0,9,0,305,0,20200430,1,0,0,0,Eq.Guinea,赤道几内亚
315,0,9,0,304,-1,20200501,2,1,0,0,Eq.Guinea,赤道几内亚
315,0,9,0,304,0,20200502,2,0,0,0,Eq.Guinea,赤道几内亚
315,0,9,0,304,0,20200503,2,0,0,0,Eq.Guinea,赤道几内亚
315,0,9,0,304,0,20200504,2,0,0,0,Eq.Guinea,赤道几内亚
315,0,9,0,304,0,20200505,2,0,0,0,Eq.Guinea,赤道几内亚
439,124,13,4,422,118,20200506,4,2,0,0,Eq.Guinea,赤道几内亚
439,0,13,0,422,0,20200507,4,0,0,0,Eq.Guinea,赤道几内亚
439,0,13,0,422,0,20200508,4,0,0,0,Eq.Guinea,赤道几内亚
439,0,13,0,422,0,20200509,4,0,0,0,Eq.Guinea,赤道几内亚
439,0,13,0,422,0,20200510,4,0,0,0,Eq.Guinea,赤道几内亚
