confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200227,0,0,0,0,Estonia,爱沙尼亚
1,0,0,0,1,0,20200228,0,0,0,0,Estonia,爱沙尼亚
1,0,0,0,1,0,20200229,0,0,0,0,Estonia,爱沙尼亚
1,0,0,0,1,0,20200301,0,0,0,0,Estonia,爱沙尼亚
1,0,0,0,1,0,20200302,0,0,0,0,Estonia,爱沙尼亚
1,0,0,0,1,0,20200303,0,0,0,0,Estonia,爱沙尼亚
2,1,0,0,2,1,20200304,0,0,0,0,Estonia,爱沙尼亚
2,0,0,0,2,0,20200305,0,0,0,0,Estonia,爱沙尼亚
3,1,0,0,3,1,20200306,0,0,0,0,Estonia,爱沙尼亚
10,7,0,0,10,7,20200307,0,0,0,0,Estonia,爱沙尼亚
10,0,0,0,10,0,20200308,0,0,0,0,Estonia,爱沙尼亚
10,0,0,0,10,0,20200309,0,0,0,0,Estonia,爱沙尼亚
10,0,0,0,10,0,20200310,0,0,0,0,Estonia,爱沙尼亚
13,3,0,0,13,3,20200311,0,0,0,0,Estonia,爱沙尼亚
13,0,0,0,13,0,20200312,0,0,0,0,Estonia,爱沙尼亚
13,0,0,0,13,0,20200313,0,0,0,0,Estonia,爱沙尼亚
79,66,0,0,79,66,20200314,0,0,0,0,Estonia,爱沙尼亚
79,0,0,0,79,0,20200315,0,0,0,0,Estonia,爱沙尼亚
205,126,0,0,205,126,20200316,0,0,0,0,Estonia,爱沙尼亚
205,0,0,0,205,0,20200317,0,0,0,0,Estonia,爱沙尼亚
225,20,0,0,225,20,20200318,0,0,0,0,Estonia,爱沙尼亚
267,42,0,0,267,42,20200319,0,0,0,0,Estonia,爱沙尼亚
283,16,0,0,283,16,20200320,0,0,0,0,Estonia,爱沙尼亚
306,23,0,0,306,23,20200321,0,0,0,0,Estonia,爱沙尼亚
326,20,0,0,326,20,20200322,0,0,0,0,Estonia,爱沙尼亚
352,26,0,0,352,26,20200323,0,0,0,0,Estonia,爱沙尼亚
369,17,0,0,369,17,20200324,0,0,0,0,Estonia,爱沙尼亚
404,35,4,4,399,30,20200325,1,1,0,0,Estonia,爱沙尼亚
538,134,4,0,533,134,20200326,1,0,0,0,Estonia,爱沙尼亚
575,37,11,7,563,30,20200327,1,0,0,0,Estonia,爱沙尼亚
640,65,20,9,619,56,20200328,1,0,0,0,Estonia,爱沙尼亚
679,39,20,0,656,37,20200329,3,2,0,0,Estonia,爱沙尼亚
715,36,20,0,692,36,20200330,3,0,0,0,Estonia,爱沙尼亚
745,30,20,0,721,29,20200331,4,1,0,0,Estonia,爱沙尼亚
779,34,20,0,754,33,20200401,5,1,0,0,Estonia,爱沙尼亚
858,79,20,0,827,73,20200402,11,6,0,0,Estonia,爱沙尼亚
961,103,48,28,901,74,20200403,12,1,0,0,Estonia,爱沙尼亚
1018,57,48,0,957,56,20200404,13,1,0,0,Estonia,爱沙尼亚
1097,79,48,0,1034,77,20200405,15,2,0,0,Estonia,爱沙尼亚
1108,11,48,0,1045,11,20200406,15,0,0,0,Estonia,爱沙尼亚
1149,41,69,21,1059,14,20200407,21,6,0,0,Estonia,爱沙尼亚
1185,36,72,3,1089,30,20200408,24,3,0,0,Estonia,爱沙尼亚
1207,22,72,0,1111,22,20200409,24,0,0,0,Estonia,爱沙尼亚
1258,51,93,21,1141,30,20200410,24,0,0,0,Estonia,爱沙尼亚
1346,88,93,0,1229,88,20200411,24,0,0,0,Estonia,爱沙尼亚
1309,-37,93,0,1191,-38,20200412,25,1,0,0,Estonia,爱沙尼亚
1332,23,93,0,1211,20,20200413,28,3,0,0,Estonia,爱沙尼亚
1373,41,93,0,1249,38,20200414,31,3,0,0,Estonia,爱沙尼亚
1400,27,117,24,1248,-1,20200415,35,4,0,0,Estonia,爱沙尼亚
1434,34,117,0,1281,33,20200416,36,1,0,0,Estonia,爱沙尼亚
1459,25,117,0,1304,23,20200417,38,2,0,0,Estonia,爱沙尼亚
1512,53,162,45,1312,8,20200418,38,0,0,0,Estonia,爱沙尼亚
1528,16,164,2,1324,12,20200419,40,2,0,0,Estonia,爱沙尼亚
1535,7,165,1,1330,6,20200420,40,0,0,0,Estonia,爱沙尼亚
1552,17,169,4,1340,10,20200421,43,3,0,0,Estonia,爱沙尼亚
1559,7,184,15,1331,-9,20200422,44,1,0,0,Estonia,爱沙尼亚
1592,33,192,8,1355,24,20200423,45,1,0,0,Estonia,爱沙尼亚
1605,13,192,0,1367,12,20200424,46,1,0,0,Estonia,爱沙尼亚
1635,30,192,0,1397,30,20200425,46,0,0,0,Estonia,爱沙尼亚
1635,0,192,0,1397,0,20200426,46,0,0,0,Estonia,爱沙尼亚
1643,8,192,0,1402,5,20200427,49,3,0,0,Estonia,爱沙尼亚
1660,17,233,41,1377,-25,20200428,50,1,0,0,Estonia,爱沙尼亚
1666,6,233,0,1383,6,20200429,50,0,0,0,Estonia,爱沙尼亚
1689,23,233,0,1404,21,20200430,52,2,0,0,Estonia,爱沙尼亚
1694,5,253,20,1389,-15,20200501,52,0,0,0,Estonia,爱沙尼亚
1699,5,253,0,1393,4,20200502,53,1,0,0,Estonia,爱沙尼亚
1699,0,253,0,1393,0,20200503,53,0,0,0,Estonia,爱沙尼亚
1700,1,253,0,1392,-1,20200504,55,2,0,0,Estonia,爱沙尼亚
1711,11,253,0,1403,11,20200505,55,0,0,0,Estonia,爱沙尼亚
1713,2,253,0,1405,2,20200506,55,0,0,0,Estonia,爱沙尼亚
1720,7,704,451,960,-445,20200507,56,1,0,0,Estonia,爱沙尼亚
1720,0,704,0,960,0,20200508,56,0,0,0,Estonia,爱沙尼亚
1725,5,704,0,965,5,20200509,56,0,0,0,Estonia,爱沙尼亚
1733,8,704,0,969,4,20200510,60,4,0,0,Estonia,爱沙尼亚
1741,8,1237,533,443,-526,20200511,61,1,0,0,Estonia,爱沙尼亚
1746,5,1275,38,410,-33,20200512,61,0,0,0,Estonia,爱沙尼亚
1746,0,1275,0,410,0,20200513,61,0,0,0,Estonia,爱沙尼亚
1751,5,1275,0,415,5,20200514,61,0,0,0,Estonia,爱沙尼亚
1758,7,1275,0,421,6,20200515,62,1,0,0,Estonia,爱沙尼亚
1766,8,1275,0,428,7,20200516,63,1,0,0,Estonia,爱沙尼亚
1770,4,1275,0,432,4,20200517,63,0,0,0,Estonia,爱沙尼亚
1784,14,1275,0,445,13,20200518,64,1,0,0,Estonia,爱沙尼亚
1791,7,1275,0,452,7,20200519,64,0,0,0,Estonia,爱沙尼亚
1791,0,1275,0,452,0,20200520,64,0,0,0,Estonia,爱沙尼亚
1794,3,1275,0,455,3,20200521,64,0,0,0,Estonia,爱沙尼亚
1800,6,1275,0,461,6,20200522,64,0,0,0,Estonia,爱沙尼亚
1807,7,1275,0,468,7,20200523,64,0,0,0,Estonia,爱沙尼亚
1821,14,1275,0,482,14,20200524,64,0,0,0,Estonia,爱沙尼亚
1823,2,1275,0,484,2,20200525,64,0,0,0,Estonia,爱沙尼亚
1824,1,1275,0,484,0,20200526,65,1,0,0,Estonia,爱沙尼亚
1834,10,1275,0,494,10,20200527,65,0,0,0,Estonia,爱沙尼亚
1851,17,1275,0,510,16,20200528,66,1,0,0,Estonia,爱沙尼亚
1851,0,1275,0,510,0,20200529,66,0,0,0,Estonia,爱沙尼亚
1859,8,1275,0,517,7,20200530,67,1,0,0,Estonia,爱沙尼亚
1865,6,1275,0,523,6,20200531,67,0,0,0,Estonia,爱沙尼亚
1869,4,1275,0,526,3,20200601,68,1,0,0,Estonia,爱沙尼亚
1870,1,1275,0,527,1,20200602,68,0,0,0,Estonia,爱沙尼亚
1870,0,1275,0,527,0,20200603,68,0,0,0,Estonia,爱沙尼亚
1880,10,1275,0,536,9,20200604,69,1,0,0,Estonia,爱沙尼亚
1910,30,1275,0,566,30,20200605,69,0,0,0,Estonia,爱沙尼亚
1910,0,1275,0,566,0,20200606,69,0,0,0,Estonia,爱沙尼亚
1931,21,1275,0,587,21,20200607,69,0,0,0,Estonia,爱沙尼亚
1939,8,1275,0,595,8,20200608,69,0,0,0,Estonia,爱沙尼亚
1940,1,1275,0,596,1,20200609,69,0,0,0,Estonia,爱沙尼亚
1958,18,1275,0,614,18,20200610,69,0,0,0,Estonia,爱沙尼亚
1958,0,1275,0,614,0,20200611,69,0,0,0,Estonia,爱沙尼亚
1965,7,1275,0,621,7,20200612,69,0,0,0,Estonia,爱沙尼亚
1970,5,1275,0,626,5,20200613,69,0,0,0,Estonia,爱沙尼亚
1973,3,1275,0,629,3,20200614,69,0,0,0,Estonia,爱沙尼亚
1973,0,1275,0,629,0,20200615,69,0,0,0,Estonia,爱沙尼亚
1974,1,1275,0,630,1,20200616,69,0,0,0,Estonia,爱沙尼亚
1974,0,1275,0,630,0,20200617,69,0,0,0,Estonia,爱沙尼亚
1977,3,1275,0,633,3,20200618,69,0,0,0,Estonia,爱沙尼亚
1977,0,1275,0,633,0,20200619,69,0,0,0,Estonia,爱沙尼亚
