confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200314,0,0,0,0,Ethiopia,埃塞俄比亚
1,0,0,0,1,0,20200315,0,0,0,0,Ethiopia,埃塞俄比亚
1,0,0,0,1,0,20200316,0,0,0,0,Ethiopia,埃塞俄比亚
5,4,0,0,5,4,20200317,0,0,0,0,Ethiopia,埃塞俄比亚
5,0,0,0,5,0,20200318,0,0,0,0,Ethiopia,埃塞俄比亚
9,4,0,0,9,4,20200319,0,0,0,0,Ethiopia,埃塞俄比亚
9,0,0,0,9,0,20200320,0,0,0,0,Ethiopia,埃塞俄比亚
9,0,0,0,9,0,20200321,0,0,0,0,Ethiopia,埃塞俄比亚
11,2,4,4,7,-2,20200322,0,0,0,0,Ethiopia,埃塞俄比亚
11,0,4,0,7,0,20200323,0,0,0,0,Ethiopia,埃塞俄比亚
12,1,4,0,8,1,20200324,0,0,0,0,Ethiopia,埃塞俄比亚
12,0,4,0,8,0,20200325,0,0,0,0,Ethiopia,埃塞俄比亚
12,0,4,0,8,0,20200326,0,0,0,0,Ethiopia,埃塞俄比亚
16,4,4,0,12,4,20200327,0,0,0,0,Ethiopia,埃塞俄比亚
16,0,4,0,12,0,20200328,0,0,0,0,Ethiopia,埃塞俄比亚
21,5,3,-1,18,6,20200329,0,0,0,0,Ethiopia,埃塞俄比亚
23,2,3,0,20,2,20200330,0,0,0,0,Ethiopia,埃塞俄比亚
25,2,3,0,22,2,20200331,0,0,0,0,Ethiopia,埃塞俄比亚
29,4,2,-1,27,5,20200401,0,0,0,0,Ethiopia,埃塞俄比亚
41,12,2,0,36,9,20200402,3,3,0,0,Ethiopia,埃塞俄比亚
35,-6,2,0,30,-6,20200403,3,0,0,0,Ethiopia,埃塞俄比亚
38,3,4,2,34,4,20200404,0,-3,0,0,Ethiopia,埃塞俄比亚
43,5,4,0,39,5,20200405,0,0,0,0,Ethiopia,埃塞俄比亚
44,1,4,0,38,-1,20200406,2,2,0,0,Ethiopia,埃塞俄比亚
52,8,4,0,46,8,20200407,2,0,0,0,Ethiopia,埃塞俄比亚
55,3,4,0,49,3,20200408,2,0,0,0,Ethiopia,埃塞俄比亚
56,1,4,0,50,1,20200409,2,0,0,0,Ethiopia,埃塞俄比亚
65,9,4,0,58,8,20200410,3,1,0,0,Ethiopia,埃塞俄比亚
69,4,10,6,56,-2,20200411,3,0,0,0,Ethiopia,埃塞俄比亚
71,2,10,0,58,2,20200412,3,0,0,0,Ethiopia,埃塞俄比亚
74,3,14,4,57,-1,20200413,3,0,0,0,Ethiopia,埃塞俄比亚
82,8,14,0,65,8,20200414,3,0,0,0,Ethiopia,埃塞俄比亚
85,3,15,1,67,2,20200415,3,0,0,0,Ethiopia,埃塞俄比亚
92,7,15,0,74,7,20200416,3,0,0,0,Ethiopia,埃塞俄比亚
96,4,15,0,78,4,20200417,3,0,0,0,Ethiopia,埃塞俄比亚
105,9,16,1,86,8,20200418,3,0,0,0,Ethiopia,埃塞俄比亚
108,3,16,0,89,3,20200419,3,0,0,0,Ethiopia,埃塞俄比亚
111,3,16,0,92,3,20200420,3,0,0,0,Ethiopia,埃塞俄比亚
114,3,16,0,95,3,20200421,3,0,0,0,Ethiopia,埃塞俄比亚
116,2,21,5,92,-3,20200422,3,0,0,0,Ethiopia,埃塞俄比亚
116,0,21,0,92,0,20200423,3,0,0,0,Ethiopia,埃塞俄比亚
117,1,25,4,89,-3,20200424,3,0,0,0,Ethiopia,埃塞俄比亚
122,5,29,4,90,1,20200425,3,0,0,0,Ethiopia,埃塞俄比亚
122,0,29,0,90,0,20200426,3,0,0,0,Ethiopia,埃塞俄比亚
123,1,29,0,91,1,20200427,3,0,0,0,Ethiopia,埃塞俄比亚
126,3,50,21,73,-18,20200428,3,0,0,0,Ethiopia,埃塞俄比亚
130,4,58,8,69,-4,20200429,3,0,0,0,Ethiopia,埃塞俄比亚
131,1,59,1,69,0,20200430,3,0,0,0,Ethiopia,埃塞俄比亚
133,2,66,7,64,-5,20200501,3,0,0,0,Ethiopia,埃塞俄比亚
133,0,66,0,64,0,20200502,3,0,0,0,Ethiopia,埃塞俄比亚
133,0,66,0,64,0,20200503,3,0,0,0,Ethiopia,埃塞俄比亚
135,2,66,0,66,2,20200504,3,0,0,0,Ethiopia,埃塞俄比亚
145,10,91,25,50,-16,20200505,4,1,0,0,Ethiopia,埃塞俄比亚
162,17,93,2,65,15,20200506,4,0,0,0,Ethiopia,埃塞俄比亚
187,25,93,0,90,25,20200507,4,0,0,0,Ethiopia,埃塞俄比亚
191,4,93,0,94,4,20200508,4,0,0,0,Ethiopia,埃塞俄比亚
194,3,93,0,97,3,20200509,4,0,0,0,Ethiopia,埃塞俄比亚
239,45,99,6,135,38,20200510,5,1,0,0,Ethiopia,埃塞俄比亚
250,11,105,6,140,5,20200511,5,0,0,0,Ethiopia,埃塞俄比亚
261,11,106,1,150,10,20200512,5,0,0,0,Ethiopia,埃塞俄比亚
261,0,106,0,150,0,20200513,5,0,0,0,Ethiopia,埃塞俄比亚
263,2,106,0,152,2,20200514,5,0,0,0,Ethiopia,埃塞俄比亚
287,24,112,6,170,18,20200515,5,0,0,0,Ethiopia,埃塞俄比亚
287,0,112,0,170,0,20200516,5,0,0,0,Ethiopia,埃塞俄比亚
306,19,112,0,189,19,20200517,5,0,0,0,Ethiopia,埃塞俄比亚
317,11,112,0,200,11,20200518,5,0,0,0,Ethiopia,埃塞俄比亚
