confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200308,0,0,0,0,Faroe Islands,法罗群岛
2,1,0,0,2,1,20200309,0,0,0,0,Faroe Islands,法罗群岛
2,0,0,0,2,0,20200310,0,0,0,0,Faroe Islands,法罗群岛
2,0,0,0,2,0,20200311,0,0,0,0,Faroe Islands,法罗群岛
2,0,0,0,2,0,20200312,0,0,0,0,Faroe Islands,法罗群岛
2,0,0,0,2,0,20200313,0,0,0,0,Faroe Islands,法罗群岛
3,1,0,0,3,1,20200314,0,0,0,0,Faroe Islands,法罗群岛
9,6,0,0,9,6,20200315,0,0,0,0,Faroe Islands,法罗群岛
11,2,0,0,11,2,20200316,0,0,0,0,Faroe Islands,法罗群岛
47,36,0,0,47,36,20200317,0,0,0,0,Faroe Islands,法罗群岛
47,0,0,0,47,0,20200318,0,0,0,0,Faroe Islands,法罗群岛
47,0,0,0,47,0,20200319,0,0,0,0,Faroe Islands,法罗群岛
72,25,0,0,72,25,20200320,0,0,0,0,Faroe Islands,法罗群岛
80,8,0,0,80,8,20200321,0,0,0,0,Faroe Islands,法罗群岛
92,12,0,0,92,12,20200322,0,0,0,0,Faroe Islands,法罗群岛
115,23,0,0,115,23,20200323,0,0,0,0,Faroe Islands,法罗群岛
118,3,0,0,118,3,20200324,0,0,0,0,Faroe Islands,法罗群岛
122,4,0,0,122,4,20200325,0,0,0,0,Faroe Islands,法罗群岛
132,10,0,0,132,10,20200326,0,0,0,0,Faroe Islands,法罗群岛
140,8,0,0,140,8,20200327,0,0,0,0,Faroe Islands,法罗群岛
144,4,0,0,144,4,20200328,0,0,0,0,Faroe Islands,法罗群岛
155,11,0,0,155,11,20200329,0,0,0,0,Faroe Islands,法罗群岛
168,13,0,0,168,13,20200330,0,0,0,0,Faroe Islands,法罗群岛
168,0,0,0,168,0,20200331,0,0,0,0,Faroe Islands,法罗群岛
169,1,0,0,169,1,20200401,0,0,0,0,Faroe Islands,法罗群岛
173,4,0,0,173,4,20200402,0,0,0,0,Faroe Islands,法罗群岛
177,4,0,0,177,4,20200403,0,0,0,0,Faroe Islands,法罗群岛
179,2,0,0,179,2,20200404,0,0,0,0,Faroe Islands,法罗群岛
181,2,0,0,181,2,20200405,0,0,0,0,Faroe Islands,法罗群岛
181,0,0,0,181,0,20200406,0,0,0,0,Faroe Islands,法罗群岛
181,0,0,0,181,0,20200407,0,0,0,0,Faroe Islands,法罗群岛
184,3,0,0,184,3,20200408,0,0,0,0,Faroe Islands,法罗群岛
184,0,0,0,184,0,20200409,0,0,0,0,Faroe Islands,法罗群岛
184,0,0,0,184,0,20200410,0,0,0,0,Faroe Islands,法罗群岛
184,0,0,0,184,0,20200411,0,0,0,0,Faroe Islands,法罗群岛
184,0,0,0,184,0,20200412,0,0,0,0,Faroe Islands,法罗群岛
184,0,0,0,184,0,20200413,0,0,0,0,Faroe Islands,法罗群岛
184,0,0,0,184,0,20200414,0,0,0,0,Faroe Islands,法罗群岛
184,0,0,0,184,0,20200415,0,0,0,0,Faroe Islands,法罗群岛
184,0,0,0,184,0,20200416,0,0,0,0,Faroe Islands,法罗群岛
184,0,0,0,184,0,20200417,0,0,0,0,Faroe Islands,法罗群岛
184,0,0,0,184,0,20200418,0,0,0,0,Faroe Islands,法罗群岛
184,0,0,0,184,0,20200419,0,0,0,0,Faroe Islands,法罗群岛
185,1,0,0,185,1,20200420,0,0,0,0,Faroe Islands,法罗群岛
185,0,0,0,185,0,20200421,0,0,0,0,Faroe Islands,法罗群岛
185,0,0,0,185,0,20200422,0,0,0,0,Faroe Islands,法罗群岛
185,0,0,0,185,0,20200423,0,0,0,0,Faroe Islands,法罗群岛
187,2,0,0,187,2,20200424,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200425,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200426,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200427,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200428,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200429,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200430,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200501,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200502,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200503,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200504,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200505,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200506,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200507,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200508,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200509,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200510,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200511,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200512,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200513,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200514,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200515,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200516,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200517,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200518,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200519,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200520,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200521,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200522,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200523,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200524,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200525,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200526,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200527,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200528,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200529,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200530,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200531,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200601,0,0,0,0,Faroe Islands,法罗群岛
187,0,0,0,187,0,20200602,0,0,0,0,Faroe Islands,法罗群岛
