confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200130,0,0,0,0,Finland,芬兰
1,0,0,0,1,0,20200131,0,0,0,0,Finland,芬兰
1,0,0,0,1,0,20200201,0,0,0,0,Finland,芬兰
1,0,0,0,1,0,20200202,0,0,0,0,Finland,芬兰
1,0,0,0,1,0,20200203,0,0,0,0,Finland,芬兰
1,0,0,0,1,0,20200204,0,0,0,0,Finland,芬兰
1,0,0,0,1,0,20200205,0,0,0,0,Finland,芬兰
1,0,0,0,1,0,20200206,0,0,0,0,Finland,芬兰
1,0,0,0,1,0,20200207,0,0,0,0,Finland,芬兰
1,0,0,0,1,0,20200208,0,0,0,0,Finland,芬兰
1,0,0,0,1,0,20200209,0,0,0,0,Finland,芬兰
1,0,0,0,1,0,20200210,0,0,0,0,Finland,芬兰
1,0,0,0,1,0,20200211,0,0,0,0,Finland,芬兰
1,0,0,0,1,0,20200212,0,0,0,0,Finland,芬兰
1,0,0,0,1,0,20200213,0,0,0,0,Finland,芬兰
1,0,0,0,1,0,20200214,0,0,0,0,Finland,芬兰
1,0,0,0,1,0,20200215,0,0,0,0,Finland,芬兰
1,0,0,0,1,0,20200216,0,0,0,0,Finland,芬兰
1,0,0,0,1,0,20200217,0,0,0,0,Finland,芬兰
1,0,0,0,1,0,20200218,0,0,0,0,Finland,芬兰
1,0,0,0,1,0,20200219,0,0,0,0,Finland,芬兰
1,0,0,0,1,0,20200220,0,0,0,0,Finland,芬兰
1,0,0,0,1,0,20200221,0,0,0,0,Finland,芬兰
1,0,0,0,1,0,20200222,0,0,0,0,Finland,芬兰
1,0,0,0,1,0,20200223,0,0,0,0,Finland,芬兰
1,0,0,0,1,0,20200224,0,0,0,0,Finland,芬兰
1,0,0,0,1,0,20200225,0,0,0,0,Finland,芬兰
1,0,0,0,1,0,20200226,0,0,0,0,Finland,芬兰
2,1,0,0,2,1,20200227,0,0,0,0,Finland,芬兰
2,0,0,0,2,0,20200228,0,0,0,0,Finland,芬兰
2,0,0,0,2,0,20200229,0,0,0,0,Finland,芬兰
2,0,0,0,2,0,20200301,0,0,0,0,Finland,芬兰
6,4,0,0,6,4,20200302,0,0,0,0,Finland,芬兰
7,1,0,0,7,1,20200303,0,0,0,0,Finland,芬兰
