confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
3,3,0,0,3,3,20200125,0,0,0,0,France,法国
3,0,0,0,3,0,20200126,0,0,0,0,France,法国
3,0,0,0,3,0,20200127,0,0,0,0,France,法国
3,0,0,0,3,0,20200128,0,0,0,0,France,法国
4,1,0,0,4,1,20200129,0,0,0,0,France,法国
5,1,0,0,5,1,20200130,0,0,0,0,France,法国
6,1,0,0,6,1,20200131,0,0,0,0,France,法国
6,0,0,0,6,0,20200201,0,0,0,0,France,法国
6,0,0,0,6,0,20200202,0,0,0,0,France,法国
6,0,0,0,6,0,20200203,0,0,0,0,France,法国
6,0,0,0,6,0,20200204,0,0,0,0,France,法国
6,0,0,0,6,0,20200205,0,0,0,0,France,法国
6,0,0,0,6,0,20200206,0,0,0,0,France,法国
6,0,0,0,6,0,20200207,0,0,0,0,France,法国
6,0,0,0,6,0,20200208,0,0,0,0,France,法国
11,5,0,0,11,5,20200209,0,0,0,0,France,法国
11,0,0,0,11,0,20200210,0,0,0,0,France,法国
11,0,0,0,11,0,20200211,0,0,0,0,France,法国
11,0,0,0,11,0,20200212,0,0,0,0,France,法国
11,0,0,0,11,0,20200213,0,0,0,0,France,法国
11,0,0,0,11,0,20200214,0,0,0,0,France,法国
11,0,0,0,11,0,20200215,0,0,0,0,France,法国
12,1,0,0,11,0,20200216,1,1,0,0,France,法国
12,0,0,0,11,0,20200217,1,0,0,0,France,法国
12,0,0,0,11,0,20200218,1,0,0,0,France,法国
12,0,0,0,11,0,20200219,1,0,0,0,France,法国
12,0,0,0,11,0,20200220,1,0,0,0,France,法国
12,0,0,0,11,0,20200221,1,0,0,0,France,法国
12,0,0,0,11,0,20200222,1,0,0,0,France,法国
12,0,0,0,11,0,20200223,1,0,0,0,France,法国
12,0,0,0,11,0,20200224,1,0,0,0,France,法国
12,0,0,0,11,0,20200225,1,0,0,0,France,法国
12,0,0,0,11,0,20200226,1,0,0,0,France,法国
18,6,0,0,16,5,20200227,2,1,0,0,France,法国
38,20,0,0,36,20,20200228,2,0,0,0,France,法国
57,19,0,0,55,19,20200229,2,0,0,0,France,法国
100,43,0,0,98,43,20200301,2,0,0,0,France,法国
100,0,0,0,98,0,20200302,2,0,0,0,France,法国
