confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
5,5,0,0,5,5,20200308,0,0,0,0,French Guiana,法属圭亚那
5,0,0,0,5,0,20200309,0,0,0,0,French Guiana,法属圭亚那
5,0,0,0,5,0,20200310,0,0,0,0,French Guiana,法属圭亚那
5,0,0,0,5,0,20200311,0,0,0,0,French Guiana,法属圭亚那
5,0,0,0,5,0,20200312,0,0,0,0,French Guiana,法属圭亚那
6,1,0,0,6,1,20200313,0,0,0,0,French Guiana,法属圭亚那
6,0,0,0,6,0,20200314,0,0,0,0,French Guiana,法属圭亚那
7,1,0,0,7,1,20200315,0,0,0,0,French Guiana,法属圭亚那
7,0,0,0,7,0,20200316,0,0,0,0,French Guiana,法属圭亚那
7,0,0,0,7,0,20200317,0,0,0,0,French Guiana,法属圭亚那
7,0,0,0,7,0,20200318,0,0,0,0,French Guiana,法属圭亚那
7,0,0,0,7,0,20200319,0,0,0,0,French Guiana,法属圭亚那
15,8,0,0,15,8,20200320,0,0,0,0,French Guiana,法属圭亚那
15,0,0,0,15,0,20200321,0,0,0,0,French Guiana,法属圭亚那
15,0,0,0,15,0,20200322,0,0,0,0,French Guiana,法属圭亚那
18,3,0,0,18,3,20200323,0,0,0,0,French Guiana,法属圭亚那
20,2,0,0,20,2,20200324,0,0,0,0,French Guiana,法属圭亚那
23,3,0,0,23,3,20200325,0,0,0,0,French Guiana,法属圭亚那
28,5,0,0,28,5,20200326,0,0,0,0,French Guiana,法属圭亚那
28,0,0,0,28,0,20200327,0,0,0,0,French Guiana,法属圭亚那
31,3,0,0,31,3,20200328,0,0,0,0,French Guiana,法属圭亚那
31,0,0,0,31,0,20200329,0,0,0,0,French Guiana,法属圭亚那
31,0,0,0,31,0,20200330,0,0,0,0,French Guiana,法属圭亚那
43,12,0,0,43,12,20200331,0,0,0,0,French Guiana,法属圭亚那
46,3,0,0,46,3,20200401,0,0,0,0,French Guiana,法属圭亚那
51,5,0,0,51,5,20200402,0,0,0,0,French Guiana,法属圭亚那
55,4,0,0,55,4,20200403,0,0,0,0,French Guiana,法属圭亚那
57,2,0,0,57,2,20200404,0,0,0,0,French Guiana,法属圭亚那
62,5,0,0,62,5,20200405,0,0,0,0,French Guiana,法属圭亚那
66,4,0,0,66,4,20200406,0,0,0,0,French Guiana,法属圭亚那
68,2,0,0,68,2,20200407,0,0,0,0,French Guiana,法属圭亚那
72,4,0,0,72,4,20200408,0,0,0,0,French Guiana,法属圭亚那
77,5,0,0,77,5,20200409,0,0,0,0,French Guiana,法属圭亚那
83,6,0,0,83,6,20200410,0,0,0,0,French Guiana,法属圭亚那
84,1,0,0,84,1,20200411,0,0,0,0,French Guiana,法属圭亚那
86,2,0,0,86,2,20200412,0,0,0,0,French Guiana,法属圭亚那
86,0,0,0,86,0,20200413,0,0,0,0,French Guiana,法属圭亚那
88,2,0,0,88,2,20200414,0,0,0,0,French Guiana,法属圭亚那
88,0,0,0,88,0,20200415,0,0,0,0,French Guiana,法属圭亚那
95,7,0,0,95,7,20200416,0,0,0,0,French Guiana,法属圭亚那
96,1,0,0,96,1,20200417,0,0,0,0,French Guiana,法属圭亚那
96,0,0,0,96,0,20200418,0,0,0,0,French Guiana,法属圭亚那
96,0,0,0,96,0,20200419,0,0,0,0,French Guiana,法属圭亚那
96,0,0,0,96,0,20200420,0,0,0,0,French Guiana,法属圭亚那
97,1,0,0,96,0,20200421,1,1,0,0,French Guiana,法属圭亚那
97,0,0,0,96,0,20200422,1,0,0,0,French Guiana,法属圭亚那
97,0,0,0,96,0,20200423,1,0,0,0,French Guiana,法属圭亚那
107,10,0,0,106,10,20200424,1,0,0,0,French Guiana,法属圭亚那
109,2,0,0,108,2,20200425,1,0,0,0,French Guiana,法属圭亚那
109,0,0,0,108,0,20200426,1,0,0,0,French Guiana,法属圭亚那
109,0,0,0,108,0,20200427,1,0,0,0,French Guiana,法属圭亚那
111,2,0,0,110,2,20200428,1,0,0,0,French Guiana,法属圭亚那
124,13,0,0,123,13,20200429,1,0,0,0,French Guiana,法属圭亚那
125,1,0,0,124,1,20200430,1,0,0,0,French Guiana,法属圭亚那
126,1,0,0,125,1,20200501,1,0,0,0,French Guiana,法属圭亚那
128,2,0,0,127,2,20200502,1,0,0,0,French Guiana,法属圭亚那
128,0,0,0,127,0,20200503,1,0,0,0,French Guiana,法属圭亚那
128,0,0,0,127,0,20200504,1,0,0,0,French Guiana,法属圭亚那
133,5,0,0,132,5,20200505,1,0,0,0,French Guiana,法属圭亚那
133,0,0,0,132,0,20200506,1,0,0,0,French Guiana,法属圭亚那
138,5,0,0,137,5,20200507,1,0,0,0,French Guiana,法属圭亚那
138,0,0,0,137,0,20200508,1,0,0,0,French Guiana,法属圭亚那
141,3,0,0,140,3,20200509,1,0,0,0,French Guiana,法属圭亚那
141,0,0,0,140,0,20200510,1,0,0,0,French Guiana,法属圭亚那
144,3,0,0,143,3,20200511,1,0,0,0,French Guiana,法属圭亚那
144,0,0,0,143,0,20200512,1,0,0,0,French Guiana,法属圭亚那
146,2,0,0,145,2,20200513,1,0,0,0,French Guiana,法属圭亚那
153,7,0,0,152,7,20200514,1,0,0,0,French Guiana,法属圭亚那
164,11,0,0,163,11,20200515,1,0,0,0,French Guiana,法属圭亚那
184,20,0,0,183,20,20200516,1,0,0,0,French Guiana,法属圭亚那
189,5,0,0,188,5,20200517,1,0,0,0,French Guiana,法属圭亚那
197,8,0,0,196,8,20200518,1,0,0,0,French Guiana,法属圭亚那
197,0,0,0,196,0,20200519,1,0,0,0,French Guiana,法属圭亚那
210,13,0,0,209,13,20200520,1,0,0,0,French Guiana,法属圭亚那
218,8,0,0,217,8,20200521,1,0,0,0,French Guiana,法属圭亚那
237,19,0,0,236,19,20200522,1,0,0,0,French Guiana,法属圭亚那
249,12,0,0,248,12,20200523,1,0,0,0,French Guiana,法属圭亚那
261,12,0,0,260,12,20200524,1,0,0,0,French Guiana,法属圭亚那
279,18,0,0,278,18,20200525,1,0,0,0,French Guiana,法属圭亚那
328,49,0,0,327,49,20200526,1,0,0,0,French Guiana,法属圭亚那
353,25,0,0,352,25,20200527,1,0,0,0,French Guiana,法属圭亚那
384,31,0,0,383,31,20200528,1,0,0,0,French Guiana,法属圭亚那
409,25,0,0,408,25,20200529,1,0,0,0,French Guiana,法属圭亚那
436,27,0,0,435,27,20200530,1,0,0,0,French Guiana,法属圭亚那
436,0,0,0,435,0,20200531,1,0,0,0,French Guiana,法属圭亚那
477,41,0,0,476,41,20200601,1,0,0,0,French Guiana,法属圭亚那
499,22,0,0,498,22,20200602,1,0,0,0,French Guiana,法属圭亚那
517,18,0,0,516,18,20200603,1,0,0,0,French Guiana,法属圭亚那
533,16,0,0,532,16,20200604,1,0,0,0,French Guiana,法属圭亚那
556,23,0,0,555,23,20200605,1,0,0,0,French Guiana,法属圭亚那
589,33,0,0,588,33,20200606,1,0,0,0,French Guiana,法属圭亚那
639,50,0,0,638,50,20200607,1,0,0,0,French Guiana,法属圭亚那
689,50,0,0,688,50,20200608,1,0,0,0,French Guiana,法属圭亚那
729,40,0,0,727,39,20200609,2,1,0,0,French Guiana,法属圭亚那
773,44,0,0,771,44,20200610,2,0,0,0,French Guiana,法属圭亚那
865,92,0,0,863,92,20200611,2,0,0,0,French Guiana,法属圭亚那
917,52,0,0,915,52,20200612,2,0,0,0,French Guiana,法属圭亚那
1043,126,0,0,1041,126,20200613,2,0,0,0,French Guiana,法属圭亚那
1161,118,0,0,1159,118,20200614,2,0,0,0,French Guiana,法属圭亚那
1255,94,0,0,1252,93,20200615,3,1,0,0,French Guiana,法属圭亚那
1326,71,0,0,1323,71,20200616,3,0,0,0,French Guiana,法属圭亚那
1326,0,0,0,1323,0,20200617,3,0,0,0,French Guiana,法属圭亚那
1554,228,0,0,1549,226,20200618,5,2,0,0,French Guiana,法属圭亚那
1758,204,0,0,1753,204,20200619,5,0,0,0,French Guiana,法属圭亚那
1969,211,0,0,1964,211,20200620,5,0,0,0,French Guiana,法属圭亚那
2163,194,0,0,2158,194,20200621,5,0,0,0,French Guiana,法属圭亚那
2441,278,0,0,2435,277,20200622,6,1,0,0,French Guiana,法属圭亚那
2458,17,0,0,2450,15,20200623,8,2,0,0,French Guiana,法属圭亚那
2593,135,0,0,2585,135,20200624,8,0,0,0,French Guiana,法属圭亚那
2827,234,0,0,2818,233,20200625,9,1,0,0,French Guiana,法属圭亚那
3033,206,0,0,3023,205,20200626,10,1,0,0,French Guiana,法属圭亚那
3270,237,0,0,3259,236,20200627,11,1,0,0,French Guiana,法属圭亚那
3461,191,0,0,3449,190,20200628,12,1,0,0,French Guiana,法属圭亚那
3461,0,0,0,3449,0,20200629,12,0,0,0,French Guiana,法属圭亚那
3774,313,0,0,3759,310,20200630,15,3,0,0,French Guiana,法属圭亚那
4004,230,0,0,3989,230,20200701,15,0,0,0,French Guiana,法属圭亚那
4268,264,0,0,4252,263,20200702,16,1,0,0,French Guiana,法属圭亚那
4444,176,0,0,4428,176,20200703,16,0,0,0,French Guiana,法属圭亚那
4558,114,0,0,4542,114,20200704,16,0,0,0,French Guiana,法属圭亚那
4913,355,0,0,4897,355,20200705,16,0,0,0,French Guiana,法属圭亚那
4913,0,0,0,4897,0,20200706,16,0,0,0,French Guiana,法属圭亚那
5054,141,0,0,5034,137,20200707,20,4,0,0,French Guiana,法属圭亚那
5178,124,0,0,5157,123,20200708,21,1,0,0,French Guiana,法属圭亚那
