confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200316,0,0,0,0,Gabon,加蓬
1,0,0,0,1,0,20200317,0,0,0,0,Gabon,加蓬
1,0,0,0,1,0,20200318,0,0,0,0,Gabon,加蓬
3,2,0,0,3,2,20200319,0,0,0,0,Gabon,加蓬
4,1,0,0,3,0,20200320,1,1,0,0,Gabon,加蓬
5,1,0,0,4,1,20200321,1,0,0,0,Gabon,加蓬
5,0,0,0,4,0,20200322,1,0,0,0,Gabon,加蓬
6,1,0,0,5,1,20200323,1,0,0,0,Gabon,加蓬
6,0,0,0,5,0,20200324,1,0,0,0,Gabon,加蓬
6,0,0,0,5,0,20200325,1,0,0,0,Gabon,加蓬
7,1,0,0,6,1,20200326,1,0,0,0,Gabon,加蓬
7,0,0,0,6,0,20200327,1,0,0,0,Gabon,加蓬
7,0,0,0,6,0,20200328,1,0,0,0,Gabon,加蓬
7,0,0,0,6,0,20200329,1,0,0,0,Gabon,加蓬
16,9,0,0,15,9,20200330,1,0,0,0,Gabon,加蓬
18,2,0,0,17,2,20200331,1,0,0,0,Gabon,加蓬
18,0,0,0,17,0,20200401,1,0,0,0,Gabon,加蓬
18,0,0,0,17,0,20200402,1,0,0,0,Gabon,加蓬
21,3,0,0,20,3,20200403,1,0,0,0,Gabon,加蓬
21,0,1,1,19,-1,20200404,1,0,0,0,Gabon,加蓬
24,3,1,0,22,3,20200405,1,0,0,0,Gabon,加蓬
30,6,1,0,28,6,20200406,1,0,0,0,Gabon,加蓬
33,3,1,0,31,3,20200407,1,0,0,0,Gabon,加蓬
34,1,1,0,32,1,20200408,1,0,0,0,Gabon,加蓬
44,10,1,0,42,10,20200409,1,0,0,0,Gabon,加蓬
46,2,1,0,44,2,20200410,1,0,0,0,Gabon,加蓬
46,0,1,0,44,0,20200411,1,0,0,0,Gabon,加蓬
57,11,1,0,55,11,20200412,1,0,0,0,Gabon,加蓬
75,18,1,0,73,18,20200413,1,0,0,0,Gabon,加蓬
80,5,5,4,74,1,20200414,1,0,0,0,Gabon,加蓬
87,7,6,1,80,6,20200415,1,0,0,0,Gabon,加蓬
95,8,6,0,88,8,20200416,1,0,0,0,Gabon,加蓬
108,13,7,1,100,12,20200417,1,0,0,0,Gabon,加蓬
109,1,7,0,101,1,20200418,1,0,0,0,Gabon,加蓬
109,0,7,0,101,0,20200419,1,0,0,0,Gabon,加蓬
120,11,7,0,112,11,20200420,1,0,0,0,Gabon,加蓬
156,36,16,9,139,27,20200421,1,0,0,0,Gabon,加蓬
166,10,24,8,141,2,20200422,1,0,0,0,Gabon,加蓬
167,1,24,0,141,0,20200423,2,1,0,0,Gabon,加蓬
172,5,26,2,143,2,20200424,3,1,0,0,Gabon,加蓬
176,4,30,4,143,0,20200425,3,0,0,0,Gabon,加蓬
176,0,30,0,143,0,20200426,3,0,0,0,Gabon,加蓬
176,0,30,0,143,0,20200427,3,0,0,0,Gabon,加蓬
211,35,43,13,165,22,20200428,3,0,0,0,Gabon,加蓬
238,27,53,10,182,17,20200429,3,0,0,0,Gabon,加蓬
276,38,67,14,206,24,20200430,3,0,0,0,Gabon,加蓬
308,32,78,11,226,20,20200501,4,1,0,0,Gabon,加蓬
308,0,78,0,226,0,20200502,4,0,0,0,Gabon,加蓬
335,27,85,7,245,19,20200503,5,1,0,0,Gabon,加蓬
335,0,85,0,245,0,20200504,5,0,0,0,Gabon,加蓬
367,32,93,8,268,23,20200505,6,1,0,0,Gabon,加蓬
397,30,93,0,298,30,20200506,6,0,0,0,Gabon,加蓬
439,42,99,6,332,34,20200507,8,2,0,0,Gabon,加蓬
504,65,110,11,386,54,20200508,8,0,0,0,Gabon,加蓬
620,116,110,0,502,116,20200509,8,0,0,0,Gabon,加蓬
661,41,110,0,543,41,20200510,8,0,0,0,Gabon,加蓬
661,0,110,0,543,0,20200511,8,0,0,0,Gabon,加蓬
802,141,127,17,666,123,20200512,9,1,0,0,Gabon,加蓬
863,61,137,10,717,51,20200513,9,0,0,0,Gabon,加蓬
1004,141,152,15,843,126,20200514,9,0,0,0,Gabon,加蓬
1104,100,182,30,912,69,20200515,10,1,0,0,Gabon,加蓬
