confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200319,0,0,0,0,Gambia,冈比亚
1,0,0,0,1,0,20200320,0,0,0,0,Gambia,冈比亚
1,0,0,0,1,0,20200321,0,0,0,0,Gambia,冈比亚
1,0,0,0,1,0,20200322,0,0,0,0,Gambia,冈比亚
1,0,0,0,1,0,20200323,0,0,0,0,Gambia,冈比亚
3,2,0,0,2,1,20200324,1,1,0,0,Gambia,冈比亚
3,0,0,0,2,0,20200325,1,0,0,0,Gambia,冈比亚
3,0,0,0,2,0,20200326,1,0,0,0,Gambia,冈比亚
3,0,0,0,2,0,20200327,1,0,0,0,Gambia,冈比亚
3,0,0,0,2,0,20200328,1,0,0,0,Gambia,冈比亚
4,1,0,0,3,1,20200329,1,0,0,0,Gambia,冈比亚
4,0,0,0,3,0,20200330,1,0,0,0,Gambia,冈比亚
4,0,0,0,3,0,20200331,1,0,0,0,Gambia,冈比亚
4,0,0,0,3,0,20200401,1,0,0,0,Gambia,冈比亚
4,0,0,0,3,0,20200402,1,0,0,0,Gambia,冈比亚
4,0,0,0,3,0,20200403,1,0,0,0,Gambia,冈比亚
4,0,0,0,3,0,20200404,1,0,0,0,Gambia,冈比亚
4,0,0,0,3,0,20200405,1,0,0,0,Gambia,冈比亚
4,0,0,0,3,0,20200406,1,0,0,0,Gambia,冈比亚
4,0,0,0,3,0,20200407,1,0,0,0,Gambia,冈比亚
4,0,0,0,3,0,20200408,1,0,0,0,Gambia,冈比亚
4,0,0,0,3,0,20200409,1,0,0,0,Gambia,冈比亚
4,0,0,0,3,0,20200410,1,0,0,0,Gambia,冈比亚
4,0,0,0,3,0,20200411,1,0,0,0,Gambia,冈比亚
9,5,2,2,6,3,20200412,1,0,0,0,Gambia,冈比亚
9,0,2,0,6,0,20200413,1,0,0,0,Gambia,冈比亚
9,0,2,0,6,0,20200414,1,0,0,0,Gambia,冈比亚
9,0,2,0,6,0,20200415,1,0,0,0,Gambia,冈比亚
9,0,2,0,6,0,20200416,1,0,0,0,Gambia,冈比亚
9,0,2,0,6,0,20200417,1,0,0,0,Gambia,冈比亚
9,0,2,0,6,0,20200418,1,0,0,0,Gambia,冈比亚
9,0,2,0,6,0,20200419,1,0,0,0,Gambia,冈比亚
9,0,2,0,6,0,20200420,1,0,0,0,Gambia,冈比亚
10,1,2,0,7,1,20200421,1,0,0,0,Gambia,冈比亚
10,0,2,0,7,0,20200422,1,0,0,0,Gambia,冈比亚
10,0,2,0,7,0,20200423,1,0,0,0,Gambia,冈比亚
10,0,2,0,7,0,20200424,1,0,0,0,Gambia,冈比亚
10,0,2,0,7,0,20200425,1,0,0,0,Gambia,冈比亚
10,0,2,0,7,0,20200426,1,0,0,0,Gambia,冈比亚
10,0,2,0,7,0,20200427,1,0,0,0,Gambia,冈比亚
10,0,2,0,7,0,20200428,1,0,0,0,Gambia,冈比亚
10,0,2,0,7,0,20200429,1,0,0,0,Gambia,冈比亚
11,1,2,0,8,1,20200430,1,0,0,0,Gambia,冈比亚
12,1,2,0,9,1,20200501,1,0,0,0,Gambia,冈比亚
12,0,2,0,9,0,20200502,1,0,0,0,Gambia,冈比亚
17,5,2,0,14,5,20200503,1,0,0,0,Gambia,冈比亚
17,0,2,0,14,0,20200504,1,0,0,0,Gambia,冈比亚
17,0,2,0,14,0,20200505,1,0,0,0,Gambia,冈比亚
17,0,2,0,14,0,20200506,1,0,0,0,Gambia,冈比亚
17,0,2,0,14,0,20200507,1,0,0,0,Gambia,冈比亚
18,1,2,0,15,1,20200508,1,0,0,0,Gambia,冈比亚
20,2,2,0,17,2,20200509,1,0,0,0,Gambia,冈比亚
20,0,2,0,17,0,20200510,1,0,0,0,Gambia,冈比亚
20,0,2,0,17,0,20200511,1,0,0,0,Gambia,冈比亚
22,2,2,0,19,2,20200512,1,0,0,0,Gambia,冈比亚
23,1,2,0,20,1,20200513,1,0,0,0,Gambia,冈比亚
23,0,2,0,20,0,20200514,1,0,0,0,Gambia,冈比亚
23,0,2,0,20,0,20200515,1,0,0,0,Gambia,冈比亚
23,0,2,0,20,0,20200516,1,0,0,0,Gambia,冈比亚
23,0,2,0,20,0,20200517,1,0,0,0,Gambia,冈比亚
24,1,2,0,21,1,20200518,1,0,0,0,Gambia,冈比亚
24,0,2,0,21,0,20200519,1,0,0,0,Gambia,冈比亚
24,0,2,0,21,0,20200520,1,0,0,0,Gambia,冈比亚
24,0,2,0,21,0,20200521,1,0,0,0,Gambia,冈比亚
24,0,2,0,21,0,20200522,1,0,0,0,Gambia,冈比亚
25,1,2,0,22,1,20200523,1,0,0,0,Gambia,冈比亚
25,0,2,0,22,0,20200524,1,0,0,0,Gambia,冈比亚
25,0,2,0,22,0,20200525,1,0,0,0,Gambia,冈比亚
25,0,2,0,22,0,20200526,1,0,0,0,Gambia,冈比亚
25,0,2,0,22,0,20200527,1,0,0,0,Gambia,冈比亚
25,0,2,0,22,0,20200528,1,0,0,0,Gambia,冈比亚
25,0,2,0,22,0,20200529,1,0,0,0,Gambia,冈比亚
25,0,2,0,22,0,20200530,1,0,0,0,Gambia,冈比亚
25,0,2,0,22,0,20200531,1,0,0,0,Gambia,冈比亚
25,0,2,0,22,0,20200601,1,0,0,0,Gambia,冈比亚
25,0,2,0,22,0,20200602,1,0,0,0,Gambia,冈比亚
26,1,2,0,23,1,20200603,1,0,0,0,Gambia,冈比亚
26,0,2,0,23,0,20200604,1,0,0,0,Gambia,冈比亚
26,0,2,0,23,0,20200605,1,0,0,0,Gambia,冈比亚
26,0,2,0,23,0,20200606,1,0,0,0,Gambia,冈比亚
26,0,2,0,23,0,20200607,1,0,0,0,Gambia,冈比亚
26,0,2,0,23,0,20200608,1,0,0,0,Gambia,冈比亚
28,2,2,0,25,2,20200609,1,0,0,0,Gambia,冈比亚
28,0,2,0,25,0,20200610,1,0,0,0,Gambia,冈比亚
28,0,2,0,25,0,20200611,1,0,0,0,Gambia,冈比亚
28,0,2,0,25,0,20200612,1,0,0,0,Gambia,冈比亚
28,0,2,0,25,0,20200613,1,0,0,0,Gambia,冈比亚
28,0,2,0,25,0,20200614,1,0,0,0,Gambia,冈比亚
28,0,2,0,25,0,20200615,1,0,0,0,Gambia,冈比亚
28,0,2,0,25,0,20200616,1,0,0,0,Gambia,冈比亚
28,0,2,0,25,0,20200617,1,0,0,0,Gambia,冈比亚
34,6,2,0,31,6,20200618,1,0,0,0,Gambia,冈比亚
36,2,2,0,33,2,20200619,1,0,0,0,Gambia,冈比亚
36,0,2,0,33,0,20200620,1,0,0,0,Gambia,冈比亚
37,1,2,0,33,0,20200621,2,1,0,0,Gambia,冈比亚
37,0,2,0,33,0,20200622,2,0,0,0,Gambia,冈比亚
41,4,2,0,37,4,20200623,2,0,0,0,Gambia,冈比亚
42,1,2,0,38,1,20200624,2,0,0,0,Gambia,冈比亚
42,0,2,0,38,0,20200625,2,0,0,0,Gambia,冈比亚
43,1,2,0,39,1,20200626,2,0,0,0,Gambia,冈比亚
44,1,2,0,40,1,20200627,2,0,0,0,Gambia,冈比亚
45,1,2,0,41,1,20200628,2,0,0,0,Gambia,冈比亚
45,0,2,0,41,0,20200629,2,0,0,0,Gambia,冈比亚
47,2,2,0,43,2,20200630,2,0,0,0,Gambia,冈比亚
49,2,2,0,45,2,20200701,2,0,0,0,Gambia,冈比亚
49,0,2,0,45,0,20200702,2,0,0,0,Gambia,冈比亚
55,6,2,0,51,6,20200703,2,0,0,0,Gambia,冈比亚
55,0,2,0,51,0,20200704,2,0,0,0,Gambia,冈比亚
57,2,2,0,53,2,20200705,2,0,0,0,Gambia,冈比亚
57,0,2,0,53,0,20200706,2,0,0,0,Gambia,冈比亚
61,4,2,0,56,3,20200707,3,1,0,0,Gambia,冈比亚
61,0,2,0,56,0,20200708,3,0,0,0,Gambia,冈比亚
