confirmedCount,confirmedIncr,curedCount,curedIncr,currentConfirmedCount,currentConfirmedIncr,dateId,deadCount,deadIncr,suspectedCount,suspectedCountIncr,countryFullName,countryName
1,1,0,0,1,1,20200227,0,0,0,0,Georgia,格鲁吉亚
1,0,0,0,1,0,20200228,0,0,0,0,Georgia,格鲁吉亚
2,1,0,0,2,1,20200229,0,0,0,0,Georgia,格鲁吉亚
3,1,0,0,3,1,20200301,0,0,0,0,Georgia,格鲁吉亚
3,0,0,0,3,0,20200302,0,0,0,0,Georgia,格鲁吉亚
3,0,0,0,3,0,20200303,0,0,0,0,Georgia,格鲁吉亚
3,0,0,0,3,0,20200304,0,0,0,0,Georgia,格鲁吉亚
3,0,0,0,3,0,20200305,0,0,0,0,Georgia,格鲁吉亚
9,6,0,0,9,6,20200306,0,0,0,0,Georgia,格鲁吉亚
9,0,0,0,9,0,20200307,0,0,0,0,Georgia,格鲁吉亚
12,3,0,0,12,3,20200308,0,0,0,0,Georgia,格鲁吉亚
13,1,0,0,13,1,20200309,0,0,0,0,Georgia,格鲁吉亚
15,2,0,0,15,2,20200310,0,0,0,0,Georgia,格鲁吉亚
23,8,0,0,23,8,20200311,0,0,0,0,Georgia,格鲁吉亚
23,0,0,0,23,0,20200312,0,0,0,0,Georgia,格鲁吉亚
25,2,0,0,25,2,20200313,0,0,0,0,Georgia,格鲁吉亚
25,0,0,0,25,0,20200314,0,0,0,0,Georgia,格鲁吉亚
30,5,0,0,30,5,20200315,0,0,0,0,Georgia,格鲁吉亚
33,3,0,0,33,3,20200316,0,0,0,0,Georgia,格鲁吉亚
33,0,0,0,33,0,20200317,0,0,0,0,Georgia,格鲁吉亚
34,1,0,0,34,1,20200318,0,0,0,0,Georgia,格鲁吉亚
40,6,0,0,40,6,20200319,0,0,0,0,Georgia,格鲁吉亚
43,3,1,1,42,2,20200320,0,0,0,0,Georgia,格鲁吉亚
47,4,1,0,46,4,20200321,0,0,0,0,Georgia,格鲁吉亚
54,7,3,2,51,5,20200322,0,0,0,0,Georgia,格鲁吉亚
61,7,3,0,58,7,20200323,0,0,0,0,Georgia,格鲁吉亚
70,9,9,6,61,3,20200324,0,0,0,0,Georgia,格鲁吉亚
73,3,10,1,63,2,20200325,0,0,0,0,Georgia,格鲁吉亚
77,4,10,0,67,4,20200326,0,0,0,0,Georgia,格鲁吉亚
81,4,13,3,68,1,20200327,0,0,0,0,Georgia,格鲁吉亚
85,4,14,1,71,3,20200328,0,0,0,0,Georgia,格鲁吉亚
90,5,18,4,72,1,20200329,0,0,0,0,Georgia,格鲁吉亚
98,8,18,0,80,8,20200330,0,0,0,0,Georgia,格鲁吉亚
108,10,18,0,90,10,20200331,0,0,0,0,Georgia,格鲁吉亚
115,7,22,4,93,3,20200401,0,0,0,0,Georgia,格鲁吉亚
130,15,26,4,104,11,20200402,0,0,0,0,Georgia,格鲁吉亚
148,18,26,0,122,18,20200403,0,0,0,0,Georgia,格鲁吉亚
157,9,28,2,129,7,20200404,0,0,0,0,Georgia,格鲁吉亚
170,13,36,8,133,4,20200405,1,1,0,0,Georgia,格鲁吉亚
188,18,36,0,150,17,20200406,2,1,0,0,Georgia,格鲁吉亚
195,7,39,3,154,4,20200407,2,0,0,0,Georgia,格鲁吉亚
208,13,46,7,159,5,20200408,3,1,0,0,Georgia,格鲁吉亚
214,6,46,0,165,6,20200409,3,0,0,0,Georgia,格鲁吉亚
230,16,54,8,173,8,20200410,3,0,0,0,Georgia,格鲁吉亚
233,3,56,2,174,1,20200411,3,0,0,0,Georgia,格鲁吉亚
252,19,63,7,186,12,20200412,3,0,0,0,Georgia,格鲁吉亚
266,14,67,4,196,10,20200413,3,0,0,0,Georgia,格鲁吉亚
299,33,69,2,227,31,20200414,3,0,0,0,Georgia,格鲁吉亚
309,10,69,0,237,10,20200415,3,0,0,0,Georgia,格鲁吉亚
336,27,74,5,259,22,20200416,3,0,0,0,Georgia,格鲁吉亚
370,34,77,3,290,31,20200417,3,0,0,0,Georgia,格鲁吉亚
385,15,84,7,298,8,20200418,3,0,0,0,Georgia,格鲁吉亚
394,9,86,2,304,6,20200419,4,1,0,0,Georgia,格鲁吉亚
399,5,93,7,302,-2,20200420,4,0,0,0,Georgia,格鲁吉亚
408,9,95,2,309,7,20200421,4,0,0,0,Georgia,格鲁吉亚
411,3,98,3,308,-1,20200422,5,1,0,0,Georgia,格鲁吉亚
420,9,107,9,308,0,20200423,5,0,0,0,Georgia,格鲁吉亚
431,11,114,7,312,4,20200424,5,0,0,0,Georgia,格鲁吉亚
456,25,132,18,319,7,20200425,5,0,0,0,Georgia,格鲁吉亚
485,29,139,7,340,21,20200426,6,1,0,0,Georgia,格鲁吉亚
496,11,149,10,341,1,20200427,6,0,0,0,Georgia,格鲁吉亚
511,15,156,7,349,8,20200428,6,0,0,0,Georgia,格鲁吉亚
517,6,168,12,343,-6,20200429,6,0,0,0,Georgia,格鲁吉亚
539,22,178,10,355,12,20200430,6,0,0,0,Georgia,格鲁吉亚
566,27,184,6,376,21,20200501,6,0,0,0,Georgia,格鲁吉亚
582,16,184,0,390,14,20200502,8,2,0,0,Georgia,格鲁吉亚
589,7,184,0,397,7,20200503,8,0,0,0,Georgia,格鲁吉亚
589,0,184,0,397,0,20200504,8,0,0,0,Georgia,格鲁吉亚
604,15,184,0,411,14,20200505,9,1,0,0,Georgia,格鲁吉亚
610,6,184,0,417,6,20200506,9,0,0,0,Georgia,格鲁吉亚
615,5,275,91,331,-86,20200507,9,0,0,0,Georgia,格鲁吉亚
623,8,288,13,326,-5,20200508,9,0,0,0,Georgia,格鲁吉亚
626,3,288,0,328,2,20200509,10,1,0,0,Georgia,格鲁吉亚
635,9,288,0,337,9,20200510,10,0,0,0,Georgia,格鲁吉亚
638,3,288,0,340,3,20200511,10,0,0,0,Georgia,格鲁吉亚
639,1,288,0,340,0,20200512,11,1,0,0,Georgia,格鲁吉亚
642,3,288,0,343,3,20200513,11,0,0,0,Georgia,格鲁吉亚
652,10,288,0,353,10,20200514,11,0,0,0,Georgia,格鲁吉亚
671,19,383,95,276,-77,20200515,12,1,0,0,Georgia,格鲁吉亚
677,6,383,0,282,6,20200516,12,0,0,0,Georgia,格鲁吉亚
695,18,425,42,258,-24,20200517,12,0,0,0,Georgia,格鲁吉亚
701,6,425,0,264,6,20200518,12,0,0,0,Georgia,格鲁吉亚
